,datetime,open,high,low,close,volume
0,2023-04-11,10.35000,10.35990,10.34000,10.34000,192818
1,2023-04-10,10.32000,10.36000,10.32000,10.34500,273000
2,2023-04-06,10.32000,10.34000,10.32000,10.32500,96700
3,2023-04-05,10.33000,10.34000,10.32000,10.32000,67200
4,2023-04-04,10.34000,10.34000,10.32000,10.32000,12900
5,2023-04-03,10.32000,10.34000,10.32000,10.33000,8900
6,2023-03-31,10.34000,10.34000,10.31000,10.32000,18000
7,2023-03-30,10.33000,10.34000,10.31100,10.32000,65200
8,2023-03-29,10.35000,10.35000,10.31500,10.33000,17300
9,2023-03-28,10.33000,10.35000,10.32000,10.35000,42500
10,2023-03-27,10.33000,10.34000,10.32000,10.32500,34900
11,2023-03-24,10.35000,10.35000,10.32000,10.32000,43800
12,2023-03-23,10.30000,10.34000,10.30000,10.34000,1739200
13,2023-03-22,10.30000,10.32000,10.30000,10.30000,207000
14,2023-03-21,10.32000,10.32000,10.30200,10.31000,130800
15,2023-03-20,10.31000,10.35000,10.30000,10.31500,209900
16,2023-03-17,10.30000,10.30000,10.27000,10.30000,63300
17,2023-03-16,10.27000,10.30000,10.26000,10.30000,95000
18,2023-03-15,10.26000,10.27000,10.26000,10.26500,11100
19,2023-03-14,10.27000,10.27000,10.26000,10.27000,6600
20,2023-03-13,10.28000,10.28000,10.25300,10.27000,18600
21,2023-03-10,10.28000,10.30000,10.20000,10.20000,140900
22,2023-03-09,10.26000,10.29000,10.26000,10.28000,245400
23,2023-03-08,10.25000,10.27300,10.25000,10.26000,26000
24,2023-03-07,10.26000,10.27000,10.25000,10.25000,27500
25,2023-03-06,10.24000,10.27000,10.24000,10.26000,91600
26,2023-03-03,10.24000,10.28000,10.24000,10.25000,960700
27,2023-03-02,10.26000,10.26000,10.24000,10.24000,32700
28,2023-03-01,10.23000,10.25000,10.23000,10.25000,176700
29,2023-02-28,10.23000,10.23000,10.22000,10.23000,17800
30,2023-02-27,10.23000,10.23000,10.22000,10.23000,32500
31,2023-02-24,10.23000,10.23000,10.22000,10.22000,41200
