,datetime,open,high,low,close,volume
0,2023-04-11,10.21000,10.77500,10.21000,10.60000,363642
1,2023-04-10,9.90000,10.48500,9.90000,10.21000,854000
2,2023-04-06,9.53000,10.00500,9.31000,9.89000,439000
3,2023-04-05,9.51000,9.68000,9.42000,9.54000,232900
4,2023-04-04,9.74000,9.75000,9.35000,9.62000,333500
5,2023-04-03,9.63000,9.79000,9.42000,9.68000,378000
6,2023-03-31,9.21000,9.70500,9.19500,9.66000,496900
7,2023-03-30,9.18000,9.38000,9.00000,9.12000,623900
8,2023-03-29,9.00000,9.19000,8.96000,9.03000,723900
9,2023-03-28,9.22000,9.43000,9.17500,9.22000,278900
10,2023-03-27,9.36000,9.40000,9.19500,9.26000,263200
11,2023-03-24,9.02000,9.25000,8.92000,9.21000,440000
12,2023-03-23,9.10000,9.31000,8.97000,9.14000,439200
13,2023-03-22,9.33000,9.59000,8.99000,9.00000,523100
14,2023-03-21,9.65000,9.76000,9.22000,9.29000,661464
15,2023-03-20,9.52000,9.70000,9.26000,9.38000,436907
16,2023-03-17,9.88000,9.94000,9.39000,9.46000,657696
17,2023-03-16,10.00000,10.33990,9.78000,10.05000,327046
18,2023-03-15,10.25000,10.34000,9.96000,10.20000,319731
19,2023-03-14,10.83000,10.86500,10.40000,10.50000,296791
20,2023-03-13,10.85000,10.88000,10.30000,10.46000,331755
21,2023-03-10,11.47000,11.47000,10.94000,11.16000,260052
22,2023-03-09,12.06000,12.15000,11.49000,11.51000,285237
23,2023-03-08,12.28000,12.28000,11.87000,12.16000,259518
24,2023-03-07,11.99000,12.31000,11.77000,12.26000,274162
25,2023-03-06,12.79000,12.85000,11.96000,12.00000,575452
26,2023-03-03,12.36000,12.93000,12.36000,12.78000,854787
27,2023-03-02,12.24000,13.20000,11.51000,12.37000,1099203
28,2023-03-01,14.23000,14.53500,14.15000,14.40000,244861
29,2023-02-28,14.26000,14.68500,14.26000,14.35000,219884
30,2023-02-27,14.33000,14.50000,14.13000,14.28000,224409
31,2023-02-24,13.80000,14.22500,13.65000,14.13000,281781
32,2023-02-23,13.97000,14.34000,13.96000,14.15000,186845
33,2023-02-22,13.81000,14.46000,13.73000,14.14000,237301
34,2023-02-21,14.55000,14.66000,13.84000,13.85000,245605
