,datetime,open,high,low,close,volume
0,2023-04-11,34.83000,35.10000,34.24000,34.30000,473000
1,2023-04-10,34.05000,35.03000,34.01000,34.76000,487300
2,2023-04-06,33.78000,34.53000,33.69000,34.40000,392000
3,2023-04-05,34.28000,34.54000,33.35000,33.59000,617100
4,2023-04-04,35.95000,35.95000,34.09000,34.68000,527700
5,2023-04-03,36.62000,36.97000,35.66500,35.99000,297643
6,2023-03-31,36.60000,36.80000,35.91500,36.58000,529332
7,2023-03-30,37.32000,37.43320,35.92000,36.11000,411680
8,2023-03-29,37.49000,37.51000,36.53000,36.85000,380795
9,2023-03-28,36.71000,37.32000,36.22000,36.95000,274877
10,2023-03-27,38.11000,38.31000,36.80000,36.90000,360705
11,2023-03-24,34.90000,36.90000,34.58000,36.77000,468250
12,2023-03-23,37.02000,37.23500,35.32000,35.38000,554927
13,2023-03-22,38.43000,38.72000,36.75000,36.91000,632607
14,2023-03-21,37.69000,38.69000,37.65000,38.56000,566664
15,2023-03-20,37.26000,37.95000,36.03000,36.03000,597358
16,2023-03-17,37.36000,37.69500,35.51000,35.79000,1572267
17,2023-03-16,36.53000,39.35000,35.40010,38.52000,808247
18,2023-03-15,34.77000,36.93000,34.28000,36.79000,1360758
19,2023-03-14,39.60000,41.60500,36.58500,36.74000,1303277
20,2023-03-13,40.00000,40.00000,36.04000,37.14000,1998100
21,2023-03-10,41.53000,42.90000,39.63000,42.45000,1230765
22,2023-03-09,44.53000,44.53000,42.20000,42.43000,450832
23,2023-03-08,44.92000,45.12250,44.31000,44.92000,266947
24,2023-03-07,46.41000,46.85000,44.54470,44.71000,332353
25,2023-03-06,47.23000,47.50000,46.40000,46.65000,426420
26,2023-03-03,47.05000,47.34000,46.25500,47.11000,263248
27,2023-03-02,47.41000,47.41000,46.34000,46.96000,294329
28,2023-03-01,47.60000,48.13000,47.42500,47.74000,264999
29,2023-02-28,48.09000,48.51000,47.87000,47.87000,318318
30,2023-02-27,48.47000,48.79000,47.87000,48.10000,232053
31,2023-02-24,47.77000,48.20000,47.50000,48.02000,276136
32,2023-02-23,47.41000,48.33000,47.21000,48.29000,323699
33,2023-02-22,47.62000,47.91000,46.84000,47.22000,370406
34,2023-02-21,48.48000,48.71500,47.46000,47.51000,244623
35,2023-02-17,48.55000,49.12500,48.23000,48.92000,358431
36,2023-02-16,49.10000,49.26000,48.52500,48.55000,362703
37,2023-02-15,48.10000,49.43000,48.10000,49.38000,238069
38,2023-02-14,48.73000,49.25000,47.96000,48.48000,225133
39,2023-02-13,48.49000,49.11000,47.82000,48.83000,286442
40,2023-02-10,48.30000,48.75000,47.98000,48.46000,289839
41,2023-02-09,49.66000,49.66000,48.32000,48.40000,217096
42,2023-02-08,49.34000,49.68000,49.03500,49.21000,232567
43,2023-02-07,48.80000,49.91000,48.53000,49.65000,272647
44,2023-02-06,49.93000,50.31000,48.80000,48.93000,405291
45,2023-02-03,49.42000,50.54000,49.27000,50.18000,522140
46,2023-02-02,48.08000,49.83000,47.86000,49.79000,442601
47,2023-02-01,47.03000,48.71000,46.27500,47.96000,422514
48,2023-01-31,45.87000,47.38000,45.86000,47.16000,503405
49,2023-01-30,46.19000,46.85000,45.71000,45.78000,321746
50,2023-01-27,45.50000,46.90000,45.40500,46.46000,570188
51,2023-01-26,47.66000,47.90000,46.58000,46.79000,910420
52,2023-01-25,47.52000,47.66000,46.88500,47.54000,505568
53,2023-01-24,48.08000,48.29000,47.51000,47.77000,245399
54,2023-01-23,48.24000,48.85500,47.88000,48.29000,218764
55,2023-01-20,47.62000,48.35000,47.04000,48.22000,375438
56,2023-01-19,46.68000,47.01500,46.11000,46.92000,245473
57,2023-01-18,48.53000,48.83000,46.88000,46.92000,302462
58,2023-01-17,49.36000,49.36000,48.64000,48.96000,228516
59,2023-01-13,48.44000,49.57000,47.70000,49.32000,287582
60,2023-01-12,48.46000,49.23000,48.25000,48.97000,247006
61,2023-01-11,47.99000,48.58000,47.59000,48.30000,240758
62,2023-01-10,47.28000,48.00000,46.72000,47.65000,238956
63,2023-01-09,47.53000,47.83500,47.18000,47.35000,258763
64,2023-01-06,46.60000,47.67000,46.27000,47.47000,233165
65,2023-01-05,46.07000,46.32000,45.37000,46.01000,169157
66,2023-01-04,46.66000,47.36000,46.21000,46.49000,232503
67,2023-01-03,47.35000,48.77250,45.86000,46.30000,301023
68,2022-12-30,46.99000,47.40000,46.74000,47.14000,301904
69,2022-12-29,47.06000,47.66500,46.64000,47.32000,236437
70,2022-12-28,47.89000,49.12000,46.85000,46.96000,285277
71,2022-12-27,47.96000,48.37000,47.67000,47.96000,169150
