,datetime,open,high,low,close,volume
0,2023-04-11,0.08180,0.08180,0.05260,0.05260,100
1,2023-04-10,0.07180,0.08950,0.03880,0.04620,1304
2,2023-04-06,0.04100,0.04100,0.04100,0.04100,3937
3,2023-04-05,0.08490,0.08500,0.03920,0.05000,6715
4,2023-04-04,0.04050,0.05950,0.03720,0.05790,1904
5,2023-04-03,0.05610,0.05610,0.03720,0.05610,3722
6,2023-03-31,0.03710,0.03710,0.03710,0.03710,403
7,2023-03-29,0.04010,0.04010,0.04010,0.04010,0
8,2023-03-27,0.03710,0.03710,0.03710,0.03710,0
9,2023-03-24,0.04460,0.04880,0.04460,0.04880,849
10,2023-03-23,0.03710,0.03710,0.03710,0.03710,0
11,2023-03-22,0.06040,0.08570,0.04300,0.04300,5411
12,2023-03-21,0.08280,0.09000,0.03880,0.08760,10068
13,2023-03-16,0.08800,0.08800,0.08800,0.08800,101
14,2023-03-15,0.09000,0.09000,0.09000,0.09000,0
15,2023-03-14,0.08120,0.08120,0.08120,0.08120,900
16,2023-03-13,0.06000,0.09000,0.03890,0.04150,1254
17,2023-03-10,0.05000,0.05000,0.04010,0.04010,1043
18,2023-03-09,0.08500,0.08500,0.04100,0.04100,1499
19,2023-03-08,0.06900,0.06900,0.06900,0.06900,4307
20,2023-03-07,0.06730,0.08800,0.02280,0.08800,6411
21,2023-03-02,0.03500,0.06120,0.03500,0.06000,276
22,2023-03-01,0.07700,0.07700,0.07700,0.07700,2472
23,2023-02-27,0.08700,0.09000,0.08700,0.09000,6427
24,2023-02-24,0.08380,0.08380,0.08380,0.08380,705
25,2023-02-23,0.03020,0.08880,0.02100,0.08320,1311
26,2023-02-22,0.09000,0.09000,0.09000,0.09000,0
27,2023-02-21,0.06750,0.09000,0.06750,0.09000,33228
28,2023-02-13,0.07990,0.07990,0.03300,0.03300,1765
29,2023-02-10,0.02470,0.03840,0.02400,0.03840,4100
30,2023-02-09,0.02110,0.02110,0.02110,0.02110,0
31,2023-02-06,0.02090,0.02090,0.02090,0.02090,50
32,2023-01-20,0.07910,0.08000,0.04000,0.04000,3000
33,2023-01-13,0.07910,0.07910,0.07910,0.07910,0
34,2023-01-12,0.06000,0.06000,0.06000,0.06000,0
35,2023-01-11,0.05000,0.05000,0.05000,0.05000,0
36,2023-01-09,0.03910,0.05000,0.03910,0.05000,6166
37,2023-01-03,0.02470,0.02470,0.01060,0.01060,1800
