,datetime,open,high,low,close,volume
0,2023-04-11,16.08000,16.27000,16.04000,16.18000,15309
1,2023-04-10,16.02000,16.24000,15.92000,16.02000,30800
2,2023-04-06,15.81000,16.09000,15.81000,16.07000,15600
3,2023-04-05,15.64000,15.91000,15.60000,15.80000,20200
4,2023-04-04,16.34000,16.34000,15.64000,15.80000,21600
5,2023-04-03,16.10000,16.31000,15.99000,16.09000,32700
6,2023-03-31,15.77000,16.29000,15.31000,16.05000,76200
7,2023-03-30,16.26000,16.26000,15.52000,15.63000,41800
8,2023-03-29,16.34000,16.34000,16.04000,16.17000,29300
9,2023-03-28,16.35000,16.50000,16.12000,16.25000,48500
10,2023-03-27,16.53000,16.53000,16.31000,16.31000,59700
11,2023-03-24,15.97000,16.42000,15.88000,16.28000,98000
12,2023-03-23,16.58000,16.92000,16.10000,16.16000,43500
13,2023-03-22,17.03000,17.32000,16.40000,16.40000,36600
14,2023-03-21,16.97000,17.34000,16.97000,17.03000,52100
15,2023-03-20,16.66000,16.94500,16.50000,16.69000,51324
16,2023-03-17,17.00000,17.10000,16.43000,16.44000,75721
17,2023-03-16,16.38000,17.43000,16.38000,17.11000,67249
18,2023-03-15,16.05000,16.61000,15.76000,16.59000,98436
19,2023-03-14,17.56000,17.84500,16.16000,16.43000,98563
20,2023-03-13,17.59000,17.59000,15.78500,16.59000,124111
21,2023-03-10,18.58000,18.69000,17.28000,17.89000,69527
22,2023-03-09,19.19000,19.34000,18.58000,18.67000,45175
23,2023-03-08,19.24000,19.26000,18.76000,19.21000,41684
24,2023-03-07,19.54000,19.65000,19.06000,19.12000,29768
25,2023-03-06,20.05000,20.05000,19.14000,19.49000,78785
26,2023-03-03,19.88000,20.20000,19.81000,19.88000,30256
27,2023-03-02,19.94000,20.00000,19.79500,19.89000,19837
28,2023-03-01,19.95500,19.95500,19.78000,19.88000,14267
29,2023-02-28,19.90000,20.15000,19.87000,20.00000,34052
30,2023-02-27,19.87000,20.00000,19.80000,19.90000,12905
31,2023-02-24,19.74000,19.89000,19.56080,19.88000,15552
32,2023-02-23,19.72000,19.92000,19.62000,19.79000,14601
33,2023-02-22,19.67000,19.98000,19.44000,19.92000,22919
34,2023-02-21,20.23000,20.23000,19.60000,19.74000,54948
35,2023-02-17,20.11000,20.29000,19.94000,20.25000,21166
36,2023-02-16,19.63000,20.14000,19.63000,20.05000,27543
37,2023-02-15,19.70000,20.09000,19.70000,20.09000,14563
38,2023-02-14,19.99000,20.02000,19.72000,19.89000,24202
39,2023-02-13,19.86000,20.11000,19.80000,20.06000,29591
40,2023-02-10,19.79000,20.10000,19.79000,19.90000,22682
41,2023-02-09,20.02000,20.06000,19.63000,19.77000,15641
42,2023-02-08,20.14000,20.27000,19.73000,20.11000,36036
43,2023-02-07,20.38000,20.66600,20.03200,20.28000,37030
44,2023-02-06,20.95000,20.95000,20.27000,20.28000,24437
45,2023-02-03,20.68000,21.00000,20.68000,20.78000,23139
46,2023-02-02,20.23000,20.48000,19.83500,20.48000,69553
47,2023-02-01,20.65000,20.70000,19.93000,20.08000,51272
48,2023-01-31,19.81000,20.76000,19.81000,20.58000,27956
49,2023-01-30,19.80000,20.25000,19.71000,19.84000,35739
50,2023-01-27,21.01000,21.01000,19.84480,20.02000,33936
51,2023-01-26,20.29000,21.30000,19.75990,20.00000,169759
52,2023-01-25,22.59000,22.59000,22.17000,22.50000,17491
