,datetime,open,high,low,close,volume
0,2023-04-11,9.46000,9.65000,9.45000,9.45000,9661
1,2023-04-10,9.54000,9.84000,9.40000,9.46000,9600
2,2023-04-06,9.64500,9.64500,9.52800,9.64000,5500
3,2023-04-05,9.39000,9.60500,9.39000,9.59000,14800
4,2023-04-04,9.50000,9.68500,9.34000,9.47000,29600
5,2023-04-03,9.64000,9.88000,9.24100,9.44000,39000
6,2023-03-31,9.59000,9.94000,9.59000,9.84000,69600
7,2023-03-30,9.37000,9.89000,9.33000,9.60000,25100
8,2023-03-29,9.09000,9.59000,9.02500,9.46000,27500
9,2023-03-28,8.98000,9.31000,8.90000,9.11000,17200
10,2023-03-27,9.10000,9.15000,8.97900,9.00000,10200
11,2023-03-24,8.92000,9.25500,8.91500,9.14000,23100
12,2023-03-23,9.13500,9.16000,9.00000,9.02000,23900
13,2023-03-22,9.05000,9.10000,8.91000,8.98000,24200
14,2023-03-21,9.15000,9.33000,8.95000,8.95000,13800
15,2023-03-20,9.26000,9.26000,9.00000,9.01000,14700
16,2023-03-17,9.27000,9.45000,9.16000,9.45000,23400
17,2023-03-16,9.13000,9.43000,9.04000,9.26000,23800
18,2023-03-15,8.96000,9.41000,8.90000,9.13000,27400
19,2023-03-14,9.27000,9.34000,9.01000,9.01000,25400
20,2023-03-13,9.72000,9.76000,9.05000,9.05000,34400
21,2023-03-10,9.85000,10.10000,9.76000,9.86000,40800
22,2023-03-09,10.06000,10.34000,10.06000,10.26000,26661
23,2023-03-08,9.87000,10.25700,9.83000,10.16000,15100
24,2023-03-07,9.76000,9.88000,9.62000,9.85000,18300
25,2023-03-06,9.68000,10.04000,9.65000,9.78000,28100
26,2023-03-03,9.60000,10.01000,9.60000,9.70000,19100
27,2023-03-02,9.22900,9.59000,9.22900,9.54000,8400
28,2023-03-01,9.24500,9.62000,9.24500,9.34000,50400
29,2023-02-28,9.25000,9.49500,9.17600,9.23000,17600
30,2023-02-27,9.39000,9.56700,9.08000,9.37000,16400
31,2023-02-24,9.43000,9.77000,9.25000,9.38000,20100
32,2023-02-23,9.35000,9.71000,9.34300,9.71000,16300
33,2023-02-22,9.49000,9.70000,9.01000,9.34000,13800
34,2023-02-21,10.03000,10.03000,9.33000,9.38000,21800
35,2023-02-17,10.22000,10.40000,9.95000,10.06000,21900
36,2023-02-16,10.49000,10.64500,10.09000,10.28000,23200
37,2023-02-15,10.40000,10.70000,10.40000,10.67000,17900
38,2023-02-14,10.46000,10.75000,10.30000,10.55000,26500
39,2023-02-13,10.35000,10.77000,10.19000,10.61000,31200
40,2023-02-10,10.19000,10.32500,10.00000,10.26000,14800
41,2023-02-09,10.62000,10.70000,10.19000,10.30000,25700
42,2023-02-08,10.78000,10.78000,10.42000,10.57000,22200
43,2023-02-07,10.70000,10.91000,10.56000,10.85000,16000
44,2023-02-06,10.43000,10.69000,10.42000,10.68000,26100
45,2023-02-03,10.87000,11.04000,10.41000,10.58000,28400
46,2023-02-02,10.79000,11.25000,10.68000,10.99000,54500
47,2023-02-01,10.37000,10.92000,10.37000,10.90000,42400
48,2023-01-31,10.36000,10.52500,10.25000,10.48000,27400
49,2023-01-30,10.44000,10.50500,10.17000,10.24000,26800
50,2023-01-27,10.58000,10.66000,10.44900,10.61000,22500
51,2023-01-26,10.77000,10.83000,10.41000,10.49000,17700
52,2023-01-25,10.24000,10.81000,10.24000,10.78000,47000
53,2023-01-24,10.90000,10.90000,10.28000,10.38000,28500
54,2023-01-23,10.74000,11.09500,10.66000,10.94000,53300
55,2023-01-20,10.31000,10.85300,10.31000,10.74000,40100
56,2023-01-19,10.02000,10.33000,10.02000,10.29000,54900
57,2023-01-18,10.54000,10.71000,10.19000,10.35000,48600
58,2023-01-17,10.82000,10.98100,10.57400,10.65000,42200
59,2023-01-13,10.85000,10.96000,10.76000,10.87000,21000
60,2023-01-12,10.77000,11.00000,10.70000,10.91000,44300
61,2023-01-11,11.06000,11.12000,10.73000,10.79000,28000
62,2023-01-10,10.59000,11.01000,10.45000,10.94000,63300
63,2023-01-09,10.81000,11.10000,10.61000,10.69000,58400
64,2023-01-06,10.74000,10.98000,10.62000,10.76000,29100
65,2023-01-05,10.59000,10.80000,10.42000,10.76000,39700
66,2023-01-04,10.32000,10.92000,10.14000,10.72000,53700
67,2023-01-03,10.13000,10.50500,10.03000,10.26000,75600
68,2022-12-30,10.03000,10.44000,9.76000,10.02000,86800
69,2022-12-29,9.69000,10.21000,9.34000,10.03000,100100
70,2022-12-28,9.66000,9.89000,9.61500,9.70000,59700
71,2022-12-27,9.61000,9.83500,9.47000,9.74000,80900
72,2022-12-23,9.66000,9.76000,9.58000,9.67000,34200
73,2022-12-22,9.59000,9.84000,9.44500,9.78000,35400
74,2022-12-21,9.64000,9.73000,9.47000,9.55000,17200
75,2022-12-20,9.55000,9.99000,9.49500,9.60000,37900
76,2022-12-19,9.81000,10.12700,9.49500,9.62000,66500
77,2022-12-16,10.12000,10.26000,9.51000,9.87000,165600
78,2022-12-15,9.85000,10.20000,9.77500,10.17000,51700
79,2022-12-14,10.02000,10.26900,9.88000,10.15000,56900
80,2022-12-13,10.50000,10.50000,10.10000,10.10000,48900
81,2022-12-12,10.57000,10.62000,10.03000,10.22000,52800
82,2022-12-09,10.93000,11.05000,10.54000,10.58000,32000
83,2022-12-08,10.56000,11.02000,10.55000,10.99000,38800
84,2022-12-07,10.60000,11.18000,10.58000,10.66000,48900
85,2022-12-06,11.04000,11.10500,10.66000,10.73000,71000
86,2022-12-05,11.30000,11.30000,10.78000,10.96000,148700
87,2022-12-02,10.54000,11.59700,10.00000,11.24000,519700
