,datetime,open,high,low,close,volume
0,2023-04-11,80.90000,82.02500,80.14000,80.59000,726780
1,2023-04-10,79.26000,80.67000,78.93000,80.54000,796700
2,2023-04-06,78.85000,79.90000,78.63000,79.71000,622300
3,2023-04-05,79.96000,80.79000,78.88000,79.22000,785900
4,2023-04-04,82.55000,83.05000,80.36000,80.87000,791100
5,2023-04-03,82.78000,84.00500,81.96500,82.27000,744200
6,2023-03-31,82.10000,83.52000,81.80500,83.44000,652100
7,2023-03-30,82.27000,82.38500,81.30000,81.32000,605900
8,2023-03-29,80.93000,81.44000,79.82000,81.40000,703200
9,2023-03-28,81.24000,81.62000,79.48000,80.10000,619300
10,2023-03-27,80.89000,82.04000,80.47000,81.09000,912900
11,2023-03-24,79.13000,80.98000,77.50000,80.40000,1691600
12,2023-03-23,79.59000,82.29000,79.56000,80.39000,2044200
13,2023-03-22,78.82000,81.59500,78.23000,78.99000,1862358
14,2023-03-21,75.16000,78.69000,75.03000,78.52000,779010
15,2023-03-20,75.57000,75.99000,73.96500,74.74000,835598
16,2023-03-17,75.85000,76.30980,74.44000,75.05000,1816334
17,2023-03-16,73.81000,77.12000,73.22000,76.27000,1129691
18,2023-03-15,73.53000,75.66000,73.34000,75.36000,1600250
19,2023-03-14,75.03000,76.27500,73.94000,75.67000,1628752
20,2023-03-13,72.22000,74.44500,71.36000,72.73000,2595210
21,2023-03-10,79.36000,79.36000,74.07000,74.51000,2734470
22,2023-03-09,83.29000,83.92000,79.80000,79.93000,949956
23,2023-03-08,82.38000,83.61000,82.17500,83.29000,566978
24,2023-03-07,83.32000,83.77500,81.75000,82.31000,688678
25,2023-03-06,83.08000,85.01000,83.08000,83.73000,930263
26,2023-03-03,81.15000,83.39000,80.50000,83.12000,966588
27,2023-03-02,79.85000,81.16000,79.65000,81.16000,747395
28,2023-03-01,80.19000,81.06000,80.00000,80.73000,891380
29,2023-02-28,80.51000,81.27000,80.21000,80.63000,1203061
30,2023-02-27,81.25000,81.66000,79.94500,80.15000,684143
31,2023-02-24,80.26000,80.87000,79.88500,80.17000,761011
32,2023-02-23,81.70000,82.21000,80.80000,81.97000,621495
33,2023-02-22,80.65000,81.51000,80.30000,80.83000,562171
34,2023-02-21,81.48000,82.04000,79.80000,80.52000,802702
35,2023-02-17,83.21000,83.85760,82.54500,83.11000,512509
36,2023-02-16,82.13000,84.83000,81.80000,83.50000,572051
37,2023-02-15,83.27000,84.00000,82.72000,83.65000,1304024
38,2023-02-14,84.84000,85.64000,83.88000,83.93000,1275960
39,2023-02-13,86.20000,86.43000,84.79000,84.96000,1689218
40,2023-02-10,83.46000,86.22000,82.87000,85.34000,832989
41,2023-02-09,87.50000,87.50000,82.77000,83.38000,1716263
42,2023-02-08,85.32000,85.90000,84.66000,85.54000,1329960
43,2023-02-07,84.19000,85.87000,83.60000,85.85000,840739
44,2023-02-06,83.55000,84.87000,83.04000,84.62000,1094539
45,2023-02-03,83.07000,85.67000,83.07000,85.03000,1124880
46,2023-02-02,85.76000,86.13340,83.60000,84.63000,1919553
47,2023-02-01,82.63000,85.39000,82.57000,84.66000,824158
48,2023-01-31,81.26000,83.01000,80.79000,82.99000,669178
49,2023-01-30,81.89000,82.73000,81.17000,81.18000,806132
50,2023-01-27,80.86000,83.12000,80.79000,82.90000,1137215
51,2023-01-26,79.09000,81.61500,78.64400,81.21000,789283
52,2023-01-25,77.47000,78.49000,76.44000,78.40000,518287
53,2023-01-24,79.02000,79.66990,78.20000,78.56000,410257
54,2023-01-23,79.16000,80.34000,78.60000,79.64000,937734
55,2023-01-20,76.42000,78.69000,76.17000,78.63000,885174
56,2023-01-19,77.15000,77.42000,74.97000,75.93000,931305
57,2023-01-18,78.60000,79.28000,77.78000,77.97000,914669
58,2023-01-17,77.30000,78.45000,77.30000,78.07000,817459
59,2023-01-13,76.34000,77.68000,75.42000,77.47000,751340
60,2023-01-12,74.70000,77.08000,73.94480,76.75000,1331261
61,2023-01-11,72.70000,74.11500,72.47000,74.06000,900736
62,2023-01-10,71.64000,72.63000,71.28000,72.43000,889347
63,2023-01-09,69.90000,72.41000,69.44000,71.81000,820559
64,2023-01-06,68.26000,69.62000,67.41000,69.13000,1077777
65,2023-01-05,68.84000,69.02000,67.29000,67.46000,1165689
66,2023-01-04,68.79000,69.87000,68.15000,69.40000,925546
67,2023-01-03,69.44000,70.02000,67.47500,68.35000,812989
68,2022-12-30,67.86000,68.96940,67.35000,68.44000,844828
69,2022-12-29,66.93000,68.70000,66.51500,68.67000,692046
70,2022-12-28,66.63000,67.10000,66.13000,66.32000,698971
71,2022-12-27,68.00000,68.18500,66.81000,66.93000,846647
