,datetime,open,high,low,close,volume
0,2023-04-11,22.23000,22.60000,22.06000,22.52020,10760
1,2023-04-10,22.54000,22.54000,22.54000,22.54000,0
2,2023-04-06,22.54000,22.69000,22.48000,22.54000,7100
3,2023-04-05,22.39000,22.47000,22.25000,22.45000,7100
4,2023-04-04,22.29000,22.48000,22.07000,22.47000,10900
5,2023-04-03,21.94000,22.49000,21.88000,22.49000,6200
6,2023-03-31,21.50000,22.17000,21.29000,22.17000,16200
7,2023-03-30,21.65000,21.86000,21.52000,21.56000,4800
8,2023-03-29,21.31000,21.60000,21.31000,21.50000,4700
9,2023-03-28,21.10000,21.28000,21.10000,21.28000,1600
10,2023-03-27,20.83000,21.11000,20.83000,21.10000,500
11,2023-03-24,20.85000,21.37000,20.55000,20.96000,4400
12,2023-03-23,21.00000,21.41000,20.98000,21.02000,6500
13,2023-03-22,21.34000,21.45000,20.70000,21.25000,9600
14,2023-03-21,21.20000,21.90000,20.94000,21.39000,6800
15,2023-03-20,21.01000,21.66000,21.01000,21.19000,4300
16,2023-03-17,21.89000,21.89000,21.04000,21.04000,4800
17,2023-03-16,21.00000,21.67000,21.00000,21.46000,6800
18,2023-03-15,21.93000,21.93000,20.82000,20.91000,12500
19,2023-03-14,21.58000,22.19000,20.75000,21.76000,8400
20,2023-03-13,21.56000,22.00000,21.20000,21.48000,5900
21,2023-03-10,21.88000,21.98000,21.65000,21.98000,3900
22,2023-03-09,21.70010,22.13640,21.70010,21.90000,10372
23,2023-03-08,22.19000,22.37000,22.14000,22.14000,6600
24,2023-03-07,22.10000,22.29000,22.10000,22.22000,7900
25,2023-03-06,22.06000,22.32000,22.06000,22.32000,10800
26,2023-03-03,22.10000,22.20000,22.09000,22.15000,4800
27,2023-03-02,22.02000,22.11000,21.80000,22.10000,4000
28,2023-03-01,22.31000,22.31000,21.96000,22.15000,6800
29,2023-02-28,22.26000,22.43000,22.08000,22.37000,11100
30,2023-02-27,22.74000,22.74000,22.52000,22.52000,3300
31,2023-02-24,22.57000,22.73000,22.41000,22.63000,12300
32,2023-02-23,22.15000,22.78000,22.00000,22.70000,24200
33,2023-02-22,22.59000,22.59000,21.40000,22.18000,35200
34,2023-02-21,22.64000,22.69000,22.40000,22.40000,13700
