,datetime,open,high,low,close,volume
0,2023-04-11,0.93000,0.97700,0.89050,0.91350,135345
1,2023-04-10,0.88300,0.92500,0.88300,0.89100,80700
2,2023-04-06,0.93900,0.98000,0.88000,0.91000,76800
3,2023-04-05,0.99000,1.03000,0.91000,0.91800,96000
4,2023-04-04,1.01000,1.02000,0.97000,0.98000,74100
5,2023-04-03,1.04000,1.05000,1.01000,1.02000,35500
6,2023-03-31,1.04000,1.05500,1.00000,1.01000,41400
7,2023-03-30,1.00000,1.11000,1.00000,1.07000,65800
8,2023-03-29,0.97000,1.09000,0.97000,1.03000,82400
9,2023-03-28,1.01000,1.03000,0.99000,0.99000,27900
10,2023-03-27,1.03000,1.03000,0.98000,1.00100,64600
11,2023-03-24,1.00000,1.03000,0.99000,1.01800,43100
12,2023-03-23,1.04000,1.05500,0.99000,1.02000,71100
13,2023-03-22,0.99000,1.11000,0.99000,1.01000,39600
14,2023-03-21,1.04000,1.05000,1.01000,1.03000,29200
15,2023-03-20,1.00000,1.04300,0.98500,1.02300,47700
16,2023-03-17,1.02000,1.05000,1.02000,1.02000,40300
17,2023-03-16,1.06000,1.10000,1.01000,1.05700,28900
18,2023-03-15,1.02000,1.09000,1.01000,1.04900,75600
19,2023-03-14,1.07000,1.11000,1.05000,1.07500,40000
20,2023-03-13,1.10000,1.11000,1.06000,1.06000,63600
21,2023-03-10,1.16000,1.16000,1.10000,1.12000,76100
22,2023-03-09,1.16000,1.20000,1.10000,1.11000,34800
23,2023-03-08,1.19000,1.22500,1.16000,1.16000,72800
24,2023-03-07,1.25000,1.30000,1.18000,1.19000,119100
25,2023-03-06,1.33000,1.33300,1.26000,1.28000,30400
26,2023-03-03,1.30000,1.32000,1.25000,1.32000,49300
27,2023-03-02,1.32000,1.32000,1.25000,1.30300,44700
28,2023-03-01,1.15000,1.38000,1.15000,1.32000,152400
29,2023-02-28,1.16000,1.21000,1.16000,1.17500,47400
30,2023-02-27,1.24000,1.24000,1.15000,1.20000,27800
31,2023-02-24,1.24000,1.24100,1.14000,1.20000,53700
32,2023-02-23,1.23000,1.25000,1.20000,1.24000,43600
33,2023-02-22,1.24000,1.28000,1.21000,1.21000,58500
34,2023-02-21,1.20000,1.25000,1.20000,1.24000,75600
35,2023-02-17,1.26000,1.26000,1.20000,1.20000,57100
36,2023-02-16,1.31000,1.31000,1.22000,1.26000,68700
37,2023-02-15,1.33000,1.34800,1.28000,1.29000,62400
