,datetime,open,high,low,close,volume
0,2023-04-11,1.71000,1.79000,1.57000,1.78000,61611
1,2023-04-10,1.63000,1.75000,1.59000,1.73000,89700
2,2023-04-06,1.67000,1.71000,1.64000,1.71000,44900
3,2023-04-05,1.70000,1.72700,1.65000,1.69000,19900
4,2023-04-04,1.74000,1.91000,1.69000,1.71000,40500
5,2023-04-03,1.75000,1.75000,1.69000,1.73000,8600
6,2023-03-31,1.72000,1.74000,1.70000,1.74000,39700
7,2023-03-30,1.69000,1.72000,1.69000,1.71000,35300
8,2023-03-29,1.62000,1.72000,1.62000,1.72000,65300
9,2023-03-28,1.77000,1.77000,1.67000,1.69000,51000
10,2023-03-27,1.55000,1.78000,1.34000,1.72000,200600
11,2023-03-24,1.60500,1.64000,1.49000,1.50000,10900
12,2023-03-23,1.58000,1.60000,1.53000,1.55000,7200
13,2023-03-22,1.64000,1.64000,1.50500,1.58000,6500
14,2023-03-21,1.60500,1.64900,1.54000,1.54000,10300
15,2023-03-20,1.65000,1.65000,1.53000,1.53000,23200
16,2023-03-17,1.43900,1.64000,1.37000,1.64000,57500
17,2023-03-16,1.45000,1.46000,1.38000,1.40000,12500
18,2023-03-15,1.65000,1.65000,1.34000,1.36000,23300
19,2023-03-14,1.62000,1.71000,1.54000,1.54000,16400
20,2023-03-13,1.61400,1.65000,1.58000,1.60000,6000
21,2023-03-10,1.67000,1.67000,1.57000,1.60000,2400
22,2023-03-09,1.69000,1.70000,1.63000,1.63000,9800
23,2023-03-08,1.70000,1.73000,1.62000,1.62000,51000
24,2023-03-07,1.78000,1.78000,1.69300,1.70000,15600
25,2023-03-06,1.78000,1.78000,1.68000,1.72000,38700
26,2023-03-03,1.69000,1.75000,1.63100,1.72000,29300
27,2023-03-02,1.70000,1.84000,1.62000,1.69000,38000
28,2023-03-01,1.65000,1.81800,1.65000,1.68000,29000
29,2023-02-28,1.67000,1.70000,1.62000,1.62000,29200
30,2023-02-27,1.77000,1.79900,1.69000,1.69900,21700
31,2023-02-24,1.73000,1.74000,1.69000,1.69000,59100
32,2023-02-23,1.72500,1.76000,1.66000,1.73000,47100
33,2023-02-22,1.78000,1.78000,1.68000,1.68000,36500
34,2023-02-21,1.79000,1.98000,1.75000,1.80000,43500
35,2023-02-17,1.74000,1.84000,1.72000,1.79000,25500
36,2023-02-16,1.65000,1.79000,1.65000,1.77000,9100
37,2023-02-15,1.78000,1.78000,1.64000,1.70000,68600
38,2023-02-14,1.83000,1.83000,1.71000,1.78000,55400
39,2023-02-13,1.56000,1.84000,1.56000,1.83000,83700
40,2023-02-10,1.52500,1.66000,1.49000,1.63000,27900
41,2023-02-09,1.64000,1.64000,1.49700,1.54000,51200
