,datetime,open,high,low,close,volume
0,2023-04-11,0.44500,0.50900,0.41000,0.48000,86800
1,2023-04-10,0.54400,0.55100,0.48800,0.48800,47700
2,2023-04-06,0.48700,0.64000,0.48700,0.51800,128400
3,2023-04-05,0.60400,0.60400,0.50000,0.52000,46300
4,2023-04-04,0.59000,0.61500,0.55500,0.57500,24200
5,2023-04-03,0.71000,0.72300,0.54100,0.60500,39900
6,2023-03-31,0.75000,0.80000,0.71000,0.71000,17300
7,2023-03-30,0.71000,0.82700,0.71000,0.75200,15200
8,2023-03-29,0.75000,0.90000,0.75000,0.76000,29800
9,2023-03-28,0.85000,0.85000,0.78000,0.79000,2800
10,2023-03-27,0.81000,0.88000,0.81000,0.85000,3600
11,2023-03-24,0.88000,0.88000,0.78000,0.88000,42600
12,2023-03-23,0.96000,0.97000,0.87000,0.90000,80500
13,2023-03-22,0.95500,0.97900,0.95500,0.96000,1900
14,2023-03-21,0.95000,1.00000,0.95000,0.95000,7200
15,2023-03-20,1.08000,1.08000,0.95000,0.95100,8100
16,2023-03-17,0.97000,1.00000,0.95000,1.00000,5800
17,2023-03-16,0.95000,1.00000,0.95000,1.00000,1400
18,2023-03-15,0.97000,1.01500,0.95000,0.95000,10200
19,2023-03-14,0.98000,1.03000,0.96000,0.96000,14500
20,2023-03-13,1.00800,1.04000,0.99000,0.99000,12700
21,2023-03-10,1.05000,1.05100,0.99000,0.99000,15100
22,2023-03-09,1.05000,1.10000,1.00000,1.09000,22000
23,2023-03-08,1.04000,1.14800,1.04000,1.10000,5400
24,2023-03-07,1.11000,1.15000,1.09000,1.12000,4200
25,2023-03-06,1.12000,1.12000,1.02300,1.06000,10300
26,2023-03-03,1.14300,1.15000,1.11000,1.12000,3800
27,2023-03-02,1.10000,1.17100,1.10000,1.14600,1000
28,2023-03-01,1.20000,1.20000,1.14000,1.14000,4000
29,2023-02-28,1.25000,1.25200,1.15000,1.21000,9200
30,2023-02-27,1.10500,1.23000,1.10000,1.20000,5400
31,2023-02-24,1.08000,1.17200,1.07000,1.07000,4300
32,2023-02-23,1.07000,1.19500,1.07000,1.14000,4900
33,2023-02-22,1.14000,1.18000,1.08600,1.11000,3800
34,2023-02-21,1.32000,1.32000,1.14000,1.18000,21200
35,2023-02-17,1.08000,1.08000,1.08000,1.08000,1000
36,2023-02-16,1.16000,1.19000,1.01000,1.07000,12900
37,2023-02-15,1.08000,1.13500,1.08000,1.12000,1400
38,2023-02-14,1.18000,1.18000,1.08500,1.12000,5100
39,2023-02-13,1.09000,1.15000,1.08400,1.08400,5700
40,2023-02-10,1.12100,1.16500,1.12000,1.12000,4300
41,2023-02-09,1.16000,1.19500,1.10000,1.19500,14700
42,2023-02-08,1.27000,1.32700,1.15000,1.25000,15000
43,2023-02-07,1.21000,1.24500,1.09000,1.14000,34800
44,2023-02-06,1.24000,1.36000,1.12000,1.24000,94900
45,2023-02-03,1.13000,1.26000,1.13000,1.19000,12900
46,2023-02-02,1.30000,1.35000,1.21000,1.22000,10600
47,2023-02-01,1.42600,1.45000,1.19000,1.25000,76900
48,2023-01-31,1.45000,1.45000,1.19000,1.32000,15100
49,2023-01-30,1.16000,1.53900,1.09000,1.39000,86400
50,2023-01-27,1.10000,1.38000,1.04000,1.35000,84800
51,2023-01-26,1.25000,1.34000,1.12000,1.15000,308500
52,2023-01-25,1.05000,1.12100,1.03500,1.12000,21700
53,2023-01-24,1.00000,1.05000,1.00000,1.05000,6600
54,2023-01-23,1.07000,1.08000,1.00900,1.04000,6000
55,2023-01-20,1.07000,1.07000,1.07000,1.07000,1900
56,2023-01-19,1.08000,1.08000,1.02000,1.02000,7200
57,2023-01-18,1.06000,1.06000,1.06000,1.06000,1400
58,2023-01-17,1.07200,1.09000,1.05000,1.05000,2900
59,2023-01-13,1.00000,1.09200,1.00000,1.05500,3200
60,2023-01-12,1.05500,1.05500,1.02000,1.02000,1100
61,2023-01-11,0.99000,1.04900,0.99000,1.04500,2800
62,2023-01-10,1.10000,1.10000,0.99300,1.05000,7900
63,2023-01-09,0.99100,1.02600,0.99100,0.99100,13000
64,2023-01-06,0.97000,1.03000,0.97000,0.99000,12700
65,2023-01-05,1.01000,1.01000,0.96000,0.98000,900
66,2023-01-04,1.00000,1.05000,0.98500,0.98500,1900
67,2023-01-03,1.09000,1.09000,0.96000,0.96000,23800
68,2022-12-30,0.93000,0.99500,0.93000,0.96000,16800
69,2022-12-29,0.99000,1.00500,0.93000,0.95000,37100
70,2022-12-28,1.01000,1.02500,0.99000,0.99000,28500
71,2022-12-27,1.01000,1.05000,1.00700,1.04000,11100
72,2022-12-23,0.99000,1.06600,0.99000,1.01000,2800
73,2022-12-22,1.01000,1.11000,1.01000,1.04000,25600
74,2022-12-21,0.99000,1.10000,0.99000,1.01000,15200
75,2022-12-20,1.06000,1.06000,1.02000,1.02000,2100
76,2022-12-19,1.10000,1.10000,1.01400,1.07000,4600
77,2022-12-16,1.05000,1.14000,1.00000,1.13000,29800
78,2022-12-15,1.08000,1.14000,1.05000,1.05000,21400
79,2022-12-14,1.16900,1.18000,1.10000,1.12000,10300
80,2022-12-13,1.25000,1.25000,1.17000,1.19000,15000
81,2022-12-12,1.18000,1.26000,1.18000,1.22000,46000
82,2022-12-09,1.03000,1.20000,1.00500,1.18100,42500
83,2022-12-08,1.02000,1.11000,1.00000,1.00000,19700
84,2022-12-07,1.06800,1.10000,1.03000,1.06000,10700
85,2022-12-06,1.11000,1.12000,1.05000,1.06500,35600
86,2022-12-05,1.15000,1.15000,1.10000,1.12000,2400
87,2022-12-02,1.21000,1.21000,1.16000,1.16000,8600
88,2022-12-01,1.10000,1.19000,1.10000,1.19000,13600
89,2022-11-30,1.17000,1.21000,1.06000,1.08500,11600
90,2022-11-29,1.09000,1.20400,1.09000,1.20400,1400
91,2022-11-28,1.08000,1.24000,1.05000,1.23000,5300
92,2022-11-25,1.25000,1.25000,1.25000,1.25000,100
93,2022-11-23,1.25000,1.28000,1.18000,1.28000,4200
94,2022-11-22,1.26000,1.26000,1.19100,1.23000,4300
95,2022-11-21,1.34000,1.35500,1.15800,1.26000,7800
96,2022-11-18,1.39000,1.39000,1.22700,1.29000,12100
97,2022-11-17,1.35000,1.39000,1.30000,1.30000,9300
98,2022-11-16,1.57000,1.57300,1.33300,1.39000,20500
99,2022-11-15,1.75000,1.75000,1.39000,1.59000,176000
100,2022-11-14,1.54000,1.60000,1.40400,1.59000,118200
101,2022-11-11,1.41000,1.45000,1.32000,1.42000,32200
102,2022-11-10,1.06000,1.60000,1.06000,1.50000,172800
