,datetime,open,high,low,close,volume
0,2023-04-11,27.10000,27.61000,27.10000,27.20000,297400
1,2023-04-10,26.28000,27.01000,26.21000,26.98000,275200
2,2023-04-06,25.96000,26.45000,25.93000,26.33000,208800
3,2023-04-05,26.23000,26.46000,25.90000,25.97000,277200
4,2023-04-04,26.69000,26.71000,25.87000,26.27000,289500
5,2023-04-03,26.21000,26.70000,26.21000,26.64000,336800
6,2023-03-31,25.82000,26.41000,25.81000,26.32000,480600
7,2023-03-30,25.90000,25.96000,24.94000,25.74000,353200
8,2023-03-29,25.76000,26.09000,25.05000,25.71000,419900
9,2023-03-28,25.40000,25.49000,24.99000,25.20000,344100
10,2023-03-27,25.38000,25.70000,25.23000,25.47000,266600
11,2023-03-24,24.51000,25.28000,24.43000,25.17000,470300
12,2023-03-23,24.57000,25.00000,24.43000,24.67000,311200
13,2023-03-22,24.96000,25.15000,24.45000,24.45000,372000
14,2023-03-21,24.98000,25.24000,24.89000,25.02000,365700
15,2023-03-20,24.25000,24.69000,24.12000,24.45000,367800
16,2023-03-17,23.83000,24.27000,23.66000,23.97000,1064400
17,2023-03-16,23.05000,24.33000,22.87000,24.13000,471900
18,2023-03-15,23.29000,23.65000,23.04000,23.48000,786600
19,2023-03-14,24.01000,24.19000,23.16000,23.88000,637700
20,2023-03-13,23.96000,24.14000,23.46000,23.51000,654000
21,2023-03-10,24.91000,25.16000,24.31000,24.36000,526800
22,2023-03-09,26.38000,26.59000,25.14000,25.15000,350294
23,2023-03-08,26.33000,26.68000,26.30000,26.61000,271200
24,2023-03-07,27.13000,27.22000,26.49000,26.52000,441000
25,2023-03-06,27.87000,28.30000,27.07000,27.12000,749600
26,2023-03-03,29.05000,29.05000,27.77000,27.92000,567400
27,2023-03-02,28.47000,29.14000,28.42000,29.05000,961200
28,2023-03-01,28.61000,28.81000,28.32000,28.50000,574000
29,2023-02-28,29.45000,29.65000,28.52000,28.59000,3462200
30,2023-02-27,29.60000,29.93000,29.35000,29.66000,1648800
31,2023-02-24,29.30000,29.41000,29.06500,29.31000,1293072
32,2023-02-23,29.50000,29.64000,29.29000,29.42000,1868100
33,2023-02-22,29.70000,29.78000,29.22000,29.26000,1709600
34,2023-02-21,29.73000,29.95000,29.05000,29.69000,1545500
35,2023-02-17,29.91000,30.23000,29.71000,29.91000,1062400
36,2023-02-16,28.98000,29.70000,28.80000,29.64000,1225800
37,2023-02-15,28.94000,29.65000,28.94000,29.37000,640400
38,2023-02-14,28.92000,29.37000,28.91000,29.27000,574200
39,2023-02-13,28.93000,29.22000,28.83000,29.05000,464700
40,2023-02-10,29.18000,29.29000,28.91000,28.92000,438300
41,2023-02-09,29.43000,29.76000,29.20000,29.23000,432500
42,2023-02-08,28.90000,29.50000,28.90000,29.41000,580800
43,2023-02-07,28.75000,29.24000,28.75000,29.19000,517000
44,2023-02-06,28.73000,28.93000,28.71000,28.79000,426600
45,2023-02-03,28.61000,29.30000,28.51000,29.02000,587900
46,2023-02-02,29.10000,29.37000,28.74000,28.90000,568800
47,2023-02-01,29.13000,29.26000,29.00000,29.10000,953900
48,2023-01-31,29.03000,29.45000,28.88000,29.14000,2289300
49,2023-01-30,29.25000,29.51000,28.93000,29.04000,1217500
50,2023-01-27,30.00000,30.22000,28.81000,29.35000,1674900
51,2023-01-26,26.84000,27.97000,26.84000,27.28000,187900
52,2023-01-25,27.15000,27.38000,27.09000,27.19000,262400
53,2023-01-24,27.39000,27.75000,27.03000,27.27000,365600
54,2023-01-23,27.25000,27.45000,27.18000,27.32000,515900
55,2023-01-20,27.00000,27.25000,26.84000,27.24000,393400
56,2023-01-19,26.77000,27.02000,26.63000,26.80000,326800
57,2023-01-18,27.05000,27.05000,26.53000,26.90000,388400
58,2023-01-17,27.03000,27.32000,26.93000,27.00000,329100
59,2023-01-13,27.09000,27.43000,26.95000,27.08000,401800
60,2023-01-12,26.91000,27.23000,26.68000,27.22000,234700
61,2023-01-11,26.61000,26.94000,25.43000,26.71000,320200
62,2023-01-10,26.27000,26.60000,26.08000,26.58000,171600
63,2023-01-09,26.50000,26.65000,26.17000,26.26000,278500
64,2023-01-06,26.02000,26.48000,25.78000,26.33000,178100
65,2023-01-05,25.72000,25.89000,25.19000,25.72000,155900
66,2023-01-04,25.55000,25.81000,25.43000,25.72000,247200
67,2023-01-03,25.49000,25.91000,25.14000,25.34000,449300
68,2022-12-30,25.02000,25.71000,25.02000,25.53000,415200
69,2022-12-29,25.05000,25.42000,24.70000,25.41000,228700
70,2022-12-28,25.00000,25.24000,24.91000,24.92000,177900
71,2022-12-27,25.19000,25.37000,24.63000,25.01000,202800
72,2022-12-23,25.38000,25.57000,24.97000,25.28000,217900
73,2022-12-22,25.48000,25.60000,24.73000,25.23000,304200
74,2022-12-21,25.54000,26.10000,24.72000,25.59000,354300
75,2022-12-20,24.70000,25.90000,24.36000,25.34000,557100
76,2022-12-19,22.65000,22.72000,22.47000,22.56000,269400
77,2022-12-16,22.65000,22.88000,22.33000,22.59000,1390800
78,2022-12-15,23.26000,23.26000,22.76000,22.96000,274500
79,2022-12-14,23.73000,23.97000,23.35000,23.55000,198900
80,2022-12-13,24.32000,24.32000,23.62000,23.74000,304200
81,2022-12-12,23.18000,23.76000,23.02000,23.67000,231500
82,2022-12-09,23.45000,23.46000,23.11000,23.14000,173500
83,2022-12-08,24.11000,24.16000,23.41000,23.58000,232300
84,2022-12-07,24.22000,24.39000,23.97000,24.05000,162000
85,2022-12-06,24.05000,24.35000,23.93000,24.32000,429300
86,2022-12-05,24.84000,24.84000,24.00000,24.11000,245000
87,2022-12-02,24.84000,25.04000,24.78000,24.91000,140100
88,2022-12-01,25.09000,25.14000,24.84000,25.06000,296100
89,2022-11-30,24.72000,25.11000,24.39000,25.05000,414600
90,2022-11-29,23.75000,24.76000,23.75000,24.75000,216800
91,2022-11-28,24.25000,24.61000,24.18000,24.47000,221300
92,2022-11-25,24.39000,24.59000,24.29000,24.34000,72300
93,2022-11-23,24.26000,24.57000,24.01000,24.31000,180600
94,2022-11-22,24.31000,24.55000,24.09000,24.30000,329700
95,2022-11-21,23.76000,24.32000,23.75000,24.19000,164800
96,2022-11-18,24.16000,24.30000,23.74000,23.88000,259100
97,2022-11-17,24.18000,24.18000,23.60000,23.95000,252200
98,2022-11-16,24.02000,24.30000,23.80000,24.02000,211400
99,2022-11-15,23.96000,24.32000,23.86000,24.16000,255700
100,2022-11-14,23.98000,24.11000,23.57000,23.60000,326800
101,2022-11-11,24.48000,24.93000,24.01000,24.02000,424700
102,2022-11-10,24.43000,24.78000,24.11000,24.51000,436800
103,2022-11-09,23.82000,24.10000,23.25000,23.50000,331900
104,2022-11-08,23.50000,24.01000,23.28000,24.00000,409300
105,2022-11-07,22.73000,23.50000,22.72000,23.45000,321100
106,2022-11-04,22.23000,22.88000,22.20000,22.76000,449600
107,2022-11-03,22.30000,22.77000,22.05000,22.11000,363400
108,2022-11-02,23.55000,23.97000,22.49000,22.51000,678400
109,2022-11-01,26.10000,27.50000,23.35000,23.37000,1222600
110,2022-10-31,22.00000,22.88000,22.00000,22.03000,778200
111,2022-10-28,21.83000,22.48000,21.65000,22.17000,337400
112,2022-10-27,21.95000,22.35000,21.81000,21.83000,253100
113,2022-10-26,21.50000,21.92000,21.34000,21.68000,214400
114,2022-10-25,20.69000,21.62000,20.69000,21.54000,205800
115,2022-10-24,20.72000,20.96000,20.56000,20.82000,202000
116,2022-10-21,20.29000,20.80000,20.24000,20.75000,209900
117,2022-10-20,20.21000,20.57000,20.07000,20.16000,144400
118,2022-10-19,20.14000,20.46000,20.06000,20.25000,121200
119,2022-10-18,20.40000,20.71000,20.18000,20.39000,168500
120,2022-10-17,19.41000,20.07000,19.41000,20.04000,165100
121,2022-10-14,20.12000,20.27000,19.19000,19.21000,225200
122,2022-10-13,18.34000,20.04000,17.94000,19.98000,364600
123,2022-10-12,19.07000,19.17000,18.66000,18.71000,294500
124,2022-10-11,20.59000,20.59000,18.61000,19.07000,567200
125,2022-10-10,20.39000,20.87000,20.21000,20.75000,306000
126,2022-10-07,20.69000,20.76000,20.20000,20.37000,175800
127,2022-10-06,20.94000,21.04000,20.70000,20.86000,160900
128,2022-10-05,20.22000,21.03000,20.11000,21.03000,200500
129,2022-10-04,19.95000,20.56000,19.95000,20.52000,366700
130,2022-10-03,19.53000,19.67000,19.29000,19.62000,267400
131,2022-09-30,19.43000,19.83000,19.32000,19.34000,452400
132,2022-09-29,19.63000,19.65000,19.05000,19.43000,223200
133,2022-09-28,19.63000,19.97000,19.40000,19.88000,297500
134,2022-09-27,19.47000,19.88000,19.26000,19.61000,220300
135,2022-09-26,18.95000,19.57000,18.95000,19.23000,242800
136,2022-09-23,18.71000,19.10000,18.50000,19.09000,346300
137,2022-09-22,19.36000,19.36000,18.70000,18.92000,430000
138,2022-09-21,19.61000,19.92000,19.34000,19.40000,201900
139,2022-09-20,19.64000,19.65000,19.25000,19.50000,207900
140,2022-09-19,19.15000,19.77000,18.95000,19.74000,137300
141,2022-09-16,19.64000,19.72000,19.11000,19.30000,344500
142,2022-09-15,19.91000,20.06000,19.74000,19.80000,228700
143,2022-09-14,20.03000,20.03000,19.63000,19.96000,189000
144,2022-09-13,20.17000,20.41000,19.92000,20.03000,199300
145,2022-09-12,20.64000,21.00000,20.58000,20.64000,315600
146,2022-09-09,20.82000,20.92000,20.58000,20.59000,473700
147,2022-09-08,20.30000,20.65000,20.11000,20.63000,136400
148,2022-09-07,19.83000,20.90000,19.66000,20.50000,194400
149,2022-09-06,20.01000,20.11000,19.40000,19.94000,190100
150,2022-09-02,20.15000,20.28000,19.78000,19.99000,270500
151,2022-09-01,19.97000,20.08000,19.56000,19.91000,246300
152,2022-08-31,20.35000,20.40000,20.07000,20.08000,194200
153,2022-08-30,20.34000,20.65000,19.98000,20.27000,182600
154,2022-08-29,20.85000,21.00000,20.46000,20.49000,151300
155,2022-08-26,21.70000,21.99000,20.93000,21.02000,269800
156,2022-08-25,21.61000,21.80000,21.51000,21.70000,265400
157,2022-08-24,21.64000,21.68000,21.51000,21.58000,140300
158,2022-08-23,21.80000,22.15000,21.48000,21.61000,154800
159,2022-08-22,22.41000,22.56000,21.85000,21.87000,159800
160,2022-08-19,23.04000,23.26000,22.70000,22.74000,334000
161,2022-08-18,22.96000,23.36000,22.74000,23.22000,198500
162,2022-08-17,22.51000,22.95000,22.36000,22.87000,226300
