,datetime,open,high,low,close,volume
0,2023-04-11,28.02000,28.75000,27.95770,28.71000,58295054
1,2023-04-10,27.67000,28.10000,27.65000,27.94000,40572700
2,2023-04-06,27.72000,28.01000,27.62000,27.84000,41216600
3,2023-04-05,27.66000,27.91000,27.46000,27.64000,47799400
4,2023-04-04,28.55000,28.65000,27.66000,27.98000,56233300
5,2023-04-03,28.64000,28.98000,28.33000,28.59000,51996800
6,2023-03-31,28.62000,28.68000,28.26000,28.60000,56417400
7,2023-03-30,28.92000,29.06000,28.11000,28.30000,67427100
8,2023-03-29,28.49000,28.77000,28.24000,28.67000,62666400
9,2023-03-28,28.38000,28.65000,27.98000,28.12000,63416500
10,2023-03-27,27.93000,28.65000,27.91000,28.49000,102469800
11,2023-03-24,26.60000,27.29000,26.32000,27.14000,96872700
12,2023-03-23,28.00000,28.09000,26.79000,26.97000,105335900
13,2023-03-22,28.71000,28.74000,27.64000,27.64000,76925900
14,2023-03-21,28.63000,28.98000,28.51000,28.59000,84854800
15,2023-03-20,28.24000,28.43000,27.65000,27.75000,81441200
16,2023-03-17,28.66000,28.66000,27.62000,27.82000,130379700
17,2023-03-16,28.38000,29.47000,28.11000,28.97000,108348800
18,2023-03-15,27.88000,28.56000,27.68000,28.49000,131104400
19,2023-03-14,29.99000,30.09000,28.47000,28.76000,154255800
20,2023-03-13,28.92000,29.72000,27.87000,28.51000,218403300
21,2023-03-10,30.32000,31.04000,28.92000,30.27000,165195300
22,2023-03-09,32.28000,32.39000,30.31000,30.54000,112457900
23,2023-03-08,32.66000,32.97000,32.44000,32.56000,40045600
24,2023-03-07,33.85000,33.90000,32.80000,33.00000,52855300
25,2023-03-06,34.24000,34.56000,33.99000,34.09000,36646700
26,2023-03-03,33.65000,34.29000,33.65000,34.16000,38597384
27,2023-03-02,33.66000,33.70000,33.00000,33.49000,44247188
28,2023-03-01,34.15000,34.49000,33.98000,34.14000,29166500
29,2023-02-28,34.35000,34.48850,34.18000,34.30000,32620620
30,2023-02-27,34.45000,34.69000,34.16500,34.21000,30137548
31,2023-02-24,33.86000,34.28970,33.84000,34.21000,27046644
32,2023-02-23,34.40000,34.60000,33.85940,34.26000,28487972
33,2023-02-22,34.36000,34.55000,34.07000,34.29000,38550420
34,2023-02-21,34.91000,35.05000,34.27000,34.52000,37068852
35,2023-02-17,35.08000,35.39000,34.74500,35.35000,28562700
36,2023-02-16,35.42000,35.66010,35.22000,35.28000,22455266
37,2023-02-15,35.32000,35.61000,35.16000,35.56000,23357002
38,2023-02-14,35.63000,35.99000,35.46000,35.62000,33625200
39,2023-02-13,35.48000,35.78000,35.39000,35.65000,29115454
40,2023-02-10,35.55000,35.59000,35.03000,35.58000,32742120
41,2023-02-09,36.27000,36.35000,35.56000,35.72000,34771056
42,2023-02-08,36.41000,36.84000,36.34000,36.50000,27434046
43,2023-02-07,36.17000,37.00000,36.13000,36.77000,43719132
44,2023-02-06,36.25000,36.44000,35.98000,36.37000,29047928
45,2023-02-03,36.02000,36.76000,35.90000,36.43000,37411680
46,2023-02-02,36.10000,36.37860,35.43500,36.13000,33392916
47,2023-02-01,35.20000,36.26000,35.11000,35.92000,44107092
48,2023-01-31,35.17000,35.48000,35.00000,35.48000,38917436
49,2023-01-30,35.21000,35.56000,35.18000,35.30000,27067932
50,2023-01-27,35.44000,35.77500,35.26500,35.45000,29964908
51,2023-01-26,35.05000,35.35000,34.79000,35.34000,28788176
52,2023-01-25,34.30000,34.96000,34.25000,34.87000,28657076
53,2023-01-24,34.22000,34.79000,33.95000,34.57000,26017456
54,2023-01-23,33.81000,34.51000,33.75000,34.32000,33218572
55,2023-01-20,33.30000,33.89000,33.08500,33.85000,45004364
56,2023-01-19,33.28500,33.55000,32.89000,33.23000,42304648
57,2023-01-18,34.33000,34.34000,33.51000,33.72000,53824888
58,2023-01-17,34.69000,34.83000,34.15000,34.52000,56241216
59,2023-01-13,34.20000,35.39000,33.09000,35.23000,89667816
60,2023-01-12,34.60000,34.87000,34.36000,34.47000,43718848
61,2023-01-11,34.12000,34.44000,34.00000,34.38000,36588688
62,2023-01-10,33.74000,34.26500,33.64000,34.12000,34957512
63,2023-01-09,34.75000,34.76010,33.71000,33.89000,41905480
64,2023-01-06,34.09000,34.58000,33.54000,34.41000,34068732
65,2023-01-05,33.92000,34.14000,33.58000,34.07000,34087040
66,2023-01-04,33.90000,34.81990,33.83000,34.14000,39929664
67,2023-01-03,33.23000,34.09000,33.21000,33.51000,35032384
68,2022-12-30,33.10000,33.30000,32.86000,33.12000,28198916
69,2022-12-29,32.89000,33.16000,32.75000,33.14000,21875520
70,2022-12-28,32.57000,32.97000,32.53500,32.77000,30412272
71,2022-12-27,32.50000,32.67000,32.27500,32.53000,21999724
72,2022-12-23,32.40000,32.58000,32.19000,32.47000,21378584
73,2022-12-22,32.52000,32.58000,31.87150,32.39000,30075904
74,2022-12-21,32.52000,32.87000,32.41000,32.68000,29345596
75,2022-12-20,32.40000,32.58000,32.14000,32.19000,35356492
76,2022-12-19,31.76000,32.23000,31.73000,32.06000,38044296
77,2022-12-16,31.62000,31.93000,31.35000,31.70000,61795196
78,2022-12-15,31.75000,31.99000,31.49000,31.77000,48601628
79,2022-12-14,32.80000,33.00000,32.16340,32.28000,48819480
80,2022-12-13,33.55000,33.67000,32.56500,32.75000,52620632
81,2022-12-12,32.31000,32.78000,32.06000,32.73000,37530344
82,2022-12-09,32.11000,32.60140,32.08000,32.38000,36985544
83,2022-12-08,32.96500,32.99000,32.18000,32.44000,45189084
84,2022-12-07,32.59000,32.92000,32.35000,32.74000,48099172
85,2022-12-06,34.57000,34.68000,32.40500,33.00000,83130168
86,2022-12-05,35.81000,35.89000,34.14000,34.47000,70563336
87,2022-12-02,36.06000,36.29000,35.81000,36.08000,42295328
88,2022-12-01,37.50000,37.69000,36.40000,36.55000,46213200
89,2022-11-30,36.90000,37.85000,36.20000,37.85000,51747856
90,2022-11-29,36.98000,37.15000,36.72000,37.00000,27048796
91,2022-11-28,37.40000,37.66000,36.83000,36.86000,35446544
92,2022-11-25,37.72000,37.86500,37.56000,37.70000,16118501
93,2022-11-23,37.49000,37.66000,37.37000,37.61000,18934684
94,2022-11-22,37.59000,37.80000,37.43000,37.49000,23499320
95,2022-11-21,37.09000,37.52000,37.06000,37.31000,27935744
96,2022-11-18,37.79000,37.85000,36.92000,37.19000,32041752
97,2022-11-17,36.88000,37.20000,36.56000,37.17000,23693420
98,2022-11-16,37.61000,37.73500,37.20000,37.36000,23813032
99,2022-11-15,38.19000,38.30000,37.29500,37.70000,46082832
100,2022-11-14,38.09000,38.26000,37.75000,37.76000,35541396
101,2022-11-11,38.19000,38.60000,37.96500,38.41000,35688704
102,2022-11-10,37.30000,38.22000,37.14000,38.13000,45702792
103,2022-11-09,36.88000,36.96190,36.39000,36.52000,30164384
104,2022-11-08,37.09000,37.42500,36.75000,37.11000,32664336
105,2022-11-07,37.01000,37.34000,36.73000,37.01000,37533672
106,2022-11-04,36.50000,37.00000,36.22000,36.79000,39369360
107,2022-11-03,35.70000,36.14000,35.41000,35.89000,30046472
108,2022-11-02,36.07000,37.27500,35.95000,36.09000,57380608
109,2022-11-01,36.44000,36.76000,36.11000,36.20000,29913152
110,2022-10-31,36.00000,36.33000,35.81000,36.04000,32565540
111,2022-10-28,36.04000,36.30000,35.64000,36.18000,31659108
112,2022-10-27,36.15000,36.37000,35.77000,35.87000,35261848
