,datetime,open,high,low,close,volume
0,2023-04-11,14.13000,14.55000,14.07000,14.18000,440600
1,2023-04-10,14.06000,14.31000,13.80000,14.15000,287300
2,2023-04-06,14.48000,14.48000,14.13000,14.27000,251200
3,2023-04-05,14.73000,14.73000,14.15000,14.44000,262400
4,2023-04-04,14.94000,14.94000,14.56000,14.82000,308900
5,2023-04-03,15.19000,15.37800,14.55000,14.81000,398800
6,2023-03-31,14.84000,15.48000,14.75000,15.20000,748800
7,2023-03-30,15.23000,15.38000,14.60000,14.84000,337800
8,2023-03-29,15.00000,15.35000,14.91000,15.08000,521500
9,2023-03-28,14.59000,14.67000,14.31000,14.58000,319800
10,2023-03-27,14.51000,14.90800,14.28000,14.78000,491800
11,2023-03-24,14.75000,14.90000,14.27000,14.37000,324300
12,2023-03-23,15.43000,15.78000,14.64000,14.81000,597200
13,2023-03-22,15.76000,16.03000,15.13000,15.14000,505700
14,2023-03-21,15.23000,15.72000,15.23000,15.65000,672900
15,2023-03-20,15.25000,15.36000,14.75000,15.16000,543900
16,2023-03-17,15.46000,15.46000,14.78000,15.18000,766800
17,2023-03-16,15.13000,15.82000,15.03000,15.50000,795200
18,2023-03-15,13.97000,15.47000,13.72000,15.40000,1164500
19,2023-03-14,14.50000,14.90000,14.12000,14.30000,507900
20,2023-03-13,14.18000,14.62000,13.75000,14.12000,713200
21,2023-03-10,14.99000,15.04000,14.16000,14.38000,669200
22,2023-03-09,15.58000,15.84200,14.99000,15.11000,929900
23,2023-03-08,16.17000,16.55000,15.52000,15.76000,901200
24,2023-03-07,16.15000,16.20000,15.46000,15.75000,486000
25,2023-03-06,16.22000,16.41000,15.80000,16.14000,872700
26,2023-03-03,15.98000,16.30500,15.68000,16.02000,677700
27,2023-03-02,15.08000,16.39000,14.91000,15.88000,871900
28,2023-03-01,16.45000,17.50000,15.08000,15.37000,1296700
29,2023-02-28,15.54000,16.10000,15.54000,15.90000,733000
30,2023-02-27,15.73000,16.30000,15.45500,15.57000,1024500
31,2023-02-24,16.77000,17.17000,15.27000,15.34000,2024400
32,2023-02-23,19.89000,21.68000,16.68000,17.40000,2851000
33,2023-02-22,23.59000,24.66000,23.54000,23.83000,762500
34,2023-02-21,25.16000,25.79000,23.30000,23.43000,1215600
35,2023-02-17,25.84000,26.06000,24.93000,25.99000,549000
36,2023-02-16,26.03000,27.94000,25.68000,26.26000,1011900
37,2023-02-15,24.72000,27.17000,24.50000,26.50000,1396100
38,2023-02-14,24.63000,25.85000,24.02000,24.92000,248000
39,2023-02-13,24.56000,25.20000,23.88000,24.87000,305400
40,2023-02-10,25.51000,25.51000,23.84000,24.48000,619300
41,2023-02-09,26.67000,27.40000,25.84000,25.99000,438700
42,2023-02-08,27.05000,27.29000,25.85000,26.02000,394300
43,2023-02-07,26.49000,27.30000,25.57000,27.11000,440000
44,2023-02-06,27.11000,27.19000,25.60000,26.50000,434600
45,2023-02-03,24.99000,29.07000,24.79100,27.50000,1025200
46,2023-02-02,25.89000,27.30000,25.32000,25.98000,930800
47,2023-02-01,25.06000,25.44000,23.78500,25.08000,442500
48,2023-01-31,23.41000,24.89000,22.90000,24.88000,534700
49,2023-01-30,23.63000,24.10000,22.91000,23.30000,481600
50,2023-01-27,22.80000,24.33000,22.80000,24.04000,625300
51,2023-01-26,23.17000,23.76000,22.30000,22.98000,605200
52,2023-01-25,23.15000,23.27000,21.47000,22.61000,521600
53,2023-01-24,22.47000,24.00000,22.33000,23.71000,444200
54,2023-01-23,22.10000,23.12000,21.75000,23.03000,438100
55,2023-01-20,20.92000,22.03000,20.35300,21.89000,398500
56,2023-01-19,20.26000,21.25000,20.19000,20.62000,438800
57,2023-01-18,20.52000,21.13000,20.27000,20.78000,671100
58,2023-01-17,22.76000,23.38000,19.82000,19.88000,1038100
59,2023-01-13,22.80000,23.99000,22.56000,23.58000,344000
60,2023-01-12,22.67000,23.68000,22.32000,23.40000,639800
61,2023-01-11,22.31000,22.93000,21.55000,22.52000,685000
62,2023-01-10,21.78000,22.58000,21.77000,22.16000,301600
63,2023-01-09,22.45000,23.18000,21.96500,22.06000,272800
64,2023-01-06,21.54000,22.30000,20.69000,21.77000,356200
65,2023-01-05,22.73000,22.92000,21.41000,21.43000,276800
66,2023-01-04,22.58000,23.75000,22.45000,23.01000,425500
67,2023-01-03,23.60000,24.09000,21.15000,22.22000,624400
68,2022-12-30,22.54000,23.24000,22.34000,22.95000,523500
69,2022-12-29,23.06000,23.68000,22.96000,23.26000,357800
70,2022-12-28,22.36000,23.08000,21.78000,22.64000,356700
71,2022-12-27,23.38000,23.76000,22.12000,22.42000,588000
72,2022-12-23,24.23000,24.29000,23.31000,23.70000,341200
73,2022-12-22,24.50000,24.60800,23.02000,24.09000,612200
74,2022-12-21,25.25000,25.91900,24.47000,24.83000,433900
75,2022-12-20,24.17000,25.69000,24.13000,25.00000,509500
76,2022-12-19,25.84000,25.99000,24.14000,24.74000,463200
77,2022-12-16,24.69000,26.66000,24.17000,25.97000,694800
78,2022-12-15,25.02000,25.85000,24.86000,25.00000,546500
79,2022-12-14,25.58000,26.98000,25.04000,25.67000,678600
80,2022-12-13,26.47000,26.74000,24.97000,25.62000,531900
81,2022-12-12,24.83000,26.24000,24.43000,25.04000,628800
82,2022-12-09,25.17000,25.46800,24.50000,24.88000,529200
83,2022-12-08,22.36000,25.46000,22.08000,25.41000,1236600
84,2022-12-07,22.00000,22.40000,21.21000,21.94000,319300
85,2022-12-06,22.10000,22.10000,20.91000,21.69000,368300
86,2022-12-05,23.41000,23.51000,21.81000,21.89000,495400
87,2022-12-02,22.55000,23.67000,21.65000,23.53000,488000
