,datetime,open,high,low,close,volume
0,2023-04-11,128.09000,128.85001,127.40000,127.51000,64588
1,2023-04-10,124.72000,127.74000,124.30000,127.39000,81800
2,2023-04-06,124.98000,125.77000,124.20000,125.72000,59000
3,2023-04-05,123.88000,125.73000,123.50000,125.48000,53700
4,2023-04-04,127.70000,127.70000,123.03000,124.39000,73600
5,2023-04-03,126.83000,127.06000,124.59000,126.98000,73800
6,2023-03-31,125.70000,126.66000,119.47000,126.48000,112600
7,2023-03-30,125.71000,126.15000,123.72000,124.90000,72400
8,2023-03-29,126.05000,126.73000,124.77000,125.16000,63700
9,2023-03-28,123.52000,125.02000,122.99000,124.75000,88200
10,2023-03-27,124.31000,125.09000,123.17000,124.14000,61100
11,2023-03-24,120.19000,122.95000,118.60000,122.63000,97900
12,2023-03-23,123.28000,124.91000,120.88000,121.34000,114400
13,2023-03-22,126.77000,127.70000,123.16000,123.35000,115600
14,2023-03-21,129.10001,129.80000,126.88000,127.27000,107600
15,2023-03-20,126.84000,128.74001,126.17000,127.39000,115000
16,2023-03-17,128.06000,129.41000,124.55000,125.78000,360400
17,2023-03-16,125.24000,129.96001,125.24000,129.48000,101200
18,2023-03-15,125.46000,127.05000,124.40000,126.88000,117300
19,2023-03-14,127.46000,128.28000,125.00000,128.14000,82300
20,2023-03-13,122.98000,126.56000,122.01000,124.20000,98300
21,2023-03-10,126.44000,126.44000,123.81000,124.82000,83900
22,2023-03-09,129.42999,129.96001,127.00000,127.25000,98500
23,2023-03-08,128.37000,129.22000,127.70000,128.98000,77900
24,2023-03-07,128.56000,129.00000,126.60000,127.87000,76800
25,2023-03-06,132.28000,132.98000,127.94000,128.56000,123100
26,2023-03-03,131.57001,133.00000,130.64000,132.71001,66300
27,2023-03-02,131.92000,132.00000,130.63000,131.16000,72100
28,2023-03-01,129.71001,132.80000,129.71001,132.67000,117600
29,2023-02-28,130.87000,132.58000,129.96001,130.00000,112000
30,2023-02-27,131.62000,132.52000,128.75000,130.28999,126900
31,2023-02-24,132.64999,133.45000,129.91000,131.75999,103600
32,2023-02-23,134.53000,135.08000,131.62000,132.92000,75400
33,2023-02-22,134.13000,135.74001,132.17999,134.09000,132600
34,2023-02-21,136.35001,137.81000,133.23000,133.53000,116400
35,2023-02-17,135.39999,138.16000,131.00999,138.12000,93100
