,datetime,open,high,low,close,volume
0,2023-04-11,139.89000,140.06000,136.34000,136.69000,2502583
1,2023-04-10,140.44000,140.63000,137.86000,139.00000,3039800
2,2023-04-06,144.64000,146.27000,144.03000,144.99001,1546000
3,2023-04-05,148.14000,148.14000,142.64999,144.53999,2351800
4,2023-04-04,149.59000,151.03000,146.74001,148.57001,2235600
5,2023-04-03,150.00000,151.09000,148.53000,149.19000,1937100
6,2023-03-31,151.48000,152.07001,149.58000,150.92000,3042400
7,2023-03-30,154.50999,156.49001,152.06000,153.82001,3542400
8,2023-03-29,157.70000,158.80000,155.09000,157.95000,2354900
9,2023-03-28,157.00999,160.53000,156.39999,159.96001,4430800
10,2023-03-27,152.60001,153.86000,150.61000,152.73000,2917900
11,2023-03-24,154.34000,159.64999,154.34000,156.27000,5371100
12,2023-03-23,153.03000,154.28000,148.59000,150.91000,2838300
13,2023-03-22,150.09000,151.73000,147.89999,148.66000,1736300
14,2023-03-21,150.75000,152.60001,149.30000,151.75000,3071200
15,2023-03-20,144.42000,155.30000,144.23000,150.17999,5913700
16,2023-03-17,143.73000,147.39999,141.28000,146.84000,7683100
17,2023-03-16,126.50000,139.27000,126.33000,138.16000,8857300
18,2023-03-15,131.81000,133.70000,128.12000,133.10001,4169600
19,2023-03-14,133.50000,137.50000,132.50000,136.70000,2367700
20,2023-03-13,132.30000,135.89999,130.91000,133.64999,2433400
21,2023-03-10,131.50000,134.99001,130.87000,132.42000,3810100
22,2023-03-09,139.69000,139.69000,131.37000,131.46001,4345800
23,2023-03-08,140.95000,143.20000,140.35001,142.10001,1321300
24,2023-03-07,145.39000,146.97000,142.16000,142.64000,2811700
25,2023-03-06,150.64000,152.45000,148.58000,149.50999,3138700
26,2023-03-03,151.84000,154.66000,151.19000,153.46001,3469800
27,2023-03-02,143.50000,150.86000,143.17000,150.23000,3982800
28,2023-03-01,145.74001,146.24001,141.60001,143.66000,4946000
29,2023-02-28,138.21001,141.75999,137.61000,137.69000,3227400
30,2023-02-27,136.20000,140.28999,135.71001,139.36000,4217400
31,2023-02-24,131.12000,133.48000,130.99001,132.50999,4173900
32,2023-02-23,140.75000,141.20000,136.30000,137.94000,7422100
33,2023-02-22,150.00000,151.25000,134.17999,137.12000,12007000
34,2023-02-21,138.27000,141.57001,136.00000,140.82001,3478600
35,2023-02-17,143.49001,144.13000,140.00999,141.71001,3386400
36,2023-02-16,149.00000,151.34000,147.86000,149.00999,3545800
37,2023-02-15,153.06000,155.00000,150.80000,152.03999,4390100
38,2023-02-14,145.45000,149.42000,143.92999,149.07001,2774700
39,2023-02-13,145.57001,148.77000,145.03999,146.86000,5820700
40,2023-02-10,142.84000,144.75000,137.53999,138.99001,3332900
41,2023-02-09,154.47000,154.50000,146.66000,148.07001,3789500
42,2023-02-08,157.00000,157.25000,150.94000,152.34000,4929400
43,2023-02-07,159.14999,160.88000,154.28000,160.22000,14472500
44,2023-02-06,142.02000,143.50000,138.39999,142.82001,4750900
45,2023-02-03,148.00000,149.92999,142.31000,143.06000,3521100
46,2023-02-02,154.64999,155.73000,149.58000,151.28999,4396400
47,2023-02-01,145.05000,154.86000,145.00000,152.25000,11831400
48,2023-01-31,136.00000,138.94000,132.88000,134.67999,2879400
49,2023-01-30,140.64999,142.41000,135.37000,138.48000,5476800
50,2023-01-27,139.67000,140.00000,136.39000,139.03999,1832900
51,2023-01-26,137.23000,138.74001,135.88000,138.42999,1670000
52,2023-01-25,131.99001,134.61000,131.00999,134.23000,989000
53,2023-01-24,134.24001,135.39000,132.50999,132.78999,2095600
54,2023-01-23,136.00000,137.07001,134.35001,136.34000,1327500
55,2023-01-20,133.42000,136.35001,132.25999,135.75000,3563500
56,2023-01-19,126.98000,130.12000,126.81000,128.17999,1996900
57,2023-01-18,131.49001,131.80000,125.77000,125.92000,3435900
58,2023-01-17,135.46001,135.46001,128.64999,130.62000,5093300
