,datetime,open,high,low,close,volume
0,2023-04-11,6.85000,6.99000,6.75000,6.95000,611200
1,2023-04-10,6.82000,6.99000,6.66000,6.86000,655800
2,2023-04-06,6.42000,6.94000,6.42000,6.80000,940800
3,2023-04-05,6.94000,6.99000,6.38000,6.46000,781400
4,2023-04-04,6.96000,7.14000,6.88000,6.88000,720000
5,2023-04-03,7.17000,7.27000,6.89000,6.94000,890700
6,2023-03-31,7.33000,7.44000,7.09000,7.20000,848400
7,2023-03-30,7.29000,7.50000,7.16000,7.30000,511100
8,2023-03-29,7.18000,7.37000,6.99000,7.25000,731400
9,2023-03-28,7.17000,7.30000,7.05000,7.14000,592100
10,2023-03-27,7.54000,7.54000,7.16000,7.16000,793200
11,2023-03-24,7.51000,7.62000,7.43000,7.54000,540600
12,2023-03-23,7.86000,7.88000,7.37000,7.57000,582800
13,2023-03-22,7.80000,8.21000,7.62000,7.77000,1344100
14,2023-03-21,7.63000,7.79000,7.50000,7.72000,1346300
15,2023-03-20,7.56000,7.63000,7.39000,7.61000,1080400
16,2023-03-17,7.55000,7.58000,7.19000,7.52000,741900
17,2023-03-16,7.52000,7.70000,7.40000,7.50000,614100
18,2023-03-15,7.52000,7.64000,7.45000,7.59000,653400
19,2023-03-14,7.60000,7.70000,7.36000,7.60000,1133400
20,2023-03-13,7.52000,7.69000,7.31000,7.51000,956900
21,2023-03-10,7.58000,7.76000,7.42000,7.60000,838700
22,2023-03-09,7.69000,7.73000,7.53000,7.60000,545400
23,2023-03-08,7.92000,7.96000,7.56000,7.63000,469700
24,2023-03-07,7.58000,8.00000,7.52000,7.93000,505700
25,2023-03-06,7.73000,7.73000,7.50000,7.55000,173300
26,2023-03-03,7.57000,7.73000,7.57000,7.68000,123200
27,2023-03-02,7.73000,7.76000,7.53000,7.55000,299000
28,2023-03-01,7.72000,7.80000,7.62000,7.77000,456600
29,2023-02-28,7.50000,7.73000,7.49000,7.70000,385700
30,2023-02-27,7.43000,7.58000,7.42000,7.55000,466500
31,2023-02-24,7.50000,7.62000,7.33000,7.46000,496100
32,2023-02-23,7.58000,7.72000,7.50000,7.55000,434800
33,2023-02-22,7.51000,7.75000,7.45000,7.52000,307900
34,2023-02-21,7.81000,7.82000,7.52000,7.56000,447000
35,2023-02-17,7.68000,7.85000,7.61000,7.83000,144100
36,2023-02-16,7.85000,7.88000,7.65000,7.75000,624200
37,2023-02-15,7.75000,7.98000,7.70000,7.82000,770800
38,2023-02-14,8.01000,8.08000,7.75000,7.79000,1034800
39,2023-02-13,8.29000,8.41000,8.00000,8.02000,466900
40,2023-02-10,8.21000,8.33000,7.94000,8.27000,422200
41,2023-02-09,8.26000,8.27000,7.99000,8.21000,588400
42,2023-02-08,8.22000,8.26000,8.00000,8.21000,508100
43,2023-02-07,7.79000,8.26000,7.79000,8.23000,450000
44,2023-02-06,8.02000,8.11000,7.71000,7.81000,565900
45,2023-02-03,7.76000,8.22000,7.75000,8.11000,900900
46,2023-02-02,8.01000,8.29000,7.39000,7.82000,2863300
47,2023-02-01,7.82000,8.08000,7.82000,8.00000,573700
48,2023-01-31,7.98000,8.07000,7.82000,7.86000,579100
49,2023-01-30,8.03000,8.14000,7.75000,7.96000,1095800
50,2023-01-27,8.00000,8.20000,7.95000,8.10000,294300
51,2023-01-26,8.05000,8.16000,8.01000,8.08000,357700
52,2023-01-25,7.98000,8.04000,7.83000,8.02000,221900
53,2023-01-24,7.93000,8.15000,7.89000,8.01000,566400
54,2023-01-23,7.93000,8.10000,7.81000,7.95000,343400
55,2023-01-20,7.51000,7.91000,7.45000,7.90000,508700
56,2023-01-19,7.55000,7.62000,7.48000,7.50000,739900
57,2023-01-18,7.92000,8.00000,7.56000,7.56000,610700
58,2023-01-17,8.07000,8.07000,7.88000,7.93000,313300
59,2023-01-13,7.75000,8.04000,7.73000,8.02000,520100
60,2023-01-12,7.33000,7.97000,7.31000,7.81000,917100
61,2023-01-11,7.39000,7.66000,7.31000,7.34000,993700
62,2023-01-10,7.56000,7.86000,7.30000,7.42000,873900
63,2023-01-09,8.06000,8.17000,7.56000,7.56000,854500
64,2023-01-06,8.35000,8.46000,8.07000,8.08000,653300
65,2023-01-05,8.45000,8.46000,8.25000,8.25000,551300
66,2023-01-04,8.57000,8.78000,8.49000,8.53000,461300
67,2023-01-03,8.21000,8.60000,8.06000,8.52000,1148500
68,2022-12-30,8.29000,8.31000,8.09000,8.22000,657500
69,2022-12-29,8.40000,8.43000,8.24000,8.32000,1335100
70,2022-12-28,8.56000,8.68000,8.07000,8.35000,630200
71,2022-12-27,8.84000,8.95000,8.50000,8.59000,485300
72,2022-12-23,8.99000,9.01000,8.80000,8.89000,264700
73,2022-12-22,8.69000,8.94000,8.64000,8.89000,421800
74,2022-12-21,8.69000,8.91000,8.63000,8.72000,623100
75,2022-12-20,8.84000,9.01000,8.62000,8.66000,661400
76,2022-12-19,9.37000,9.44000,8.85000,8.89000,404700
77,2022-12-16,9.53000,9.59000,8.92000,9.37000,755800
78,2022-12-15,9.61000,9.82000,9.33000,9.64000,444500
79,2022-12-14,9.84000,9.96000,9.64000,9.75000,256600
80,2022-12-13,10.30000,10.30000,9.72000,9.83000,151800
81,2022-12-12,9.85000,10.03000,9.77000,9.96000,318100
82,2022-12-09,9.90000,10.15000,9.79000,9.83000,345000
83,2022-12-08,9.77000,9.95000,9.68000,9.93000,264300
84,2022-12-07,9.68000,9.83000,9.65000,9.71000,332800
85,2022-12-06,10.02000,10.11000,9.65000,9.68000,337200
86,2022-12-05,10.17000,10.35000,9.95000,10.02000,552100
87,2022-12-02,9.74000,10.29000,9.57000,10.20000,427000
88,2022-12-01,9.86000,10.04000,9.73000,9.81000,468800
89,2022-11-30,9.17000,9.93000,9.11000,9.87000,746700
90,2022-11-29,9.31000,9.35000,9.00000,9.13000,573700
91,2022-11-28,9.05000,9.41000,9.05000,9.35000,364400
92,2022-11-25,9.16000,9.18000,9.00000,9.10000,135200
93,2022-11-23,9.26000,9.44000,9.10000,9.13000,506100
94,2022-11-22,9.01000,9.34000,8.98000,9.26000,567700
95,2022-11-21,9.00000,9.22000,8.99000,9.02000,673400
96,2022-11-18,9.44000,9.44000,9.00000,9.11000,840100
97,2022-11-17,9.29000,9.50000,9.13000,9.27000,696100
98,2022-11-16,9.08000,9.41000,8.95000,9.39000,613200
99,2022-11-15,9.26000,9.47000,8.96000,9.19000,944400
100,2022-11-14,9.34000,9.34000,8.88000,9.06000,511100
101,2022-11-11,8.84000,9.43000,8.73000,9.29000,1802800
102,2022-11-10,8.96000,9.20000,8.78000,8.81000,927600
