,datetime,open,high,low,close,volume
0,2023-04-11,4.73000,4.85000,4.64000,4.80000,43800
1,2023-04-10,4.50000,4.74000,4.50000,4.71000,47800
2,2023-04-06,4.58000,4.64000,4.49000,4.61000,82000
3,2023-04-05,4.80000,4.86000,4.56000,4.58000,119000
4,2023-04-04,4.86000,4.89000,4.76900,4.85000,94600
5,2023-04-03,5.05000,5.05000,4.81000,4.86000,94900
6,2023-03-31,4.89000,5.09000,4.85000,5.05000,103000
7,2023-03-30,4.89000,4.94000,4.85000,4.91000,63100
8,2023-03-29,4.92000,4.95000,4.86000,4.91000,53700
9,2023-03-28,4.95000,5.03000,4.76000,4.78000,48500
10,2023-03-27,4.97000,5.05000,4.81000,4.97000,72100
11,2023-03-24,4.83000,4.95500,4.80000,4.94000,56300
12,2023-03-23,4.83000,5.10000,4.73000,4.88000,70300
13,2023-03-22,4.90000,5.06500,4.80000,4.83000,75500
14,2023-03-21,4.77000,4.90500,4.61100,4.87000,127200
15,2023-03-20,4.67000,4.77000,4.54000,4.68000,76500
16,2023-03-17,4.83000,4.92000,4.61000,4.68000,98500
17,2023-03-16,4.78000,4.99000,4.62000,4.86000,62300
18,2023-03-15,4.85000,4.95000,4.73000,4.84000,82300
19,2023-03-14,5.02000,5.11900,4.83800,4.95000,100900
20,2023-03-13,4.59000,5.04000,4.40000,4.98000,128600
21,2023-03-10,4.90000,4.95000,4.63000,4.66000,124100
22,2023-03-09,5.13000,5.17000,4.90000,4.90000,91200
23,2023-03-08,5.44000,5.44000,5.15000,5.20000,62400
24,2023-03-07,5.54000,5.61000,5.39500,5.41000,54600
25,2023-03-06,5.81000,5.94900,5.46000,5.49000,65600
26,2023-03-03,5.60000,5.88000,5.59000,5.75000,97100
27,2023-03-02,5.50000,5.66500,5.39000,5.60000,73800
28,2023-03-01,5.60000,5.60000,5.39000,5.55000,66600
29,2023-02-28,5.49000,5.68000,5.43000,5.60000,127500
30,2023-02-27,5.59000,5.68000,5.52300,5.60000,138500
31,2023-02-24,5.62000,5.73000,5.48000,5.59000,268100
32,2023-02-23,5.76000,5.77500,5.64000,5.75000,136700
33,2023-02-22,5.56000,5.90000,5.56000,5.75000,118700
34,2023-02-21,5.71000,5.81500,5.55500,5.61000,232000
35,2023-02-17,6.30000,6.40500,5.70000,5.75000,196100
36,2023-02-16,6.25600,6.77000,5.88000,6.42000,197900
37,2023-02-15,5.93000,6.25000,5.64000,6.16000,156600
38,2023-02-14,5.45000,5.90000,5.34000,5.64000,123000
39,2023-02-13,5.55000,5.78600,5.39000,5.45000,76200
40,2023-02-10,5.75000,5.75000,5.35000,5.38000,87400
41,2023-02-09,6.57000,6.57000,5.70000,5.78000,117900
42,2023-02-08,6.50000,6.73000,6.27000,6.36000,145700
43,2023-02-07,6.96000,6.96000,6.38000,6.55000,106300
44,2023-02-06,7.15000,7.30000,6.87000,6.95000,93000
45,2023-02-03,7.44000,7.66500,7.06000,7.27000,120500
46,2023-02-02,7.41000,7.90000,7.24000,7.71000,167400
47,2023-02-01,7.12000,7.25000,6.86000,7.15000,160600
48,2023-01-31,6.90000,7.25000,6.87000,7.14000,53400
49,2023-01-30,7.15000,7.15000,6.83000,6.87000,61100
50,2023-01-27,7.20000,7.39000,7.15000,7.30000,44000
51,2023-01-26,7.29000,7.38500,7.19000,7.25000,39100
52,2023-01-25,7.55000,7.63000,6.67000,7.10000,318300
53,2023-01-24,7.67000,8.19000,7.59000,7.61000,71500
54,2023-01-23,7.54000,7.95000,7.33000,7.71000,88800
55,2023-01-20,7.11000,7.64000,7.10000,7.55000,99300
56,2023-01-19,7.10000,7.36000,7.04000,7.06000,83000
57,2023-01-18,7.66000,7.76300,7.08000,7.15000,48200
58,2023-01-17,7.70000,7.82000,7.42000,7.55000,83100
59,2023-01-13,7.09000,7.99000,7.09000,7.82000,95700
60,2023-01-12,6.98000,7.13000,6.62000,7.10000,77300
61,2023-01-11,6.96000,7.10000,6.86200,6.95000,86100
62,2023-01-10,7.30000,7.54000,6.84100,6.93000,111200
63,2023-01-09,7.50000,7.62100,7.25000,7.33000,132400
64,2023-01-06,7.35000,7.68000,7.25000,7.40000,167600
65,2023-01-05,6.44000,7.37200,6.32500,7.24000,224400
66,2023-01-04,6.24000,6.64000,6.24000,6.47000,64100
67,2023-01-03,6.16000,6.24000,6.12100,6.14000,78000
68,2022-12-30,5.58000,6.20500,5.58000,6.15000,232500
69,2022-12-29,5.39000,5.77500,5.39000,5.74000,114300
70,2022-12-28,5.38000,5.51000,5.38000,5.38000,90500
71,2022-12-27,5.63000,5.63000,5.38000,5.38000,89000
72,2022-12-23,5.38000,5.74000,5.38000,5.67000,78700
73,2022-12-22,5.31000,5.41000,5.30000,5.39000,90500
74,2022-12-21,5.30000,5.39000,5.30000,5.31000,113700
75,2022-12-20,5.30000,5.60000,5.30000,5.32000,96900
76,2022-12-19,5.40000,5.41000,5.30000,5.30000,98900
77,2022-12-16,5.31000,5.45000,5.30000,5.33000,135100
78,2022-12-15,5.30000,5.51000,5.30000,5.30000,104400
79,2022-12-14,5.31000,5.40000,5.30000,5.33000,168500
80,2022-12-13,5.02000,5.54000,4.68000,5.42000,408100
81,2022-12-12,4.81000,4.98100,4.71300,4.91000,48600
82,2022-12-09,4.80000,5.00000,4.72300,4.87000,78700
83,2022-12-08,4.58000,4.79000,4.51200,4.75000,48100
84,2022-12-07,4.52000,4.55000,4.48000,4.49000,57200
85,2022-12-06,4.76000,4.76700,4.50000,4.63000,60700
86,2022-12-05,4.76000,4.79000,4.63300,4.75000,59900
87,2022-12-02,4.45000,4.92000,4.32500,4.85000,119400
88,2022-12-01,4.51000,4.67000,4.32000,4.48000,78300
89,2022-11-30,4.29000,4.50000,4.22900,4.47000,73100
90,2022-11-29,4.26000,4.34000,4.17000,4.29000,53200
91,2022-11-28,4.10000,4.33000,4.05000,4.25000,120800
92,2022-11-25,4.15000,4.23700,4.05000,4.05000,43700
93,2022-11-23,3.90000,4.28000,3.90000,4.24000,163100
94,2022-11-22,4.04000,4.10000,3.82000,3.83500,106000
95,2022-11-21,4.00000,4.15000,3.89000,3.95000,141800
96,2022-11-18,4.20000,4.34000,4.01000,4.06000,78600
97,2022-11-17,4.10000,4.27000,4.06000,4.15000,110700
98,2022-11-16,4.50000,4.60000,4.12400,4.24000,89800
99,2022-11-15,4.57000,4.90000,4.55000,4.64000,64900
100,2022-11-14,4.64000,4.77000,4.41000,4.52000,58000
101,2022-11-11,4.20000,4.75000,4.02000,4.65000,122700
102,2022-11-10,4.24000,4.59000,4.04500,4.14000,118400
103,2022-11-09,4.50000,4.50000,4.01000,4.04000,117700
104,2022-11-08,4.11000,4.50000,4.07000,4.38000,84300
