,datetime,open,high,low,close,volume
0,2023-03-30,1.43800,1.45850,1.43450,1.43450,783325
1,2023-03-29,1.41800,1.43200,1.38900,1.40775,813599
2,2023-03-28,1.44825,1.44825,1.40800,1.40875,1198098
3,2023-03-27,1.44350,1.46100,1.43800,1.44300,630515
4,2023-03-24,1.44725,1.44800,1.42150,1.44350,522969
5,2023-03-23,1.43725,1.46400,1.42950,1.46350,550475
6,2023-03-22,1.46350,1.47250,1.43300,1.43400,1196636
7,2023-03-21,0.04750,0.04750,0.04750,0.04750,977111
8,2023-03-21,1.45875,1.47400,1.44650,1.45350,1257340
9,2023-03-20,1.38150,1.45300,1.38050,1.44150,2179102
10,2023-03-17,1.38300,1.40750,1.36000,1.36575,1550013
11,2023-03-16,1.35925,1.37750,1.34850,1.35725,902958
12,2023-03-15,1.39100,1.39250,1.34450,1.39100,740836
13,2023-03-14,1.34250,1.38550,1.34250,1.37725,681050
14,2023-03-13,0.07500,0.09000,0.07500,0.09000,0
15,2023-03-13,1.35675,1.35675,1.29450,1.35000,1795862
16,2023-03-10,0.09000,0.09000,0.09000,0.09000,1010
17,2023-03-10,1.35875,1.36350,1.34350,1.36200,869337
18,2023-03-09,0.09000,0.09000,0.09000,0.09000,1010
19,2023-03-09,1.37875,1.38000,1.35050,1.37300,734899
20,2023-03-08,0.09000,0.09000,0.09000,0.09000,0
21,2023-03-08,1.37400,1.37750,1.36200,1.37000,621169
22,2023-03-07,0.09000,0.09000,0.09000,0.09000,0
23,2023-03-07,1.39450,1.40400,1.37250,1.38925,755811
24,2023-03-06,0.09000,0.09000,0.09000,0.09000,0
25,2023-03-06,1.38625,1.40650,1.38150,1.38625,904786
26,2023-03-03,1.38000,1.39000,1.37300,1.37925,1454659
27,2023-03-02,1.35625,1.37800,1.35200,1.35775,655799
28,2023-03-01,1.39200,1.39350,1.35750,1.36300,1082464
29,2023-02-28,0.09000,0.09000,0.09000,0.09000,0
30,2023-02-28,1.39200,1.40100,1.38000,1.38575,759155
31,2023-02-27,1.39300,1.39850,1.38850,1.39300,581584
32,2023-02-24,1.38200,1.39300,1.37900,1.38150,931206
33,2023-02-23,1.37350,1.40500,1.37350,1.40100,1394601
34,2023-02-22,1.38350,1.38350,1.35100,1.37050,906800
35,2023-02-21,0.06000,0.06000,0.06000,0.06000,0
36,2023-02-21,1.38000,1.39800,1.36750,1.37925,1006405
37,2023-02-20,1.38050,1.39500,1.37600,1.38050,886247
38,2023-02-17,1.37625,1.38100,1.35700,1.36300,4272872
39,2023-02-16,1.37575,1.39350,1.35700,1.37675,1785345
40,2023-02-15,1.36725,1.37300,1.35350,1.36525,808791
41,2023-02-14,1.38000,1.38500,1.34750,1.36575,2043752
42,2023-02-13,1.39400,1.39400,1.37650,1.39050,486731
43,2023-02-10,0.06250,0.07000,0.06250,0.06500,153000
44,2023-02-10,1.40000,1.40850,1.37750,1.40000,785831
45,2023-02-09,1.41200,1.41650,1.40300,1.41300,441902
46,2023-02-08,0.05000,0.05790,0.05000,0.05790,0
47,2023-02-08,1.42450,1.42900,1.40400,1.42150,802754
48,2023-02-07,0.05000,0.06000,0.03280,0.05150,61800
49,2023-02-07,1.39675,1.43150,1.39675,1.42525,1030134
50,2023-02-06,1.37725,1.39450,1.36550,1.37450,821779
51,2023-02-03,1.39925,1.39925,1.37700,1.38625,678677
52,2023-02-02,1.38525,1.40750,1.37700,1.38925,836423
53,2023-02-01,0.04000,0.04000,0.04000,0.04000,0
54,2023-02-01,1.38350,1.38750,1.37550,1.38200,715782
55,2023-01-31,1.39575,1.40050,1.37000,1.37675,1276221
56,2023-01-30,1.40825,1.41700,1.38770,1.40775,950986
57,2023-01-27,1.40150,1.40950,1.38950,1.39350,627949
58,2023-01-26,1.40675,1.41400,1.38500,1.40875,1276888
59,2023-01-25,1.38575,1.40500,1.37850,1.38575,683107
60,2023-01-24,1.38525,1.38700,1.37000,1.37150,840996
61,2023-01-23,1.34625,1.37250,1.34300,1.35250,1467360
62,2023-01-20,1.37100,1.37200,1.33350,1.34000,891664
63,2023-01-19,1.39625,1.40900,1.35950,1.37100,1352848
64,2023-01-18,0.01510,0.03090,0.01510,0.03090,0
65,2023-01-18,1.39625,1.40800,1.39150,1.39675,1071015
66,2023-01-17,1.39200,1.40000,1.37000,1.39100,1866499
67,2023-01-16,1.39450,1.39800,1.38500,1.39625,1154382
68,2023-01-13,1.38725,1.39950,1.37900,1.38100,1192684
69,2023-01-12,1.38450,1.39600,1.37000,1.39350,1755865
70,2023-01-11,1.33200,1.38200,1.32700,1.36350,5539055
71,2023-01-10,0.02500,0.02500,0.02500,0.02500,0
72,2023-01-10,1.31675,1.33650,1.31400,1.31825,1167534
73,2023-01-09,0.37580,0.37580,0.10340,0.10340,24178
74,2023-01-09,1.31250,1.32450,1.29950,1.30925,2141293
