,datetime,open,high,low,close,volume
0,2023-04-11,10.58000,10.69500,10.38000,10.39000,93182
1,2023-04-10,10.40000,10.61000,10.39500,10.56000,76900
2,2023-04-06,10.36000,10.58000,10.32000,10.40000,44700
3,2023-04-05,10.23000,10.52000,10.18000,10.32000,214700
4,2023-04-04,10.84000,11.10000,10.08000,10.30000,181900
5,2023-04-03,10.86000,11.00000,10.71000,10.82000,222300
6,2023-03-31,10.89000,10.95000,10.74000,10.84000,274800
7,2023-03-30,11.33000,11.33000,10.82500,10.88000,86500
8,2023-03-29,11.34000,11.36000,11.11000,11.31000,109400
9,2023-03-28,11.58000,11.58000,11.22000,11.29000,129000
10,2023-03-27,11.36000,11.63000,11.32000,11.46000,111400
11,2023-03-24,10.75000,11.29000,10.71000,11.13000,254900
12,2023-03-23,11.21000,11.28000,10.81000,10.83000,172300
13,2023-03-22,11.73000,11.73000,11.07000,11.11000,145500
14,2023-03-21,12.09000,12.19000,11.65000,11.76000,307300
15,2023-03-20,12.06000,12.13500,11.74500,11.85000,101200
16,2023-03-17,12.73000,12.73000,11.77000,11.87000,286400
17,2023-03-16,12.34000,13.23800,11.93000,12.84000,150100
18,2023-03-15,11.88000,12.63000,11.80000,12.42000,157100
19,2023-03-14,12.51000,12.67000,12.15000,12.18000,196700
20,2023-03-13,12.20000,12.20000,11.00000,11.88000,314200
21,2023-03-10,13.01000,13.04000,12.19000,12.72000,310900
22,2023-03-09,14.10000,14.21000,13.09000,13.16000,224100
23,2023-03-08,14.41000,14.50000,14.21000,14.29000,63500
24,2023-03-07,14.70000,14.70000,14.42000,14.45000,73700
25,2023-03-06,14.80000,14.86000,14.65000,14.68000,96200
26,2023-03-03,14.64000,14.87000,14.49100,14.76000,63400
27,2023-03-02,14.56000,14.68000,14.48000,14.59000,82400
28,2023-03-01,14.68000,14.76000,14.57000,14.63000,69200
29,2023-02-28,14.70000,14.90000,14.55000,14.71000,84400
30,2023-02-27,14.46000,14.76000,14.42000,14.57000,72200
31,2023-02-24,14.48000,14.56000,14.39000,14.45000,47300
32,2023-02-23,14.82000,14.82000,14.45000,14.57000,41400
33,2023-02-22,14.81000,14.94000,14.57000,14.73000,82800
34,2023-02-21,14.86000,14.95000,14.65000,14.80000,105900
35,2023-02-17,14.96000,15.11000,14.81000,14.95000,129700
36,2023-02-16,15.15000,15.36000,14.82000,14.83000,161100
37,2023-02-15,14.67000,15.16000,14.42000,15.10000,109300
38,2023-02-14,14.86000,14.86000,14.52000,14.55000,46200
39,2023-02-13,15.22000,15.22000,14.72000,14.87000,64300
40,2023-02-10,14.82000,15.15000,14.77000,15.00000,59700
41,2023-02-09,15.16500,15.16500,14.70000,14.79000,39400
42,2023-02-08,15.28000,15.31000,14.91000,15.05000,62500
43,2023-02-07,15.34000,15.50000,15.21000,15.26000,45400
44,2023-02-06,15.71000,15.71000,15.28000,15.46000,46400
45,2023-02-03,15.52000,15.84000,15.51000,15.70000,60100
46,2023-02-02,15.31000,15.59000,15.24000,15.59000,52500
47,2023-02-01,15.45000,15.60000,15.13000,15.23000,152200
48,2023-01-31,15.18000,15.57000,15.12000,15.56000,84500
49,2023-01-30,15.11000,15.60000,15.06000,15.16500,89000
50,2023-01-27,15.67000,15.88000,14.45000,15.10000,321500
51,2023-01-26,16.95000,16.95000,15.73000,16.35000,203600
52,2023-01-25,16.97000,17.27000,16.85000,17.20000,63700
53,2023-01-24,17.21000,17.21000,16.89000,17.00000,103300
54,2023-01-23,17.21000,17.21000,17.05500,17.21000,36600
55,2023-01-20,17.26000,17.30000,17.03000,17.18000,54000
56,2023-01-19,16.79000,17.18000,16.79000,17.10000,45000
57,2023-01-18,17.43000,17.43000,16.85000,16.92000,37500
58,2023-01-17,17.73000,17.73000,17.47000,17.47000,20800
59,2023-01-13,17.56000,17.82000,17.46500,17.74000,28900
60,2023-01-12,17.64000,17.82000,17.50800,17.68000,39600
61,2023-01-11,17.38000,17.72000,17.22000,17.53000,50000
62,2023-01-10,17.31000,17.57000,17.26000,17.38000,35000
63,2023-01-09,17.62000,17.62000,17.27000,17.31000,29000
64,2023-01-06,17.45000,17.82000,17.45000,17.64000,62100
65,2023-01-05,17.18000,17.53000,16.98000,17.44000,115400
66,2023-01-04,17.54000,17.66000,17.18000,17.23000,55100
67,2023-01-03,17.70000,17.87000,17.29500,17.40000,74400
68,2022-12-30,17.51000,17.81000,17.38000,17.74000,56500
69,2022-12-29,17.39000,17.56000,17.28000,17.53000,69000
70,2022-12-28,17.54000,17.60000,17.30000,17.30000,35900
71,2022-12-27,17.80000,17.80000,17.50000,17.54000,22400
72,2022-12-23,17.83000,17.98000,17.75000,17.77000,31800
73,2022-12-22,17.89000,17.90000,17.70000,17.85000,35200
74,2022-12-21,17.98000,18.20000,17.98000,18.04000,40800
75,2022-12-20,17.95000,18.09000,17.90000,17.92000,37500
76,2022-12-19,17.65000,17.97000,17.61000,17.94000,60500
