,datetime,open,high,low,close,volume
0,2023-04-11,24.00000,25.18000,24.00000,25.15000,17345
1,2023-04-10,23.20000,23.82000,22.50000,23.72000,7400
2,2023-04-06,23.76000,24.44000,22.55000,23.00000,22800
3,2023-04-05,24.00000,24.25000,23.26000,23.85000,5800
4,2023-04-04,24.52000,24.52000,23.50000,24.07000,3900
5,2023-04-03,23.55000,24.80000,23.07500,23.39000,15700
6,2023-03-31,24.35000,24.50000,23.01000,23.97000,6800
7,2023-03-30,23.53000,23.53000,23.00000,23.06000,5000
8,2023-03-29,23.40700,23.64700,23.40700,23.50000,3000
9,2023-03-28,22.66200,23.00000,21.92000,22.40000,13700
10,2023-03-27,22.81000,23.56500,21.09000,23.11600,6500
11,2023-03-24,23.28000,23.45000,22.34000,22.80000,8500
12,2023-03-23,23.46000,24.26000,21.16300,22.80000,10400
13,2023-03-22,23.40000,25.16000,22.18000,23.20000,18500
14,2023-03-21,24.07000,24.41400,24.07000,24.10000,6000
15,2023-03-20,23.75000,24.59000,23.30000,23.53000,14100
16,2023-03-17,24.16000,25.22000,21.31600,24.80000,9500
17,2023-03-16,23.80000,25.02000,23.55100,24.00000,9400
18,2023-03-15,23.86000,25.49000,23.86000,25.24000,14100
19,2023-03-14,23.74000,25.00000,23.60000,24.73000,78700
20,2023-03-13,22.60000,23.40000,22.01000,22.42200,163900
21,2023-03-10,17.56000,17.64000,16.30000,16.83000,8600
22,2023-03-09,17.70000,17.80800,16.80000,16.80000,9300
23,2023-03-08,18.10000,18.16000,17.40000,17.94000,7300
24,2023-03-07,18.87000,19.01000,18.59000,18.72000,16200
25,2023-03-06,19.03000,19.65000,18.94000,19.65000,17300
26,2023-03-03,18.50000,19.05000,18.50000,19.05000,5600
27,2023-03-02,19.20000,19.20000,18.81000,18.81000,3000
28,2023-03-01,19.32000,19.50000,19.32000,19.50000,4500
29,2023-02-28,18.92000,19.14800,18.51000,18.51000,6200
30,2023-02-27,19.40000,19.58000,18.90500,18.90500,6700
31,2023-02-24,19.39000,19.39000,18.51000,18.66000,16500
32,2023-02-23,20.32000,20.64000,18.61000,19.99000,67600
33,2023-02-22,17.45000,18.60000,17.00100,18.00000,16900
34,2023-02-21,17.72000,18.66000,17.30000,18.00000,14400
35,2023-02-17,16.95000,19.00000,16.92000,18.60000,7900
36,2023-02-16,17.36000,18.02000,17.31000,18.02000,4000
37,2023-02-15,17.76000,18.19000,17.76000,17.96000,2600
38,2023-02-14,18.58000,18.58000,18.49300,18.52000,7900
39,2023-02-13,17.88000,18.38000,17.72000,18.30000,8200
40,2023-02-10,17.61000,19.14000,17.11000,17.44000,30400
41,2023-02-09,17.96000,19.44000,17.77000,17.77000,6800
42,2023-02-08,17.80000,18.35000,17.65000,17.65000,14400
43,2023-02-07,18.67500,20.02000,17.62000,17.79000,20900
44,2023-02-06,18.21000,18.21000,17.61000,18.20000,9200
45,2023-02-03,18.72500,20.42000,18.56000,18.56000,12700
46,2023-02-02,18.73000,19.87500,18.69800,19.10000,27200
47,2023-02-01,19.11000,21.29000,18.78000,19.90000,27400
48,2023-01-31,18.80000,19.87000,18.76000,19.20000,8000
49,2023-01-30,19.12000,19.15000,18.60000,18.93500,4500
50,2023-01-27,19.70000,19.84000,19.43600,19.84000,4100
51,2023-01-26,19.64000,19.99400,19.14700,19.55000,3000
52,2023-01-25,19.68000,19.68000,19.49500,19.49500,700
53,2023-01-24,19.60000,19.80000,19.52000,19.80000,5500
54,2023-01-23,20.20000,20.33000,19.28000,20.10000,10000
55,2023-01-20,19.88000,19.96000,19.61100,19.61100,1800
56,2023-01-19,18.85000,20.30000,18.40200,19.33000,3600
57,2023-01-18,20.44000,21.00000,18.98000,20.43000,15600
58,2023-01-17,20.25000,20.34000,19.70000,20.27000,11100
59,2023-01-13,19.64000,20.71000,18.81500,19.80000,17500
60,2023-01-12,19.18000,20.02000,19.00000,19.42000,5900
61,2023-01-11,19.08000,19.40000,18.41000,19.19100,7000
62,2023-01-10,19.27000,20.07000,18.76000,20.07000,6500
63,2023-01-09,18.53000,18.75000,17.95000,18.10300,4800
64,2023-01-06,17.97000,17.97000,17.97000,17.97000,400
65,2023-01-05,17.97000,17.97000,17.08400,17.97000,7500
66,2023-01-04,18.40000,18.70000,17.99000,18.54900,8700
67,2023-01-03,18.36000,18.81200,17.63100,18.11000,8200
68,2022-12-30,17.93000,17.99000,16.50000,17.00000,9800
69,2022-12-29,17.48000,18.31000,16.64700,18.31000,10200
70,2022-12-28,17.30000,17.32000,15.55600,16.94000,7700
71,2022-12-27,17.28000,17.29000,16.02000,16.91700,11200
72,2022-12-23,17.27000,17.46000,16.98400,17.30000,8900
73,2022-12-22,18.26000,18.44000,17.25000,18.00000,12000
74,2022-12-21,17.99000,19.49000,17.45000,17.50800,9600
75,2022-12-20,18.20000,20.60000,18.01000,18.65000,12500
76,2022-12-19,18.73000,21.00000,18.73000,19.50000,6400
77,2022-12-16,18.97000,19.00000,18.80000,19.00000,5000
78,2022-12-15,19.42200,19.59600,18.65000,19.59600,8800
79,2022-12-14,19.56000,20.07000,18.99000,19.49000,12400
80,2022-12-13,19.32000,19.55000,18.41000,19.15000,10300
81,2022-12-12,18.71600,18.71600,18.25000,18.45000,3700
82,2022-12-09,18.76000,18.96000,18.45000,18.56000,4100
83,2022-12-08,18.43000,18.45000,18.00000,18.21000,7000
84,2022-12-07,18.25300,18.25300,16.82000,17.21200,2900
85,2022-12-06,18.36000,18.84000,18.10000,18.84000,1100
86,2022-12-05,19.03000,19.14000,18.21300,18.21300,5500
87,2022-12-02,17.91000,18.37000,17.91000,18.00000,9800
88,2022-12-01,18.50000,18.70000,17.80000,18.47000,11900
89,2022-11-30,18.16000,18.98000,17.85000,18.17000,8000
90,2022-11-29,17.94000,18.17000,16.50000,17.35000,18700
91,2022-11-28,18.29000,19.74000,17.80000,17.85000,18100
92,2022-11-25,17.70000,17.70000,17.05000,17.21000,5900
