,datetime,open,high,low,close,volume
0,2023-04-11,90.63000,90.98000,90.44000,90.59000,705700
1,2023-04-10,90.25000,90.69000,89.58000,90.54000,1070500
2,2023-04-06,90.09000,90.67000,89.71000,90.61000,1264700
3,2023-04-05,89.26000,90.49000,89.14000,89.71000,1671800
4,2023-04-04,89.19000,89.85000,88.69000,88.83000,947300
5,2023-04-03,88.02000,89.12000,87.88000,88.87000,1363200
6,2023-03-31,86.90000,88.60000,86.88000,88.41000,1362800
7,2023-03-30,86.55000,86.85000,86.02000,86.84000,880400
8,2023-03-29,86.44000,86.83000,86.30000,86.74000,908300
9,2023-03-28,86.30000,86.75000,86.07000,86.40000,908600
10,2023-03-27,86.42000,86.81000,85.86000,86.06000,906200
11,2023-03-24,84.87000,86.22000,84.75000,85.98000,829200
12,2023-03-23,84.17000,85.41000,84.10000,84.32000,1025800
13,2023-03-22,84.54000,85.54000,84.16000,84.23000,1502400
14,2023-03-21,85.56000,85.89000,83.98000,84.54000,1481200
15,2023-03-20,86.08000,86.44000,85.33000,85.72000,1424600
16,2023-03-17,86.12000,86.50000,85.03000,85.46000,2425400
17,2023-03-16,86.45000,86.56000,85.30000,85.96000,1276600
18,2023-03-15,84.68000,86.43000,84.46000,86.19000,1440700
19,2023-03-14,84.54000,85.07000,84.00000,84.77000,1014400
20,2023-03-13,84.07000,85.79000,84.02000,84.41000,1406200
21,2023-03-10,83.89000,84.26000,83.43000,83.88000,1727200
22,2023-03-09,84.07000,84.58000,83.25000,83.63000,1073600
23,2023-03-08,83.67000,83.69000,82.82000,83.65000,1393400
24,2023-03-07,83.58000,84.14000,83.08000,83.67000,1578800
25,2023-03-06,84.00000,84.40000,83.47000,83.60000,1496600
26,2023-03-03,84.67000,84.79000,83.86000,84.22000,1166759
27,2023-03-02,83.21000,84.55500,83.21000,84.48000,1031881
28,2023-03-01,83.47000,83.53000,82.40500,83.13000,1306598
29,2023-02-28,83.29000,84.00000,83.19000,83.78000,1439106
30,2023-02-27,83.86000,84.27000,83.58000,83.88000,1071777
31,2023-02-24,83.54000,83.92000,83.11750,83.57000,1445424
32,2023-02-23,83.93000,84.34000,83.24500,84.02000,1233519
33,2023-02-22,84.41000,85.09000,83.84500,84.08000,1406039
34,2023-02-21,83.44000,84.33000,83.24000,83.99000,1340814
35,2023-02-17,82.88000,83.79000,82.23000,83.78000,1816421
36,2023-02-16,82.69000,83.02480,81.92000,82.79000,1438957
37,2023-02-15,82.69000,83.72000,82.26000,83.46000,838523
38,2023-02-14,83.85000,83.85000,82.27000,82.79000,672692
39,2023-02-13,82.21000,83.69500,82.21000,83.39000,1522670
40,2023-02-10,82.08000,83.21990,81.79000,82.89000,1290680
41,2023-02-09,83.67000,84.11000,81.94000,81.99000,1241738
42,2023-02-08,82.63000,83.90000,82.40000,83.24000,1305168
43,2023-02-07,82.72000,83.32500,82.10000,82.94000,1550955
44,2023-02-06,84.51000,84.85000,82.46500,83.29000,1979219
45,2023-02-03,79.40000,84.40000,79.40000,82.90000,2290332
46,2023-02-02,80.77000,80.95000,79.34000,79.81000,1801788
47,2023-02-01,80.73000,81.70500,80.07000,81.40000,2051502
48,2023-01-31,80.78000,81.06000,80.15000,80.86000,2086891
49,2023-01-30,79.72000,80.96000,79.42500,80.59000,1599211
50,2023-01-27,80.74000,81.08500,78.63000,79.55000,2374191
51,2023-01-26,81.91000,82.23000,80.84000,81.29000,844999
52,2023-01-25,81.83000,82.40000,80.62000,82.12000,1134287
53,2023-01-24,83.41000,83.96000,82.27000,82.72000,1089384
54,2023-01-23,83.31000,83.79000,82.69000,83.42000,1009864
55,2023-01-20,80.43000,83.26000,79.55000,83.20000,1506465
56,2023-01-19,81.20000,81.66000,80.53500,80.55000,1264364
57,2023-01-18,84.38000,84.67000,82.05000,82.06000,1365275
58,2023-01-17,84.94000,86.03500,84.47000,84.72000,2546678
59,2023-01-13,81.21000,82.00000,81.13000,81.91000,778186
60,2023-01-12,81.85000,81.96000,80.90000,81.39000,1155541
61,2023-01-11,81.69000,81.97000,80.87000,81.72000,1054203
62,2023-01-10,82.34000,82.72000,81.04000,81.29000,992846
63,2023-01-09,83.33000,83.73990,82.21000,82.25000,1541102
64,2023-01-06,82.80000,84.00000,82.54500,83.59000,902718
65,2023-01-05,82.44000,82.77000,81.61000,81.98000,915336
66,2023-01-04,82.08000,83.07000,81.75000,82.79000,1187860
67,2023-01-03,80.75000,82.09000,80.34250,82.02000,1546759
68,2022-12-30,81.50000,81.50000,79.97000,80.61000,917776
69,2022-12-29,81.05000,81.87990,81.00500,81.58000,587024
70,2022-12-28,82.02000,82.44000,80.91000,80.92000,684993
71,2022-12-27,82.13000,82.45000,81.72000,81.91000,803821
72,2022-12-23,81.74000,82.19000,81.24000,82.06000,538748
73,2022-12-22,80.81000,81.91000,80.52000,81.84000,1136173
74,2022-12-21,80.01000,81.15500,79.82000,80.99000,810449
75,2022-12-20,79.69000,80.36500,78.92000,79.82000,962254
76,2022-12-19,80.04000,80.96000,79.38500,79.89000,1304568
77,2022-12-16,81.18000,81.52500,79.86000,80.11000,2526603
78,2022-12-15,81.54000,81.94000,80.42000,81.59000,1884522
79,2022-12-14,81.83000,82.89000,81.83000,82.21000,1506160
80,2022-12-13,82.14000,82.67000,81.14000,81.99000,2046061
81,2022-12-12,80.31000,81.39000,79.58200,81.19000,1045306
82,2022-12-09,80.67000,81.17000,79.84000,80.03000,1750755
83,2022-12-08,80.27000,81.19500,80.27000,81.15000,1189393
84,2022-12-07,80.63000,81.22000,79.77000,80.70000,1164646
85,2022-12-06,80.78000,81.04250,80.03000,80.44000,1396008
86,2022-12-05,81.93000,82.10500,80.31000,80.39000,1422802
87,2022-12-02,81.94000,83.44000,81.77000,83.07000,2056151
88,2022-12-01,82.38000,83.59000,81.73000,82.24000,1582297
89,2022-11-30,79.35000,81.90000,79.06000,81.87000,2263707
90,2022-11-29,79.21000,80.36000,78.80000,79.49000,1433375
91,2022-11-28,78.82000,79.68000,78.72500,79.49000,1542879
92,2022-11-25,78.94000,78.94000,78.18000,78.89000,495661
93,2022-11-23,78.43000,78.68000,78.10000,78.57000,1066500
94,2022-11-22,77.82000,78.25500,77.43000,78.09000,1274506
95,2022-11-21,76.59000,78.16000,76.24000,77.60000,1309489
96,2022-11-18,75.93000,76.53000,75.86000,76.42000,1499443
97,2022-11-17,74.88000,75.28000,74.23500,75.23000,1624472
98,2022-11-16,75.96000,76.81500,75.26000,75.30000,1220925
99,2022-11-15,75.23000,75.71000,74.33000,75.51000,1754883
