,datetime,open,high,low,close,volume
0,2023-04-11,61.97000,62.17000,61.65000,61.73000,2224200
1,2023-04-10,61.98000,61.98000,61.08000,61.95000,1452100
2,2023-04-06,62.47000,62.92000,61.68000,62.31000,1855800
3,2023-04-05,61.14000,62.51000,60.63000,62.12000,4029200
4,2023-04-04,61.14000,61.39000,60.70000,60.83000,2234700
5,2023-04-03,60.96000,61.73000,60.56000,61.04000,2823900
6,2023-03-31,61.37000,61.55000,60.86000,61.38000,1500600
7,2023-03-30,61.32000,61.57000,60.63000,61.19000,2259400
8,2023-03-29,60.81000,61.18000,60.62000,61.17000,1583600
9,2023-03-28,59.83000,61.03000,59.83000,60.43000,886900
10,2023-03-27,60.63000,61.17000,59.82000,60.04000,1384700
11,2023-03-24,58.19000,60.46000,58.10000,60.43000,1566900
12,2023-03-23,58.55000,59.16000,57.85000,57.96000,1583000
13,2023-03-22,59.66000,59.94000,58.70000,58.71000,1787400
14,2023-03-21,61.75000,61.89000,58.98000,59.95000,2262100
15,2023-03-20,61.46000,62.16000,61.33000,61.89000,1616300
16,2023-03-17,61.74000,61.99000,60.94000,61.34000,3536500
17,2023-03-16,61.53000,62.90000,61.39000,61.92000,2376000
18,2023-03-15,60.10000,61.97000,59.71000,61.66000,2281000
19,2023-03-14,59.91000,60.66000,59.57000,60.12000,1921600
20,2023-03-13,58.16000,61.15000,58.04000,59.54000,2540400
21,2023-03-10,59.30000,59.37000,57.60000,58.08000,1796900
22,2023-03-09,59.98000,60.49000,58.96000,59.13000,2091800
23,2023-03-08,59.21000,59.87000,59.00000,59.76000,1437300
24,2023-03-07,59.63000,60.26000,58.62000,58.93000,1206000
25,2023-03-06,59.88000,60.39000,59.58000,59.88000,1304900
26,2023-03-03,59.14000,59.87000,58.40000,59.84000,1518460
27,2023-03-02,57.81000,59.01000,57.68000,58.89000,1666698
28,2023-03-01,58.56000,58.56000,57.00000,57.78000,2577322
29,2023-02-28,59.48000,60.15000,58.75000,58.97000,2734038
30,2023-02-27,60.65000,61.21990,59.63000,59.70000,1357177
31,2023-02-24,59.79000,60.69000,59.46000,60.42000,1319174
32,2023-02-23,61.08000,61.13000,60.20000,60.24000,1946580
33,2023-02-22,61.39000,61.63000,60.69000,60.81000,1292366
34,2023-02-21,61.46000,61.78000,61.06000,61.16000,1243190
35,2023-02-17,61.14000,62.29500,60.73000,61.97000,1699467
36,2023-02-16,60.47000,61.31500,59.95000,60.97000,942724
37,2023-02-15,60.71000,61.25000,60.27000,61.18000,1545176
38,2023-02-14,61.43000,61.67000,60.88000,61.16000,1795671
39,2023-02-13,61.44000,61.89000,61.32000,61.62000,1170892
40,2023-02-10,60.31000,61.50000,59.99000,61.41000,1484305
41,2023-02-09,60.84000,61.49000,60.39500,60.50000,2249236
42,2023-02-08,62.01000,62.01000,60.60000,60.89000,2152679
43,2023-02-07,63.03000,63.03000,61.71500,62.46000,2452390
44,2023-02-06,62.59000,63.47000,62.35000,63.45000,3947930
45,2023-02-03,63.44000,63.52500,61.52000,62.75000,2215497
46,2023-02-02,63.44000,64.67000,62.35000,63.72000,4363809
47,2023-02-01,62.74000,63.93000,62.71000,63.72000,2488112
48,2023-01-31,62.93000,63.21000,62.02500,63.19000,2400947
49,2023-01-30,62.29000,63.20000,62.25000,62.67000,2406811
50,2023-01-27,62.42000,63.06000,62.08000,62.49000,1517388
51,2023-01-26,61.93000,62.45000,61.79000,62.44000,1358991
52,2023-01-25,61.37000,62.32000,61.05500,62.15000,2186238
53,2023-01-24,61.98000,62.42000,60.94500,61.79000,1101095
54,2023-01-23,61.80000,62.49000,61.48000,61.71000,1374264
55,2023-01-20,61.13000,62.05000,60.35000,62.01000,1628781
56,2023-01-19,61.20000,61.32000,60.44000,61.10000,2179581
57,2023-01-18,63.63000,63.67000,61.16000,61.31000,1941329
58,2023-01-17,63.74000,64.11000,63.03000,63.48000,2027831
59,2023-01-13,63.96000,64.30000,63.48500,63.92000,1248545
60,2023-01-12,65.56000,65.56000,64.30000,64.34000,1459675
61,2023-01-11,64.96000,65.47000,64.83000,65.39000,1498753
62,2023-01-10,64.87000,65.28000,64.37000,64.89000,1133209
63,2023-01-09,64.33000,65.72000,64.22000,64.99000,1903254
64,2023-01-06,63.93000,64.74000,63.76000,64.44000,1483473
65,2023-01-05,64.12000,64.42000,63.09000,63.28000,1620788
66,2023-01-04,64.10000,65.15000,64.06000,64.63000,1679231
67,2023-01-03,63.50000,63.90000,62.44000,63.73000,1550923
68,2022-12-30,64.10000,64.24000,62.83000,63.33000,913594
69,2022-12-29,63.73000,64.57000,63.58000,64.18000,796888
70,2022-12-28,64.44000,64.64000,63.50000,63.63000,936261
71,2022-12-27,63.72000,64.44500,63.59000,64.31000,1240674
72,2022-12-23,62.33000,63.63000,62.33000,63.62000,1269223
73,2022-12-22,62.42000,62.74000,61.30000,62.57000,1288682
74,2022-12-21,61.93000,62.67000,61.88000,62.66000,1131212
75,2022-12-20,61.51000,62.08000,61.09000,61.78000,1260426
76,2022-12-19,61.89000,62.58000,61.25000,61.58000,1561289
77,2022-12-16,62.48000,62.81000,61.23000,61.91000,2894587
78,2022-12-15,63.49000,63.60000,62.66000,63.16000,3058547
79,2022-12-14,64.34000,64.97000,63.31000,63.76000,1998593
80,2022-12-13,64.71000,65.38000,63.42000,64.16000,2480203
81,2022-12-12,63.10000,63.93000,62.33300,63.90000,2234655
82,2022-12-09,61.70000,62.57000,61.66000,62.22000,2243303
83,2022-12-08,61.01000,62.33000,60.67000,62.00000,2217098
84,2022-12-07,61.00000,61.64000,60.69000,61.13000,2501216
85,2022-12-06,59.94000,61.08000,59.83000,61.04000,1898834
86,2022-12-05,60.03000,60.30000,59.72000,59.93000,1424067
87,2022-12-02,60.84000,61.33000,60.20000,60.52000,1757069
88,2022-12-01,61.59000,62.48000,61.31000,61.41000,2090834
89,2022-11-30,60.00000,61.21000,59.70000,61.07000,3204482
90,2022-11-29,60.50000,60.52000,59.64000,60.20000,1623403
91,2022-11-28,60.87000,61.27000,60.30000,60.80000,1788916
92,2022-11-25,61.11000,61.43000,61.03000,61.26000,658943
93,2022-11-23,60.19000,60.89000,60.12000,60.83000,1443345
94,2022-11-22,60.29000,60.66000,59.70000,60.22000,2038957
95,2022-11-21,60.25000,60.63000,59.33000,60.11000,3246863
96,2022-11-18,59.17000,60.45610,58.92000,60.00000,3608109
97,2022-11-17,58.84000,59.04000,58.01000,58.55000,3541319
98,2022-11-16,58.63000,59.76000,58.59000,59.43000,2178102
99,2022-11-15,58.34000,58.84000,57.64000,58.44000,1397709
100,2022-11-14,58.58000,58.65000,57.82000,57.83000,1438512
101,2022-11-11,58.98000,59.19000,57.75000,58.42000,1441985
102,2022-11-10,57.75000,59.37000,56.86000,59.20000,2276227
103,2022-11-09,56.80000,56.92000,56.15000,56.22000,1712052
104,2022-11-08,57.00000,57.40000,56.58000,56.92000,2132543
105,2022-11-07,57.02000,57.18900,55.55000,56.62000,1979785
106,2022-11-04,57.08000,57.72000,56.33000,57.03000,2782515
107,2022-11-03,56.08000,57.33000,55.43000,56.90000,2068614
108,2022-11-02,57.23000,58.54000,57.04000,57.04000,3050270
109,2022-11-01,57.26000,57.56500,56.62000,57.31000,2200901
110,2022-10-31,57.91000,57.91000,56.86000,57.05000,3529390
