,datetime,open,high,low,close,volume
0,2023-04-11,2.73000,2.76000,2.47000,2.72000,66154
1,2023-04-10,2.70000,2.78000,2.64000,2.70000,8100
2,2023-04-06,2.64000,2.70000,2.57000,2.69000,14600
3,2023-04-05,2.51000,2.79000,2.41000,2.64000,30400
4,2023-04-04,2.47000,2.51000,2.40000,2.51000,9700
5,2023-04-03,2.49000,2.50000,2.40000,2.48000,11100
6,2023-03-31,2.23000,2.50000,2.23000,2.47000,29300
7,2023-03-30,2.24000,2.24000,2.18000,2.23000,8100
8,2023-03-29,2.24000,2.24000,2.17000,2.24000,9500
9,2023-03-28,2.20000,2.25000,2.10000,2.25000,23700
10,2023-03-27,2.25000,2.25000,2.16000,2.25000,11000
11,2023-03-24,2.25000,2.25000,2.17000,2.25000,5800
12,2023-03-23,2.25000,2.25000,2.15000,2.25000,19500
13,2023-03-22,2.25000,2.25000,2.18000,2.25000,13100
14,2023-03-21,2.24000,2.25000,2.23000,2.25000,2100
15,2023-03-20,2.25000,2.25000,2.12000,2.20000,8800
16,2023-03-17,2.14000,2.25000,2.14000,2.19000,13300
17,2023-03-16,2.25000,2.25000,2.21000,2.25000,2700
18,2023-03-15,2.25000,2.25000,2.22000,2.25000,4800
19,2023-03-14,2.05000,2.25000,2.03000,2.25000,21700
20,2023-03-13,2.20000,2.25000,2.08000,2.15000,19600
21,2023-03-10,2.25000,2.25000,2.22000,2.25000,3500
22,2023-03-09,2.25000,2.25000,2.24000,2.25000,3000
23,2023-03-08,2.25000,2.25000,2.17000,2.25000,2900
24,2023-03-07,2.15000,2.25000,2.15000,2.23000,7300
25,2023-03-06,2.24000,2.25000,2.16000,2.25000,8100
26,2023-03-03,2.21000,2.25000,2.14000,2.24000,11600
27,2023-03-02,2.20000,2.25000,2.19000,2.24000,7400
28,2023-03-01,2.20000,2.25000,2.19000,2.25000,14000
29,2023-02-28,2.17000,2.25000,2.17000,2.23000,12200
30,2023-02-27,2.22000,2.25000,2.12000,2.18000,15000
31,2023-02-24,2.24000,2.25000,2.18000,2.22000,17000
32,2023-02-23,2.25000,2.25000,2.16000,2.23000,27300
33,2023-02-22,2.23000,2.23000,2.17000,2.21000,8700
34,2023-02-21,2.18000,2.25000,2.13000,2.19000,13600
35,2023-02-17,2.19000,2.21000,2.13000,2.17000,14100
36,2023-02-16,2.18000,2.18000,2.09000,2.17000,15000
37,2023-02-15,2.20000,2.21000,2.08000,2.15000,16100
38,2023-02-14,2.14000,2.20000,2.00000,2.16000,27600
39,2023-02-13,2.08000,2.14000,1.98000,2.10000,18900
40,2023-02-10,2.04000,2.16000,2.04000,2.13000,10400
41,2023-02-09,2.08000,2.16000,2.02000,2.12000,14700
42,2023-02-08,2.10000,2.18000,2.06000,2.12000,22500
43,2023-02-07,2.08000,2.10000,1.92000,2.07000,29900
44,2023-02-06,2.05000,2.12000,1.99000,2.04000,10800
45,2023-02-03,2.12000,2.12000,1.95000,2.03000,35300
46,2023-02-02,2.13000,2.13000,1.95000,2.05000,19500
47,2023-02-01,1.95000,2.07000,1.88000,2.05000,35000
48,2023-01-31,1.74000,2.00000,1.66000,1.99000,30800
49,2023-01-30,1.61000,1.76000,1.59000,1.70000,21000
50,2023-01-27,1.48000,1.73000,1.48000,1.67000,7300
51,2023-01-26,1.48000,1.59000,1.48000,1.48000,8800
52,2023-01-25,1.60000,1.66000,1.41000,1.51000,155300
53,2023-01-24,1.78000,1.78000,1.59000,1.59000,5500
54,2023-01-23,1.63000,1.70000,1.61000,1.64000,7500
55,2023-01-20,1.60000,1.66000,1.58000,1.65000,19200
56,2023-01-19,1.62000,1.71000,1.58000,1.65000,29000
57,2023-01-18,1.60000,1.72000,1.60000,1.64000,15900
58,2023-01-17,1.71000,1.85000,1.59000,1.59000,49600
59,2023-01-13,1.77000,1.84000,1.69000,1.81000,146900
60,2023-01-12,1.84000,1.84000,1.70000,1.81000,33800
61,2023-01-11,1.72000,1.86000,1.72000,1.82000,23700
62,2023-01-10,1.75000,1.83000,1.64000,1.78000,54300
63,2023-01-09,1.70000,1.76000,1.63000,1.75000,12100
64,2023-01-06,1.59000,1.69000,1.59000,1.69000,4700
