,datetime,open,high,low,close,volume
0,2023-04-11,1.17000,1.17000,1.08000,1.14000,13900
1,2023-04-10,1.14000,1.14000,1.03000,1.08000,33200
2,2023-04-06,1.08000,1.11500,1.00000,1.09000,109800
3,2023-04-05,1.08000,1.08000,0.93000,1.07000,33000
4,2023-04-04,1.07000,1.08000,0.95000,1.08000,20600
5,2023-04-03,1.00000,1.12000,1.00000,1.08000,86500
6,2023-03-31,0.99000,1.01000,0.93000,1.00000,118400
7,2023-03-30,0.85300,1.00000,0.82000,0.91000,26700
8,2023-03-29,0.80000,0.87000,0.77800,0.85300,208600
9,2023-03-28,0.80000,0.86400,0.77800,0.82000,203900
10,2023-03-27,1.01000,1.01000,0.80700,0.85000,185400
11,2023-03-24,1.06400,1.07000,0.96000,0.96000,122700
12,2023-03-23,1.09000,1.15000,1.02000,1.03000,210500
13,2023-03-22,1.15000,1.25000,1.05000,1.16000,484300
14,2023-03-21,1.08000,1.26000,1.03000,1.18000,1218500
15,2023-03-20,1.27000,1.58000,1.23000,1.32000,14823800
16,2023-03-17,1.11400,1.17000,1.10000,1.10000,1158600
17,2023-03-16,1.07500,1.17000,0.99800,1.14000,29200
18,2023-03-15,1.05000,1.13000,1.05000,1.12000,27800
19,2023-03-14,1.12000,1.19000,1.01000,1.08000,38800
20,2023-03-13,1.03000,1.12000,0.99800,1.10000,27600
21,2023-03-10,1.20400,1.27000,0.95400,1.06000,48500
22,2023-03-09,1.15000,1.25000,1.15000,1.25000,12700
23,2023-03-08,1.16000,1.21000,1.10000,1.21000,10900
24,2023-03-07,1.19000,1.25000,1.17000,1.18100,5400
25,2023-03-06,1.12000,1.21000,1.12000,1.20000,28700
26,2023-03-03,1.19200,1.23000,1.12000,1.23000,13900
27,2023-03-02,1.17000,1.22000,1.12000,1.17000,26000
28,2023-03-01,1.30000,1.39000,1.22000,1.27000,34000
29,2023-02-28,1.11000,1.29000,1.11000,1.29000,194100
30,2023-02-27,1.10000,1.18000,1.10000,1.15000,19500
31,2023-02-24,1.10200,1.15000,1.06100,1.14000,28900
32,2023-02-23,1.10000,1.15000,1.08000,1.15000,22800
33,2023-02-22,1.05000,1.13000,1.05000,1.11000,30800
34,2023-02-21,1.05500,1.08000,1.04000,1.08000,35600
35,2023-02-17,1.08000,1.12000,0.97600,1.07000,79200
36,2023-02-16,0.97000,1.13000,0.97000,1.10000,78900
37,2023-02-15,0.99000,1.03000,0.95000,1.03000,45300
38,2023-02-14,1.06000,1.10000,0.91000,0.99100,56000
39,2023-02-13,1.08000,1.10500,1.05000,1.10000,22300
40,2023-02-10,1.09000,1.18000,1.01000,1.11000,20900
41,2023-02-09,1.17000,1.19000,1.10000,1.13000,17700
42,2023-02-08,1.14000,1.20000,1.14000,1.17000,6100
43,2023-02-07,1.13000,1.20000,1.11000,1.19000,26900
44,2023-02-06,1.15000,1.19000,1.14000,1.15000,16300
45,2023-02-03,1.17000,1.21000,1.13500,1.15000,32100
46,2023-02-02,1.26000,1.29000,1.19000,1.22000,22800
47,2023-02-01,1.31000,1.31000,1.23000,1.28500,83800
48,2023-01-31,1.16000,1.27000,1.16000,1.23000,26000
49,2023-01-30,1.25000,1.28000,1.18000,1.23000,53000
50,2023-01-27,1.28000,1.30000,1.22000,1.28000,54300
51,2023-01-26,1.20000,1.40000,1.20000,1.29000,183400
52,2023-01-25,1.25000,1.28000,1.11000,1.20000,79400
53,2023-01-24,1.09000,1.29000,1.09000,1.25000,149400
54,2023-01-23,1.12000,1.16500,1.08000,1.12000,25000
55,2023-01-20,1.01000,1.16000,1.01000,1.08000,87800
56,2023-01-19,1.06000,1.11000,1.00000,1.04000,61200
57,2023-01-18,1.03000,1.18000,0.93000,1.10000,111900
58,2023-01-17,0.98000,1.00000,0.93500,1.00000,23100
59,2023-01-13,0.88000,0.99000,0.88000,0.98900,20300
60,2023-01-12,0.94000,0.94900,0.90000,0.90000,82100
