,datetime,open,high,low,close,volume
0,2023-04-11,22.03000,22.31000,21.85000,22.22000,2233800
1,2023-04-10,21.60000,22.31000,21.60000,21.87000,3161500
2,2023-04-06,21.20000,22.27000,20.92000,21.76000,2681600
3,2023-04-05,20.28000,20.65000,20.13000,20.55000,2916700
4,2023-04-04,21.06000,21.19000,20.16000,20.73000,2532000
5,2023-04-03,21.54000,21.58000,20.84000,21.03000,2020000
6,2023-03-31,21.14000,21.50000,20.87000,21.42000,2815700
7,2023-03-30,21.33000,21.61000,20.66000,20.98000,3159400
8,2023-03-29,21.22000,21.47000,20.40000,21.00000,3055500
9,2023-03-28,20.79000,21.19000,20.67000,20.94000,1140600
10,2023-03-27,21.14000,21.43000,20.51000,20.81000,1820000
11,2023-03-24,19.80000,20.52000,19.59000,20.52000,2951000
12,2023-03-23,21.58000,21.73000,19.97000,20.19000,2696500
13,2023-03-22,22.60000,22.71000,21.39000,21.42000,2068600
14,2023-03-21,22.15000,22.87000,21.95000,22.66000,4477500
15,2023-03-20,22.07000,22.50000,21.16000,21.19000,4179300
16,2023-03-17,21.70000,21.88000,21.13000,21.72000,6011200
17,2023-03-16,20.87000,22.35000,20.25000,21.94000,4001100
18,2023-03-15,20.51000,21.50000,20.28000,21.22000,3377900
19,2023-03-14,22.38000,22.99000,21.34000,21.53000,4289500
20,2023-03-13,22.21000,22.56000,20.45000,20.54000,7143600
21,2023-03-10,23.86000,24.80000,22.76000,23.92000,4307800
22,2023-03-09,27.23000,27.23000,24.67000,24.70000,5986300
23,2023-03-08,27.31000,27.49000,27.01000,27.36000,3086600
24,2023-03-07,27.92000,27.92000,27.16000,27.28000,3702600
25,2023-03-06,28.94000,28.94000,28.00000,28.07000,3716600
26,2023-03-03,29.37000,29.40000,28.58000,28.70000,3662529
27,2023-03-02,29.44000,29.58000,28.68000,29.07000,4097943
28,2023-03-01,30.11000,30.11000,29.59000,29.95000,4144547
29,2023-02-28,30.27000,30.52000,29.51000,29.73000,37951280
30,2023-02-27,30.68000,30.86000,30.01000,30.14000,2433418
31,2023-02-24,29.75000,30.52000,29.74000,30.45000,1969335
32,2023-02-23,30.48000,30.72000,30.18000,30.51000,1092544
33,2023-02-22,30.76000,30.96000,30.26000,30.46000,1188087
34,2023-02-21,31.27000,31.34000,30.72500,30.77000,1002906
35,2023-02-17,31.45000,31.64500,31.22000,31.59000,954092
36,2023-02-16,31.65000,31.82000,31.39500,31.40000,886557
37,2023-02-15,31.60000,32.05000,31.47000,32.05000,748343
38,2023-02-14,31.88000,31.99000,31.29000,31.71000,637828
39,2023-02-13,31.87000,31.97000,31.66000,31.97000,640819
40,2023-02-10,31.86000,31.94500,31.60000,31.86000,564391
41,2023-02-09,32.44000,32.48000,31.84000,31.88000,606312
42,2023-02-08,32.40000,32.61000,32.13000,32.16000,865966
43,2023-02-07,32.69000,32.95500,32.22000,32.71000,990922
44,2023-02-06,32.73000,33.24000,32.50000,32.94000,1252865
45,2023-02-03,32.51000,32.95000,32.11000,32.60000,1196874
46,2023-02-02,32.10000,32.86000,31.95500,32.86000,1644887
47,2023-02-01,30.64000,32.24000,30.57000,32.00000,1582321
48,2023-01-31,30.07000,30.91500,29.85500,30.91000,1112192
49,2023-01-30,29.81000,30.35000,29.81000,29.94000,1182139
50,2023-01-27,29.80000,30.13000,29.35000,30.05000,1119623
51,2023-01-26,30.18000,30.43000,29.52000,29.72000,1249122
52,2023-01-25,29.13000,29.98000,28.78000,29.94000,1177368
53,2023-01-24,28.94000,29.45000,27.68000,29.35000,1146621
54,2023-01-23,28.54000,28.76000,28.33000,28.62000,1492307
55,2023-01-20,27.87000,28.49000,27.68000,28.49000,1803513
56,2023-01-19,28.09000,28.17000,27.36500,27.60000,990442
57,2023-01-18,28.86000,28.86000,28.16500,28.28000,1370624
58,2023-01-17,29.24000,29.24000,28.58000,29.03000,1239692
59,2023-01-13,29.25000,29.39000,28.80000,29.17000,1180350
60,2023-01-12,29.43000,29.76000,29.26000,29.51000,1538255
61,2023-01-11,29.34000,29.56000,29.10000,29.18000,1637586
62,2023-01-10,29.30000,29.64000,29.06000,29.29000,2361763
63,2023-01-09,29.61000,29.77000,29.25500,29.39000,1541252
64,2023-01-06,28.80000,29.54500,28.57000,29.52000,920722
65,2023-01-05,28.97000,29.09000,28.53500,28.60000,1016029
