,datetime,open,high,low,close,volume
0,2023-04-11,22.42000,22.66000,21.90000,22.06000,1333100
1,2023-04-10,22.20000,22.65000,22.07000,22.63000,860900
2,2023-04-06,21.92000,22.30000,21.76000,22.29000,633300
3,2023-04-05,22.00000,22.29000,21.78000,21.82000,1377000
4,2023-04-04,23.03000,23.04000,21.00000,22.02000,2397600
5,2023-04-03,22.04000,22.55000,21.81000,22.51000,1587000
6,2023-03-31,21.93000,21.93000,21.58000,21.66000,1167100
7,2023-03-30,21.91000,21.91000,21.45000,21.63000,1247800
8,2023-03-29,21.91000,21.96000,21.70000,21.77000,1833700
9,2023-03-28,21.63000,21.87000,21.61000,21.85000,1138900
10,2023-03-27,21.88000,21.92000,21.61000,21.64000,1077800
11,2023-03-24,21.13000,21.78000,21.09000,21.77000,709000
12,2023-03-23,20.99000,21.31000,20.95000,21.11000,575400
13,2023-03-22,21.21000,21.28000,20.84000,20.84000,1051000
14,2023-03-21,21.04000,21.46000,20.84000,21.25000,1349600
15,2023-03-20,20.76000,20.96000,20.60000,20.90000,649900
16,2023-03-17,20.86000,20.98000,20.54000,20.64000,1622200
17,2023-03-16,20.90000,21.09000,20.75000,20.86000,725700
18,2023-03-15,20.99000,21.15000,20.60000,21.07000,659600
19,2023-03-14,21.10000,21.23000,20.79000,21.13000,747600
20,2023-03-13,20.45000,20.94000,20.45000,20.73000,702700
21,2023-03-10,21.09000,21.21000,20.63000,20.70000,1029300
22,2023-03-09,21.03000,21.19000,20.93000,21.14000,786600
23,2023-03-08,21.17000,21.19000,20.82000,21.01000,1002300
24,2023-03-07,21.15000,21.39000,20.95000,21.22000,1275300
25,2023-03-06,21.08000,21.77000,20.83000,21.20000,1761500
26,2023-03-03,19.61000,20.31000,19.19000,19.20000,694200
27,2023-03-02,19.75000,20.23000,19.38000,19.56000,939400
28,2023-03-01,20.56000,20.75000,17.86000,19.86000,1890000
29,2023-02-28,20.99000,21.45000,20.76000,20.83000,957700
30,2023-02-27,21.40000,21.70000,20.86000,20.94000,753900
31,2023-02-24,21.81000,21.86000,21.06000,21.31000,772200
32,2023-02-23,21.89000,22.12000,21.63000,21.96000,531800
33,2023-02-22,21.94000,22.12000,21.60000,21.84000,677000
34,2023-02-21,22.36000,22.46000,21.68000,21.85000,769700
35,2023-02-17,22.50000,22.61000,22.14000,22.53000,424100
36,2023-02-16,21.84000,22.68000,21.69000,22.34000,555700
37,2023-02-15,21.67000,22.48000,20.98000,22.06000,1428200
38,2023-02-14,23.03000,23.28000,22.81000,23.09000,432300
39,2023-02-13,23.02000,23.18000,22.66000,23.06000,424100
40,2023-02-10,23.01000,23.32000,22.76000,23.00000,568800
41,2023-02-09,23.64000,23.89000,22.99000,23.04000,392600
42,2023-02-08,23.71000,23.83000,23.42000,23.45000,344000
43,2023-02-07,23.98000,24.21000,23.45000,23.80000,404800
44,2023-02-06,24.32000,24.67000,23.50000,23.96000,377300
45,2023-02-03,24.37000,24.87000,23.93000,24.32000,611800
46,2023-02-02,24.03000,24.74000,23.80000,24.47000,759300
47,2023-02-01,22.86000,24.13000,22.65000,23.94000,1091300
48,2023-01-31,23.07000,23.35000,22.77000,22.86000,476500
49,2023-01-30,23.26000,23.40000,22.98000,22.99000,416700
50,2023-01-27,22.96000,23.45000,22.90000,23.26000,270300
51,2023-01-26,23.58000,23.84000,22.85000,22.94000,404300
52,2023-01-25,22.73000,23.39000,22.29000,23.38000,639000
53,2023-01-24,24.18000,24.26000,22.36000,22.77000,1010500
54,2023-01-23,24.00000,24.27000,23.64000,24.17000,581700
55,2023-01-20,23.82000,23.98000,23.34000,23.93000,642200
56,2023-01-19,23.50000,23.79000,23.27000,23.68000,649700
57,2023-01-18,22.93000,23.86000,22.93000,23.49000,770300
58,2023-01-17,22.42000,23.02000,22.28000,22.93000,575500
59,2023-01-13,21.93000,22.79000,21.93000,22.44000,879800
60,2023-01-12,21.15000,21.88000,20.81000,21.86000,704800
61,2023-01-11,20.93000,21.12000,20.77000,21.02000,489500
62,2023-01-10,20.55000,21.03000,20.55000,20.89000,386300
63,2023-01-09,20.66000,20.82000,20.43000,20.52000,441300
64,2023-01-06,20.71000,20.93000,20.35000,20.64000,521600
65,2023-01-05,20.09000,20.63000,19.78000,20.50000,485800
66,2023-01-04,20.23000,20.56000,19.81000,20.24000,611400
67,2023-01-03,20.40000,20.65000,19.97000,20.17000,659700
68,2022-12-30,20.36000,20.37000,20.01000,20.31000,528500
69,2022-12-29,20.12000,20.59000,20.02000,20.48000,463700
70,2022-12-28,20.07000,20.31000,19.87000,19.95000,362500
71,2022-12-27,20.64000,20.65000,19.84000,20.01000,466500
72,2022-12-23,20.66000,20.97000,20.45000,20.65000,523300
73,2022-12-22,20.50000,20.78000,20.20000,20.60000,640600
74,2022-12-21,20.61000,20.68000,20.19000,20.56000,519100
75,2022-12-20,20.26000,20.95000,20.26000,20.52000,1403700
