,datetime,open,high,low,close,volume
0,2023-04-11,75.27000,75.83000,75.09000,75.74000,1635278
1,2023-04-10,73.93000,75.03000,73.66000,74.97000,1177500
2,2023-04-06,74.06000,74.52000,73.56000,74.38000,1632200
3,2023-04-05,75.33000,75.57000,74.39000,74.68000,1812200
4,2023-04-04,75.49000,76.23000,75.14000,75.67000,2716500
5,2023-04-03,74.72000,75.67000,74.39000,75.48000,2122200
6,2023-03-31,73.77000,75.41000,73.57000,75.21000,2718200
7,2023-03-30,74.54000,74.82000,73.41000,73.48000,2048200
8,2023-03-29,73.70000,74.22000,73.27000,74.04000,1640300
9,2023-03-28,72.66000,73.43000,72.60000,73.11000,1714400
10,2023-03-27,71.72000,72.80000,71.60000,72.73000,2388500
11,2023-03-24,70.75000,71.50000,70.13000,71.43000,1541100
12,2023-03-23,70.72000,71.92000,70.51000,71.23000,2845300
13,2023-03-22,71.17000,72.14000,70.47000,70.49000,1855900
14,2023-03-21,71.01000,71.36000,70.57000,71.17000,1416100
15,2023-03-20,69.87000,70.59000,69.59000,70.53000,1703200
16,2023-03-17,69.61000,69.98000,68.98000,69.72000,3868100
17,2023-03-16,68.03000,70.17000,67.80000,70.01000,2029100
18,2023-03-15,68.25000,68.78000,67.30000,68.09000,2265200
19,2023-03-14,68.56000,69.74000,68.33000,69.31000,4469300
20,2023-03-13,68.01000,68.45000,67.24000,67.92000,2773000
21,2023-03-10,69.67000,69.73000,68.26000,68.40000,2049700
22,2023-03-09,71.21000,71.39000,69.52000,69.64000,1893600
23,2023-03-08,70.57000,71.25000,70.27000,71.22000,1633700
24,2023-03-07,70.74000,71.14000,70.39000,70.42000,1959500
25,2023-03-06,71.43000,71.47000,70.40000,70.57000,1821200
26,2023-03-03,71.18000,71.68000,70.88000,71.42000,1826171
27,2023-03-02,69.66000,71.28500,69.40000,71.05000,1449717
28,2023-03-01,70.36000,70.67000,69.48000,69.80000,1894056
29,2023-02-28,69.91000,71.37500,69.91000,70.46000,2489354
30,2023-02-27,69.79000,70.12000,69.33500,69.96000,2068630
31,2023-02-24,68.70000,69.27000,68.29000,69.23000,2911784
32,2023-02-23,69.49000,69.88000,69.05000,69.60000,2081542
33,2023-02-22,69.36000,70.02000,68.99000,69.35000,2683452
34,2023-02-21,68.90000,70.20000,68.51000,69.04000,3377376
35,2023-02-17,68.60000,68.85500,67.86000,68.40000,2091306
36,2023-02-16,69.60000,69.60000,68.22000,68.93000,1263940
37,2023-02-15,68.82000,69.74000,68.60000,69.71000,1102640
38,2023-02-14,68.68000,69.45000,68.11000,69.28000,1080954
39,2023-02-13,68.41000,68.99500,68.05000,68.83000,1120792
40,2023-02-10,68.58000,68.88000,67.39000,67.90000,1146614
41,2023-02-09,69.44000,69.96000,68.86000,69.22000,1744708
42,2023-02-08,68.29000,68.94000,68.28000,68.79000,1335062
43,2023-02-07,67.95000,69.16500,67.28000,68.89000,1516728
44,2023-02-06,68.20000,68.42000,67.78000,68.05000,1086956
45,2023-02-03,68.85000,69.58500,68.02000,68.64000,1823884
46,2023-02-02,69.97000,70.93000,69.53000,69.75000,2790740
47,2023-02-01,66.48000,69.99500,66.05500,69.51000,2428398
48,2023-01-31,66.40000,67.00000,66.25000,66.61000,1561842
49,2023-01-30,66.64000,67.18500,66.22000,66.29000,1413046
50,2023-01-27,66.48000,67.60000,65.92000,67.08000,1277912
51,2023-01-26,66.67000,66.89000,66.09000,66.75000,1611778
52,2023-01-25,64.32000,66.00000,63.96000,65.93000,1737324
53,2023-01-24,64.80000,65.23000,64.08000,65.10000,1611042
54,2023-01-23,63.73000,65.02000,63.59000,64.86000,1799942
55,2023-01-20,61.51000,63.62000,61.03000,63.48000,1637560
56,2023-01-19,62.29000,62.86000,61.44000,61.51000,1564434
57,2023-01-18,63.60000,64.15000,62.45000,62.53000,1565572
58,2023-01-17,62.71000,63.20000,61.88990,63.10000,1831160
59,2023-01-13,62.54000,62.99000,62.24000,62.82000,1136780
60,2023-01-12,62.27500,62.64000,61.42000,62.56000,2060656
61,2023-01-11,61.75000,62.48000,61.21000,62.36000,2284794
62,2023-01-10,61.96000,62.27000,61.34000,61.62000,2692660
63,2023-01-09,62.66000,63.60000,62.22000,62.44000,1773768
64,2023-01-06,61.14000,62.63000,60.64000,62.39000,1519808
65,2023-01-05,61.42000,61.42000,60.50500,60.55000,1574640
66,2023-01-04,62.28000,62.66000,61.53000,61.98000,1487150
67,2023-01-03,61.41000,62.07500,60.76500,61.46000,1838138
68,2022-12-30,60.79000,61.21000,60.24000,60.89000,2222108
69,2022-12-29,60.55000,61.56500,60.47500,61.23000,1335452
70,2022-12-28,60.11000,60.79000,59.84000,59.96000,1426050
71,2022-12-27,60.67000,61.01000,59.80000,60.09000,1277840
72,2022-12-23,60.04000,60.75000,59.43400,60.51000,1024988
73,2022-12-22,60.48000,60.79500,59.23000,59.98000,1729758
74,2022-12-21,60.75000,61.17000,60.44000,61.05000,1546756
75,2022-12-20,60.24000,60.41000,59.59000,60.25000,1427416
76,2022-12-19,60.21000,61.20000,60.17000,60.31000,1838848
77,2022-12-16,59.67200,60.55000,59.67200,60.39000,4717778
78,2022-12-15,61.85000,62.12500,60.47000,60.57000,2344204
79,2022-12-14,62.66000,63.45000,61.64000,62.47000,2265214
80,2022-12-13,66.83000,66.96000,62.05000,62.69000,2906644
81,2022-12-12,64.25000,64.40000,63.42000,64.38000,1768368
82,2022-12-09,63.65000,64.38000,63.04000,63.79000,1751318
83,2022-12-08,63.26000,64.10000,62.89000,63.90000,1688892
84,2022-12-07,64.10000,64.41000,62.91000,63.09000,2429832
85,2022-12-06,65.70000,65.97990,63.93000,64.24000,2079956
86,2022-12-05,66.65000,66.72000,65.39000,65.70000,2003106
87,2022-12-02,66.45000,67.52000,66.20000,67.15000,1786886
88,2022-12-01,66.93000,67.79000,66.74500,67.67000,1622622
89,2022-11-30,64.60000,66.75000,64.07000,66.56000,3551816
90,2022-11-29,64.85000,64.98500,63.98000,64.44000,1787036
91,2022-11-28,64.66500,65.67000,64.66500,65.06000,2020218
92,2022-11-25,66.17000,66.36000,65.06000,65.09000,748342
93,2022-11-23,64.93000,66.14000,64.64000,65.87000,2042018
94,2022-11-22,64.28000,64.88000,63.57000,64.74000,1819514
95,2022-11-21,63.92000,65.35000,63.92000,64.08000,2033048
96,2022-11-18,65.22000,65.90000,63.68000,64.42000,2453604
97,2022-11-17,60.18000,64.20000,59.38000,64.14000,3508542
98,2022-11-16,62.22000,62.60500,61.35000,62.04000,3498652
99,2022-11-15,62.52000,63.19000,61.65000,62.06000,2162008
100,2022-11-14,61.47000,62.37000,61.20000,61.24000,2061048
101,2022-11-11,60.53000,61.87000,60.52010,61.56000,1939966
102,2022-11-10,58.72000,60.51000,58.56000,60.46000,3288252
103,2022-11-09,56.53000,56.76000,55.58000,55.67000,2133464
104,2022-11-08,57.43000,57.93000,55.98000,56.89000,2449434
105,2022-11-07,58.11000,58.37000,57.03000,57.09000,3285096
106,2022-11-04,57.33000,58.06000,56.16000,57.38000,1824948
107,2022-11-03,55.57000,57.61750,55.36000,56.69500,2125680
108,2022-11-02,57.53000,58.32000,56.00500,56.03000,2122188
109,2022-11-01,57.97500,58.36000,57.47500,57.55000,1630732
110,2022-10-31,57.80000,58.15000,57.21500,57.51000,2011996
111,2022-10-28,56.72500,58.24500,56.28000,58.18000,1688536
112,2022-10-27,57.05000,57.68000,56.45500,56.70500,1684612
113,2022-10-26,56.95500,58.14500,56.80000,56.92500,1585848
114,2022-10-25,55.82500,56.87750,55.74000,56.81500,1320546
115,2022-10-24,55.14500,55.79000,54.59250,55.57000,1894796
116,2022-10-21,54.26000,54.93500,53.75500,54.81500,2571424
117,2022-10-20,55.60000,56.12000,54.26250,54.40500,1917428
118,2022-10-19,55.67000,56.07500,54.99500,55.47500,1547056
119,2022-10-18,56.88000,57.34250,55.92500,56.27000,2036024
120,2022-10-17,55.23000,55.95000,54.83500,55.46000,2392098
121,2022-10-14,56.03500,56.15500,53.83750,53.92000,2056002
122,2022-10-13,53.77500,55.72000,52.89000,55.27000,2339470
123,2022-10-12,55.25500,55.50000,54.68000,55.35000,1693450
124,2022-10-11,55.16000,55.50500,54.36500,54.93000,1914856
125,2022-10-10,55.12000,55.92500,54.76000,55.43500,2384332
126,2022-10-07,55.94500,56.28000,54.62500,54.84000,2743938
127,2022-10-06,56.36000,57.16000,56.27000,56.66000,2729786
128,2022-10-05,55.97000,56.93500,55.74750,56.39500,2423738
129,2022-10-04,55.78000,56.98000,55.78000,56.94500,2171258
130,2022-10-03,53.86000,55.19000,53.62750,54.82500,2234496
131,2022-09-30,54.94000,55.25500,53.07500,53.20000,4001132
132,2022-09-29,55.15000,55.50000,54.56000,54.89000,2494730
133,2022-09-28,54.89500,56.00500,54.21000,55.60000,2856180
134,2022-09-27,53.66000,54.56500,53.49380,54.41500,3104888
135,2022-09-26,53.43500,54.31000,53.20500,53.30500,2092204
136,2022-09-23,52.48500,53.08500,52.28500,53.07000,2239010
137,2022-09-22,53.55500,53.81500,52.43000,52.54000,2028406
138,2022-09-21,55.33000,55.86500,53.93500,53.94000,1696252
139,2022-09-20,55.35500,55.35500,54.57500,55.04500,2131368
140,2022-09-19,54.84500,55.70750,54.78500,55.54500,2261234
141,2022-09-16,55.10500,55.31500,54.59000,55.05000,5180528
142,2022-09-15,55.21500,55.88000,55.05000,55.30500,2960080
143,2022-09-14,55.18000,55.49250,54.38750,55.38000,3146324
144,2022-09-13,57.21000,57.38500,54.99000,55.07500,3424916
145,2022-09-12,58.34000,59.06250,58.13000,58.50000,2545684
146,2022-09-09,58.53000,58.92000,57.61500,58.05500,3247438
147,2022-09-08,56.47500,58.53500,56.06500,58.47500,3229992
