,datetime,open,high,low,close,volume
0,2023-04-11,17.35000,17.72000,17.35000,17.55000,2190400
1,2023-04-10,17.30000,17.42000,16.78000,17.26000,2225500
2,2023-04-06,16.94000,17.41000,16.83000,17.38000,1940100
3,2023-04-05,16.71000,17.10000,16.62000,16.93000,1166500
4,2023-04-04,16.77000,16.86000,16.32000,16.78000,1500600
5,2023-04-03,16.73000,17.27000,16.59000,16.94000,1488200
6,2023-03-31,16.54000,16.74000,16.42000,16.58000,2182700
7,2023-03-30,16.76000,16.84000,16.23000,16.46000,1156300
8,2023-03-29,16.49000,16.86000,16.45000,16.72000,1429700
9,2023-03-28,16.63000,16.99000,16.22000,16.37000,1554200
10,2023-03-27,16.22000,16.52000,16.07000,16.44000,1190700
11,2023-03-24,15.88000,16.17000,15.64000,16.12000,1474300
12,2023-03-23,16.47000,16.56000,15.66000,16.02000,1469000
13,2023-03-22,16.74000,16.74000,16.18000,16.21000,1742600
14,2023-03-21,16.65000,16.79000,16.37000,16.53000,1755300
15,2023-03-20,15.96000,16.46000,15.96000,16.40000,2845300
16,2023-03-17,15.65000,16.46000,15.54000,15.92000,4629900
17,2023-03-16,14.47000,16.33000,13.87000,15.75000,3312400
18,2023-03-15,14.80000,14.80000,14.14000,14.34000,2956100
19,2023-03-14,14.81000,15.32000,14.69000,14.85000,1601500
20,2023-03-13,14.45000,15.19000,14.42000,14.63000,1780500
21,2023-03-10,15.05000,15.23000,14.37000,14.64000,2608100
22,2023-03-09,15.26000,15.45000,14.93000,15.05000,1834100
23,2023-03-08,15.21000,15.38000,15.13000,15.34000,1248300
24,2023-03-07,15.15000,15.31000,15.02000,15.15000,1373000
25,2023-03-06,15.40000,15.45000,14.93000,15.10000,1581600
26,2023-03-03,15.31000,15.63000,15.22000,15.45000,1199500
27,2023-03-02,15.36000,15.62000,15.03000,15.30000,993700
28,2023-03-01,15.49000,15.58000,15.25000,15.46000,1385200
29,2023-02-28,15.44000,15.58000,15.24000,15.26000,987900
30,2023-02-27,15.35000,15.57000,15.25000,15.38000,1384000
31,2023-02-24,15.22000,15.56000,15.11150,15.26000,1099831
32,2023-02-23,15.47000,15.49000,15.15000,15.28000,1702900
33,2023-02-22,15.31000,15.46000,15.19000,15.38000,1238100
34,2023-02-21,15.47000,15.54000,15.21000,15.25000,2229700
35,2023-02-17,15.26000,15.69000,15.04000,15.52000,2756200
36,2023-02-16,15.21000,15.39000,15.00000,15.21000,1360500
37,2023-02-15,15.41000,15.50000,15.21000,15.36000,1996200
38,2023-02-14,15.51000,15.57000,15.24000,15.46000,1178600
39,2023-02-13,15.49000,15.75000,15.23000,15.54000,1244500
40,2023-02-10,15.50000,15.62000,15.23000,15.47000,1000700
41,2023-02-09,15.46000,15.70000,15.37000,15.48000,1436200
42,2023-02-08,16.21000,16.41000,15.24000,15.30000,1891100
43,2023-02-07,16.01000,16.24000,15.73000,16.21000,2273800
44,2023-02-06,16.13000,16.50000,15.75000,15.87000,1591200
45,2023-02-03,15.72000,16.22000,15.72000,16.10000,1691100
46,2023-02-02,15.25000,15.92000,15.11000,15.80000,2786900
47,2023-02-01,15.59000,15.59000,14.86000,15.31000,2655000
48,2023-01-31,15.75000,15.96000,15.25000,15.49000,2329600
49,2023-01-30,15.35000,16.10000,15.31000,15.72000,2341200
50,2023-01-27,16.00000,16.45000,15.45000,15.52000,3052000
51,2023-01-26,16.98000,16.98000,15.87000,15.99000,3003700
52,2023-01-25,15.70000,16.88000,15.53000,16.73000,3767400
53,2023-01-24,14.79000,16.25000,14.71000,16.12000,5912900
54,2023-01-23,18.32000,18.41000,13.30000,14.76000,18446300
55,2023-01-20,20.45000,21.01000,20.31000,20.80000,1915500
56,2023-01-19,20.31000,20.90000,20.24000,20.27000,1331300
57,2023-01-18,20.30000,20.69000,19.71000,20.43000,2259000
58,2023-01-17,21.53000,21.53000,20.05000,20.14000,1820500
59,2023-01-13,20.83000,22.11000,20.75000,21.05000,2755500
60,2023-01-12,19.81000,21.15000,19.48000,20.97000,2713500
61,2023-01-11,19.71000,20.60000,19.15000,19.81000,2236200
62,2023-01-10,19.06000,19.74000,19.04000,19.73000,1795500
63,2023-01-09,20.20000,20.35000,18.92000,19.02000,2859800
64,2023-01-06,19.20000,20.51000,18.95000,19.60000,3142000
65,2023-01-05,18.58000,18.98000,18.27000,18.83000,1832300
66,2023-01-04,18.06000,18.75000,17.90000,18.55000,1712300
67,2023-01-03,18.70000,18.89000,17.94000,18.06000,1900600
68,2022-12-30,18.22000,18.60000,18.01000,18.60000,1209800
69,2022-12-29,18.50000,19.00000,18.12000,18.34000,1613400
70,2022-12-28,18.54000,18.93000,17.94000,18.13000,1521000
71,2022-12-27,19.04000,19.28000,18.47000,18.59000,1634900
72,2022-12-23,19.50000,19.52000,18.80000,19.01000,1379900
73,2022-12-22,19.46000,19.70000,18.63000,19.35000,2454900
74,2022-12-21,18.92000,19.78000,18.20000,19.50000,3260600
75,2022-12-20,16.80000,18.70000,16.76000,18.60000,4076100
76,2022-12-19,16.00000,16.48000,15.51000,16.41000,1831700
77,2022-12-16,16.74000,16.96000,15.58000,16.00000,4300700
78,2022-12-15,17.58000,17.58000,16.56000,16.84000,2423500
79,2022-12-14,17.78000,18.38000,17.65000,17.71000,2344500
80,2022-12-13,17.95000,17.98000,17.01000,17.80000,2603400
81,2022-12-12,16.68000,17.66000,16.49000,17.41000,2918600
82,2022-12-09,16.76000,16.82000,16.37000,16.38000,1131700
83,2022-12-08,17.01000,17.10000,16.62000,16.80000,969000
84,2022-12-07,16.39000,16.91000,16.18000,16.82000,1618500
85,2022-12-06,16.95000,17.09000,16.19000,16.46000,2296500
86,2022-12-05,17.36000,17.55000,16.66000,16.98000,2407000
87,2022-12-02,16.56000,17.55000,16.51000,17.27000,3382000
88,2022-12-01,16.90000,16.90000,16.27000,16.63000,1846900
89,2022-11-30,16.61000,16.86000,15.95000,16.77000,2989300
90,2022-11-29,16.52000,16.92000,16.18000,16.27000,2555100
91,2022-11-28,17.07000,18.39000,16.46000,16.49000,3876000
92,2022-11-25,16.93000,17.11000,16.47000,16.97000,1008800
93,2022-11-23,17.45000,17.76000,16.76000,17.03000,3807400
94,2022-11-22,15.77000,17.71000,15.70000,17.51000,6284600
95,2022-11-21,15.61000,15.68000,14.96000,15.56000,1902800
96,2022-11-18,15.50000,16.15000,15.36000,15.59000,2547900
97,2022-11-17,15.03000,15.34000,14.75000,15.30000,1541000
98,2022-11-16,15.84000,16.03000,15.22000,15.23000,2044300
99,2022-11-15,16.00000,16.19000,15.47000,15.89000,2234000
100,2022-11-14,14.87000,16.40000,14.86000,15.75000,3581000
101,2022-11-11,15.87000,16.66000,14.54000,14.65000,4829700
102,2022-11-10,15.64000,15.94000,14.53000,15.43000,3690900
103,2022-11-09,15.25000,15.44000,14.43000,14.51000,2248700
104,2022-11-08,15.10000,15.95000,15.10000,15.33000,2889600
105,2022-11-07,14.14000,15.26000,14.13000,15.05000,3173700
106,2022-11-04,14.07000,14.24000,13.53000,14.06000,2506300
107,2022-11-03,13.45000,14.14000,13.35000,13.98000,1792500
108,2022-11-02,13.96000,14.06000,13.53000,13.53000,1490500
109,2022-11-01,13.96000,14.09000,13.77000,13.98000,1153500
110,2022-10-31,14.15000,14.30000,13.85000,13.87000,1251200
111,2022-10-28,13.94000,14.23000,13.73000,14.19000,1473200
112,2022-10-27,14.37000,14.47000,13.73000,13.79000,1281400
113,2022-10-26,14.59000,14.71000,14.15000,14.28000,1715700
114,2022-10-25,14.10000,14.67000,14.06000,14.50000,2362700
115,2022-10-24,13.50000,14.18000,13.11000,14.00000,2360100
116,2022-10-21,12.98000,13.45000,12.78000,13.41000,1717300
117,2022-10-20,12.55000,13.03000,12.49000,12.76000,1449600
118,2022-10-19,12.73000,12.97000,12.53000,12.65000,1603000
119,2022-10-18,13.23000,13.36000,12.86000,12.92000,1245900
120,2022-10-17,12.72000,13.11000,12.62000,13.06000,1359700
121,2022-10-14,12.99000,13.09000,12.52000,12.55000,1353400
122,2022-10-13,12.22000,12.96000,12.14000,12.93000,1580900
123,2022-10-12,12.49000,12.60000,12.26000,12.40000,1768200
124,2022-10-11,12.29000,12.64000,12.12000,12.52000,1492100
125,2022-10-10,12.25000,12.39000,12.08000,12.29000,1344700
126,2022-10-07,12.45000,12.49000,12.16000,12.25000,2014600
127,2022-10-06,12.73000,12.86000,12.44000,12.47000,1495400
128,2022-10-05,12.68000,12.95000,12.63000,12.74000,2031200
129,2022-10-04,13.26000,13.41000,12.58000,12.75000,2346800
130,2022-10-03,13.06000,13.30000,12.93000,13.14000,1639200
131,2022-09-30,12.67000,13.21000,12.60000,12.83000,2185500
132,2022-09-29,12.67000,12.86000,12.48000,12.70000,1846800
133,2022-09-28,12.60000,12.92000,12.52000,12.75000,5223600
134,2022-09-27,12.29000,12.57000,12.11000,12.41000,2662300
135,2022-09-26,11.82000,12.31000,11.80000,12.09000,2225700
136,2022-09-23,12.00000,12.11000,11.67000,11.87000,3370100
137,2022-09-22,12.40000,12.53000,12.02000,12.20000,3120100
138,2022-09-21,12.82000,13.08000,12.40000,12.46000,2486000
139,2022-09-20,12.91000,13.00000,12.54000,12.80000,2591200
140,2022-09-19,13.01000,13.20000,12.50000,12.97000,4031900
141,2022-09-16,13.08000,13.63000,12.80000,13.41000,7889800
142,2022-09-15,15.29000,15.33000,13.35000,13.62000,8998500
143,2022-09-14,15.31000,15.82000,14.66000,15.52000,28326000
144,2022-09-13,16.16000,17.22000,15.07000,15.30000,17608800
145,2022-09-12,14.80000,15.15000,14.68000,15.15000,2342500
146,2022-09-09,15.38000,15.43000,14.62000,14.77000,2909900
147,2022-09-08,14.93000,15.61000,14.82000,15.25000,3218800
148,2022-09-07,13.75000,14.99000,13.75000,14.87000,5260700
149,2022-09-06,13.80000,13.84000,13.43000,13.77000,2748100
150,2022-09-02,14.19000,14.24000,13.61000,13.75000,1905100
151,2022-09-01,13.50000,13.98000,13.18000,13.98000,1935500
152,2022-08-31,13.84000,13.94000,13.37000,13.54000,2066800
153,2022-08-30,14.22000,14.24000,13.70000,13.87000,2380100
154,2022-08-29,13.82000,14.40000,13.68000,14.12000,2108900
155,2022-08-26,14.33000,14.61000,13.96000,14.02000,2288100
156,2022-08-25,13.96000,14.76000,13.94000,14.34000,2934100
157,2022-08-24,14.47000,14.60000,13.01000,13.97000,4860000
158,2022-08-23,14.46000,15.07000,14.06000,14.91000,5219800
159,2022-08-22,13.95000,14.80000,13.83000,14.31000,4122700
160,2022-08-19,13.77000,14.24000,13.58000,14.10000,1759100
161,2022-08-18,13.73000,14.01000,13.30000,13.84000,2014400
162,2022-08-17,13.70000,14.05000,13.60000,13.73000,1860200
163,2022-08-16,14.23000,14.29000,13.65000,13.97000,2548400
164,2022-08-15,13.97000,14.44000,13.68000,14.23000,3172500
165,2022-08-12,13.43000,14.31000,13.23000,13.90000,3563000
166,2022-08-11,13.10000,13.70000,12.66000,13.37000,3887300
167,2022-08-10,11.97000,13.24000,11.61000,13.13000,4079100
168,2022-08-09,10.79000,10.96000,10.54000,10.60000,1926000
169,2022-08-08,11.31000,11.32000,10.67000,10.87000,2251900
170,2022-08-05,10.62000,11.17000,10.50000,11.13000,2406800
171,2022-08-04,10.50000,10.91000,10.45000,10.77000,1389100
