,datetime,open,high,low,close,volume
0,2023-04-11,10.34000,10.34000,10.34000,10.34000,7900
1,2023-04-10,10.39000,10.39000,10.34000,10.34000,300
2,2023-04-06,10.36000,10.46200,10.34000,10.34000,4100
3,2023-04-05,10.35000,10.35000,10.35000,10.35000,600
4,2023-04-04,10.36000,10.36000,10.35000,10.35000,3000
5,2023-04-03,10.36000,10.37000,10.36000,10.37000,215900
6,2023-03-31,10.35000,10.35500,10.35000,10.35500,700
7,2023-03-30,10.35000,10.35000,10.35000,10.35000,0
8,2023-03-29,10.35000,10.35000,10.35000,10.35000,100
9,2023-03-28,10.34000,10.36000,10.33000,10.36000,685300
10,2023-03-27,10.33000,10.33000,10.33000,10.33000,665500
11,2023-03-24,10.33000,10.33000,10.32500,10.32500,40600
12,2023-03-23,10.33000,10.33000,10.32000,10.32500,7000
13,2023-03-22,10.33000,10.33000,10.32000,10.32000,10800
14,2023-03-21,10.32000,10.33000,10.32000,10.33000,1192100
15,2023-03-20,10.32000,10.32000,10.31000,10.31000,5900
16,2023-03-17,10.33000,10.33000,10.33000,10.33000,100
17,2023-03-16,10.31500,10.31500,10.31500,10.31500,474200
18,2023-03-15,10.32000,10.32000,10.31000,10.31500,66800
19,2023-03-14,10.31000,10.33000,10.31000,10.32500,109300
20,2023-03-13,10.32000,10.32000,10.32000,10.32000,6900
21,2023-03-10,10.32000,10.32000,10.32000,10.32000,143300
22,2023-03-09,10.32000,10.32700,10.31000,10.32000,16800
23,2023-03-08,10.33000,10.33000,10.32000,10.32000,59000
24,2023-03-07,10.33000,10.33000,10.31000,10.32000,120400
25,2023-03-06,10.39000,10.39000,10.39000,10.39000,100
26,2023-03-03,10.32000,10.32000,10.32000,10.32000,0
27,2023-03-02,10.30000,10.39000,10.30000,10.32000,338400
28,2023-03-01,10.29000,10.35000,10.28000,10.28000,52800
29,2023-02-28,10.29000,10.30000,10.29000,10.29000,273300
30,2023-02-27,10.31500,10.31500,10.29000,10.29000,651100
31,2023-02-24,10.28000,10.29000,10.28000,10.28000,115120
32,2023-02-23,10.28000,10.29000,10.27500,10.28000,992400
33,2023-02-22,10.27000,10.27000,10.27000,10.27000,2900
34,2023-02-21,10.27000,10.27000,10.27000,10.27000,728100
35,2023-02-17,10.26000,10.27000,10.26000,10.27000,303600
36,2023-02-15,10.25000,10.26000,10.25000,10.26000,10900
37,2023-02-14,10.25000,10.30000,10.25000,10.30000,286200
38,2023-02-13,10.23000,10.23000,10.23000,10.23000,1400
39,2023-02-09,10.25500,10.49000,10.23000,10.24000,51900
40,2023-02-08,10.22000,10.23500,10.22000,10.23500,125900
41,2023-02-07,10.22000,10.22000,10.22000,10.22000,2900
42,2023-02-06,10.23000,10.23000,10.22000,10.22000,1261000
43,2023-02-02,10.23000,10.23000,10.22000,10.22000,28000
44,2023-02-01,10.22000,10.22500,10.22000,10.22000,14300
45,2023-01-31,10.23000,10.24000,10.22000,10.22000,7200
46,2023-01-30,10.22100,10.23000,10.21000,10.23000,59000
47,2023-01-27,10.23000,10.23000,10.22500,10.23000,56500
48,2023-01-26,10.22000,10.23000,10.22000,10.23000,427400
49,2023-01-25,10.22000,10.22500,10.21000,10.21000,55500
50,2023-01-23,10.20000,10.20000,10.20000,10.20000,8200
51,2023-01-19,10.18000,10.22000,10.18000,10.19000,33700
52,2023-01-18,10.18000,10.18000,10.17000,10.17000,18600
53,2023-01-11,10.16500,10.20000,10.16500,10.20000,7500
54,2023-01-10,10.16000,10.16500,10.16000,10.16000,269400
55,2023-01-09,10.17000,10.17000,10.16000,10.16000,55100
56,2023-01-05,10.17000,10.17000,10.17000,10.17000,1500
57,2023-01-03,10.14000,10.14000,10.14000,10.14000,500
58,2022-12-22,10.13000,10.13000,10.12000,10.12000,20337
59,2022-12-21,10.18000,10.18000,10.17000,10.17800,18600
60,2022-12-20,10.13000,10.17000,10.13000,10.17000,726800
61,2022-12-19,10.11000,10.11000,10.11000,10.11000,600
62,2022-12-12,10.11000,10.11000,10.11000,10.11000,92000
63,2022-12-09,10.08000,10.08000,10.08000,10.08000,500
64,2022-12-01,10.06000,10.06000,10.06000,10.06000,2179
65,2022-11-23,10.05000,10.15000,10.05000,10.15000,7500
66,2022-11-22,10.08000,10.10000,10.05000,10.10000,187900
67,2022-11-21,10.08000,10.08000,10.08000,10.08000,310000
68,2022-11-18,10.04000,10.04000,10.04000,10.04000,1200
69,2022-11-16,10.05000,10.09000,10.05000,10.09000,23800
70,2022-11-15,10.04000,10.04000,10.04000,10.04000,200
71,2022-11-14,10.04000,10.04000,10.04000,10.04000,3900
72,2022-11-09,10.03000,10.03000,10.02000,10.02000,125100
73,2022-11-07,10.03000,10.03000,10.03000,10.03000,1300
74,2022-11-03,10.02500,10.03000,10.02000,10.02000,71600
75,2022-11-01,10.02000,10.02000,10.00500,10.00500,102100
76,2022-10-31,10.01000,10.01000,10.00000,10.00000,25000
77,2022-10-28,9.96000,10.02000,9.96000,9.99500,161400
78,2022-10-27,10.00000,10.00000,9.99000,10.00000,12100
79,2022-10-26,10.00000,10.00000,10.00000,10.00000,1200
80,2022-10-24,9.95000,9.95000,9.95000,9.95000,50000
81,2022-10-21,9.95000,9.95000,9.95000,9.95000,20000
82,2022-10-20,9.94000,9.95000,9.94000,9.95000,21300
83,2022-10-19,9.94000,9.94000,9.94000,9.94000,100
84,2022-10-18,9.99000,9.99000,9.94000,9.94000,300
85,2022-10-17,9.98000,9.98000,9.94000,9.94000,600
86,2022-10-14,9.92000,9.92000,9.92000,9.92000,100
87,2022-10-13,9.92000,9.92000,9.92000,9.92000,100
88,2022-10-05,9.91000,9.91000,9.91000,9.91000,1800
89,2022-10-04,9.98000,9.98000,9.98000,9.98000,200
90,2022-10-03,9.92000,9.92000,9.92000,9.92000,900
91,2022-09-30,9.92000,9.92000,9.90000,9.90000,2
92,2022-09-29,9.92000,9.92000,9.90000,9.90000,2
93,2022-09-28,9.94000,9.94000,9.92000,9.92000,55
94,2022-09-27,9.92000,9.92000,9.90000,9.90000,2600
95,2022-09-26,9.90000,9.90000,9.89000,9.90000,17100
96,2022-09-23,9.91500,9.91500,9.90000,9.90000,3300
97,2022-09-22,9.92000,9.92000,9.92000,9.92000,200
98,2022-09-21,9.93000,9.93000,9.90000,9.90000,700
99,2022-09-20,9.90000,9.90000,9.90000,9.90000,139600
100,2022-09-19,9.91000,9.91000,9.91000,9.91000,200
101,2022-09-15,9.90000,9.90000,9.90000,9.90000,445000
102,2022-09-14,9.92000,9.92000,9.92000,9.92000,200
103,2022-09-13,9.91000,9.91000,9.91000,9.91000,124900
104,2022-09-12,9.88000,9.88000,9.88000,9.88000,500
105,2022-09-09,9.92000,9.92000,9.92000,9.92000,100
106,2022-09-08,9.87000,9.87000,9.87000,9.87000,500
107,2022-09-06,9.92000,9.92000,9.90000,9.90000,5200
108,2022-09-01,9.93500,9.93500,9.90000,9.91000,65900
109,2022-08-31,9.89000,9.89000,9.89000,9.89000,1500
110,2022-08-30,9.84000,9.84000,9.84000,9.84000,1600
111,2022-08-25,9.89000,9.93000,9.89000,9.89000,800
112,2022-08-23,9.87000,9.88000,9.86000,9.88000,73900
113,2022-08-22,9.87000,9.87000,9.87000,9.87000,2200
114,2022-08-19,9.86000,9.87000,9.86000,9.87000,26800
115,2022-08-17,9.84000,9.84000,9.84000,9.84000,250000
116,2022-08-15,9.84000,9.84000,9.84000,9.84000,100
117,2022-08-12,9.84000,9.84000,9.84000,9.84000,22400
118,2022-08-11,9.84000,9.84000,9.84000,9.84000,8000
119,2022-08-10,9.83500,9.84000,9.83000,9.83000,2300
120,2022-08-09,9.89000,9.89000,9.84000,9.84000,478600
121,2022-08-03,9.82000,9.84000,9.82000,9.84000,2900
122,2022-08-01,9.85500,9.85500,9.85000,9.85000,1900
123,2022-07-27,9.84000,9.84500,9.84000,9.84000,2200
124,2022-07-21,9.82000,9.82000,9.82000,9.82000,100
125,2022-07-19,9.84000,9.84000,9.84000,9.84000,200
126,2022-07-18,9.84000,9.84000,9.80000,9.80000,3000
127,2022-07-15,9.80000,9.80000,9.80000,9.80000,137200
128,2022-07-13,9.78000,9.83000,9.78000,9.83000,900
129,2022-07-12,9.79000,9.79000,9.79000,9.79000,100
130,2022-07-07,9.80000,9.80000,9.80000,9.80000,10000
131,2022-07-05,9.78000,9.78000,9.78000,9.78000,200
132,2022-06-30,9.79000,9.80000,9.78000,9.78000,14500
133,2022-06-29,9.80000,9.82000,9.80000,9.80000,3200
134,2022-06-22,9.78000,9.78000,9.78000,9.78000,200
135,2022-06-17,9.79000,9.79000,9.79000,9.79000,149600
136,2022-06-16,9.79000,9.79000,9.78000,9.79000,128000
137,2022-06-15,9.85000,9.85000,9.80000,9.80000,10100
138,2022-06-13,9.79000,9.80000,9.79000,9.80000,600
139,2022-06-10,9.78000,9.78000,9.78000,9.78000,27600
140,2022-06-07,9.82000,9.84000,9.77000,9.77000,15700
141,2022-06-06,9.84000,9.84000,9.78000,9.78000,300
142,2022-06-02,9.79000,9.79000,9.79000,9.79000,465500
143,2022-06-01,9.79000,9.80000,9.79000,9.79000,6200
144,2022-05-25,9.82000,9.82000,9.75000,9.82000,4600
145,2022-05-24,9.81000,9.82000,9.79000,9.79000,7200
146,2022-05-20,9.74000,9.82000,9.74000,9.82000,58100
147,2022-05-19,9.78000,9.78500,9.74000,9.76000,7800
148,2022-05-18,9.78000,9.93000,9.74000,9.75000,117600
149,2022-05-17,9.78000,9.78000,9.78000,9.78000,20000
150,2022-05-16,9.78000,9.78000,9.77000,9.77000,900
151,2022-05-12,9.78000,9.78000,9.78000,9.78000,100
152,2022-05-10,9.80000,9.83000,9.79000,9.83000,45500
153,2022-05-09,9.81000,9.81000,9.81000,9.81000,5300
154,2022-05-06,9.81000,9.81000,9.81000,9.81000,14300
155,2022-05-05,9.81000,9.81000,9.81000,9.81000,754200
156,2022-05-04,9.81000,9.81000,9.81000,9.81000,2000
157,2022-05-02,9.82500,9.84000,9.81000,9.81000,19000
158,2022-04-28,9.80000,9.83000,9.80000,9.83000,800
159,2022-04-25,9.82000,9.82000,9.82000,9.82000,400
160,2022-04-22,9.83000,10.50400,9.79000,9.86200,5500
161,2022-04-21,9.83000,9.83000,9.83000,9.83000,200
162,2022-04-20,9.83400,9.83400,9.83400,9.83400,600
163,2022-04-14,9.81000,9.81000,9.80000,9.80000,6900
164,2022-04-13,9.80000,9.80000,9.80000,9.80000,5000
165,2022-04-08,9.78000,9.81000,9.78000,9.80000,18000
166,2022-04-07,9.80000,9.83000,9.80000,9.83000,7000
167,2022-04-06,9.80000,9.80000,9.80000,9.80000,78100
168,2022-04-05,9.76000,9.80000,9.76000,9.80000,20200
169,2022-03-31,9.76000,9.76000,9.76000,9.76000,400
170,2022-03-30,9.77000,9.77000,9.77000,9.77000,700
171,2022-03-29,9.75600,9.76000,9.75500,9.76000,161800
172,2022-03-25,9.76000,9.76000,9.76000,9.76000,13000
173,2022-03-24,9.75000,9.76000,9.75000,9.76000,317300
174,2022-03-23,9.76000,9.76000,9.76000,9.76000,49100
175,2022-03-22,9.76000,9.76000,9.76000,9.76000,1400
176,2022-03-21,9.76000,9.76000,9.75000,9.76000,45400
177,2022-03-18,9.77000,9.77000,9.74000,9.77000,8900
178,2022-03-17,9.75000,9.77000,9.75000,9.77000,26100
179,2022-03-15,9.75000,9.75000,9.74000,9.74500,221400
180,2022-03-14,9.75000,9.76000,9.73000,9.74000,510900
181,2022-03-11,9.75000,9.75000,9.71600,9.75000,500
182,2022-03-10,9.72000,9.73000,9.72000,9.73000,9000
183,2022-03-09,9.71000,9.71000,9.71000,9.71000,60000
