,datetime,open,high,low,close,volume
0,2023-04-11,14.03000,14.06000,13.88000,13.92000,204800
1,2023-04-10,13.93000,13.93000,13.74000,13.90000,230900
2,2023-04-06,13.85000,13.99000,13.74000,13.82000,184500
3,2023-04-05,13.80000,13.90000,13.70000,13.74000,191700
4,2023-04-04,14.05000,14.09000,13.84000,13.90000,193400
5,2023-04-03,14.03000,14.09000,13.91000,14.07000,197400
6,2023-03-31,13.77000,14.04000,13.72000,14.00000,160100
7,2023-03-30,13.64000,13.81000,13.64000,13.76000,189400
8,2023-03-29,13.47000,13.65000,13.47000,13.62000,170500
9,2023-03-28,13.42000,13.50000,13.32000,13.43000,178600
10,2023-03-27,13.33000,13.60000,13.33000,13.56000,253500
11,2023-03-24,13.45000,13.49000,13.29000,13.49000,177100
12,2023-03-23,13.65000,13.73000,13.32000,13.47000,238900
13,2023-03-22,13.60000,13.79000,13.47000,13.47000,204200
14,2023-03-21,13.60000,13.71000,13.53000,13.58000,149400
15,2023-03-20,13.45000,13.76000,13.30000,13.49000,358600
16,2023-03-17,13.40000,13.45000,13.18000,13.28000,204100
17,2023-03-16,13.02000,13.46000,13.02000,13.37000,178400
18,2023-03-15,13.11000,13.21000,12.97000,13.15000,207500
19,2023-03-14,13.34000,13.49000,13.20000,13.38000,250100
20,2023-03-13,13.50000,13.60000,13.16000,13.18000,257700
21,2023-03-10,13.73000,13.78000,13.35000,13.47000,142500
22,2023-03-09,14.08000,14.22000,13.66000,13.72000,186800
23,2023-03-08,14.11000,14.20000,14.00000,14.11000,116500
24,2023-03-07,14.29000,14.35000,14.06000,14.11000,143600
25,2023-03-06,14.42000,14.50000,14.33000,14.33000,149800
26,2023-03-03,14.20000,14.40000,14.08000,14.37000,229700
27,2023-03-02,13.78000,14.12000,13.77000,14.04000,209500
28,2023-03-01,13.72000,13.96000,13.72000,13.80000,239400
29,2023-02-28,13.93000,14.04000,13.92000,13.92000,198300
30,2023-02-27,14.08000,14.18000,13.95000,14.00000,167600
31,2023-02-24,14.02000,14.10000,13.88000,13.97000,267200
32,2023-02-23,14.21000,14.21000,13.89000,14.07000,187000
33,2023-02-22,13.99000,14.16000,13.90000,13.99000,140500
34,2023-02-21,14.25000,14.34000,14.03000,14.03000,218800
35,2023-02-17,14.56000,14.65000,14.28000,14.35000,485000
36,2023-02-16,14.41000,14.64000,14.40000,14.49000,217900
37,2023-02-15,14.62000,14.64000,14.49000,14.60000,166400
38,2023-02-14,14.60000,14.86000,14.54000,14.69000,149500
39,2023-02-13,14.60000,14.75000,14.52000,14.60000,210600
40,2023-02-10,14.44000,14.78000,14.33000,14.58000,266000
41,2023-02-09,14.89000,14.95000,14.57000,14.60000,168200
42,2023-02-08,14.84000,14.95000,14.58000,14.77000,202100
43,2023-02-07,14.58000,14.87000,14.56000,14.84000,262200
44,2023-02-06,14.71000,14.72000,14.56000,14.62000,188500
45,2023-02-03,14.69000,14.93000,14.69000,14.76000,141000
46,2023-02-02,14.97000,14.97000,14.72000,14.91000,219100
47,2023-02-01,14.35000,14.72000,14.32000,14.56000,188900
48,2023-01-31,14.23000,14.40000,13.84000,14.39000,173400
49,2023-01-30,14.08000,14.33000,14.08000,14.23000,172500
50,2023-01-27,14.50000,14.50000,14.27000,14.28000,269400
51,2023-01-26,14.21000,14.40000,14.11000,14.36000,163800
52,2023-01-25,14.17000,14.23000,13.93000,14.16000,195200
53,2023-01-24,14.04000,14.25000,14.04000,14.22000,216700
54,2023-01-23,13.82000,14.21000,13.77000,14.09000,257900
55,2023-01-20,13.75000,13.86000,13.62000,13.86000,221800
56,2023-01-19,13.68000,13.92000,13.65000,13.69000,177200
57,2023-01-18,13.95000,14.18000,13.81000,13.81000,192300
58,2023-01-17,13.88000,14.16000,13.88000,13.99000,301300
59,2023-01-13,14.00000,14.17000,13.94000,14.00000,379200
60,2023-01-12,13.81000,14.08000,13.70000,14.00000,236100
61,2023-01-11,13.73000,13.99000,13.60000,13.76000,187500
62,2023-01-10,13.46000,13.60000,13.36000,13.59000,243300
63,2023-01-09,13.39000,13.75000,13.38000,13.41000,212600
64,2023-01-06,13.21000,13.40000,13.13000,13.36000,225700
65,2023-01-05,13.11000,13.26000,13.03000,13.12000,179100
66,2023-01-04,13.24000,13.42000,13.16000,13.27000,187800
67,2023-01-03,13.50000,13.62000,13.13000,13.24000,214200
68,2022-12-30,12.92000,13.42000,12.86000,13.42000,384400
69,2022-12-29,12.86000,13.14000,12.86000,12.99000,267700
70,2022-12-28,13.20000,13.31000,12.90000,12.94000,329400
71,2022-12-27,13.39000,13.39000,13.09000,13.17000,273600
72,2022-12-23,13.28000,13.44000,13.18000,13.36000,268600
73,2022-12-22,13.37000,13.49000,13.17000,13.41000,250500
74,2022-12-21,13.40000,13.61000,13.40000,13.43000,319500
75,2022-12-20,13.54000,13.66000,13.38000,13.40000,302700
76,2022-12-19,13.70000,13.70000,13.42000,13.50000,383700
77,2022-12-16,13.58000,13.66000,13.34000,13.52000,247700
78,2022-12-15,13.98000,14.39000,13.46000,13.73000,264800
79,2022-12-14,13.98000,14.40000,13.80000,14.02000,239200
80,2022-12-13,14.46000,14.50000,13.88000,14.09000,280500
81,2022-12-12,13.82000,14.03000,13.76000,14.02000,178800
82,2022-12-09,13.89000,14.08000,13.81000,13.83000,117600
83,2022-12-08,14.14000,14.27000,14.03000,14.11000,196100
84,2022-12-07,14.11000,14.26000,13.95000,14.01000,244800
85,2022-12-06,14.04000,14.41000,13.86000,14.01000,257900
86,2022-12-05,14.58000,14.60000,14.08000,14.22000,182200
87,2022-12-02,14.57000,14.66000,14.32000,14.62000,155100
88,2022-12-01,14.45000,14.73000,14.33000,14.58000,184300
89,2022-11-30,14.10000,14.40000,13.95000,14.40000,345000
90,2022-11-29,14.19000,14.19000,13.96000,14.00000,142200
91,2022-11-28,14.20000,14.35000,13.95000,14.07000,200200
92,2022-11-25,14.20000,14.40000,14.12000,14.26000,78400
93,2022-11-23,14.36000,14.50000,14.21000,14.30000,247000
94,2022-11-22,14.03000,14.45000,14.03000,14.30000,286000
95,2022-11-21,14.01000,14.18000,13.94000,14.03000,176700
96,2022-11-18,14.35000,14.72000,14.01000,14.07000,362100
97,2022-11-17,13.94000,14.11000,13.82000,14.02000,224100
98,2022-11-16,14.18000,14.37000,13.87000,13.99000,168400
99,2022-11-15,14.21000,14.30000,14.04000,14.28000,193200
100,2022-11-14,14.11000,14.24000,13.90000,13.93000,169500
101,2022-11-11,13.94000,14.34000,13.77000,14.20000,283800
102,2022-11-10,13.92000,13.94000,13.65000,13.80000,182400
103,2022-11-09,13.81000,13.81000,13.26000,13.36000,163300
104,2022-11-08,13.62000,13.74000,13.37000,13.61000,149900
105,2022-11-07,13.43000,13.55000,13.13000,13.55000,213800
106,2022-11-04,13.26000,13.45000,13.11000,13.24000,231600
107,2022-11-03,13.37000,13.37000,13.07000,13.10000,240000
108,2022-11-02,13.83000,13.89000,13.30000,13.31000,169600
109,2022-11-01,14.17000,14.17000,13.65000,13.70000,223300
110,2022-10-31,13.70000,13.83000,13.64000,13.76000,277700
111,2022-10-28,13.51000,13.75000,13.33000,13.70000,313400
112,2022-10-27,13.61000,13.64000,13.28000,13.28000,227800
113,2022-10-26,13.45000,13.56000,13.27000,13.44000,224600
114,2022-10-25,13.38000,13.49000,13.26000,13.49000,187500
115,2022-10-24,12.92000,13.23000,12.87000,13.18000,182600
116,2022-10-21,12.74000,13.02000,12.60000,12.98000,203600
117,2022-10-20,12.78000,12.95000,12.56000,12.75000,412700
118,2022-10-19,12.56000,12.89000,12.48000,12.60000,261100
119,2022-10-18,12.86000,12.88000,12.55000,12.67000,174200
120,2022-10-17,12.49000,12.55000,12.42000,12.48000,177700
121,2022-10-14,12.84000,12.84000,12.06000,12.20000,215700
122,2022-10-13,12.10000,12.64000,11.98000,12.52000,244000
123,2022-10-12,12.52000,12.55000,12.34000,12.35000,171000
124,2022-10-11,12.42000,12.70000,12.35000,12.42000,230800
125,2022-10-10,12.83000,12.86000,12.51000,12.59000,170200
126,2022-10-07,13.01000,13.10000,12.68000,12.77000,283700
127,2022-10-06,13.19000,13.33000,13.14000,13.16000,168100
128,2022-10-05,13.25000,13.31000,13.05000,13.20000,218300
129,2022-10-04,13.32000,13.44000,13.17000,13.32000,338900
130,2022-10-03,12.56000,12.93000,12.39000,12.75000,257600
131,2022-09-30,12.57000,12.73000,12.42000,12.50000,340000
132,2022-09-29,12.46000,12.69000,12.19000,12.63000,619900
133,2022-09-28,12.34000,12.76000,12.28000,12.62000,352500
134,2022-09-27,12.48000,12.70000,12.30000,12.40000,285300
135,2022-09-26,12.48000,12.71000,12.33000,12.45000,418300
136,2022-09-23,13.12000,13.15000,12.55000,12.68000,818700
137,2022-09-22,13.55000,13.60000,13.28000,13.35000,265100
138,2022-09-21,13.89000,14.05000,13.60000,13.60000,226400
139,2022-09-20,14.07000,14.25000,13.75000,13.89000,349000
140,2022-09-19,13.85000,14.08000,13.76000,14.08000,187900
141,2022-09-16,13.96000,14.03000,13.73000,13.93000,190100
142,2022-09-15,14.18000,14.32000,14.03000,14.14000,211200
143,2022-09-14,14.41000,14.44000,14.13000,14.25000,128300
144,2022-09-13,14.78000,14.78000,14.20000,14.27000,240600
145,2022-09-12,14.75000,14.98000,14.67000,14.89000,165600
146,2022-09-09,14.54000,14.74000,14.52000,14.71000,159000
147,2022-09-08,14.40000,14.57000,14.32000,14.52000,191100
148,2022-09-07,14.48000,14.52000,14.30000,14.47000,342300
149,2022-09-06,14.67000,14.70000,14.32000,14.47000,155500
150,2022-09-02,14.74000,14.98000,14.49000,14.55000,138900
151,2022-09-01,14.58000,14.64000,14.31000,14.64000,197500
152,2022-08-31,14.78000,14.81000,14.57000,14.57000,170600
153,2022-08-30,14.79000,14.84000,14.40000,14.71000,229000
154,2022-08-29,14.86000,14.97000,14.71000,14.71000,168300
155,2022-08-26,15.41000,15.47000,14.87000,14.92000,183300
156,2022-08-25,15.26000,15.42000,15.21000,15.32000,266400
157,2022-08-24,15.11000,15.39000,15.11000,15.29000,145500
158,2022-08-23,15.34000,15.39000,15.10000,15.18000,133800
159,2022-08-22,15.50000,15.59000,15.17000,15.27000,168800
160,2022-08-19,15.93000,15.96000,15.62000,15.67000,370900
161,2022-08-18,15.73000,15.95000,15.64000,15.94000,222200
162,2022-08-17,15.74000,15.90000,15.60000,15.75000,153500
163,2022-08-16,15.90000,16.00000,15.83000,15.84000,180300
164,2022-08-15,15.50000,15.96000,15.48000,15.90000,227200
165,2022-08-12,15.81000,15.81000,15.48000,15.53000,335600
166,2022-08-11,15.70000,15.88000,15.49000,15.57000,256900
167,2022-08-10,15.50000,15.73000,15.47000,15.67000,265000
168,2022-08-09,15.49000,15.67000,15.25000,15.31000,222700
169,2022-08-08,15.59000,15.86000,15.52000,15.62000,223800
170,2022-08-05,15.60000,15.69000,15.39000,15.59000,238300
171,2022-08-04,15.83000,15.83000,15.55000,15.62000,177200
172,2022-08-03,15.40000,15.64000,15.35000,15.62000,211600
173,2022-08-02,15.40000,15.65000,15.20000,15.40000,192600
174,2022-08-01,15.34000,15.59000,15.29000,15.35000,310000
175,2022-07-29,15.11000,15.37000,15.11000,15.34000,200600
176,2022-07-28,14.73000,15.14000,14.65000,15.05000,186200
177,2022-07-27,14.38000,14.75000,14.34000,14.69000,301200
178,2022-07-26,14.37000,14.46000,14.17000,14.19000,212200
179,2022-07-25,14.66000,14.66000,14.40000,14.47000,213200
180,2022-07-22,14.55000,14.68000,14.37000,14.47000,250500
181,2022-07-21,14.39000,14.55000,14.32000,14.52000,209600
182,2022-07-20,14.25000,14.54000,14.11000,14.40000,1090400
183,2022-07-19,13.91000,14.24000,13.78000,14.15000,400000
184,2022-07-18,13.89000,13.95000,13.62000,13.72000,183500
185,2022-07-15,13.45000,13.78000,13.45000,13.76000,258800
186,2022-07-14,13.24000,13.49000,13.07000,13.42000,269400
187,2022-07-13,13.39000,13.55000,13.31000,13.54000,215500
188,2022-07-12,13.55000,13.77000,13.34000,13.49000,180100
189,2022-07-11,13.82000,13.97000,13.72000,13.81000,303900
190,2022-07-08,14.01000,14.11000,13.88000,13.92000,228800
191,2022-07-07,13.72000,14.04000,13.71000,14.01000,428500
192,2022-07-06,13.61000,13.72000,13.40000,13.58000,166600
193,2022-07-05,13.31000,13.55000,13.22000,13.54000,223700
194,2022-07-01,13.12000,13.48000,13.04000,13.45000,254600
195,2022-06-30,13.14000,13.29000,13.02000,13.11000,251800
196,2022-06-29,13.60000,13.60000,13.19000,13.27000,268000
197,2022-06-28,13.85000,13.91000,13.39000,13.43000,205400
198,2022-06-27,13.80000,13.80000,13.58000,13.65000,196600
199,2022-06-24,13.46000,13.70000,13.27000,13.63000,286100
200,2022-06-23,13.13000,13.38000,13.02000,13.26000,197400
201,2022-06-22,12.90000,13.35000,12.83000,13.13000,302200
202,2022-06-21,12.85000,13.22000,12.70000,13.12000,378700
203,2022-06-17,12.87000,12.90000,12.55000,12.72000,593800
204,2022-06-16,13.05000,13.16000,12.51000,12.60000,479700
205,2022-06-15,13.18000,13.47000,13.00000,13.24000,353900
206,2022-06-14,13.21000,13.37000,12.88000,13.05000,474600
207,2022-06-13,13.75000,13.91000,13.14000,13.39000,376200
208,2022-06-10,14.28000,14.38000,14.05000,14.12000,194000
209,2022-06-09,14.94000,14.99000,14.66000,14.67000,171900
210,2022-06-08,15.14000,15.14000,14.86000,14.96000,205400
211,2022-06-07,14.77000,15.06000,14.71000,15.02000,223300
212,2022-06-06,15.00000,15.00000,14.65000,14.77000,129600
213,2022-06-03,14.94000,14.99000,14.69000,14.72000,153300
214,2022-06-02,14.75000,15.03000,14.65000,14.99000,231900
215,2022-06-01,15.06000,15.09000,14.64000,14.78000,204600
216,2022-05-31,14.93000,15.08000,14.78000,14.88000,237300
217,2022-05-27,14.75000,14.97000,14.63000,14.97000,227800
218,2022-05-26,14.12000,14.52000,14.07000,14.42000,260300
219,2022-05-25,13.98000,14.10000,13.65000,14.02000,372400
220,2022-05-24,13.96000,13.98000,13.71000,13.88000,225500
221,2022-05-23,13.87000,14.08000,13.78000,14.00000,304300
222,2022-05-20,14.19000,14.19000,13.42000,13.78000,489600
223,2022-05-19,13.69000,13.94000,13.42000,13.75000,331600
224,2022-05-18,14.18000,14.30000,13.76000,13.89000,391200
225,2022-05-17,14.31000,14.47000,14.13000,14.37000,245700
226,2022-05-16,14.05000,14.15000,13.90000,13.99000,299500
227,2022-05-13,13.95000,14.11000,13.69000,14.05000,373500
228,2022-05-12,13.76000,14.05000,13.26000,13.61000,546900
229,2022-05-11,14.06000,14.40000,13.87000,13.88000,328000
230,2022-05-10,14.72000,15.07000,14.09000,14.20000,669300
231,2022-05-09,14.91000,15.00000,14.26000,14.36000,537700
232,2022-05-06,15.37000,15.52000,14.92000,15.15000,303900
233,2022-05-05,15.96000,15.96000,15.04000,15.35000,308000
234,2022-05-04,15.61000,15.99000,15.19000,15.90000,270800
235,2022-05-03,15.34000,15.66000,15.30000,15.45000,204800
236,2022-05-02,15.32000,15.37000,14.95000,15.33000,360500
237,2022-04-29,15.72000,15.91000,15.24000,15.33000,309600
238,2022-04-28,15.71000,16.23000,15.43000,15.89000,224100
239,2022-04-27,15.55000,15.89000,15.41000,15.49000,278400
240,2022-04-26,16.10000,16.19000,15.51000,15.57000,332500
241,2022-04-25,16.14000,16.20000,15.66000,16.09000,250500
242,2022-04-22,16.37000,16.62000,15.89000,16.01000,375400
243,2022-04-21,16.86000,16.97000,16.40000,16.52000,233900
244,2022-04-20,16.98000,16.99000,16.70000,16.79000,310700
245,2022-04-19,16.47000,16.78000,16.33000,16.76000,228900
246,2022-04-18,16.27000,16.61000,16.27000,16.41000,206700
247,2022-04-14,16.64000,16.73000,16.37000,16.41000,126300
248,2022-04-13,16.63000,16.66000,16.39000,16.63000,170500
249,2022-04-12,16.74000,16.82000,16.33000,16.44000,149300
250,2022-04-11,16.83000,17.03000,16.45000,16.69000,208200
251,2022-04-08,16.85000,17.06000,16.75000,16.86000,137500
252,2022-04-07,16.73000,17.00000,16.48000,16.93000,236800
253,2022-04-06,16.95000,17.24000,16.71000,16.85000,220800
254,2022-04-05,17.58000,17.68000,17.13000,17.17000,194300
255,2022-04-04,17.47000,17.73000,17.40000,17.62000,248000
256,2022-04-01,17.49000,17.66000,17.42000,17.53000,178800
257,2022-03-31,17.65000,17.75000,17.38000,17.53000,183700
258,2022-03-30,17.74000,17.74000,17.46000,17.60000,177400
259,2022-03-29,17.40000,17.75000,17.27000,17.70000,181900
260,2022-03-28,17.26000,17.37000,17.08000,17.36000,123500
261,2022-03-25,17.35000,17.38000,17.05000,17.23000,219400
262,2022-03-24,17.38000,17.38000,17.13000,17.29000,198700
263,2022-03-23,17.11000,17.24000,16.81000,17.15000,251400
264,2022-03-22,17.00000,17.38000,16.93000,17.27000,398300
265,2022-03-21,17.12000,17.20000,16.89000,17.05000,303700
266,2022-03-18,16.80000,17.04000,16.66000,17.03000,358300
267,2022-03-17,16.38000,16.89000,16.22000,16.82000,243900
268,2022-03-16,16.04000,16.35000,15.84000,16.35000,232800
269,2022-03-15,15.38000,15.78000,15.29000,15.74000,246900
270,2022-03-14,15.80000,15.81000,15.28000,15.44000,240600
271,2022-03-11,16.12000,16.14000,15.78000,15.80000,191500
272,2022-03-10,16.00000,16.21000,15.81000,16.14000,240700
273,2022-03-09,16.01000,16.25000,15.98000,16.19000,188800
274,2022-03-08,15.98000,16.12000,15.60000,15.77000,301700
275,2022-03-07,16.63000,16.70000,15.77000,15.82000,374400
276,2022-03-04,16.74000,16.91000,16.45000,16.68000,151500
277,2022-03-03,17.10000,17.21000,16.66000,16.91000,204400
278,2022-03-02,16.70000,17.12000,16.59000,17.04000,202400
279,2022-03-01,16.99000,16.99000,16.48000,16.60000,256800
280,2022-02-28,16.62000,16.89000,16.50000,16.80000,291000
281,2022-02-25,16.43000,16.86000,16.31000,16.80000,223000
282,2022-02-24,15.50000,16.38000,15.01000,16.29000,364300
283,2022-02-23,16.62000,16.79000,16.02000,16.05000,336600
284,2022-02-22,16.72000,16.99000,16.39000,16.44000,453100
285,2022-02-18,17.27000,17.27000,16.74000,16.80000,345000
286,2022-02-17,17.32000,17.32000,16.92000,17.04000,225000
287,2022-02-16,17.35000,17.45000,17.03000,17.33000,305100
288,2022-02-15,17.00000,17.32000,16.92000,17.12000,239200
289,2022-02-14,17.37000,17.40000,16.73000,16.80000,450000
