,datetime,open,high,low,close,volume
0,2023-04-11,14.01000,14.41000,13.84000,14.22000,98100
1,2023-04-10,14.00000,14.66000,12.60400,14.11000,73800
2,2023-04-06,14.20000,14.44000,14.11000,14.23000,60000
3,2023-04-05,14.19000,14.48000,14.06000,14.25000,119500
4,2023-04-04,14.06000,14.33000,14.00000,14.25000,134000
5,2023-04-03,14.25000,14.46500,14.02000,14.25000,140400
6,2023-03-31,14.05000,14.26000,14.04000,14.26000,241400
7,2023-03-30,14.34000,14.74100,13.90000,14.23000,135300
8,2023-03-29,15.02000,15.04000,14.18500,14.57000,227000
9,2023-03-28,13.20000,15.15000,13.00000,15.06000,353200
10,2023-03-27,11.25000,13.47000,11.25000,13.18000,412300
11,2023-03-24,11.93000,11.95500,10.83000,10.90000,365600
12,2023-03-23,13.28000,13.57000,12.00000,12.02000,198700
13,2023-03-22,12.60000,14.12600,12.38000,13.28000,204500
14,2023-03-21,10.20000,12.79000,10.16000,12.64000,474500
15,2023-03-20,14.02000,14.02000,10.12000,10.20000,511800
16,2023-03-17,15.38000,15.38000,14.25000,14.31000,168700
17,2023-03-16,15.60000,16.25000,15.06000,15.66000,229600
18,2023-03-15,16.29000,16.29000,15.90000,15.90000,115100
19,2023-03-14,16.83000,17.20500,16.41000,16.41000,111600
20,2023-03-13,16.65000,17.08000,16.40000,16.78000,118600
21,2023-03-10,17.25000,17.60000,16.94700,17.05000,97000
22,2023-03-09,17.45000,17.45000,17.11000,17.29000,94500
23,2023-03-08,17.52000,17.70500,17.30000,17.45000,66500
24,2023-03-07,18.00000,18.00000,17.52000,17.59000,66900
25,2023-03-06,18.03000,18.25000,17.88000,18.02000,59800
26,2023-03-03,17.00000,18.06100,17.00000,17.88000,130300
27,2023-03-02,17.65000,17.83000,16.77000,16.77000,297800
28,2023-03-01,18.70000,18.70000,17.65000,17.66000,122800
29,2023-02-28,18.70000,18.90000,18.38000,18.84000,131900
30,2023-02-27,19.05000,19.16000,18.55000,18.77000,62700
31,2023-02-24,19.45000,19.60000,19.27800,19.40000,49800
32,2023-02-23,19.42000,19.66000,19.28000,19.60000,58500
33,2023-02-22,18.40000,19.40000,18.40000,19.40000,86700
34,2023-02-21,19.49000,19.58000,18.26000,18.38000,150900
35,2023-02-17,19.37000,19.73000,19.31500,19.62000,26600
36,2023-02-16,19.38000,19.79000,19.25000,19.42000,63500
37,2023-02-15,19.28000,19.55500,19.25000,19.48000,48200
38,2023-02-14,19.42000,19.70000,19.20000,19.34000,67500
39,2023-02-13,18.78000,19.45000,18.78000,19.42000,72100
40,2023-02-10,19.40000,19.40000,18.86000,18.96000,76600
41,2023-02-09,20.21000,20.26000,19.23000,19.40000,128400
42,2023-02-08,20.55000,20.80000,19.66000,20.10000,234100
43,2023-02-07,21.40000,21.60000,21.10000,21.28000,104700
44,2023-02-06,21.68000,21.78000,21.24000,21.49000,37800
45,2023-02-03,22.04000,22.12300,21.73700,21.85000,56400
46,2023-02-02,21.51000,22.35000,21.51000,22.25000,155700
47,2023-02-01,20.50000,21.61000,20.27000,21.49000,98300
48,2023-01-31,20.10000,20.75000,20.03000,20.60000,172400
49,2023-01-30,19.53000,20.23000,19.50000,20.18000,98500
50,2023-01-27,19.50500,19.76000,19.50200,19.56000,21600
51,2023-01-26,19.50000,19.54000,19.25000,19.51000,47300
52,2023-01-25,19.19000,19.57000,18.95000,19.44000,72500
53,2023-01-24,19.59000,19.59000,19.30000,19.30000,42000
54,2023-01-23,19.27000,19.68000,19.25200,19.48000,64900
55,2023-01-20,19.34000,19.34000,18.93000,19.14000,47900
56,2023-01-19,19.17000,19.39000,18.92000,19.27000,56800
57,2023-01-18,19.55000,19.62400,19.01000,19.17000,107800
58,2023-01-17,19.44000,19.66000,19.29000,19.48000,106300
59,2023-01-13,19.29000,19.79900,19.27000,19.48000,98000
60,2023-01-12,19.35000,19.50000,19.20000,19.38000,36100
61,2023-01-11,19.19000,19.34000,19.05100,19.22000,99600
62,2023-01-10,19.01000,19.31000,19.01000,19.19000,72300
63,2023-01-09,19.16000,19.51300,18.80000,19.00000,78300
64,2023-01-06,18.90000,19.34000,18.76000,19.08000,141700
65,2023-01-05,18.30000,18.98000,18.03000,18.88500,112700
66,2023-01-04,17.32000,18.38000,17.25000,18.30000,61900
67,2023-01-03,17.00000,17.32000,17.00000,17.12000,61500
68,2022-12-30,17.07000,17.27000,16.70000,16.70000,156200
69,2022-12-29,16.97000,17.28600,16.92500,17.07000,61000
70,2022-12-28,17.17000,17.30000,16.80000,16.84000,97400
71,2022-12-27,17.12000,17.25300,17.00000,17.11000,144300
72,2022-12-23,17.03000,17.38000,17.03000,17.11000,76300
73,2022-12-22,17.07000,17.37000,17.00000,17.03000,95400
74,2022-12-21,17.74000,17.91000,16.93000,17.07000,131600
75,2022-12-20,17.78000,18.02000,17.60000,17.66000,76800
76,2022-12-19,18.12000,18.20000,17.70000,17.78000,87200
77,2022-12-16,18.19000,18.40000,18.03000,18.20000,132300
78,2022-12-15,18.47000,18.62000,18.32000,18.34000,83300
79,2022-12-14,18.40000,18.63000,18.18900,18.43000,70200
80,2022-12-13,18.26000,18.64400,18.02000,18.40000,63300
81,2022-12-12,17.89000,18.41000,17.87500,17.89000,71500
82,2022-12-09,18.53000,18.55500,17.81000,17.86000,98100
83,2022-12-08,18.72000,19.07600,18.52000,18.53000,60600
84,2022-12-07,18.75000,18.97000,18.51000,18.68000,106300
85,2022-12-06,19.20000,19.25000,18.62000,18.85000,55600
86,2022-12-05,19.25000,19.25000,19.08000,19.16000,51500
87,2022-12-02,19.18000,19.25000,19.12500,19.17000,63600
88,2022-12-01,19.05000,19.25000,19.04000,19.24000,52400
89,2022-11-30,18.55000,19.04500,18.55000,18.92000,81700
90,2022-11-29,18.89000,18.89000,18.50000,18.50000,78700
91,2022-11-28,19.30000,19.40000,19.10000,19.19000,93900
92,2022-11-25,19.20000,19.48000,19.20000,19.25000,50500
93,2022-11-23,19.16000,19.64000,19.15000,19.25000,64100
94,2022-11-22,19.20000,19.25000,19.06000,19.11000,56400
95,2022-11-21,19.12000,19.68000,19.01000,19.02000,29500
96,2022-11-18,19.17000,19.54500,19.01000,19.01000,35400
97,2022-11-17,19.38000,19.38000,19.13000,19.15000,53200
98,2022-11-16,19.51000,19.75000,19.51000,19.60000,30400
99,2022-11-15,19.52000,19.77000,19.46400,19.60000,67500
100,2022-11-14,19.99000,20.00000,19.18000,19.40000,52400
101,2022-11-11,19.63000,20.23000,19.34200,19.90000,87600
102,2022-11-10,18.49000,19.81000,18.48000,19.64000,83800
103,2022-11-09,18.39000,18.50000,17.68000,18.12000,70400
104,2022-11-08,17.79000,18.45000,17.77000,18.33000,56100
105,2022-11-07,17.61000,17.79000,17.53100,17.63000,49800
106,2022-11-04,17.02000,17.61000,17.02000,17.61000,99900
107,2022-11-03,17.19000,17.25000,16.40000,16.97000,281700
108,2022-11-02,17.32000,17.72600,17.19400,17.53000,73300
109,2022-11-01,17.33000,17.66000,17.25000,17.26000,80400
110,2022-10-31,17.15000,17.30800,16.91000,17.15000,761900
111,2022-10-28,17.00000,17.32000,17.00000,17.13000,144800
112,2022-10-27,17.25000,17.48400,17.00000,17.00000,191000
113,2022-10-26,16.76000,17.39000,16.76000,17.14000,152600
114,2022-10-25,16.74000,16.95000,16.51000,16.85000,113200
115,2022-10-24,16.79000,17.13000,16.38900,16.44000,98000
116,2022-10-21,17.05000,17.37200,16.75000,16.79000,109100
117,2022-10-20,17.85000,18.00000,17.02000,17.18000,109700
118,2022-10-19,18.00000,18.24800,17.61000,17.86000,128900
119,2022-10-18,17.65000,18.18000,17.50000,18.10000,260800
120,2022-10-17,17.76000,18.20000,17.33000,17.49000,234100
121,2022-10-14,18.76000,19.09700,17.30000,17.49000,118000
122,2022-10-13,18.32000,18.86000,18.04000,18.58000,182100
123,2022-10-12,19.76000,20.01000,18.72600,18.83000,153400
124,2022-10-11,20.69000,20.70000,19.67000,19.76000,84500
125,2022-10-10,21.64000,21.80000,20.51000,20.61000,43100
126,2022-10-07,21.71000,21.85000,21.55000,21.64000,27500
127,2022-10-06,22.29000,22.43900,21.85000,21.85000,30000
128,2022-10-05,22.63000,22.63000,22.10000,22.19500,28800
129,2022-10-04,22.70000,22.95000,22.59000,22.71000,28800
130,2022-10-03,22.62000,22.84000,22.26000,22.64000,60000
131,2022-09-30,22.28000,22.88000,21.60000,22.66000,247400
132,2022-09-29,21.99000,22.40000,21.65000,22.33000,74200
133,2022-09-28,21.65000,22.34000,21.65000,22.11000,60100
134,2022-09-27,20.75000,22.47000,20.75000,22.18000,102600
135,2022-09-26,20.84000,20.95800,20.55000,20.69000,48700
136,2022-09-23,21.10000,21.14000,20.83500,20.97000,57500
137,2022-09-22,21.21000,21.23000,20.95000,21.15000,62600
138,2022-09-21,21.31000,21.54000,21.30000,21.31000,37200
139,2022-09-20,21.38000,21.53000,21.16000,21.36000,24800
140,2022-09-19,21.63000,21.91800,21.21000,21.54000,50200
141,2022-09-16,21.97000,22.01300,21.70000,21.75000,50600
142,2022-09-15,22.29000,22.37000,21.90000,21.90000,37700
143,2022-09-14,22.50000,22.50000,22.21000,22.28000,20400
144,2022-09-13,22.30000,22.46000,22.11000,22.45000,48900
145,2022-09-12,22.52000,22.70000,22.50000,22.55000,23100
146,2022-09-09,21.91000,22.59000,21.80000,22.37000,45900
147,2022-09-08,22.27000,22.47000,21.71000,21.75000,70500
148,2022-09-07,22.33000,22.56000,22.25000,22.27000,37100
149,2022-09-06,22.58000,22.64000,22.30000,22.30000,37600
150,2022-09-02,22.71000,22.71000,22.34400,22.55000,39700
151,2022-09-01,22.77000,22.80100,22.14000,22.46000,70100
152,2022-08-31,23.04000,23.41000,22.61000,22.78000,86200
153,2022-08-30,23.20000,23.49000,22.91000,22.91000,46200
154,2022-08-29,23.31000,23.66500,23.31000,23.52000,37700
155,2022-08-26,23.66000,23.88000,23.34000,23.42000,32100
156,2022-08-25,23.34000,23.82000,23.34000,23.63000,38000
157,2022-08-24,23.35000,23.73600,22.92000,23.22000,69700
158,2022-08-23,24.18000,24.29000,22.70000,23.28000,139400
159,2022-08-22,24.41000,24.41000,24.12000,24.14000,34900
160,2022-08-19,24.57000,24.57000,24.40000,24.51000,29300
161,2022-08-18,24.62000,24.71800,24.61000,24.67000,18400
