,datetime,open,high,low,close,volume
0,2023-04-11,4.27000,4.42000,4.22000,4.39000,1928800
1,2023-04-10,4.17000,4.32000,4.16000,4.26000,3332200
2,2023-04-06,4.09000,4.33000,4.01000,4.23000,3713600
3,2023-04-05,4.08000,4.19000,4.06000,4.08000,1750700
4,2023-04-04,4.30000,4.31000,4.08000,4.09000,2447000
5,2023-04-03,4.21000,4.40000,4.21000,4.30000,2645200
6,2023-03-31,4.32000,4.33000,4.16000,4.20000,3309900
7,2023-03-30,4.43000,4.49000,4.14000,4.28000,2938500
8,2023-03-29,4.40000,4.53000,4.39000,4.44000,2340000
9,2023-03-28,4.50000,4.54000,4.34000,4.37000,1539500
10,2023-03-27,4.32000,4.54000,4.29000,4.50000,2840400
11,2023-03-24,4.28000,4.34000,4.22000,4.30000,1839400
12,2023-03-23,4.36000,4.43000,4.20000,4.30000,2909200
13,2023-03-22,4.45000,4.49000,4.28000,4.30000,2388900
14,2023-03-21,4.44000,4.57000,4.43000,4.45000,1835500
15,2023-03-20,4.34000,4.50000,4.30000,4.44000,1774000
16,2023-03-17,4.37000,4.39000,4.20000,4.34000,6475100
17,2023-03-16,4.40000,4.49000,4.29000,4.41000,2466000
18,2023-03-15,4.50000,4.53000,4.31000,4.40000,3599100
19,2023-03-14,4.53000,4.61000,4.49000,4.55000,3227300
20,2023-03-13,4.35000,4.57000,4.34000,4.47000,4404800
21,2023-03-10,4.57000,4.59000,4.34000,4.45000,5526900
22,2023-03-09,4.65000,4.70000,4.48000,4.54000,4266300
23,2023-03-08,4.68000,4.76000,4.57000,4.67000,3921200
24,2023-03-07,4.92000,4.98000,4.53000,4.75000,8870100
25,2023-03-06,5.04000,5.19000,4.62000,4.83000,9719000
26,2023-03-03,5.45000,5.55000,5.35000,5.38000,3675900
27,2023-03-02,5.39000,5.49000,5.33000,5.43000,1743900
28,2023-03-01,5.44000,5.49000,5.31000,5.44000,2315300
29,2023-02-28,5.47000,5.52000,5.41000,5.46000,2309300
30,2023-02-27,5.48000,5.59000,5.44000,5.47000,1999100
31,2023-02-24,5.43000,5.53000,5.36000,5.44000,2480100
32,2023-02-23,5.42000,5.52000,5.37000,5.50000,2882800
33,2023-02-22,5.35000,5.45000,5.32000,5.40000,1720200
34,2023-02-21,5.44000,5.49000,5.29000,5.32000,3009200
35,2023-02-17,5.31000,5.51000,5.23000,5.49000,2797600
36,2023-02-16,5.29000,5.44000,5.28000,5.32000,2813000
37,2023-02-15,5.27000,5.32000,5.24000,5.32000,1807900
38,2023-02-14,5.22000,5.33000,5.18000,5.29000,1195400
39,2023-02-13,5.31000,5.32000,5.20000,5.25000,1604200
40,2023-02-10,5.32000,5.36000,5.26000,5.29000,1537900
41,2023-02-09,5.45000,5.50000,5.28000,5.31000,1986600
42,2023-02-08,5.56000,5.56000,5.32000,5.34000,3000000
43,2023-02-07,5.55000,5.62000,5.43000,5.56000,2471800
44,2023-02-06,5.62000,5.64000,5.49000,5.52000,2125500
45,2023-02-03,5.66000,5.77000,5.61000,5.63000,2369300
46,2023-02-02,5.65000,5.75000,5.54000,5.75000,3487900
47,2023-02-01,5.52000,5.71000,5.49000,5.60000,2997600
48,2023-01-31,5.54000,5.68000,5.49000,5.53000,2039900
49,2023-01-30,5.71000,5.77000,5.45000,5.51000,2737100
50,2023-01-27,5.69000,5.88000,5.68000,5.72000,2802000
51,2023-01-26,6.05000,6.05000,5.81000,5.82000,3077100
52,2023-01-25,5.95000,6.02000,5.80000,6.01000,2115100
53,2023-01-24,5.91000,6.04000,5.86000,6.00000,3629200
54,2023-01-23,5.82000,5.99000,5.81000,5.92000,3476600
55,2023-01-20,5.67000,5.84000,5.55000,5.81000,2503900
56,2023-01-19,5.62000,5.70000,5.53000,5.61000,1888800
57,2023-01-18,5.93000,6.00000,5.64000,5.66000,2359700
58,2023-01-17,5.78000,5.96000,5.66000,5.91000,2556700
59,2023-01-13,5.71000,5.89000,5.66000,5.81000,2684100
60,2023-01-12,5.60000,5.79000,5.47000,5.79000,3261900
61,2023-01-11,5.40000,5.80000,5.23000,5.58000,3233900
62,2023-01-10,5.27000,5.51000,5.26000,5.41000,3200200
63,2023-01-09,5.47000,5.48000,5.21000,5.24000,3312800
64,2023-01-06,5.39000,5.54000,5.34000,5.41000,3133500
65,2023-01-05,5.38000,5.50000,5.25000,5.35000,3345700
66,2023-01-04,5.86000,5.90000,5.30000,5.36000,4805200
67,2023-01-03,5.97000,6.08000,5.75000,5.86000,2680100
68,2022-12-30,5.74000,6.02000,5.72000,6.01000,3023100
69,2022-12-29,5.58000,6.01000,5.58000,5.79000,3450400
70,2022-12-28,5.50000,5.66000,5.48000,5.54000,1506300
71,2022-12-27,5.62000,5.65000,5.42000,5.49000,1936700
72,2022-12-23,5.69000,5.77000,5.50000,5.63000,1539000
73,2022-12-22,5.65000,5.70000,5.52000,5.70000,1451100
74,2022-12-21,5.64000,5.72000,5.54000,5.70000,2224400
75,2022-12-20,5.41000,5.61000,5.38000,5.57000,2107700
76,2022-12-19,5.70000,5.72000,5.32000,5.41000,3044000
77,2022-12-16,5.60000,5.76000,5.55000,5.71000,3839800
78,2022-12-15,5.81000,5.90000,5.68000,5.70000,2284500
79,2022-12-14,5.92000,5.96000,5.70000,5.87000,2237200
80,2022-12-13,5.97000,6.03000,5.76000,5.98000,3129100
81,2022-12-12,5.51000,5.86000,5.34000,5.84000,3730200
82,2022-12-09,5.62000,5.68000,5.47000,5.48000,1730600
83,2022-12-08,5.55000,5.73000,5.43000,5.64000,1725000
84,2022-12-07,5.50000,5.71000,5.46000,5.56000,2183500
85,2022-12-06,5.61000,5.66000,5.49000,5.51000,2617700
86,2022-12-05,5.98000,5.99000,5.53000,5.61000,2791200
87,2022-12-02,5.92000,6.02000,5.86000,5.99000,2254400
88,2022-12-01,6.00000,6.18000,5.92000,5.98000,2516700
89,2022-11-30,5.85000,6.06000,5.75000,6.02000,4567100
90,2022-11-29,5.55000,5.86000,5.48000,5.78000,2205100
91,2022-11-28,5.71000,5.79000,5.46000,5.51000,2284600
92,2022-11-25,5.72000,5.85000,5.51000,5.79000,1000700
93,2022-11-23,5.95000,6.11000,5.74000,5.75000,2984800
94,2022-11-22,5.86000,6.03000,5.72000,5.98000,3873200
95,2022-11-21,5.82000,5.88000,5.70000,5.79000,2327700
96,2022-11-18,5.84000,5.97000,5.75000,5.90000,3052300
