,datetime,open,high,low,close,volume
0,2023-04-11,20.67000,21.22000,20.59500,20.96000,38400
1,2023-04-10,20.41000,21.32000,20.32000,20.57000,44600
2,2023-04-06,21.00000,21.00000,20.57000,20.65000,40100
3,2023-04-05,21.07000,21.21000,20.50000,20.72000,36200
4,2023-04-04,21.80000,21.90000,20.68000,21.07000,130300
5,2023-04-03,21.25000,22.85000,21.25000,21.74000,168500
6,2023-03-31,20.93000,21.90000,20.28000,20.65000,151500
7,2023-03-30,20.51000,21.94000,20.20000,20.80000,147100
8,2023-03-29,19.50000,21.05000,18.77000,20.36000,1203300
9,2023-03-28,19.86000,20.14500,18.96000,19.32000,84300
10,2023-03-27,19.95000,20.21000,19.45000,19.98000,66400
11,2023-03-24,19.72000,19.85000,19.44000,19.67000,45500
12,2023-03-23,20.30000,20.51000,19.40000,19.94000,69200
13,2023-03-22,20.35000,21.23000,20.13000,20.19000,63800
14,2023-03-21,19.80000,20.38000,19.72000,20.32000,28800
15,2023-03-20,19.47000,19.72000,18.78000,19.40000,84900
16,2023-03-17,19.98000,20.33500,19.38000,19.38000,62100
17,2023-03-16,19.29000,20.54000,19.29000,20.35000,43900
18,2023-03-15,19.62000,20.98000,18.59000,19.60000,118700
19,2023-03-14,21.76000,22.01000,19.70000,20.18000,108200
20,2023-03-13,21.85000,22.13000,20.69000,21.26000,113100
21,2023-03-10,22.64000,23.87000,22.12000,22.25000,116700
22,2023-03-09,23.31000,23.90000,22.70000,22.81000,155900
23,2023-03-08,22.96000,23.58500,22.56000,23.25000,138600
24,2023-03-07,23.43000,23.99000,22.05000,22.77000,172500
25,2023-03-06,23.46000,23.87000,22.26000,23.47000,173300
26,2023-03-03,23.56000,25.18000,23.00000,23.78000,338900
27,2023-03-02,22.83000,24.45200,22.56000,23.47000,277300
28,2023-03-01,28.18000,28.18000,22.00000,22.15000,1158900
29,2023-02-28,30.06000,30.31500,28.31000,28.31000,111200
30,2023-02-27,31.32000,33.12700,31.32000,31.84000,40300
31,2023-02-24,30.97000,31.34000,30.22000,30.93000,33100
32,2023-02-23,32.12000,32.16100,31.02500,31.05000,35200
33,2023-02-22,32.22000,33.10500,31.97000,32.02000,25400
34,2023-02-21,33.51000,33.80400,31.84000,31.91000,71300
35,2023-02-17,33.84000,33.84000,32.80000,33.25000,41200
36,2023-02-16,34.50000,34.50000,33.46000,33.48000,29600
37,2023-02-15,34.50000,35.10000,33.64100,34.66000,11400
38,2023-02-14,34.00000,35.05000,33.34000,34.72000,16500
39,2023-02-13,34.59000,34.59000,33.91000,34.12000,12300
