,datetime,open,high,low,close,volume
0,2023-04-11,2.45000,2.45000,2.27000,2.39000,96800
1,2023-04-10,2.27000,2.40000,2.25000,2.31000,113000
2,2023-04-06,2.29000,2.30000,2.24000,2.26000,51000
3,2023-04-05,2.29000,2.31000,2.23000,2.28000,94500
4,2023-04-04,2.28000,2.37000,2.24000,2.27000,94300
5,2023-04-03,2.32000,2.37000,2.25000,2.28000,82900
6,2023-03-31,2.30000,2.36000,2.25000,2.32000,110500
7,2023-03-30,2.36000,2.38000,2.22000,2.32000,69800
8,2023-03-29,2.34000,2.35000,2.25000,2.30000,75500
9,2023-03-28,2.24000,2.36000,2.24000,2.30000,81600
10,2023-03-27,2.30000,2.39000,2.22000,2.28000,60700
11,2023-03-24,2.17000,2.39000,2.15000,2.26000,233000
12,2023-03-23,2.25000,2.28000,2.16000,2.17000,94000
13,2023-03-22,2.31000,2.32000,2.20000,2.20000,69900
14,2023-03-21,2.26000,2.38000,2.26000,2.34000,61300
15,2023-03-20,2.26000,2.35000,2.23000,2.24000,81000
16,2023-03-17,2.35000,2.35000,2.22000,2.22000,262700
17,2023-03-16,2.40000,2.47000,2.25000,2.32000,98400
18,2023-03-15,2.44000,2.44000,2.37000,2.40000,99200
19,2023-03-14,2.46000,2.56000,2.46000,2.46000,124000
20,2023-03-13,2.32000,2.52000,2.32000,2.44000,88900
21,2023-03-10,2.58000,2.58000,2.30000,2.36000,217700
22,2023-03-09,2.74000,2.89000,2.50000,2.57000,188650
23,2023-03-08,2.91000,3.02000,2.72000,2.74000,286400
24,2023-03-07,3.14000,3.20000,2.84000,2.89000,205800
25,2023-03-06,3.01000,3.33000,3.00000,3.13000,515200
26,2023-03-03,2.44000,2.98000,2.40000,2.96000,461000
27,2023-03-02,2.47000,2.47000,2.28000,2.34000,77400
28,2023-03-01,2.45000,2.55000,2.43000,2.46000,91600
29,2023-02-28,2.59000,2.59000,2.40000,2.46000,165700
30,2023-02-27,2.57000,2.63000,2.52000,2.53000,109300
31,2023-02-24,2.76000,2.76000,2.55000,2.61000,148300
32,2023-02-23,2.75000,2.81000,2.65000,2.80000,110400
33,2023-02-22,2.87000,2.91000,2.75000,2.75000,79200
34,2023-02-21,3.04000,3.04000,2.81000,2.89000,127400
35,2023-02-17,2.92000,3.18000,2.81000,3.04000,461400
36,2023-02-16,2.65000,2.99000,2.65000,2.82000,154100
37,2023-02-15,2.63000,2.74000,2.57000,2.65000,76000
38,2023-02-14,2.70000,2.77000,2.61000,2.66000,77400
39,2023-02-13,2.75000,2.84000,2.73000,2.73000,48000
40,2023-02-10,2.70000,3.10000,2.70000,2.79000,126300
41,2023-02-09,2.73000,2.80000,2.70000,2.70000,53400
42,2023-02-08,2.76000,2.81000,2.72000,2.77000,30400
43,2023-02-07,2.68000,2.79000,2.65000,2.78000,69800
44,2023-02-06,2.68000,2.90000,2.65000,2.72000,118100
45,2023-02-03,2.65000,2.73000,2.63000,2.68000,38000
46,2023-02-02,2.64000,2.73000,2.63000,2.70000,93500
47,2023-02-01,2.61000,2.66000,2.55000,2.62000,67700
48,2023-01-31,2.56000,2.70000,2.56000,2.62000,51300
49,2023-01-30,2.68000,2.75000,2.56000,2.57000,45500
50,2023-01-27,2.68000,2.76000,2.62000,2.74000,72800
51,2023-01-26,2.67000,2.70000,2.62000,2.67000,49300
52,2023-01-25,2.85000,2.85000,2.61000,2.66000,149500
53,2023-01-24,2.76000,2.85000,2.75000,2.82000,47200
54,2023-01-23,2.85000,2.91000,2.75000,2.78000,63300
55,2023-01-20,2.85000,2.87000,2.78000,2.84000,36000
56,2023-01-19,2.85000,2.88000,2.77000,2.85000,121000
57,2023-01-18,2.92000,3.00000,2.87000,2.92000,65100
58,2023-01-17,2.94000,3.05000,2.90000,2.95000,178300
59,2023-01-13,2.75000,3.11000,2.72000,2.86000,271100
60,2023-01-12,2.70000,2.79000,2.65000,2.76000,93600
61,2023-01-11,2.65000,2.71000,2.64000,2.71000,83800
62,2023-01-10,2.60000,2.71000,2.56000,2.67000,115500
63,2023-01-09,2.55000,2.65000,2.48000,2.60000,224300
64,2023-01-06,2.45000,2.56000,2.45000,2.49000,82800
65,2023-01-05,2.55000,2.60000,2.46000,2.49000,134700
66,2023-01-04,2.47000,2.60000,2.44000,2.56000,154100
67,2023-01-03,2.40000,2.56000,2.40000,2.47000,243400
68,2022-12-30,2.15000,2.35000,2.14000,2.35000,333300
69,2022-12-29,2.27000,2.30000,2.13000,2.20000,399400
70,2022-12-28,2.02000,2.30000,2.02000,2.26000,258100
71,2022-12-27,2.22000,2.30000,2.05000,2.07000,304400
