,datetime,open,high,low,close,volume
0,2023-04-11,2.00000,2.07000,1.18500,1.32000,964085
1,2023-04-10,1.89000,2.46000,1.65000,2.07000,2310300
2,2023-04-06,1.60000,1.87000,1.52000,1.84000,442300
3,2023-04-05,1.40000,1.65000,1.32000,1.63000,335000
4,2023-04-04,1.39000,1.39000,1.30000,1.39000,54000
5,2023-04-03,1.26000,1.35000,1.24000,1.35000,107500
6,2023-03-31,1.48000,1.48000,1.26000,1.28000,137000
7,2023-03-30,1.30000,1.46000,1.26500,1.42000,196400
8,2023-03-29,1.21000,1.23000,1.17000,1.22000,89300
9,2023-03-28,1.33000,1.33000,1.19000,1.21000,114700
10,2023-03-27,1.28000,1.40000,1.25000,1.32000,89300
11,2023-03-24,1.36000,1.37800,1.25000,1.30000,160100
12,2023-03-23,1.41000,1.49900,1.31600,1.38000,82000
13,2023-03-22,1.47000,1.54000,1.39200,1.45000,78700
14,2023-03-21,1.43000,1.50000,1.31500,1.43000,154900
15,2023-03-20,1.34000,1.42000,1.30400,1.40000,111900
16,2023-03-17,1.43000,1.43000,1.27000,1.35000,88200
17,2023-03-16,1.34000,1.45000,1.26900,1.44000,130400
18,2023-03-15,1.47000,1.48000,1.22000,1.33000,1104500
19,2023-03-14,1.41000,1.49000,1.34000,1.36000,177100
20,2023-03-13,1.56000,1.58900,1.34300,1.47000,354500
21,2023-03-10,1.29000,2.15000,1.20000,1.56000,2505600
22,2023-03-09,1.33000,1.35000,1.25000,1.29000,192100
23,2023-03-08,1.59000,1.63000,1.35000,1.36000,412600
24,2023-03-07,2.10000,2.10000,1.57800,1.60000,667300
25,2023-03-06,2.32000,2.38500,2.02000,2.12000,687300
26,2023-03-03,4.73000,5.08000,2.35000,2.49000,26254600
27,2023-03-02,2.40000,2.40000,2.26000,2.36000,22200
28,2023-03-01,2.45000,2.48000,2.30400,2.47100,10600
29,2023-02-28,2.63000,2.63000,2.40000,2.40000,12400
30,2023-02-27,2.68000,2.68000,2.36000,2.58000,12200
31,2023-02-24,2.42000,2.53000,2.42000,2.47500,5400
32,2023-02-23,2.56100,2.57000,2.43000,2.49000,4400
33,2023-02-22,2.34100,2.52000,2.34100,2.52000,8900
34,2023-02-21,2.45000,2.49000,2.35000,2.37500,22700
35,2023-02-17,2.54000,2.54000,2.44000,2.47000,31400
36,2023-02-16,2.64000,2.76900,2.51000,2.53000,12000
37,2023-02-15,2.64000,2.67000,2.53000,2.64000,13000
38,2023-02-14,2.57000,2.85400,2.57000,2.63000,2900
39,2023-02-13,2.76000,2.76000,2.56000,2.57000,14800
40,2023-02-10,3.00000,3.00000,2.75000,2.76000,19000
41,2023-02-09,2.94000,2.94000,2.75000,2.81000,31000
42,2023-02-08,2.88000,2.98000,2.81700,2.91000,19300
43,2023-02-07,2.89000,2.98000,2.81000,2.86000,20700
44,2023-02-06,2.93000,2.95100,2.85000,2.92000,16400
45,2023-02-03,2.94000,3.05000,2.93000,2.96000,22400
46,2023-02-02,2.96000,3.07000,2.84000,2.99000,26200
47,2023-02-01,2.83000,2.99000,2.70000,2.89000,65300
48,2023-01-31,2.80000,2.84000,2.75000,2.76000,33000
49,2023-01-30,2.82000,2.88700,2.72000,2.80000,83200
50,2023-01-27,3.05000,3.15000,2.70000,2.77000,174900
51,2023-01-26,3.51000,3.52900,3.13000,3.18000,25100
52,2023-01-25,3.39000,3.48000,3.19000,3.34000,89800
53,2023-01-24,2.95000,3.80600,2.85000,3.53000,438600
54,2023-01-23,5.15000,5.30600,4.98000,4.98000,13600
55,2023-01-20,4.91000,5.28000,4.91000,5.18000,41300
56,2023-01-19,5.15000,5.15000,4.93000,4.96500,13200
57,2023-01-18,5.05000,5.37000,4.66000,4.77000,71000
58,2023-01-17,5.08000,5.35000,5.00000,5.06000,19100
59,2023-01-13,5.17000,5.33000,5.00000,5.20000,49100
60,2023-01-12,5.07000,5.26000,5.00000,5.23000,14100
61,2023-01-11,5.34500,5.34500,4.91000,5.12000,37100
62,2023-01-10,5.42500,5.53000,5.28000,5.39000,20500
63,2023-01-09,5.47000,5.97000,5.28000,5.41000,53700
64,2023-01-06,5.75900,5.78000,5.18000,5.33000,48700
65,2023-01-05,5.72000,5.90000,5.59000,5.69000,28000
66,2023-01-04,5.27000,5.85000,5.01000,5.74000,125100
67,2023-01-03,4.85000,5.70000,4.85000,5.20000,231200
68,2022-12-30,4.81000,5.10100,4.81000,4.85000,14000
69,2022-12-29,4.66000,4.98000,4.56000,4.95200,12000
70,2022-12-28,4.89000,4.89000,4.45000,4.45000,15600
71,2022-12-27,4.65000,4.98400,4.65000,4.84000,12800
72,2022-12-23,4.91000,5.17000,4.67000,4.67000,10100
73,2022-12-22,4.86000,5.05000,4.69000,4.69000,15100
74,2022-12-21,4.28000,4.73000,4.27000,4.72000,13200
75,2022-12-20,4.00000,4.63000,4.00000,4.37000,20100
76,2022-12-19,4.80000,4.81900,3.95100,4.00000,22700
77,2022-12-16,5.20000,5.20000,4.58000,4.66000,30400
78,2022-12-15,5.01800,5.23400,5.01500,5.10000,8700
79,2022-12-14,5.15000,5.31200,5.06000,5.07800,17700
80,2022-12-13,5.57000,5.57000,5.12000,5.12000,28200
81,2022-12-12,5.86000,5.86000,5.12000,5.17000,39800
82,2022-12-09,5.50000,5.99000,5.29000,5.48000,119800
83,2022-12-08,5.30000,5.56000,5.27800,5.53000,13200
84,2022-12-07,5.45000,5.50000,5.22000,5.34000,40500
85,2022-12-06,5.76000,5.76000,5.21000,5.21000,28400
86,2022-12-05,5.80000,5.94000,5.53000,5.73500,19200
87,2022-12-02,5.69000,5.82800,5.68000,5.71000,20500
88,2022-12-01,5.76000,6.00000,5.75000,5.87600,19500
