,datetime,open,high,low,close,volume
0,2023-04-11,37.66000,38.87000,37.66000,38.56000,19600
1,2023-04-10,37.44000,38.29000,37.10000,38.09000,20300
2,2023-04-06,37.50000,37.97000,36.47000,37.97000,32000
3,2023-04-05,39.79000,39.79000,37.71000,37.81000,50600
4,2023-04-04,39.02000,39.86000,39.02000,39.74000,27900
5,2023-04-03,40.33000,41.48000,38.73000,39.05000,36900
6,2023-03-31,38.71000,40.74000,38.71000,40.74000,81600
7,2023-03-30,39.27000,39.54000,38.62000,38.62000,29200
8,2023-03-29,38.87000,39.46000,38.67000,38.92000,45800
9,2023-03-28,38.64000,38.73000,38.11000,38.33000,22800
10,2023-03-27,37.91000,39.09000,37.91000,38.65000,64300
11,2023-03-24,38.80000,38.83000,37.50000,38.18000,34100
12,2023-03-23,37.81000,39.76000,37.23000,38.86000,30900
13,2023-03-22,37.82300,38.74000,37.47000,37.47000,14100
14,2023-03-21,38.12000,38.18000,37.52000,38.00000,9500
15,2023-03-20,38.31000,38.69000,37.27000,37.45000,36400
16,2023-03-17,38.70000,39.00000,38.15000,38.44000,22500
17,2023-03-16,37.84000,38.90500,37.57000,38.49000,20900
18,2023-03-15,38.84000,39.05000,37.82500,38.21000,39000
19,2023-03-14,37.59000,39.42000,37.59000,39.10000,41600
20,2023-03-13,35.02000,37.28000,35.02000,36.98000,40800
21,2023-03-10,38.74000,38.74000,35.17000,35.42000,41000
22,2023-03-09,37.88000,39.68000,36.00400,36.75000,59300
23,2023-03-08,35.56000,36.26000,35.29000,35.75000,42700
24,2023-03-07,36.53000,36.76000,35.27500,35.28000,31900
25,2023-03-06,36.01000,37.02000,36.01000,36.35000,22500
26,2023-03-03,35.71000,36.38000,35.71000,36.13000,28700
27,2023-03-02,34.74000,35.83500,34.52000,35.68000,13400
28,2023-03-01,34.80000,35.24000,34.55000,34.93000,40800
29,2023-02-28,34.69000,35.19000,34.67000,35.01000,31000
30,2023-02-27,34.62000,34.90000,34.46000,34.70000,22100
31,2023-02-24,35.36000,35.36000,34.26000,34.39000,31500
32,2023-02-23,37.16000,37.16000,35.77000,36.04000,25100
33,2023-02-22,36.35000,37.00000,36.14000,36.70000,20000
34,2023-02-21,37.13000,37.29000,36.16000,36.33000,20400
35,2023-02-17,38.10000,38.23000,37.44000,37.71000,33900
36,2023-02-16,39.08000,39.08000,38.10000,38.23000,37700
37,2023-02-15,37.37000,40.18000,37.26000,39.75000,36400
38,2023-02-14,37.15000,37.87400,36.64000,37.53000,73400
39,2023-02-13,37.65000,38.38000,37.26500,37.44000,61800
40,2023-02-10,37.69000,38.16000,37.20000,37.41000,66200
41,2023-02-09,39.54000,39.76000,38.12000,38.22000,71000
42,2023-02-08,39.80000,39.80000,39.04000,39.13000,89900
43,2023-02-07,39.70000,39.70000,38.50000,39.51000,118300
44,2023-02-06,39.94000,40.66000,39.45000,39.50000,62100
45,2023-02-03,38.39000,40.62000,37.93000,40.28000,91800
46,2023-02-02,39.81000,40.68000,39.22000,39.33000,66500
47,2023-02-01,38.17000,39.25500,37.82000,39.17000,70000
48,2023-01-31,37.53000,38.43500,37.53000,38.09000,88700
49,2023-01-30,36.14000,37.78000,36.14000,37.36000,29000
50,2023-01-27,36.73000,37.29500,36.21000,36.78000,56300
51,2023-01-26,36.06000,37.34000,36.06000,36.84000,54900
52,2023-01-25,35.55000,36.21000,34.50000,35.72000,35300
53,2023-01-24,35.99000,36.60000,35.51000,35.73000,53600
54,2023-01-23,35.19000,36.36000,35.00000,35.83000,29600
55,2023-01-20,34.09000,35.57000,33.90000,35.57000,23500
56,2023-01-19,34.44500,34.54000,33.75000,33.80000,23900
57,2023-01-18,35.82000,36.40500,34.59000,34.71000,13400
58,2023-01-17,35.07000,35.72000,34.61000,35.55000,55000
59,2023-01-13,34.82000,35.60500,34.63000,35.21000,36200
60,2023-01-12,34.36000,36.00000,33.67500,35.31000,39600
61,2023-01-11,33.80700,34.27000,33.79000,34.27000,27600
62,2023-01-10,33.17000,33.86000,32.81000,33.76000,22100
63,2023-01-09,32.77000,33.96000,32.61000,33.17000,28000
64,2023-01-06,32.19000,32.44000,31.08000,32.29000,26100
65,2023-01-05,33.26000,33.26000,31.78000,31.80000,37000
66,2023-01-04,34.48000,34.48000,33.35000,33.74000,20500
67,2023-01-03,33.82000,34.69000,33.19300,33.88000,18200
68,2022-12-30,32.55000,33.79000,32.55000,33.14000,63400
69,2022-12-29,31.30000,33.33000,31.30000,33.15000,30200
70,2022-12-28,31.44000,31.60000,30.39500,31.06000,33000
71,2022-12-27,31.76000,31.95000,30.69000,31.63000,24400
72,2022-12-23,32.90000,32.90000,31.60000,31.94000,11900
73,2022-12-22,32.82000,33.07000,32.31000,32.92000,19200
74,2022-12-21,32.72000,33.74000,32.65000,33.24000,24000
75,2022-12-20,32.67000,32.79000,32.31000,32.62000,20400
76,2022-12-19,33.82000,33.99000,32.78000,32.81000,28300
77,2022-12-16,33.64000,34.15000,33.21000,33.75000,198900
78,2022-12-15,32.77000,34.11000,32.77000,34.00000,107000
79,2022-12-14,33.42000,34.35000,33.04000,33.51000,26500
80,2022-12-13,34.37000,35.15000,33.35000,33.82000,46900
81,2022-12-12,32.16000,33.04000,31.87000,32.81000,60200
82,2022-12-09,31.94000,32.39000,31.93000,32.22000,18400
83,2022-12-08,31.21000,32.23000,30.91000,32.09000,32600
84,2022-12-07,29.94000,31.37000,29.90000,31.06000,35700
85,2022-12-06,30.82000,30.91000,29.85000,30.14000,41100
86,2022-12-05,32.75000,32.75000,30.43500,31.01000,42900
87,2022-12-02,31.93000,33.31000,31.63000,32.87000,62700
88,2022-12-01,32.32000,33.00000,31.85000,32.86000,82400
89,2022-11-30,30.75000,32.59000,30.75000,31.90000,139000
90,2022-11-29,30.27000,30.62000,29.91000,30.43000,51900
91,2022-11-28,30.49000,31.03500,29.91000,30.25000,34800
92,2022-11-25,31.05000,31.14000,30.56500,30.88000,22100
