,datetime,open,high,low,close,volume
0,2023-04-11,3.27000,3.32990,3.17010,3.18000,56678
1,2023-04-10,3.40000,3.49000,3.00000,3.25000,176000
2,2023-04-06,3.36000,3.40000,3.30000,3.35000,77800
3,2023-04-05,3.35000,3.42700,3.22000,3.27000,173400
4,2023-04-04,3.15000,3.42000,3.15000,3.17000,195900
5,2023-04-03,3.00000,3.07000,2.90000,2.98000,132100
6,2023-03-31,3.20000,3.20000,2.54000,3.00000,300700
7,2023-03-30,3.99000,3.99000,3.01000,3.14000,562300
8,2023-03-29,3.98000,4.55000,3.92600,4.44000,91300
9,2023-03-28,4.12000,4.13500,3.90000,3.92000,22600
10,2023-03-27,4.10000,4.20000,3.99000,4.15000,31900
11,2023-03-24,4.42000,4.53000,3.97000,4.12000,86500
12,2023-03-23,4.45000,4.60000,4.24000,4.42000,93100
13,2023-03-22,5.00000,5.00000,4.25000,4.51000,164200
14,2023-03-21,4.04000,4.84000,4.04000,4.71000,194100
15,2023-03-20,3.60000,4.14500,3.44000,3.99000,147500
16,2023-03-17,2.79000,3.68000,2.61000,3.60000,222100
17,2023-03-16,2.83000,2.86200,2.62500,2.75000,148200
18,2023-03-15,3.21000,3.21000,2.85000,2.90000,157500
19,2023-03-14,3.51000,3.72500,3.12000,3.18000,210800
20,2023-03-13,3.88000,3.88000,3.46100,3.55000,156400
21,2023-03-10,4.27000,4.40000,3.90000,3.97000,127600
22,2023-03-09,4.35000,4.35000,4.22000,4.32000,90400
23,2023-03-08,4.38000,4.46000,4.27000,4.34000,66500
24,2023-03-07,4.25000,4.40500,4.16000,4.34000,130600
25,2023-03-06,4.22000,4.33000,4.10000,4.21000,88200
26,2023-03-03,4.18000,4.34000,4.05000,4.18000,61200
27,2023-03-02,4.16000,4.29000,4.00000,4.13000,94500
28,2023-03-01,4.15000,4.43000,4.10000,4.16000,171700
29,2023-02-28,4.47000,5.82000,4.10000,4.18000,921800
30,2023-02-27,4.12000,4.34000,3.97100,4.25000,146700
31,2023-02-24,4.19000,4.19000,3.95000,3.97500,129400
32,2023-02-23,4.75000,4.78600,4.10000,4.14000,267200
33,2023-02-22,4.94000,5.11000,4.75000,4.76000,170600
34,2023-02-21,5.85000,5.86000,4.81000,4.94000,252700
35,2023-02-17,6.01000,6.16400,5.84000,5.85000,119300
36,2023-02-16,6.50000,6.50000,5.75000,6.16000,350600
37,2023-02-15,6.85000,7.02000,6.33000,6.42000,363700
38,2023-02-14,7.00000,7.18000,6.73000,6.81000,223700
39,2023-02-13,8.20000,8.28000,6.95000,7.00000,258400
40,2023-02-10,8.14000,8.43000,7.45000,7.91000,577200
41,2023-02-09,7.92000,8.98000,7.35000,7.50000,1147200
42,2023-02-08,7.17000,7.17000,6.80000,6.93000,48200
43,2023-02-07,6.91000,6.91000,6.75000,6.90000,21700
44,2023-02-06,6.81000,7.00000,6.72000,6.86000,40900
45,2023-02-03,6.95000,7.10000,6.74000,6.90000,30800
46,2023-02-02,7.00000,7.14000,6.85000,6.95000,33400
47,2023-02-01,7.05000,7.17300,6.76700,7.00000,50000
48,2023-01-31,7.30000,7.30000,6.71000,6.85000,49600
49,2023-01-30,7.05000,7.25600,6.90800,7.07000,49400
50,2023-01-27,7.00000,7.40000,7.00000,7.05000,82400
51,2023-01-26,7.70000,8.01900,7.10000,7.10000,62900
52,2023-01-25,7.70000,7.89500,7.45800,7.64000,64500
53,2023-01-24,7.65000,7.85000,7.50000,7.50000,29300
54,2023-01-23,7.85000,8.05000,7.50000,7.67000,44700
55,2023-01-20,7.88000,8.05000,7.66000,7.86000,53100
56,2023-01-19,8.27000,8.27000,7.61000,7.78000,114800
57,2023-01-18,8.25000,8.60000,8.01000,8.20000,44000
58,2023-01-17,8.90000,8.90000,8.19000,8.30000,86800
59,2023-01-13,8.82000,9.33000,8.29000,8.46000,113800
60,2023-01-12,9.05000,9.52000,8.89000,8.89000,68300
61,2023-01-11,9.60000,9.60000,9.01000,9.01000,55400
62,2023-01-10,9.29000,9.65000,9.09000,9.29000,80700
63,2023-01-09,10.08000,10.66800,9.19000,9.58000,77500
64,2023-01-06,10.80000,11.44000,10.25000,10.33000,36900
65,2023-01-05,11.31000,11.89000,10.50000,11.20000,37300
66,2023-01-04,12.43000,12.43000,10.93000,11.75000,54800
67,2023-01-03,11.90000,12.28000,11.25000,12.03000,54200
68,2022-12-30,10.80000,11.96000,10.51000,11.90000,58100
69,2022-12-29,10.80000,11.55000,10.59000,10.75000,45400
