,datetime,open,high,low,close,volume
0,2023-04-11,14.30000,14.55000,13.85300,14.25000,1027400
1,2023-04-10,13.33000,14.26000,13.24000,14.19000,1869000
2,2023-04-06,12.35000,14.09000,12.35000,13.46500,5364300
3,2023-04-05,14.67000,15.24000,11.89000,12.49000,13476000
4,2023-04-04,17.46000,17.48000,16.60000,16.94000,3059100
5,2023-04-03,16.12000,17.45000,16.04000,17.37000,2347400
6,2023-03-31,15.65000,17.06000,15.51000,16.22000,2654400
7,2023-03-30,15.73000,15.93000,15.35000,15.50000,1890000
8,2023-03-29,15.31000,15.79000,15.23000,15.55000,1427900
9,2023-03-28,15.35000,15.54000,15.05500,15.07000,473800
10,2023-03-27,15.60000,16.02000,15.26000,15.32000,670700
11,2023-03-24,15.19000,15.48000,15.08000,15.37000,680600
12,2023-03-23,15.56000,15.85000,15.09000,15.32000,580000
13,2023-03-22,15.82000,16.13900,15.43000,15.45000,800900
14,2023-03-21,15.03000,16.19000,15.03000,15.82000,1890000
15,2023-03-20,14.53000,15.08500,14.37000,15.06000,1806300
16,2023-03-17,14.16000,14.67500,14.07000,14.62000,1937900
17,2023-03-16,14.86000,14.93000,14.19000,14.28000,1568500
18,2023-03-15,14.95000,15.76000,14.92000,15.02000,1976100
19,2023-03-14,14.96000,15.58000,14.96000,15.27000,1693200
20,2023-03-13,13.75000,15.42000,13.49000,14.96000,2492700
21,2023-03-10,15.01000,15.01000,13.77000,14.05000,1755000
22,2023-03-09,15.35000,15.58000,14.91500,15.02000,1357500
23,2023-03-08,14.52000,15.49000,14.47000,15.40000,1932100
24,2023-03-07,14.99000,15.12000,14.35000,14.45000,1034100
25,2023-03-06,15.16000,15.39000,15.00000,15.01000,1394300
26,2023-03-03,14.48000,15.35000,14.45000,15.17000,1938500
27,2023-03-02,15.16000,15.64000,15.00000,15.50000,844600
28,2023-03-01,14.85000,15.31000,14.84000,15.30000,1114400
29,2023-02-28,14.93000,15.11000,14.90000,14.94000,741700
30,2023-02-27,15.15000,15.16000,14.88000,15.01000,1003400
31,2023-02-24,15.01000,15.12000,14.84800,14.97000,1066000
32,2023-02-23,15.56000,15.62000,15.19000,15.40000,832300
33,2023-02-22,15.54000,15.58000,15.24000,15.35000,959200
34,2023-02-21,15.33000,15.56500,14.94000,15.39000,1683100
35,2023-02-17,15.66000,15.89000,15.50000,15.64000,924100
36,2023-02-16,16.57000,16.81000,15.81000,15.85000,1495300
37,2023-02-15,16.30000,16.91000,16.30000,16.88000,1914200
38,2023-02-14,16.16000,16.78500,16.10000,16.45000,1201900
39,2023-02-13,16.23000,16.66000,16.05000,16.34000,715900
40,2023-02-10,16.14000,16.36000,16.04000,16.19000,782600
41,2023-02-09,16.96000,17.05000,16.35000,16.37000,752500
42,2023-02-08,16.98000,17.04000,16.63000,16.74000,392600
43,2023-02-07,16.51000,16.92000,16.22000,16.90000,567500
44,2023-02-06,16.41000,16.85000,16.32000,16.51000,711400
45,2023-02-03,16.71000,17.19000,16.47000,16.74000,1088300
46,2023-02-02,16.99000,17.99000,16.98000,17.14000,1580800
47,2023-02-01,16.58000,17.05000,16.28000,16.95000,1836800
48,2023-01-31,16.40000,16.91200,16.32000,16.59000,1086700
49,2023-01-30,16.30000,16.79000,16.22000,16.30000,791900
50,2023-01-27,16.17000,17.02000,16.15000,16.73000,721300
51,2023-01-26,16.25000,16.43000,15.99500,16.17000,811400
52,2023-01-25,16.00000,16.28000,15.59100,16.01000,847400
53,2023-01-24,16.18000,16.68000,16.18000,16.40000,486000
54,2023-01-23,16.50000,16.75000,16.22000,16.29000,716200
55,2023-01-20,16.22000,16.76700,16.13000,16.49000,542900
56,2023-01-19,16.05000,16.26500,15.36000,16.05000,949000
57,2023-01-18,16.32000,16.46000,15.94000,16.16000,865200
58,2023-01-17,16.39000,17.06000,15.96800,16.18000,1390000
59,2023-01-13,16.23000,16.75500,16.08500,16.28000,1330400
60,2023-01-12,16.17000,16.46000,15.74000,16.33000,1186200
61,2023-01-11,15.54000,16.11000,15.54000,16.05000,986600
62,2023-01-10,15.94000,16.19000,15.55000,15.84000,707200
63,2023-01-09,15.91000,16.44000,15.82000,15.88000,949500
64,2023-01-06,15.22000,15.83000,14.96000,15.72000,770100
65,2023-01-05,15.71000,15.71000,15.00000,15.01500,1127100
66,2023-01-04,15.62000,16.13500,15.43000,15.86000,1151400
67,2023-01-03,15.85000,16.04000,15.11000,15.37000,714400
68,2022-12-30,15.29000,15.78000,15.26000,15.57000,706600
69,2022-12-29,14.89000,16.00500,14.64000,15.67000,1469800
70,2022-12-28,15.11000,15.34000,14.68000,14.72000,1297400
71,2022-12-27,14.95000,15.16000,14.44000,15.02000,1606400
72,2022-12-23,15.10000,15.39000,14.98000,15.08000,681500
73,2022-12-22,14.77000,15.32000,14.60000,15.18000,1046700
74,2022-12-21,14.16000,15.29000,14.10000,14.95000,2698900
75,2022-12-20,14.01000,15.43000,13.93000,14.60000,5574600
76,2022-12-19,13.49000,13.74000,12.97000,13.19000,2678100
77,2022-12-16,13.20000,13.65000,13.16000,13.55000,1789200
78,2022-12-15,14.22000,14.34000,13.16000,13.31000,2173800
79,2022-12-14,13.65000,14.48000,13.42000,14.41000,1941200
80,2022-12-13,13.89000,14.17000,13.66000,13.76000,2367800
81,2022-12-12,12.89000,13.38500,12.82000,13.37000,1335400
82,2022-12-09,12.68000,13.34000,12.64000,13.03000,1266500
83,2022-12-08,12.02000,12.90000,11.90000,12.69000,2712500
84,2022-12-07,12.29500,12.37000,11.81000,11.90000,1977800
85,2022-12-06,12.91000,13.18900,12.11000,12.34000,3462000
