,datetime,open,high,low,close,volume
0,2023-04-11,13.47000,13.55000,13.38000,13.42000,55900
1,2023-04-10,13.43000,13.44000,13.25000,13.38000,73100
2,2023-04-06,13.49000,13.58000,13.39000,13.44000,50700
3,2023-04-05,13.20000,13.52000,13.20000,13.47000,63700
4,2023-04-04,13.25000,13.32000,13.19000,13.26000,46000
5,2023-04-03,13.43000,13.45000,13.28000,13.31000,67600
6,2023-03-31,13.12000,13.49000,13.07000,13.33000,200500
7,2023-03-30,12.83000,12.98000,12.83000,12.98000,88100
8,2023-03-29,12.68000,12.87000,12.66000,12.74000,92200
9,2023-03-28,12.43000,12.68000,12.43000,12.51000,73400
10,2023-03-27,12.30000,12.49000,12.29000,12.41000,109400
11,2023-03-24,12.00000,12.23000,11.97000,12.21000,107800
12,2023-03-23,12.35000,12.45000,12.00000,12.04000,146400
13,2023-03-22,12.70000,12.79000,12.35000,12.36000,228200
14,2023-03-21,13.10000,13.10000,12.67000,12.71000,179500
15,2023-03-20,12.92000,13.12000,12.84000,12.90000,98100
16,2023-03-17,13.28000,13.28000,12.83000,12.99000,190300
17,2023-03-16,13.02000,13.42000,13.02000,13.33000,87400
18,2023-03-15,13.31000,13.41000,13.00000,13.13000,125600
19,2023-03-14,13.48000,13.60000,13.37000,13.52000,85400
20,2023-03-13,13.59000,13.98000,13.40000,13.65000,179200
21,2023-03-10,13.75000,13.87000,13.54000,13.60000,133300
22,2023-03-09,13.96000,13.97000,13.71000,13.78000,106300
23,2023-03-08,13.76000,14.01000,13.72000,13.99000,50700
24,2023-03-07,13.91000,13.97000,13.75000,13.82000,87200
25,2023-03-06,13.93000,14.09000,13.93000,13.97000,64700
26,2023-03-03,13.72000,14.00000,13.71000,13.92000,74300
27,2023-03-02,13.52000,13.77000,13.46000,13.71000,61300
28,2023-03-01,13.63000,13.66000,13.48000,13.62000,74300
29,2023-02-28,13.77000,13.86000,13.65000,13.65000,61800
30,2023-02-27,13.93000,13.95000,13.79000,13.80000,71100
31,2023-02-24,13.80000,13.91000,13.69000,13.87000,63400
32,2023-02-23,13.85000,13.92000,13.75000,13.86000,58800
33,2023-02-22,13.79000,13.90000,13.73000,13.76000,58600
34,2023-02-21,13.66000,13.84000,13.61000,13.81000,119900
