,datetime,open,high,low,close,volume
0,2023-04-11,29.93000,30.56000,29.73000,30.53000,293422
1,2023-04-10,29.24000,30.08000,29.22000,29.88000,426000
2,2023-04-06,29.78000,29.84000,29.39000,29.47000,418600
3,2023-04-05,30.11000,30.25200,29.52000,29.83000,784400
4,2023-04-04,30.43000,30.61000,29.81000,30.27000,527200
5,2023-04-03,30.22000,30.42000,29.78000,30.31000,408700
6,2023-03-31,29.78000,30.47000,29.57500,30.31000,563700
7,2023-03-30,29.00000,29.94000,28.79000,29.50000,548900
8,2023-03-29,28.76000,28.84000,28.45500,28.77000,306800
9,2023-03-28,28.08000,28.60000,27.96000,28.52000,562600
10,2023-03-27,28.36000,28.46000,28.06500,28.22000,357600
11,2023-03-24,27.92000,28.20000,27.60000,28.17000,363400
12,2023-03-23,28.08000,28.58500,27.78000,28.08000,446500
13,2023-03-22,28.64000,28.67000,27.93000,27.93000,380500
14,2023-03-21,28.24000,29.04000,28.24000,28.74000,393500
15,2023-03-20,27.86000,28.45000,27.85000,27.98000,337400
16,2023-03-17,28.36000,28.63000,27.74000,27.82000,412700
17,2023-03-16,27.89000,28.83000,27.72000,28.50000,400100
18,2023-03-15,27.71000,28.41000,27.58000,28.11000,454600
19,2023-03-14,27.61000,28.29000,27.61000,28.26000,388700
20,2023-03-13,27.43000,27.57000,27.05000,27.20000,320500
21,2023-03-10,28.02000,28.02000,27.09000,27.30000,352800
22,2023-03-09,28.65000,28.87000,28.12500,28.16000,279300
23,2023-03-08,28.27000,28.84000,28.22000,28.66000,311900
24,2023-03-07,28.68000,28.94000,28.28000,28.37000,498900
25,2023-03-06,28.73000,28.95000,28.28500,28.55000,322800
26,2023-03-03,28.32000,29.21000,28.22000,28.79000,481900
27,2023-03-02,28.03000,28.24000,27.76000,28.20000,363000
28,2023-03-01,27.98000,28.48000,27.74000,28.10000,536400
29,2023-02-28,28.27000,28.46000,27.97000,27.97500,619900
30,2023-02-27,28.01000,28.45000,27.86000,28.35000,523000
31,2023-02-24,27.38000,28.11000,27.21000,27.97000,518200
32,2023-02-23,28.15000,28.17000,27.08500,27.82000,795400
33,2023-02-22,27.76000,28.88000,27.17000,27.78000,1046600
34,2023-02-21,28.66000,28.74000,27.63000,27.97000,686100
35,2023-02-17,29.21000,29.21000,28.36000,28.71000,444800
36,2023-02-16,29.22000,29.67000,29.00000,29.28000,418000
37,2023-02-15,29.05000,29.60000,28.91500,29.50000,380800
38,2023-02-14,28.75000,29.18000,28.69000,29.07000,407700
39,2023-02-13,28.67000,29.07000,28.52000,28.80000,365300
40,2023-02-10,28.32000,28.74000,28.24500,28.56000,492900
41,2023-02-09,28.89000,28.93000,28.47000,28.48000,353900
42,2023-02-08,29.27000,29.29000,28.61000,28.69000,334000
43,2023-02-07,28.45000,28.86000,27.74000,28.73000,504900
44,2023-02-06,28.87000,29.03000,28.44500,28.47000,496700
45,2023-02-03,29.53000,29.59000,28.91000,29.17000,404000
46,2023-02-02,29.83000,30.08000,29.60000,29.86000,338100
47,2023-02-01,29.13000,29.77500,28.88000,29.53000,415200
48,2023-01-31,28.75000,29.19000,28.73000,29.19000,426000
49,2023-01-30,28.89000,29.35000,28.65000,28.68000,383500
50,2023-01-27,28.39000,28.97000,27.98000,28.95000,741300
51,2023-01-26,28.10000,28.26000,27.62000,28.06000,329400
52,2023-01-25,27.29000,28.00000,26.89100,27.94000,405900
53,2023-01-24,27.92000,28.31000,27.52500,27.60000,367400
54,2023-01-23,27.38000,28.25000,27.24000,28.02000,691800
55,2023-01-20,27.44000,27.59000,26.70000,27.35000,1798800
56,2023-01-19,27.80000,27.90000,27.31000,27.37000,295100
57,2023-01-18,28.38000,28.87000,28.08000,28.10000,469500
58,2023-01-17,28.15000,28.84000,27.86000,28.33000,382600
59,2023-01-13,27.76000,28.38000,27.61000,28.26000,382300
60,2023-01-12,28.25000,28.43000,27.91000,27.98000,669000
61,2023-01-11,27.95000,28.33000,27.82000,28.15000,673600
62,2023-01-10,27.27000,27.85500,27.13000,27.78000,285800
63,2023-01-09,27.01000,27.65000,27.01000,27.31000,906700
64,2023-01-06,26.96000,27.19800,26.73000,26.79000,826700
65,2023-01-05,27.05000,27.24000,26.55000,26.76000,756000
66,2023-01-04,27.75000,27.98500,27.25000,27.37000,488100
67,2023-01-03,27.60000,27.99000,27.29000,27.46000,582300
68,2022-12-30,27.08000,27.38000,26.97000,27.31000,354800
69,2022-12-29,26.62000,27.50000,26.53000,27.24000,313200
70,2022-12-28,26.50000,26.88000,26.38000,26.55000,348100
71,2022-12-27,26.80000,27.07000,26.59000,26.66000,325400
72,2022-12-23,26.50000,26.94500,26.27000,26.77000,265200
73,2022-12-22,27.25000,27.25000,26.35000,26.90000,318800
74,2022-12-21,27.15000,27.40000,26.71000,27.39000,413900
75,2022-12-20,26.46000,26.99700,26.01000,26.90000,729100
76,2022-12-19,26.88000,27.11000,26.30000,26.67000,453300
77,2022-12-16,26.91000,27.27000,26.72500,26.97000,1016800
78,2022-12-15,27.61000,27.74000,27.15000,27.19000,683500
79,2022-12-14,28.48000,28.79000,27.63000,28.07000,460000
80,2022-12-13,30.50000,30.50000,28.38000,28.51000,927300
81,2022-12-12,29.56000,29.76000,29.33000,29.60000,227200
82,2022-12-09,29.37000,29.80000,29.34000,29.47000,407100
83,2022-12-08,29.64000,29.86000,29.09000,29.58000,341500
84,2022-12-07,29.62000,29.96000,29.10000,29.36000,481200
85,2022-12-06,30.45000,30.65000,29.40000,29.70000,331800
86,2022-12-05,31.00000,31.00000,29.83000,29.97000,506600
87,2022-12-02,30.01000,31.02000,29.70000,31.00000,276300
88,2022-12-01,30.44000,30.63500,29.66000,30.55000,749200
89,2022-11-30,29.47000,30.46000,29.39000,30.41000,476300
90,2022-11-29,29.80000,29.81500,29.35500,29.70000,431000
91,2022-11-28,30.61000,30.79000,29.45000,29.65000,633300
92,2022-11-25,30.89000,31.03000,30.59000,30.80000,373700
93,2022-11-23,31.11000,31.29000,30.66000,30.77000,329200
94,2022-11-22,30.58000,31.07000,30.36000,30.96000,483500
95,2022-11-21,30.86000,31.21000,30.37000,30.57000,272600
96,2022-11-18,30.95000,31.11500,30.50200,30.81000,474300
97,2022-11-17,30.85000,31.07000,30.20000,30.50000,285900
98,2022-11-16,30.88000,31.35000,30.85000,31.26000,375100
99,2022-11-15,32.61000,32.61000,30.79000,31.10000,624900
100,2022-11-14,31.49000,32.60000,31.26000,31.85000,755300
101,2022-11-11,31.33000,32.14000,31.33000,31.49000,365500
102,2022-11-10,31.33000,31.62000,30.97000,31.52000,560700
103,2022-11-09,30.12000,30.58000,29.71000,29.90000,512100
104,2022-11-08,30.28000,30.82000,29.98000,30.25000,598700
105,2022-11-07,30.34000,30.51400,29.72500,30.27000,614000
106,2022-11-04,31.01000,31.01000,29.94000,30.26000,832400
107,2022-11-03,30.64000,31.07000,30.29000,30.54000,623900
108,2022-11-02,31.63000,31.90500,30.57000,30.81000,698400
109,2022-11-01,32.01000,32.30000,31.55000,31.63000,618300
110,2022-10-31,31.86000,32.36900,31.61000,31.98000,815500
111,2022-10-28,30.92000,32.01000,30.92000,31.56000,1254200
112,2022-10-27,30.44000,31.02000,29.50000,30.80000,1282400
113,2022-10-26,32.02000,32.27000,29.91000,29.96000,1767800
114,2022-10-25,32.87000,32.97000,32.07000,32.27000,1445800
115,2022-10-24,31.64000,32.58000,31.20000,32.57000,1044100
116,2022-10-21,31.04000,31.59000,30.68000,31.54000,1194900
117,2022-10-20,31.71000,32.24000,30.69000,30.93000,464100
118,2022-10-19,31.90000,32.00000,31.30000,31.79000,549300
119,2022-10-18,31.79000,32.47000,31.79000,32.33000,660300
120,2022-10-17,30.77000,31.19000,30.55000,30.99000,457700
121,2022-10-14,30.51000,30.80000,29.88000,30.02000,452600
122,2022-10-13,29.28000,30.98000,28.71500,30.22000,804400
123,2022-10-12,29.91000,30.30000,29.48000,30.16000,372600
124,2022-10-11,29.72000,30.73000,29.48000,30.01000,819100
125,2022-10-10,29.52000,30.29000,29.45000,29.90000,698900
126,2022-10-07,29.87000,29.96000,28.82000,29.22000,530300
127,2022-10-06,30.46000,30.91500,30.34000,30.38000,817200
128,2022-10-05,30.07000,30.85000,29.73000,30.68000,377300
129,2022-10-04,29.61000,30.54000,29.61000,30.38000,1020800
130,2022-10-03,28.33000,29.02000,28.03500,28.91000,543900
131,2022-09-30,28.49000,28.80000,27.94000,27.98000,709500
132,2022-09-29,29.08000,29.42500,28.47000,28.62000,698200
133,2022-09-28,28.97000,29.81000,28.79000,29.65000,731500
134,2022-09-27,29.26000,29.65000,28.53000,28.77000,829800
135,2022-09-26,29.71000,30.04000,28.99000,29.03000,660300
136,2022-09-23,30.03000,30.14000,29.26000,29.84000,845300
137,2022-09-22,31.75000,31.75000,30.43000,30.48000,619800
138,2022-09-21,32.18000,32.54000,31.72000,31.80000,639900
139,2022-09-20,32.60000,32.60000,31.89000,32.11000,525400
140,2022-09-19,31.84000,32.75500,31.84000,32.71000,599000
141,2022-09-16,32.22000,32.46000,31.89000,32.26000,893200
142,2022-09-15,33.06000,33.47000,32.73000,33.01000,852000
