,datetime,open,high,low,close,volume
0,2023-04-11,20.80000,20.84000,20.55000,20.63000,123800
1,2023-04-10,20.62000,20.81000,20.41000,20.71000,114800
2,2023-04-06,20.65000,20.85000,20.56000,20.58000,107300
3,2023-04-05,20.77000,20.80000,20.49000,20.53000,109600
4,2023-04-04,21.25000,21.25000,20.65000,20.71000,90600
5,2023-04-03,21.03000,21.23000,20.89000,21.12000,171000
6,2023-03-31,20.92000,21.14000,20.82000,21.09000,153500
7,2023-03-30,21.11000,21.25000,20.73000,20.85000,72400
8,2023-03-29,20.98000,21.12000,20.91000,21.04000,96700
9,2023-03-28,20.99000,21.24000,20.85000,20.88000,140500
10,2023-03-27,20.98000,21.23000,20.85000,21.05000,127800
11,2023-03-24,20.51000,20.96000,20.45000,20.87000,114900
12,2023-03-23,21.10000,21.17000,20.46000,20.52000,160800
13,2023-03-22,21.66000,21.85000,21.14000,21.16000,138600
14,2023-03-21,21.63000,21.74000,21.52000,21.63000,146900
15,2023-03-20,21.28000,21.81000,21.27000,21.50000,129600
16,2023-03-17,21.60000,21.60000,21.17000,21.23000,713100
17,2023-03-16,21.33000,21.79000,21.21000,21.64000,178000
18,2023-03-15,21.68000,21.77000,21.21000,21.52000,137400
19,2023-03-14,21.92000,22.18000,21.80000,21.97000,197500
20,2023-03-13,21.12000,21.90000,21.08000,21.62000,230400
21,2023-03-10,21.37000,21.48000,21.15000,21.25000,116300
22,2023-03-09,21.40000,21.55000,21.25000,21.42000,142800
23,2023-03-08,21.54000,21.67000,21.13000,21.39000,108200
24,2023-03-07,21.47000,21.58000,21.25000,21.53000,134600
25,2023-03-06,22.15000,22.15000,21.29000,21.41000,140000
26,2023-03-03,22.04000,22.19000,21.87000,22.12000,107700
27,2023-03-02,21.70000,22.06000,21.65000,21.99000,103400
28,2023-03-01,21.70000,21.91000,21.70000,21.78000,90800
29,2023-02-28,21.45000,21.84000,21.39000,21.75000,292100
30,2023-02-27,21.25000,21.56000,21.25000,21.46000,224400
31,2023-02-24,21.41000,21.42000,21.02000,21.13000,201100
32,2023-02-23,21.30000,21.60000,21.17000,21.53000,113500
33,2023-02-22,21.33000,21.46000,21.07000,21.15000,113600
34,2023-02-21,21.66000,21.73000,21.24000,21.33000,157100
35,2023-02-17,21.60000,21.82000,21.37000,21.67000,113900
36,2023-02-16,21.36000,21.58000,21.26000,21.40000,65800
37,2023-02-15,21.37000,21.55000,21.17000,21.48000,78800
38,2023-02-14,21.45000,21.55000,21.20000,21.41000,82600
39,2023-02-13,21.03000,21.43000,20.97000,21.41000,88500
40,2023-02-10,20.92000,21.04000,20.85000,20.98000,62100
41,2023-02-09,21.25000,21.36000,20.97000,21.03000,78100
42,2023-02-08,21.21000,21.25000,21.03000,21.17000,52300
43,2023-02-07,21.12000,21.41000,21.02000,21.30000,90800
44,2023-02-06,21.30000,21.40000,21.15000,21.21000,87400
45,2023-02-03,21.31000,21.58000,21.27000,21.39000,94300
46,2023-02-02,21.41000,21.53000,21.25000,21.45000,108700
47,2023-02-01,21.22000,21.62000,20.92000,21.46000,136900
48,2023-01-31,20.75000,21.27000,20.69000,21.24000,189500
49,2023-01-30,20.76000,20.96000,20.57000,20.62000,62500
50,2023-01-27,21.02000,21.17000,20.70000,20.76000,86000
51,2023-01-26,20.90000,21.03000,20.78000,20.86000,52100
52,2023-01-25,20.72000,20.89000,20.55000,20.89000,73500
53,2023-01-24,20.94000,20.94000,20.75000,20.79000,77500
54,2023-01-23,20.72000,20.99000,20.64000,20.82000,107500
55,2023-01-20,21.06000,21.07000,20.64000,20.73000,91800
56,2023-01-19,21.11000,21.13000,20.82000,20.93000,91700
57,2023-01-18,21.53000,21.58000,20.94000,21.09000,105500
58,2023-01-17,21.59000,21.83000,21.51000,21.58000,98000
59,2023-01-13,21.38000,21.63000,21.23000,21.55000,77500
60,2023-01-12,21.60000,21.78000,21.44000,21.48000,81800
61,2023-01-11,21.88000,21.88000,21.59000,21.60000,79200
62,2023-01-10,21.68000,21.91000,21.67000,21.80000,77400
63,2023-01-09,22.14000,22.25000,21.65000,21.68000,78900
64,2023-01-06,22.07000,22.28000,22.07000,22.15000,86700
65,2023-01-05,22.27000,22.27000,21.92000,22.01000,92400
66,2023-01-04,22.62000,22.76000,22.33000,22.44000,140700
67,2023-01-03,22.35000,22.76000,22.13000,22.76000,157600
68,2022-12-30,22.13000,22.24000,22.01000,22.16000,83400
69,2022-12-29,22.14000,22.43000,22.14000,22.17000,80100
70,2022-12-28,22.48000,22.52000,21.97000,21.98000,62600
71,2022-12-27,22.55000,22.68000,22.44000,22.45000,156500
72,2022-12-23,22.29000,22.65000,22.27000,22.49000,60500
73,2022-12-22,22.71000,22.76000,22.25000,22.25000,170900
74,2022-12-21,22.74000,22.85000,22.56000,22.76000,120000
75,2022-12-20,22.92000,22.92000,22.37000,22.38000,74500
76,2022-12-19,22.83000,23.09000,22.51000,22.81000,118900
77,2022-12-16,22.57000,22.63000,22.25000,22.34000,149800
78,2022-12-15,23.10000,23.10000,22.60000,22.73000,69600
79,2022-12-14,23.02000,23.48000,22.94000,23.23000,79000
80,2022-12-13,23.37000,23.48000,22.98000,23.17000,152700
81,2022-12-12,23.07000,23.19000,22.86000,22.89000,101100
82,2022-12-09,22.96000,23.13000,22.80000,23.02000,55300
83,2022-12-08,23.15000,23.25000,22.74000,22.91000,51500
