,datetime,open,high,low,close,volume
0,2023-04-11,1.00000,1.01000,0.96000,0.96000,53100
1,2023-04-10,0.96000,1.00000,0.96000,1.00000,44700
2,2023-04-06,0.93000,1.00000,0.91000,0.95000,43300
3,2023-04-05,0.96000,0.99000,0.94000,0.94000,57400
4,2023-04-04,1.00000,1.04000,0.96000,0.96000,137400
5,2023-04-03,0.90000,1.00000,0.90000,1.00000,60500
6,2023-03-31,0.92000,0.94000,0.86000,0.91000,95500
7,2023-03-30,0.98000,0.99000,0.90000,0.92000,97700
8,2023-03-29,1.02000,1.04000,0.98000,0.99000,70600
9,2023-03-28,1.05000,1.05000,1.01000,1.03000,108200
10,2023-03-27,1.04000,1.08000,1.02000,1.03000,44100
11,2023-03-24,1.05000,1.09000,1.04000,1.07000,44000
12,2023-03-23,1.02000,1.07000,1.02000,1.04000,27300
13,2023-03-22,1.04000,1.08000,1.01000,1.04000,87200
14,2023-03-21,1.11000,1.13000,1.01000,1.04000,68500
15,2023-03-20,1.16000,1.16000,1.05000,1.08000,50300
16,2023-03-17,1.23000,1.23000,0.99000,0.99000,107100
17,2023-03-16,1.22000,1.25000,1.18000,1.23000,99600
18,2023-03-15,1.21000,1.34000,1.16000,1.20000,278500
19,2023-03-14,1.26000,1.33000,1.25000,1.25000,18400
20,2023-03-13,1.21000,1.27000,1.21000,1.25000,19200
21,2023-03-10,1.35000,1.35000,1.12000,1.25000,209900
22,2023-03-09,1.38000,1.41000,1.28000,1.29000,50800
23,2023-03-08,1.48000,1.48000,1.31000,1.36000,89000
24,2023-03-07,1.47000,1.48000,1.39000,1.46000,44700
25,2023-03-06,1.43000,1.47000,1.37000,1.47000,50900
26,2023-03-03,1.42000,1.47000,1.39000,1.45000,92100
27,2023-03-02,1.39000,1.44000,1.36000,1.40000,51300
28,2023-03-01,1.41000,1.45000,1.39000,1.39000,40200
29,2023-02-28,1.40000,1.48000,1.38000,1.43000,34900
30,2023-02-27,1.40000,1.44000,1.38000,1.42000,50800
31,2023-02-24,1.39000,1.46000,1.38000,1.40000,81400
32,2023-02-23,1.48000,1.48000,1.42000,1.46000,83100
33,2023-02-22,1.44000,1.50000,1.43000,1.47000,46100
34,2023-02-21,1.40000,1.47000,1.40000,1.47000,77900
35,2023-02-17,1.46000,1.47000,1.38000,1.43000,45900
36,2023-02-16,1.44000,1.53000,1.41000,1.47000,156300
37,2023-02-15,1.39000,1.47000,1.36000,1.44000,145900
38,2023-02-14,1.41000,1.42000,1.36000,1.39000,54300
39,2023-02-13,1.41000,1.44000,1.37000,1.40000,65600
40,2023-02-10,1.40000,1.44000,1.38000,1.44000,44200
41,2023-02-09,1.40000,1.46000,1.36000,1.43000,71300
42,2023-02-08,1.37000,1.40000,1.32000,1.36000,65800
43,2023-02-07,1.42000,1.42000,1.36000,1.37000,61800
44,2023-02-06,1.45000,1.49000,1.37000,1.40000,95100
45,2023-02-03,1.54000,1.54000,1.48000,1.48000,79700
46,2023-02-02,1.40000,1.60000,1.40000,1.55000,282800
47,2023-02-01,1.49000,1.52000,1.26000,1.41000,351800
48,2023-01-31,1.52000,1.52000,1.46000,1.50000,78800
49,2023-01-30,1.46000,1.51000,1.46000,1.47000,44000
50,2023-01-27,1.50000,1.56000,1.47000,1.48000,113700
51,2023-01-26,1.49000,1.54000,1.46000,1.52000,66900
52,2023-01-25,1.44000,1.51000,1.38000,1.51000,136000
53,2023-01-24,1.42000,1.48000,1.36000,1.43000,167500
54,2023-01-23,1.52000,1.59000,1.38000,1.48000,421600
55,2023-01-20,1.47000,1.50000,1.38000,1.48000,285800
56,2023-01-19,1.42000,1.50000,1.36000,1.46000,391000
57,2023-01-18,1.44000,1.58000,1.42000,1.47000,668200
58,2023-01-17,1.79000,1.79000,1.39000,1.46000,3559600
59,2023-01-13,2.46000,2.65000,2.45000,2.52000,428500
60,2023-01-12,2.51000,2.57000,2.33000,2.48000,257900
61,2023-01-11,2.62000,2.69000,2.41000,2.50000,408500
62,2023-01-10,2.59000,2.81000,2.48000,2.50000,320900
63,2023-01-09,2.63000,2.81000,2.50000,2.63000,578600
64,2023-01-06,2.34000,2.56000,2.28000,2.54000,298100
65,2023-01-05,2.30000,2.42000,2.21000,2.35000,221900
66,2023-01-04,1.97000,2.29000,1.94000,2.28000,312000
67,2023-01-03,2.25000,2.32000,1.90000,2.00000,481400
68,2022-12-30,1.70000,2.20000,1.70000,2.16000,636100
69,2022-12-29,1.81000,1.83000,1.51000,1.74000,842400
70,2022-12-28,2.39000,2.39000,1.80000,1.85000,972200
71,2022-12-27,1.95000,2.40000,1.85000,2.31000,1758100
72,2022-12-23,1.90000,2.64000,1.90000,2.11000,5472800
73,2022-12-22,1.37000,2.10000,1.36000,1.87000,3661800
74,2022-12-21,1.03000,1.44000,0.99000,1.37000,1442000
75,2022-12-20,1.00000,1.22000,0.93000,1.06000,4497400
76,2022-12-19,1.00000,1.00000,0.90000,0.90000,63100
77,2022-12-16,0.97000,0.97000,0.91000,0.95000,74000
78,2022-12-15,0.91000,0.99000,0.91000,0.96000,64600
79,2022-12-14,0.91000,0.93000,0.90000,0.90000,101200
80,2022-12-13,0.90000,0.94000,0.90000,0.91000,28300
81,2022-12-12,0.86000,0.92000,0.86000,0.92000,63100
82,2022-12-09,0.87000,0.90000,0.84000,0.87000,52200
83,2022-12-08,0.87000,0.88000,0.84000,0.87000,28200
84,2022-12-07,0.96000,0.97000,0.86000,0.86000,52500
85,2022-12-06,1.01000,1.01000,0.93000,0.93000,59900
86,2022-12-05,1.01000,1.02000,0.97000,1.00000,63700
87,2022-12-02,0.97000,1.05000,0.94000,0.98000,116000
