,datetime,open,high,low,close,volume
0,2023-04-11,157.41000,158.37000,154.63000,154.92000,256700
1,2023-04-10,152.16000,157.27000,152.16000,156.73000,620300
2,2023-04-06,154.14000,154.28999,151.52000,152.82001,245100
3,2023-04-05,157.64999,158.10001,151.61000,154.24001,444900
4,2023-04-04,164.99001,164.99001,158.09000,158.70000,288700
5,2023-04-03,162.82001,164.94000,162.78000,164.52000,776300
6,2023-03-31,161.67000,162.84000,160.73000,162.59000,302900
7,2023-03-30,160.96001,162.28000,159.35001,160.94000,239700
8,2023-03-29,160.53000,161.22000,159.17000,160.56000,205600
9,2023-03-28,158.80000,159.91000,157.94000,159.52000,185100
10,2023-03-27,158.02000,159.96001,155.78000,159.17000,435100
11,2023-03-24,155.89000,157.66000,153.56000,156.70000,339500
12,2023-03-23,159.78999,160.55000,156.02000,157.64000,327200
13,2023-03-22,160.89999,163.14999,159.28999,159.91000,374800
14,2023-03-21,163.87000,165.44000,161.21001,162.02000,314800
15,2023-03-20,161.49001,163.67999,160.91000,161.64999,337600
16,2023-03-17,160.07001,161.10001,157.17000,160.39999,898100
17,2023-03-16,154.25999,160.64000,153.95000,160.53999,453100
18,2023-03-15,154.95000,155.95000,152.75000,155.91000,460600
19,2023-03-14,159.13000,160.13000,157.45000,158.39000,363400
20,2023-03-13,155.75999,158.75000,154.77000,155.67999,272700
21,2023-03-10,164.07001,164.07001,157.12000,158.49001,417200
22,2023-03-09,168.69000,168.83000,164.80000,164.89000,216800
23,2023-03-08,166.22000,168.02000,164.72000,167.97000,320900
24,2023-03-07,167.20000,168.36000,165.63000,165.81000,346900
25,2023-03-06,168.38000,168.80000,165.59000,166.49001,367000
26,2023-03-03,167.80000,169.46500,165.36000,168.95000,195587
27,2023-03-02,166.28999,167.97501,165.78000,166.86000,217486
28,2023-03-01,167.47000,168.38000,166.00000,166.99001,282801
29,2023-02-28,166.16000,168.89999,166.16000,167.22000,555390
30,2023-02-27,166.12000,166.94000,164.75500,166.03999,472551
31,2023-02-24,165.94000,169.88499,161.00000,165.52000,576922
32,2023-02-23,155.39999,165.82001,153.47000,162.12000,688260
33,2023-02-22,147.14000,148.07001,146.22000,146.53999,239243
34,2023-02-21,149.75999,149.83000,145.77000,146.48000,202960
35,2023-02-17,149.33000,152.22501,149.20010,151.19000,268422
36,2023-02-16,146.85001,150.74001,146.85001,148.75999,294452
37,2023-02-15,145.56000,148.98000,145.47000,148.64000,180329
38,2023-02-14,146.91000,148.44501,145.85001,147.00999,154750
