,datetime,open,high,low,close,volume
0,2023-04-11,10.23400,10.23400,10.23000,10.23000,2500
1,2023-04-10,10.23000,10.23000,10.23000,10.23000,0
2,2023-04-06,10.23000,10.25000,10.23000,10.23000,1900
3,2023-04-05,10.23000,10.23000,10.23000,10.23000,9200
4,2023-04-04,10.22000,10.23000,10.22000,10.23000,13000
5,2023-04-03,10.20000,10.22000,10.20000,10.22000,5800
6,2023-03-31,10.22000,10.22000,10.22000,10.22000,25300
7,2023-03-30,10.22000,10.22000,10.22000,10.22000,79800
8,2023-03-29,10.20000,10.21000,10.20000,10.21000,42500
9,2023-03-28,10.20000,10.20000,10.20000,10.20000,80900
10,2023-03-27,10.19000,10.19000,10.19000,10.19000,56200
11,2023-03-24,10.19000,10.19000,10.19000,10.19000,0
12,2023-03-23,10.19000,10.19000,10.19000,10.19000,0
13,2023-03-22,10.19000,10.19000,10.19000,10.19000,100
14,2023-03-21,10.19000,10.19000,10.19000,10.19000,200
15,2023-03-20,10.19000,10.19000,10.19000,10.19000,61300
16,2023-03-17,10.18000,10.18000,10.18000,10.18000,3100
17,2023-03-16,10.18000,10.18000,10.18000,10.18000,500
18,2023-03-15,10.18000,10.18000,10.18000,10.18000,2600
19,2023-03-14,10.17000,10.19000,10.17000,10.17000,600
20,2023-03-13,10.18000,10.18000,10.17000,10.17000,500
21,2023-03-10,10.18000,10.19000,10.18000,10.18000,65900
22,2023-03-09,10.18000,10.18000,10.18000,10.18000,100
23,2023-03-08,10.18000,10.18000,10.17500,10.18000,23500
24,2023-03-07,10.14000,10.17000,10.14000,10.17000,51000
25,2023-03-06,10.14000,10.14000,10.14000,10.14000,3900
26,2023-03-03,10.12000,10.12000,10.12000,10.12000,0
27,2023-03-02,10.12000,10.12000,10.12000,10.12000,2800
28,2023-03-01,10.12000,10.12000,10.12000,10.12000,0
29,2023-02-28,10.12000,10.12000,10.12000,10.12000,0
30,2023-02-27,10.12000,10.12000,10.12000,10.12000,0
31,2023-02-24,10.12000,10.12000,10.12000,10.12000,0
32,2023-02-23,10.12000,10.12000,10.12000,10.12000,100
33,2023-02-22,10.15000,10.15000,10.15000,10.15000,0
34,2023-02-21,10.15000,10.15000,10.15000,10.15000,400
35,2023-02-17,10.11000,10.11000,10.11000,10.11000,200
36,2023-02-16,10.11000,10.11000,10.11000,10.11000,0
37,2023-02-15,10.11000,10.16000,10.11000,10.11000,95300
38,2023-02-14,10.14500,10.14500,10.12000,10.12000,1400
39,2023-02-10,10.12000,10.12000,10.12000,10.12000,200
40,2023-02-09,10.11000,10.12000,10.11000,10.12000,102900
41,2023-02-08,10.11000,10.11000,10.11000,10.11000,1100
42,2023-02-07,10.11000,10.11000,10.11000,10.11000,300
43,2023-02-06,10.11000,10.13400,10.11000,10.11000,3700
44,2023-02-02,10.20000,10.20000,10.11000,10.11000,1800
