,datetime,open,high,low,close,volume
0,2023-04-11,24.15000,24.57500,24.15000,24.54000,10100
1,2023-04-10,24.04300,24.04300,24.04300,24.04300,400
2,2023-04-06,24.23000,24.47000,24.23000,24.32000,3500
3,2023-04-05,24.35000,24.42000,24.15000,24.17000,4500
4,2023-04-04,24.33000,24.40000,23.95500,24.40000,7700
5,2023-04-03,24.43000,24.46000,23.97000,24.39000,10400
6,2023-03-31,24.02000,24.53000,24.02000,24.51000,27800
7,2023-03-30,23.90000,24.10000,23.66000,24.10000,6000
8,2023-03-29,23.90000,24.20000,23.90000,24.20000,5700
9,2023-03-28,23.70000,23.89000,23.70000,23.81000,5100
10,2023-03-27,23.77000,23.90000,23.70000,23.89000,2500
11,2023-03-24,23.68000,23.89000,23.68000,23.75000,4300
12,2023-03-23,23.75000,24.05000,23.41000,23.93000,12200
13,2023-03-22,23.60000,24.09000,23.60000,23.93000,9300
14,2023-03-21,23.90500,24.01000,23.30000,23.50000,8000
15,2023-03-20,23.81000,23.98000,23.31000,23.31000,5900
16,2023-03-17,24.01000,24.12000,23.51500,23.80000,9400
17,2023-03-16,23.56000,24.22100,23.56000,24.15000,10900
18,2023-03-15,23.63000,24.06000,23.16600,23.72400,8200
19,2023-03-14,23.51000,24.08000,23.51000,23.70000,7000
20,2023-03-13,23.35000,23.47000,23.20000,23.43000,15000
21,2023-03-10,23.44000,23.57500,23.32000,23.41000,5100
22,2023-03-09,23.72000,23.75290,23.39000,23.46990,7518
23,2023-03-08,23.65000,23.87100,23.65000,23.70300,4400
24,2023-03-07,23.84000,23.84000,23.69000,23.71800,4000
25,2023-03-06,23.86000,23.88000,23.77000,23.80000,2500
26,2023-03-03,23.70000,23.98000,23.69000,23.86000,8200
27,2023-03-02,23.88000,23.88000,23.61000,23.64000,6100
28,2023-03-01,24.02000,24.02000,23.77000,23.91000,2500
29,2023-02-28,24.04000,24.05000,23.66000,24.05000,7900
30,2023-02-27,24.00000,24.08000,23.99000,24.08000,3100
31,2023-02-24,24.07000,24.07000,23.51000,23.92000,4100
32,2023-02-23,23.80300,24.14800,23.80300,24.10000,2400
33,2023-02-22,23.70000,23.83000,23.68700,23.80000,6600
34,2023-02-21,24.09000,24.09000,23.50100,23.61000,15400
35,2023-02-17,24.13000,24.13000,24.00000,24.08800,3000
36,2023-02-16,24.15000,24.37000,24.09000,24.13000,11000
37,2023-02-15,24.15000,24.39000,24.02300,24.32000,3700
38,2023-02-14,24.26000,24.38000,23.91500,24.38000,5300
39,2023-02-13,24.10000,24.27000,23.96200,24.27000,3100
40,2023-02-10,24.10000,24.21000,24.09000,24.14000,2800
41,2023-02-09,24.14000,24.48000,24.00000,24.10000,5700
42,2023-02-08,24.01000,24.14000,23.95000,24.10000,5900
43,2023-02-07,23.78000,23.78000,23.68000,23.72000,3900
44,2023-02-06,24.00000,24.01000,23.70000,23.78800,7800
45,2023-02-03,24.29000,24.44000,24.00000,24.00000,5600
46,2023-02-02,24.26000,24.46000,24.26000,24.29100,5500
47,2023-02-01,24.35000,24.37000,24.22000,24.26000,15000
48,2023-01-31,24.16000,24.35000,24.00000,24.34000,15600
49,2023-01-30,24.18000,24.25000,24.00000,24.08000,3200
50,2023-01-27,24.00000,24.28000,24.00000,24.18000,9500
51,2023-01-26,24.03000,24.05000,23.87000,24.05000,5900
52,2023-01-25,24.02000,24.14000,23.95000,24.03000,13700
53,2023-01-24,24.03000,24.29000,24.03000,24.05000,6800
54,2023-01-23,24.11000,24.19500,24.00000,24.05200,6700
55,2023-01-20,24.06000,24.10000,23.97400,24.07000,9100
56,2023-01-19,23.73000,24.38200,23.67000,24.10000,7600
57,2023-01-18,23.42000,23.79000,23.42000,23.71000,16300
58,2023-01-17,23.33000,23.50000,23.25000,23.42200,7500
59,2023-01-13,23.42500,23.49000,23.33000,23.33000,6100
60,2023-01-12,23.37000,23.37000,23.25000,23.32700,5100
61,2023-01-11,22.99000,23.21700,22.99000,23.15000,10600
62,2023-01-10,22.81000,23.16000,22.81000,22.87000,16700
63,2023-01-09,23.09000,23.10500,22.65200,22.80000,10600
64,2023-01-06,22.68000,23.27600,22.68000,22.94000,11500
65,2023-01-05,22.60000,22.84000,22.50500,22.84000,8300
66,2023-01-04,22.30000,22.83000,22.30000,22.63000,6700
67,2023-01-03,22.20000,22.48000,22.10000,22.19000,16200
68,2022-12-30,22.11000,22.18000,22.02000,22.10000,9100
69,2022-12-29,21.86000,22.21000,21.86000,22.09000,7900
70,2022-12-28,22.53000,22.53000,22.20000,22.28000,9200
71,2022-12-27,22.85000,22.85000,22.26000,22.35000,12000
72,2022-12-23,22.99000,23.01000,22.75700,22.85200,5400
73,2022-12-22,23.25000,23.25000,22.91500,22.95000,24900
74,2022-12-21,23.17000,23.31900,23.11000,23.22500,3800
75,2022-12-20,23.11000,23.28000,23.06100,23.07000,3700
76,2022-12-19,23.08000,23.30000,23.06000,23.11500,8900
77,2022-12-16,23.32000,23.37000,23.05800,23.05800,1400
78,2022-12-15,23.19000,23.35000,23.01000,23.21000,5800
79,2022-12-14,23.00000,23.50000,22.98000,23.00000,10800
80,2022-12-13,23.09000,23.23500,23.09000,23.18000,7200
81,2022-12-12,22.89000,23.18000,22.81900,22.85000,11000
82,2022-12-09,23.16000,23.24800,22.98000,23.16000,11800
83,2022-12-08,23.15000,23.38500,23.15000,23.32000,8100
84,2022-12-07,23.09000,23.47100,22.89000,23.38000,5100
85,2022-12-06,22.97000,23.47000,22.90200,23.09000,6100
86,2022-12-05,23.20000,23.37000,22.75500,23.15000,8900
87,2022-12-02,22.69000,23.29000,22.57000,23.20000,7200
88,2022-12-01,22.57000,23.17000,22.57000,23.10000,2900
89,2022-11-30,22.30000,22.80000,22.15000,22.71000,16100
90,2022-11-29,22.50000,22.69900,22.30000,22.30000,11000
91,2022-11-28,22.50000,22.70000,22.50000,22.50000,5000
92,2022-11-25,22.48000,22.73000,22.48000,22.60000,4800
93,2022-11-23,22.60700,22.66000,22.30000,22.48000,15300
94,2022-11-22,22.46000,22.48000,22.20000,22.36000,9900
95,2022-11-21,22.40000,22.45000,22.26000,22.30000,5000
96,2022-11-18,22.20000,22.72700,22.20000,22.36000,3600
97,2022-11-17,22.21000,22.84700,22.20000,22.20000,5600
