,datetime,open,high,low,close,volume
0,2023-04-11,18.30000,18.61000,18.30000,18.52000,666600
1,2023-04-10,18.06000,18.26000,17.93000,18.15000,865700
2,2023-04-06,18.13000,18.27000,17.90000,18.26000,1207300
3,2023-04-05,18.00000,18.28000,17.91000,18.22000,2142700
4,2023-04-04,18.80000,18.86000,18.05000,18.17000,1434400
5,2023-04-03,19.25000,19.39000,18.63000,18.84000,1295200
6,2023-03-31,18.95000,19.32000,18.86000,19.31000,1127200
7,2023-03-30,19.02000,19.05000,18.73000,18.81000,838700
8,2023-03-29,18.94000,18.94000,18.67000,18.84000,1107400
9,2023-03-28,18.56000,18.77000,18.51000,18.66000,1039400
10,2023-03-27,18.70000,18.81000,18.50000,18.60000,753900
11,2023-03-24,18.12000,18.47000,17.85000,18.44000,804700
12,2023-03-23,18.42000,18.88000,18.21000,18.36000,893900
13,2023-03-22,18.94000,19.00000,18.38000,18.38000,1066900
14,2023-03-21,18.87000,19.08000,18.80000,18.92000,681100
15,2023-03-20,18.59000,18.79000,18.49000,18.55000,1119000
16,2023-03-17,18.76000,18.93000,18.33000,18.38000,1132800
17,2023-03-16,18.40000,19.02000,18.34000,18.92000,1118600
18,2023-03-15,18.74000,18.76000,18.33000,18.57000,1160000
19,2023-03-14,19.41000,19.65000,19.08000,19.37000,851100
20,2023-03-13,18.97000,19.25000,18.67000,19.01000,1155500
21,2023-03-10,19.78000,19.78000,19.11000,19.29000,801800
22,2023-03-09,20.63000,20.74000,19.81000,19.85000,899015
23,2023-03-08,20.30000,20.63000,20.24000,20.52000,1211400
24,2023-03-07,20.58000,20.69000,20.28000,20.31000,943400
25,2023-03-06,21.11000,21.13000,20.55000,20.56000,1075500
26,2023-03-03,21.13000,21.20000,20.91000,21.14000,774963
27,2023-03-02,20.47000,20.99500,20.31000,20.94000,1032754
28,2023-03-01,20.43000,20.97500,20.22000,20.70000,1528950
29,2023-02-28,20.57000,20.78500,20.48000,20.54000,1584193
30,2023-02-27,20.82000,20.88000,20.47000,20.51000,1075343
31,2023-02-24,20.31000,20.64500,20.20000,20.54000,1530948
32,2023-02-23,20.63000,21.01000,20.11000,20.61000,2276245
33,2023-02-22,19.60000,20.49500,19.00000,20.36000,2470053
34,2023-02-21,19.92000,19.96000,19.46500,19.49000,1559284
35,2023-02-17,20.23000,20.29000,19.95000,20.13000,1826157
36,2023-02-16,20.27000,20.57000,20.13000,20.26000,1413121
37,2023-02-15,20.21000,20.66000,20.05000,20.58000,1231144
38,2023-02-14,20.12000,20.48000,20.07000,20.30000,1962842
39,2023-02-13,19.85000,20.24000,19.73000,20.18000,2714372
40,2023-02-10,20.02000,20.08000,19.70500,19.88000,3581076
41,2023-02-09,20.88000,20.95500,20.11000,20.18000,1107802
42,2023-02-08,20.80000,20.97000,20.59000,20.60000,920517
43,2023-02-07,20.95000,21.07000,20.60000,20.99000,1783475
44,2023-02-06,21.43000,21.43000,20.80000,21.10000,1097125
45,2023-02-03,21.38000,21.81500,21.33770,21.65000,1686429
46,2023-02-02,21.20000,21.90000,21.18000,21.78000,1978316
47,2023-02-01,20.51000,21.14000,20.46000,21.00000,1681209
48,2023-01-31,20.03000,20.53000,20.02000,20.48000,884981
49,2023-01-30,20.05000,20.21500,19.94000,19.94000,767557
50,2023-01-27,20.01000,20.29500,19.95000,20.20000,644826
51,2023-01-26,19.74000,20.18000,19.62000,20.12000,903250
52,2023-01-25,19.85000,20.11000,19.69000,19.70000,1230002
53,2023-01-24,20.23000,20.24500,20.03000,20.20000,720264
54,2023-01-23,19.87000,20.29000,19.79000,20.20000,931889
55,2023-01-20,19.40000,19.74000,19.30000,19.74000,722166
56,2023-01-19,19.20000,19.37000,19.10000,19.30000,823823
57,2023-01-18,19.49000,19.75500,19.34000,19.43000,1009380
58,2023-01-17,19.53000,19.55000,19.37000,19.40000,742480
59,2023-01-13,19.23000,19.59000,19.23000,19.53000,586040
60,2023-01-12,19.49000,19.58000,19.31000,19.50000,701578
61,2023-01-11,19.27000,19.48500,19.26000,19.43000,749278
62,2023-01-10,19.10000,19.23000,18.82000,19.03000,2203718
63,2023-01-09,18.70000,19.50000,18.62000,19.15000,1598486
64,2023-01-06,18.10000,18.53000,18.08000,18.52000,965338
65,2023-01-05,17.97000,18.14500,17.76000,17.89000,1180709
66,2023-01-04,18.40000,18.43000,18.09500,18.19000,1422668
67,2023-01-03,18.33000,18.41000,17.77000,18.11000,1340171
68,2022-12-30,18.03000,18.25000,17.95000,18.19000,638769
69,2022-12-29,17.95000,18.40000,17.95000,18.23000,595926
70,2022-12-28,18.43000,18.49000,17.83500,17.85000,704881
71,2022-12-27,18.35000,18.50670,18.24000,18.42000,542347
72,2022-12-23,18.01000,18.38000,18.00000,18.34000,711403
73,2022-12-22,18.10000,18.10000,17.72500,18.07000,947523
74,2022-12-21,18.22000,18.49500,18.21000,18.33000,1791509
75,2022-12-20,18.04000,18.20000,18.01000,18.08000,822491
76,2022-12-19,18.36000,18.38500,17.96000,18.10000,1535626
77,2022-12-16,18.16000,18.44000,18.13000,18.37000,1781402
78,2022-12-15,18.67000,18.67000,18.38000,18.41000,1236332
79,2022-12-14,19.04000,19.20000,18.78000,18.98000,1199323
80,2022-12-13,19.47000,19.60000,18.89000,19.03000,1063320
81,2022-12-12,18.80000,18.86000,18.59000,18.82000,697566
82,2022-12-09,18.87000,19.03000,18.83000,18.83000,542126
83,2022-12-08,19.07000,19.14100,18.82000,18.90000,725234
84,2022-12-07,19.05000,19.21000,18.84500,18.93000,770183
85,2022-12-06,19.30000,19.46000,18.91000,19.16000,804366
86,2022-12-05,19.38000,19.61000,19.27000,19.28000,884016
87,2022-12-02,19.35000,19.70500,19.35000,19.65000,934551
88,2022-12-01,19.76000,19.88000,19.57000,19.66000,994951
89,2022-11-30,18.78000,19.56000,18.59000,19.56000,978434
90,2022-11-29,18.80000,19.03900,18.74000,18.92000,816457
