,datetime,open,high,low,close,volume
0,2023-04-11,17.35000,17.46000,17.14000,17.28000,371900
1,2023-04-10,17.27000,17.45500,16.90000,17.33000,353100
2,2023-04-06,17.10000,17.47000,16.95000,17.40000,406800
3,2023-04-05,18.17000,18.29000,16.86000,17.11000,820900
4,2023-04-04,18.84000,18.85000,18.04500,18.27000,693200
5,2023-04-03,19.09000,19.22000,18.72000,18.81000,480300
6,2023-03-31,18.87000,19.29000,18.80000,19.25000,677200
7,2023-03-30,19.02000,19.10000,18.71000,18.79000,335800
8,2023-03-29,18.66000,18.99000,18.57000,18.83000,247800
9,2023-03-28,18.50000,18.61000,18.24000,18.61000,255400
10,2023-03-27,18.72000,18.86200,18.61000,18.66000,333000
11,2023-03-24,18.42000,18.62000,18.20000,18.56000,250500
12,2023-03-23,18.64000,18.86500,18.45000,18.51000,290400
13,2023-03-22,19.06000,19.06000,18.42000,18.45000,345000
14,2023-03-21,18.69000,19.01000,18.60000,18.98000,373600
15,2023-03-20,18.92000,18.94000,18.45000,18.54000,345900
16,2023-03-17,18.88000,19.02000,18.74000,18.85000,802200
17,2023-03-16,18.70000,18.95000,18.53000,18.86000,348100
18,2023-03-15,18.29000,18.81000,18.16000,18.71000,363600
19,2023-03-14,18.24000,18.67000,18.08000,18.64000,500400
20,2023-03-13,18.24000,18.41000,17.77000,17.81000,531900
21,2023-03-10,19.29000,19.29000,18.32000,18.50000,482600
22,2023-03-09,19.65000,20.03000,19.30000,19.38000,458700
23,2023-03-08,19.50000,19.79000,19.19000,19.65000,415400
24,2023-03-07,19.65000,19.78000,19.46000,19.58000,568800
25,2023-03-06,19.74000,19.98000,19.47000,19.74000,890100
26,2023-03-03,19.10000,19.76000,18.92000,19.74000,1192700
27,2023-03-02,18.92000,19.11000,18.50000,18.96000,1621600
28,2023-03-01,18.95000,19.62000,18.65000,19.06000,4395700
29,2023-02-28,20.99000,21.49000,20.91000,21.04000,629800
30,2023-02-27,21.44000,21.61000,21.02000,21.13000,283200
31,2023-02-24,21.35000,21.84000,21.28000,21.39000,299100
32,2023-02-23,21.50000,21.77900,21.40400,21.72000,335800
33,2023-02-22,21.31000,21.65000,21.03000,21.32000,476700
34,2023-02-21,20.69000,21.46000,20.64000,21.41000,419700
35,2023-02-17,21.18000,21.36300,20.85500,21.01000,351300
36,2023-02-16,20.98000,21.65000,20.83000,21.29000,573000
37,2023-02-15,21.09000,21.49000,21.05100,21.39000,430300
38,2023-02-14,21.11000,21.44000,20.72000,21.18000,450100
39,2023-02-13,20.99000,21.25000,20.54100,21.16000,817500
40,2023-02-10,20.89000,21.15000,20.06000,20.93000,1921300
41,2023-02-09,20.10000,21.39000,19.56000,20.20000,2082800
42,2023-02-08,19.77000,20.00000,19.16000,19.57000,530200
43,2023-02-07,19.66000,20.18000,19.30000,19.92000,964600
44,2023-02-06,19.72000,19.89000,19.44000,19.60000,298000
45,2023-02-03,19.69000,20.02000,19.54000,19.88000,376200
46,2023-02-02,20.23000,20.59000,20.13000,20.13000,440400
47,2023-02-01,19.45000,20.00000,19.27000,19.77000,335000
48,2023-01-31,19.47000,19.72000,19.30000,19.70000,200800
49,2023-01-30,20.10000,20.27000,19.39000,19.47000,295900
50,2023-01-27,19.38000,20.34000,19.29500,20.32000,553400
51,2023-01-26,19.31000,19.56000,18.90000,19.53000,250200
52,2023-01-25,18.60000,19.08000,18.27000,19.00000,239300
53,2023-01-24,19.07000,19.50000,18.90000,18.96000,183900
54,2023-01-23,19.00000,19.27000,18.75000,19.25000,239500
55,2023-01-20,18.70000,19.08000,18.61000,19.00000,253000
56,2023-01-19,18.63000,18.84000,18.47000,18.57000,206700
57,2023-01-18,19.04000,19.32000,18.65000,18.74000,345700
58,2023-01-17,18.50000,18.95000,18.31000,18.83000,231400
59,2023-01-13,18.31000,18.65000,18.31000,18.58000,209100
60,2023-01-12,18.26000,18.70000,17.80000,18.53000,216800
61,2023-01-11,17.71000,18.20000,17.65000,18.14000,222500
62,2023-01-10,17.39000,17.84000,17.39000,17.70000,224800
63,2023-01-09,17.23000,17.67000,17.18000,17.51000,236100
64,2023-01-06,16.95000,17.21000,16.63000,17.05000,427300
65,2023-01-05,17.08000,17.19000,16.72000,16.83000,460100
66,2023-01-04,17.92000,17.92000,17.29000,17.38000,339200
67,2023-01-03,17.76000,18.05000,17.54000,17.72000,387100
68,2022-12-30,17.05000,17.63100,17.05000,17.60000,238700
69,2022-12-29,16.51000,17.36000,16.31000,17.32000,241700
70,2022-12-28,16.37000,16.77000,16.32000,16.41000,179300
71,2022-12-27,16.82000,16.84500,16.48000,16.53000,181700
72,2022-12-23,16.88000,16.92000,16.60000,16.87000,151600
73,2022-12-22,17.13000,17.13000,16.75000,17.00000,217400
74,2022-12-21,17.33000,17.68500,17.02000,17.30000,311300
75,2022-12-20,17.11000,17.54500,17.09000,17.23000,401300
76,2022-12-19,17.50000,17.50000,16.92000,17.12000,544400
77,2022-12-16,16.75000,17.60500,16.68000,17.46000,1015100
78,2022-12-15,16.86000,17.19000,16.72000,16.88000,500600
79,2022-12-14,17.04000,17.37000,16.88000,17.17000,866000
80,2022-12-13,17.36000,17.59000,16.76000,17.06000,1265600
81,2022-12-12,16.35000,17.25000,16.32000,17.00000,929500
82,2022-12-09,15.85000,16.44000,15.75000,16.40000,401100
83,2022-12-08,15.66000,16.19000,15.48500,16.01000,366900
84,2022-12-07,15.46000,15.64000,15.01000,15.57000,529500
85,2022-12-06,16.06000,16.10000,15.27000,15.44000,386500
86,2022-12-05,16.20000,16.55000,16.06000,16.17000,427400
87,2022-12-02,16.72000,16.99000,16.24000,16.32000,757500
88,2022-12-01,16.98000,17.28000,16.93000,17.14000,291700
89,2022-11-30,16.59000,16.98000,16.28000,16.97000,487300
90,2022-11-29,16.91000,16.97000,16.60000,16.68000,238500
91,2022-11-28,17.16000,17.26000,16.82000,16.90000,238200
92,2022-11-25,17.14000,17.28000,17.06000,17.19000,105100
93,2022-11-23,17.00000,17.26000,16.83000,17.07000,343100
94,2022-11-22,16.83000,17.11000,16.42000,17.05000,373400
95,2022-11-21,17.01000,17.11500,16.64000,16.87000,395700
96,2022-11-18,17.20000,17.23000,16.70000,17.09000,722200
97,2022-11-17,17.30000,17.47000,16.73000,16.79000,653200
98,2022-11-16,18.12000,18.25500,17.77000,17.85000,340000
99,2022-11-15,19.25000,19.28000,18.19000,18.27000,697800
100,2022-11-14,19.29000,19.29000,18.72000,18.74000,508100
101,2022-11-11,19.07000,19.61000,18.87000,19.50000,614700
102,2022-11-10,19.13000,19.34000,18.80000,19.03000,887400
103,2022-11-09,18.68000,18.80000,17.84000,18.47000,766800
104,2022-11-08,18.52000,19.22500,18.14000,18.80000,489300
105,2022-11-07,18.16000,18.60000,17.93000,18.44000,642300
106,2022-11-04,18.37000,18.49500,17.44000,18.13000,989400
107,2022-11-03,18.60000,19.61000,18.02000,18.14000,949900
108,2022-11-02,19.93000,19.93000,18.55000,18.97000,740500
109,2022-11-01,20.00000,20.30000,19.67000,19.89000,515300
110,2022-10-31,19.77000,19.99000,19.55000,19.64000,422600
111,2022-10-28,20.04000,20.36500,19.91000,19.99000,426200
112,2022-10-27,20.04000,20.24500,19.48000,19.94000,547700
113,2022-10-26,20.53000,21.00000,19.85000,19.86000,381900
114,2022-10-25,19.99000,20.82000,19.93000,20.71000,438600
115,2022-10-24,20.26000,20.26000,19.47000,19.96000,454400
116,2022-10-21,20.05000,20.34000,19.45000,20.29000,442000
117,2022-10-20,20.24000,20.66000,19.84000,19.96000,291600
118,2022-10-19,20.43000,20.43000,19.88000,20.13000,224400
119,2022-10-18,20.77000,20.91000,20.22000,20.53000,315000
120,2022-10-17,19.95000,20.43000,19.77000,20.19000,346300
121,2022-10-14,19.99000,20.19000,19.15000,19.20000,408800
122,2022-10-13,18.87000,19.80000,18.32000,19.64000,481700
123,2022-10-12,19.55000,19.84000,18.96000,19.60000,386100
124,2022-10-11,20.24000,20.32000,18.92000,19.57000,878800
125,2022-10-10,21.69000,21.69000,20.18000,20.32000,541300
126,2022-10-07,21.62000,21.70000,20.92000,21.69000,813700
127,2022-10-06,22.33000,22.56000,21.57000,21.83000,1634100
128,2022-10-05,21.59000,22.51000,21.59000,22.27000,1059100
