,datetime,open,high,low,close,volume
0,2023-04-11,2.68000,2.72000,2.68000,2.69000,776400
1,2023-04-10,2.64000,2.70000,2.64000,2.69000,1283800
2,2023-04-06,2.65000,2.67000,2.64000,2.64000,785200
3,2023-04-05,2.68000,2.70000,2.65000,2.67000,798700
4,2023-04-04,2.69000,2.71000,2.64000,2.68000,505600
5,2023-04-03,2.68000,2.74000,2.68000,2.72000,1237200
6,2023-03-31,2.71000,2.73000,2.65000,2.66000,1308000
7,2023-03-30,2.67000,2.68000,2.64000,2.68000,438600
8,2023-03-29,2.66000,2.70000,2.64000,2.67000,837000
9,2023-03-28,2.65000,2.67000,2.59000,2.64000,394500
10,2023-03-27,2.64000,2.65000,2.62000,2.65000,383700
11,2023-03-24,2.64000,2.66000,2.60000,2.63000,517700
12,2023-03-23,2.65000,2.68000,2.63000,2.64000,608300
13,2023-03-22,2.69000,2.76000,2.67000,2.67000,696000
14,2023-03-21,2.69000,2.69000,2.64000,2.67000,819200
15,2023-03-20,2.65000,2.70000,2.57000,2.65000,494300
16,2023-03-17,2.70000,2.72000,2.55000,2.67000,1089300
17,2023-03-16,2.66000,2.70000,2.65000,2.70000,762700
18,2023-03-15,2.73000,2.73000,2.66000,2.66000,950500
19,2023-03-14,2.73000,2.75000,2.72000,2.74000,590200
20,2023-03-13,2.67000,2.78000,2.67000,2.69000,1041400
21,2023-03-10,2.68000,2.72000,2.66000,2.71000,743300
22,2023-03-09,2.73000,2.73000,2.65000,2.68000,989600
23,2023-03-08,2.74000,2.75000,2.72000,2.73000,667400
24,2023-03-07,2.75000,2.75000,2.70000,2.73000,1033300
25,2023-03-06,2.75000,2.76000,2.72000,2.74000,1003500
26,2023-03-03,2.71000,2.74000,2.69000,2.73000,801900
27,2023-03-02,2.75000,2.75000,2.69000,2.72000,635400
28,2023-03-01,2.75000,2.77000,2.72000,2.75000,761800
29,2023-02-28,2.78000,2.78000,2.72000,2.75000,718600
30,2023-02-27,2.69000,2.74000,2.63000,2.74000,637600
31,2023-02-24,2.71000,2.73000,2.68000,2.68000,815000
32,2023-02-23,2.75000,2.77000,2.68000,2.73000,1335800
33,2023-02-22,2.71000,2.74000,2.70000,2.72000,729600
34,2023-02-21,2.77000,2.77000,2.66000,2.70000,1261800
35,2023-02-17,2.78000,2.81000,2.74000,2.77000,593900
36,2023-02-16,2.85000,2.85000,2.76000,2.80000,1112900
37,2023-02-15,2.85000,2.85000,2.82000,2.84000,404900
38,2023-02-14,2.85000,2.85000,2.83000,2.84000,555300
39,2023-02-13,2.87000,2.88000,2.83000,2.86000,954700
40,2023-02-10,2.87000,2.87000,2.83000,2.86000,530000
41,2023-02-09,2.89000,2.89000,2.85000,2.87000,735500
42,2023-02-08,2.90000,2.90000,2.86000,2.87000,1110000
43,2023-02-07,2.89000,2.90000,2.86000,2.89000,1447900
44,2023-02-06,2.90000,2.92000,2.80000,2.87000,579500
45,2023-02-03,2.89000,2.90000,2.86000,2.90000,996100
46,2023-02-02,2.91000,2.92000,2.88000,2.90000,827700
47,2023-02-01,2.86000,2.92000,2.86000,2.88000,1053100
48,2023-01-31,2.89000,2.90000,2.86000,2.89000,854000
49,2023-01-30,2.89000,2.90000,2.81000,2.83000,900300
50,2023-01-27,2.87000,2.90000,2.86000,2.90000,1061800
51,2023-01-26,2.87000,2.88000,2.76000,2.86000,748000
52,2023-01-25,2.86000,2.87000,2.84000,2.84000,419300
53,2023-01-24,2.86000,2.87000,2.83000,2.86000,658800
54,2023-01-23,2.85000,2.87000,2.84000,2.86000,839500
55,2023-01-20,2.82000,2.88000,2.81000,2.88000,958300
56,2023-01-19,2.84000,2.89000,2.80000,2.82000,1039700
57,2023-01-18,2.85000,2.88000,2.81000,2.83000,1077600
58,2023-01-17,2.83000,2.86000,2.82000,2.83000,971700
59,2023-01-13,2.83000,2.92000,2.81000,2.83000,945800
60,2023-01-12,2.78000,2.83000,2.76000,2.81000,1407300
61,2023-01-11,2.79000,2.82000,2.77000,2.78000,943900
62,2023-01-10,2.76000,2.82000,2.71000,2.74000,1213000
63,2023-01-09,2.73000,2.79000,2.72000,2.74000,1465800
64,2023-01-06,2.66000,2.75000,2.66000,2.72000,853400
65,2023-01-05,2.69000,2.71000,2.62000,2.63000,683600
66,2023-01-04,2.66000,2.74000,2.65000,2.71000,1078900
67,2023-01-03,2.63000,2.65000,2.62000,2.64000,580100
68,2022-12-30,2.59000,2.63000,2.59000,2.63000,1844900
69,2022-12-29,2.64000,2.65000,2.60000,2.63000,1548800
70,2022-12-28,2.63000,2.67000,2.61000,2.64000,1259900
71,2022-12-27,2.66000,2.66000,2.61000,2.63000,973300
72,2022-12-23,2.63000,2.67000,2.63000,2.65000,1092100
73,2022-12-22,2.62000,2.68000,2.60000,2.62000,859800
74,2022-12-21,2.64000,2.65000,2.62000,2.64000,876300
75,2022-12-20,2.60000,2.66000,2.59000,2.61000,1537100
76,2022-12-19,2.62000,2.63000,2.60000,2.62000,1505400
77,2022-12-16,2.59000,2.63000,2.54000,2.62000,944700
78,2022-12-15,2.61000,2.66000,2.60000,2.61000,959200
79,2022-12-14,2.62000,2.65000,2.60000,2.64000,938900
80,2022-12-13,2.67000,2.69000,2.61000,2.61000,1157500
81,2022-12-12,2.63000,2.68000,2.60000,2.63000,2012600
82,2022-12-09,2.64000,2.68000,2.61000,2.62000,1097900
83,2022-12-08,2.65000,2.66000,2.62000,2.63000,1011100
84,2022-12-07,2.62000,2.64000,2.62000,2.64000,593100
85,2022-12-06,2.62000,2.63000,2.59000,2.59000,629000
86,2022-12-05,2.63000,2.65000,2.58000,2.65000,1455900
87,2022-12-02,2.62000,2.63000,2.60000,2.63000,958300
88,2022-12-01,2.62000,2.67000,2.62000,2.64000,1216600
89,2022-11-30,2.59000,2.62000,2.57000,2.62000,1472700
90,2022-11-29,2.54000,2.58000,2.53000,2.55000,1112400
91,2022-11-28,2.48000,2.54000,2.48000,2.54000,2317900
92,2022-11-25,2.49000,2.50000,2.47000,2.47000,547500
93,2022-11-23,2.46000,2.51000,2.46000,2.50000,721700
94,2022-11-22,2.46000,2.48000,2.43000,2.46000,1361800
95,2022-11-21,2.48000,2.51000,2.44000,2.45000,1008700
96,2022-11-18,2.53000,2.56000,2.41000,2.49000,1318500
97,2022-11-17,2.52000,2.53000,2.50000,2.51000,696000
98,2022-11-16,2.52000,2.57000,2.51000,2.57000,1249200
99,2022-11-15,2.49000,2.52000,2.46000,2.50000,1627100
100,2022-11-14,2.43000,2.51000,2.43000,2.44000,947600
101,2022-11-11,2.43000,2.45000,2.42000,2.43000,1061400
102,2022-11-10,2.43000,2.49000,2.41000,2.45000,1857200
103,2022-11-09,2.38000,2.39000,2.35000,2.36000,433300
104,2022-11-08,2.40000,2.42000,2.36000,2.39000,915700
105,2022-11-07,2.36000,2.41000,2.35000,2.40000,999500
106,2022-11-04,2.37000,2.38000,2.35000,2.36000,696500
107,2022-11-03,2.35000,2.37000,2.33000,2.33000,867000
108,2022-11-02,2.43000,2.43000,2.36000,2.37000,618300
109,2022-11-01,2.41000,2.43000,2.39000,2.41000,1149100
110,2022-10-31,2.38000,2.43000,2.36000,2.37000,1205000
111,2022-10-28,2.34000,2.37000,2.33000,2.36000,1452400
112,2022-10-27,2.35000,2.37000,2.33000,2.33000,1383900
113,2022-10-26,2.36000,2.38000,2.34000,2.34000,1727200
114,2022-10-25,2.33000,2.37000,2.32000,2.37000,1030700
115,2022-10-24,2.35000,2.36000,2.31000,2.31000,1419800
116,2022-10-21,2.33000,2.36000,2.26000,2.36000,986800
117,2022-10-20,2.38000,2.39000,2.33000,2.34000,2021300
118,2022-10-19,2.40000,2.43000,2.37000,2.37000,1168100
119,2022-10-18,2.46000,2.46000,2.39000,2.41000,1667200
120,2022-10-17,2.48000,2.50000,2.45000,2.45000,803800
121,2022-10-14,2.50000,2.50000,2.45000,2.46000,364000
122,2022-10-13,2.47000,2.52000,2.46000,2.48000,740800
123,2022-10-12,2.52000,2.52000,2.47000,2.50000,694600
124,2022-10-11,2.55000,2.55000,2.50000,2.51000,620200
125,2022-10-10,2.52000,2.56000,2.51000,2.52000,1621900
126,2022-10-07,2.55000,2.56000,2.48000,2.51000,816100
127,2022-10-06,2.55000,2.58000,2.54000,2.55000,714400
128,2022-10-05,2.59000,2.61000,2.54000,2.57000,662200
129,2022-10-04,2.60000,2.64000,2.56000,2.58000,1491000
130,2022-10-03,2.52000,2.59000,2.50000,2.56000,1675900
131,2022-09-30,2.57000,2.57000,2.50000,2.52000,1741400
132,2022-09-29,2.59000,2.62000,2.49000,2.51000,1660000
133,2022-09-28,2.52000,2.60000,2.52000,2.60000,925800
134,2022-09-27,2.55000,2.56000,2.51000,2.51000,1339300
135,2022-09-26,2.57000,2.58000,2.53000,2.54000,968700
136,2022-09-23,2.60000,2.61000,2.57000,2.59000,2380300
137,2022-09-22,2.61000,2.64000,2.60000,2.61000,1654300
138,2022-09-21,2.64000,2.67000,2.63000,2.64000,1222100
139,2022-09-20,2.65000,2.68000,2.62000,2.62000,1952700
140,2022-09-19,2.69000,2.70000,2.64000,2.66000,2368600
141,2022-09-16,2.73000,2.74000,2.67000,2.68000,2480400
142,2022-09-15,2.76000,2.78000,2.73000,2.75000,536500
143,2022-09-14,2.77000,2.78000,2.75000,2.76000,1015300
144,2022-09-13,2.77000,2.78000,2.74000,2.75000,1100900
145,2022-09-12,2.80000,2.83000,2.78000,2.79000,1122300
146,2022-09-09,2.81000,2.82000,2.78000,2.81000,519200
147,2022-09-08,2.80000,2.81000,2.78000,2.80000,507600
148,2022-09-07,2.78000,2.81000,2.77000,2.79000,679900
149,2022-09-06,2.88000,2.88000,2.77000,2.78000,1109200
150,2022-09-02,2.88000,2.90000,2.84000,2.86000,466900
151,2022-09-01,2.87000,2.89000,2.84000,2.87000,1235000
152,2022-08-31,2.89000,2.90000,2.85000,2.88000,809100
153,2022-08-30,2.89000,2.89000,2.74000,2.84000,702700
154,2022-08-29,2.84000,2.91000,2.84000,2.89000,557600
155,2022-08-26,2.90000,2.90000,2.84000,2.85000,454100
156,2022-08-25,2.90000,2.93000,2.87000,2.89000,477700
157,2022-08-24,2.88000,2.94000,2.87000,2.88000,633600
158,2022-08-23,2.85000,2.90000,2.84000,2.88000,1243900
159,2022-08-22,2.82000,2.88000,2.79000,2.87000,1086200
160,2022-08-19,2.88000,2.91000,2.82000,2.84000,1266100
161,2022-08-18,2.95000,2.97000,2.89000,2.89000,1114900
162,2022-08-17,2.99000,3.00000,2.94000,2.96000,1081100
163,2022-08-16,2.98000,3.01000,2.98000,3.00000,801800
164,2022-08-15,2.98000,3.02000,2.95000,2.98000,936500
165,2022-08-12,2.97000,2.98000,2.91000,2.98000,1024600
166,2022-08-11,2.92000,2.94000,2.91000,2.94000,995100
167,2022-08-10,2.85000,2.92000,2.84000,2.90000,1919600
168,2022-08-09,2.87000,2.88000,2.84000,2.84000,982400
169,2022-08-08,2.84000,2.87000,2.84000,2.86000,830300
170,2022-08-05,2.84000,2.84000,2.80000,2.82000,1133300
171,2022-08-04,2.85000,2.86000,2.83000,2.85000,645500
172,2022-08-03,2.84000,2.86000,2.82000,2.85000,971500
173,2022-08-02,2.83000,2.93000,2.80000,2.82000,1268700
174,2022-08-01,2.78000,2.84000,2.78000,2.84000,1518100
175,2022-07-29,2.78000,2.79000,2.75000,2.78000,1847000
176,2022-07-28,2.74000,2.77000,2.71000,2.76000,977300
177,2022-07-27,2.72000,2.76000,2.71000,2.75000,1887400
178,2022-07-26,2.71000,2.72000,2.69000,2.70000,777700
179,2022-07-25,2.70000,2.73000,2.67000,2.71000,981500
180,2022-07-22,2.69000,2.71000,2.62000,2.70000,1834100
181,2022-07-21,2.70000,2.71000,2.67000,2.70000,640700
182,2022-07-20,2.73000,2.74000,2.69000,2.71000,1650700
183,2022-07-19,2.70000,2.74000,2.70000,2.74000,1482300
184,2022-07-18,2.74000,2.75000,2.68000,2.70000,1586100
185,2022-07-15,2.73000,2.75000,2.71000,2.73000,1209700
186,2022-07-14,2.72000,2.73000,2.70000,2.73000,960500
187,2022-07-13,2.72000,2.74000,2.72000,2.73000,831200
188,2022-07-12,2.75000,2.76000,2.73000,2.75000,913800
189,2022-07-11,2.75000,2.78000,2.74000,2.76000,835000
190,2022-07-08,2.74000,2.77000,2.72000,2.77000,1648000
191,2022-07-07,2.74000,2.77000,2.74000,2.77000,1330000
192,2022-07-06,2.76000,2.78000,2.73000,2.74000,2092000
193,2022-07-05,2.77000,2.80000,2.74000,2.77000,2354600
194,2022-07-01,2.86000,2.89000,2.80000,2.85000,5336500
195,2022-06-30,2.93000,2.94000,2.90000,2.92000,836200
196,2022-06-29,2.88000,2.91000,2.86000,2.89000,864100
197,2022-06-28,2.89000,2.93000,2.88000,2.89000,614500
198,2022-06-27,2.90000,2.91000,2.88000,2.88000,628300
199,2022-06-24,2.88000,2.90000,2.88000,2.89000,471400
200,2022-06-23,2.92000,2.92000,2.85000,2.87000,1350600
201,2022-06-22,2.91000,2.93000,2.88000,2.90000,929300
202,2022-06-21,2.92000,2.95000,2.89000,2.92000,1144100
203,2022-06-17,2.88000,2.93000,2.87000,2.91000,922100
204,2022-06-16,2.96000,2.97000,2.87000,2.88000,1108400
205,2022-06-15,2.99000,3.00000,2.97000,2.97000,521500
206,2022-06-14,3.00000,3.00000,2.97000,2.99000,920200
207,2022-06-13,3.00000,3.01000,2.98000,3.00000,1255500
208,2022-06-10,3.04000,3.04000,3.01000,3.03000,2072000
209,2022-06-09,3.05000,3.07000,3.04000,3.04000,627000
210,2022-06-08,3.07000,3.08000,3.04000,3.05000,387700
211,2022-06-07,3.04000,3.09000,3.04000,3.09000,497000
212,2022-06-06,3.07000,3.09000,3.04000,3.05000,1100400
213,2022-06-03,3.06000,3.08000,3.05000,3.05000,326900
214,2022-06-02,3.06000,3.08000,3.05000,3.07000,615000
215,2022-06-01,3.08000,3.11000,3.05000,3.06000,735100
216,2022-05-31,3.09000,3.09000,3.03000,3.05000,1252800
217,2022-05-27,3.04000,3.08000,3.01000,3.04000,1967000
218,2022-05-26,3.02000,3.05000,3.01000,3.03000,909700
219,2022-05-25,3.00000,3.02000,2.99000,3.00000,686400
220,2022-05-24,3.00000,3.02000,2.98000,3.01000,556300
221,2022-05-23,2.99000,3.02000,2.94000,3.00000,577900
222,2022-05-20,3.00000,3.02000,2.96000,2.98000,741200
223,2022-05-19,2.98000,3.02000,2.97000,2.98000,626400
224,2022-05-18,3.01000,3.04000,3.00000,3.02000,933900
225,2022-05-17,3.00000,3.05000,3.00000,3.03000,928600
