,datetime,open,high,low,close,volume
0,2023-04-11,19.62000,19.66000,19.25000,19.39000,18300
1,2023-04-10,19.50000,19.73000,19.20000,19.39000,25500
2,2023-04-06,19.77000,19.77000,19.57000,19.59000,7500
3,2023-04-05,19.76000,20.11000,19.61000,19.61000,6000
4,2023-04-04,20.08000,20.39000,19.50000,19.86000,19900
5,2023-04-03,20.07000,20.25000,19.81000,19.93000,9500
6,2023-03-31,20.33000,20.50000,19.90000,20.00000,20900
7,2023-03-30,20.65000,20.65000,19.89000,20.19000,19400
8,2023-03-29,20.45000,20.68000,20.25000,20.36000,9500
9,2023-03-28,20.52000,20.54000,20.11000,20.26000,11100
10,2023-03-27,20.49000,20.73000,20.26000,20.26000,8400
11,2023-03-24,19.97000,20.75000,19.72000,20.26000,21000
12,2023-03-23,20.03000,20.57000,19.75000,20.08000,18300
13,2023-03-22,20.31000,20.92000,19.56000,20.31000,46100
14,2023-03-21,19.50000,20.86000,19.50000,20.31000,17000
15,2023-03-20,18.82000,19.20000,18.79000,19.19000,11800
16,2023-03-17,18.62000,19.50000,18.62000,19.23000,6100
17,2023-03-16,18.79000,18.99000,18.57000,18.67000,8000
18,2023-03-15,18.68000,19.09000,18.52000,18.56000,5000
19,2023-03-14,19.13000,19.72000,18.92000,18.96000,5800
20,2023-03-13,19.00000,19.96000,18.30000,18.76000,16500
21,2023-03-10,19.93000,20.21000,19.38000,19.88000,11700
22,2023-03-09,20.22000,20.25000,20.22000,20.25000,700
23,2023-03-08,20.28000,20.28000,20.28000,20.28000,600
24,2023-03-07,19.95000,20.13000,19.75000,20.13000,1400
25,2023-03-06,19.72000,20.15000,19.62000,19.62000,3400
26,2023-03-03,19.60000,20.04000,19.51000,19.64000,7528
27,2023-03-02,19.99000,19.99000,19.50000,19.56000,54390
28,2023-03-01,20.09000,20.09000,19.87000,19.87000,2300
29,2023-02-28,20.29000,20.32000,20.12500,20.12500,2834
30,2023-02-27,20.32990,20.32990,20.32990,20.32990,2151
31,2023-02-24,19.92990,20.18500,19.53000,20.00000,6115
32,2023-02-23,19.64000,19.88000,19.40090,19.87990,2275
33,2023-02-22,19.60000,19.64000,19.42500,19.64000,15601
34,2023-02-21,19.55000,19.89000,19.50000,19.60000,1614
35,2023-02-17,19.56190,19.78000,19.50000,19.70000,2058
36,2023-02-16,19.70000,19.86000,19.70000,19.73000,3184
37,2023-02-15,20.03000,20.03000,19.74000,19.89000,1302
38,2023-02-14,19.92000,19.92000,19.79000,19.79000,1674
39,2023-02-13,20.00000,20.00000,19.70400,19.85000,4508
40,2023-02-10,19.97000,20.00000,19.70000,19.97000,8346
41,2023-02-09,19.83170,20.15000,19.83170,20.00000,3854
42,2023-02-08,20.00000,20.00000,20.00000,20.00000,555
43,2023-02-07,20.11000,20.37000,20.03500,20.10000,3715
44,2023-02-06,20.30500,20.30500,20.11000,20.11000,716
45,2023-02-03,20.26000,20.68000,20.26000,20.36000,2450
46,2023-02-02,20.52000,20.52000,20.52000,20.52000,899
47,2023-02-01,20.45000,20.89000,20.45000,20.55000,8076
48,2023-01-31,20.64500,20.68000,20.12000,20.56000,2337
49,2023-01-30,20.52700,20.73000,20.52700,20.56000,1838
50,2023-01-27,20.87500,20.95000,20.70000,20.74000,6271
51,2023-01-26,20.98000,21.10000,20.73000,20.90000,3295
52,2023-01-25,21.00000,21.00000,20.75000,20.95000,17776
53,2023-01-24,20.82010,21.31180,20.82010,21.00000,1200
54,2023-01-23,21.10000,21.40000,20.78000,21.02000,10146
55,2023-01-20,21.58750,21.58750,21.28000,21.28000,2328
56,2023-01-19,21.54000,21.54000,21.34500,21.38000,1787
57,2023-01-18,21.71000,21.90000,21.27500,21.50000,8594
58,2023-01-17,21.71000,21.85000,21.53000,21.53000,3090
59,2023-01-13,21.45000,21.98990,21.45000,21.64000,3739
60,2023-01-12,21.87000,21.99000,21.56380,21.74000,8426
