,datetime,open,high,low,close,volume
0,2023-04-11,3.18000,3.45000,3.16000,3.38000,533800
1,2023-04-10,2.93000,3.19000,2.93000,3.18000,382000
2,2023-04-06,2.99000,3.03000,2.94000,2.94000,281100
3,2023-04-05,2.96000,2.99000,2.93500,2.99000,244900
4,2023-04-04,2.98000,3.03500,2.94000,2.96000,368500
5,2023-04-03,2.96000,3.08000,2.95000,2.97000,292700
6,2023-03-31,2.88000,3.02500,2.85500,3.00000,1164300
7,2023-03-30,2.88000,2.91000,2.85000,2.86000,236400
8,2023-03-29,2.78000,2.87000,2.74000,2.87000,377500
9,2023-03-28,2.67000,2.77000,2.63000,2.76000,355600
10,2023-03-27,2.56000,2.71500,2.55000,2.67000,434200
11,2023-03-24,2.45000,2.54000,2.40000,2.54000,337700
12,2023-03-23,2.45000,2.50000,2.45000,2.49000,508000
13,2023-03-22,2.54000,2.58000,2.45000,2.45000,538500
14,2023-03-21,2.40000,2.55000,2.40000,2.54000,662900
15,2023-03-20,2.50000,2.50000,2.36000,2.37000,471900
16,2023-03-17,2.45000,2.50000,2.42000,2.45000,872500
17,2023-03-16,2.40000,2.49000,2.38500,2.45000,425500
18,2023-03-15,2.50000,2.51000,2.35000,2.40000,964200
19,2023-03-14,2.68000,2.72000,2.53000,2.53000,600500
20,2023-03-13,2.78000,2.79000,2.55000,2.60000,1121800
21,2023-03-10,2.95000,2.95000,2.83000,2.84000,427600
22,2023-03-09,2.99000,3.02000,2.90000,2.92000,429600
23,2023-03-08,2.96000,3.00000,2.92000,2.98000,434600
24,2023-03-07,2.95000,3.00000,2.93000,2.98000,744800
25,2023-03-06,2.94000,3.01000,2.93000,2.96000,374500
26,2023-03-03,3.01000,3.01000,2.94000,2.95000,479300
27,2023-03-02,3.10000,3.11500,2.98000,3.00000,908400
28,2023-03-01,3.08000,3.20100,3.08000,3.17000,317500
29,2023-02-28,3.04000,3.16000,3.03000,3.13000,256000
30,2023-02-27,3.00000,3.09000,2.90000,3.04000,291600
31,2023-02-24,2.99000,3.02500,2.95000,3.00000,489600
32,2023-02-23,3.01000,3.05000,2.96500,3.00000,812900
33,2023-02-22,3.09000,3.10000,2.99000,3.00000,456400
34,2023-02-21,3.10000,3.18000,3.05000,3.09000,283600
35,2023-02-17,3.18000,3.21000,3.14500,3.17000,233800
36,2023-02-16,3.25000,3.27500,3.15500,3.19000,421700
37,2023-02-15,3.21000,3.29000,3.21000,3.28000,800900
38,2023-02-14,3.27000,3.33000,3.21500,3.23000,503600
39,2023-02-13,3.35000,3.41000,3.26000,3.28000,232400
40,2023-02-10,3.27000,3.42000,3.26000,3.35000,274700
41,2023-02-09,3.38000,3.42000,3.27500,3.28000,294300
42,2023-02-08,3.44000,3.44000,3.36000,3.37000,305600
43,2023-02-07,3.36000,3.46000,3.33300,3.46000,461800
44,2023-02-06,3.33000,3.37000,3.30000,3.36000,1069700
45,2023-02-03,3.37000,3.42000,3.35000,3.38000,247100
46,2023-02-02,3.30000,3.45000,3.26000,3.40000,298200
