,datetime,open,high,low,close,volume
0,2023-04-11,23.41000,23.87000,23.40000,23.57000,55600
1,2023-04-10,23.25000,23.69000,23.20000,23.35000,65500
2,2023-04-06,23.36000,23.55000,23.11000,23.35000,53200
3,2023-04-05,23.22000,23.39000,23.14000,23.21000,57400
4,2023-04-04,23.52000,23.52000,23.14000,23.21000,70900
5,2023-04-03,23.84000,24.12000,23.38000,23.52000,80300
6,2023-03-31,24.58000,24.58000,23.61000,23.71000,397800
7,2023-03-30,24.19000,24.58000,24.15000,24.58000,83800
8,2023-03-29,23.44000,24.16000,23.38000,24.08000,60700
9,2023-03-28,23.15000,23.55000,23.00000,23.25000,60300
10,2023-03-27,23.40000,23.83000,22.89000,23.53000,59600
11,2023-03-24,22.63000,23.06000,22.57000,22.76000,63100
12,2023-03-23,23.56000,23.87000,22.56000,22.65000,70900
13,2023-03-22,23.72000,24.02000,23.56000,23.61000,62400
14,2023-03-21,23.62000,23.95000,23.45000,23.66000,67300
15,2023-03-20,23.08000,23.86000,23.08000,23.41000,92600
16,2023-03-17,23.64000,24.00000,23.01000,23.08000,69500
17,2023-03-16,23.02000,24.29000,23.02000,23.85000,79000
18,2023-03-15,22.90000,23.45000,22.50000,23.03000,162300
19,2023-03-14,22.79000,24.00000,22.50000,23.19000,210700
20,2023-03-13,24.00000,24.75000,21.08000,21.59000,238900
21,2023-03-10,25.02000,25.13000,24.55000,24.83000,113800
22,2023-03-09,25.23000,25.23000,25.06000,25.06000,40173
23,2023-03-08,25.20000,25.23000,25.15000,25.19000,22000
24,2023-03-07,25.22000,25.27000,25.16000,25.19000,28200
25,2023-03-06,25.29000,25.29000,25.22000,25.23000,18500
26,2023-03-03,25.11000,25.27000,24.51000,25.26000,24800
27,2023-03-02,25.16000,25.23000,25.08000,25.21000,28300
28,2023-03-01,25.17000,25.28000,25.07000,25.16000,37600
29,2023-02-28,25.22000,25.31000,25.08000,25.15000,338300
30,2023-02-27,25.23000,25.42000,25.14000,25.19000,21000
31,2023-02-24,25.15000,25.26000,25.11000,25.11000,21700
32,2023-02-23,25.10000,25.25000,25.10000,25.19000,32900
33,2023-02-22,25.06000,25.20000,25.06000,25.14000,41000
34,2023-02-21,25.08000,25.19000,25.03000,25.03000,47900
35,2023-02-17,25.13000,25.21000,25.02000,25.19000,83600
36,2023-02-16,25.25000,25.28000,25.09000,25.14000,28600
37,2023-02-15,25.25000,25.31000,25.21000,25.29000,21700
38,2023-02-14,25.24000,25.30000,25.20000,25.25000,37900
39,2023-02-13,25.23000,25.28000,25.20000,25.25000,28200
40,2023-02-10,25.25000,25.25000,25.12000,25.25000,36300
41,2023-02-09,25.30000,25.30000,25.23000,25.25000,24100
42,2023-02-08,25.26000,25.28000,25.15000,25.27000,58400
43,2023-02-07,25.20000,25.30000,25.10000,25.23000,71800
44,2023-02-06,25.03000,25.22000,25.03000,25.20000,66500
45,2023-02-03,25.06000,25.27000,25.06000,25.14000,82300
46,2023-02-02,25.15000,25.37000,25.15000,25.28000,207100
47,2023-02-01,25.01000,25.15000,24.96000,25.15000,178700
48,2023-01-31,24.98000,25.08000,24.87000,24.97000,1230400
49,2023-01-30,24.96000,25.09000,24.96000,24.99000,103000
50,2023-01-27,25.06000,25.14000,25.00000,25.01000,90300
51,2023-01-26,25.07000,25.26000,25.04000,25.08000,86500
52,2023-01-25,25.04000,25.19000,25.04000,25.07000,44100
53,2023-01-24,25.08000,25.21000,25.08000,25.11000,58900
54,2023-01-23,25.08000,25.39000,25.01000,25.11000,87400
55,2023-01-20,25.06000,25.20000,24.96000,25.06000,86300
56,2023-01-19,25.01000,25.22000,25.01000,25.08000,78100
57,2023-01-18,25.35000,25.65000,25.05000,25.13000,77700
58,2023-01-17,25.57000,25.70000,25.30000,25.33000,54400
59,2023-01-13,25.62000,25.88000,25.47000,25.68000,26200
60,2023-01-12,25.28000,25.74000,25.21000,25.65000,53100
61,2023-01-11,25.34000,25.38000,25.13000,25.27000,22700
62,2023-01-10,25.13000,25.38000,25.06000,25.19000,31100
63,2023-01-09,25.23000,25.37000,25.09000,25.22000,54600
64,2023-01-06,25.10000,25.51000,25.10000,25.16000,47300
65,2023-01-05,24.82000,25.18000,24.75000,25.10000,33600
66,2023-01-04,24.72000,25.00000,24.65000,24.90000,67800
67,2023-01-03,24.69000,25.18000,24.50000,24.62000,37100
68,2022-12-30,24.56000,24.85000,24.40000,24.52000,124500
69,2022-12-29,24.53000,24.78000,24.43000,24.45000,61000
70,2022-12-28,24.57000,24.64000,24.50000,24.50000,73100
71,2022-12-27,25.13000,25.20000,24.90000,24.92000,65100
72,2022-12-23,25.34000,25.51000,25.08000,25.13000,112500
73,2022-12-22,25.44000,25.58000,25.26000,25.26000,68400
74,2022-12-21,25.59000,25.69000,25.42000,25.43000,40400
75,2022-12-20,25.61000,25.73000,25.37000,25.56000,47900
76,2022-12-19,25.50000,25.76000,25.35000,25.68000,74100
77,2022-12-16,25.32000,25.66000,25.16000,25.64000,83700
78,2022-12-15,25.43000,25.61000,25.32000,25.32000,33200
79,2022-12-14,25.67000,25.74000,25.30000,25.45000,64800
80,2022-12-13,25.44000,25.75000,25.40000,25.52000,55500
81,2022-12-12,25.43000,25.67000,25.14000,25.24000,54400
82,2022-12-09,25.58000,25.60000,25.25000,25.25000,33500
83,2022-12-08,25.63000,25.77000,25.55000,25.59000,43000
84,2022-12-07,25.47000,25.68000,25.47000,25.62000,32800
85,2022-12-06,25.62000,25.72000,25.45000,25.51000,36700
86,2022-12-05,25.82000,25.82000,25.39000,25.72000,28600
87,2022-12-02,25.56000,25.83000,25.44000,25.79000,28400
88,2022-12-01,25.60000,25.85000,25.47000,25.66000,43200
89,2022-11-30,25.49000,25.87000,25.31000,25.66000,84000
90,2022-11-29,25.61000,25.65000,25.33000,25.33000,46800
