,datetime,open,high,low,close,volume
0,2023-04-11,1.00000,1.02000,0.99000,0.99900,53200
1,2023-04-10,1.01000,1.04000,0.98000,0.99000,84900
2,2023-04-06,1.00000,1.03500,0.98000,1.01000,74000
3,2023-04-05,0.99000,1.03000,0.99000,1.00000,37500
4,2023-04-04,1.00000,1.01000,0.99000,1.01000,153800
5,2023-04-03,1.02000,1.04000,0.97800,1.00000,97800
6,2023-03-31,0.95000,1.04000,0.95000,1.03000,104200
7,2023-03-30,1.01000,1.02000,0.94700,0.94700,214800
8,2023-03-29,1.04000,1.06000,1.00000,1.01000,41000
9,2023-03-28,0.95000,1.04000,0.95000,1.00000,101400
10,2023-03-27,0.90000,1.05000,0.86000,0.95000,340800
11,2023-03-24,0.91000,0.96000,0.90000,0.91000,280000
12,2023-03-23,1.00000,1.00000,0.91000,0.92000,256900
13,2023-03-22,1.08000,1.08500,0.96000,0.96000,322100
14,2023-03-21,0.92900,1.23000,0.92900,1.07000,552400
15,2023-03-20,1.00000,1.04000,0.91000,0.91000,308600
16,2023-03-17,0.97000,1.01000,0.95000,0.95000,458000
17,2023-03-16,1.01000,1.28500,0.98000,0.98000,654100
18,2023-03-15,1.07000,1.09000,1.01000,1.01000,242000
19,2023-03-14,1.18000,1.18000,1.07000,1.07000,281100
20,2023-03-13,1.19000,1.27000,1.08000,1.09000,336100
21,2023-03-10,1.50000,1.50000,1.15000,1.23000,492700
22,2023-03-09,1.47000,1.47500,1.30000,1.34000,213400
23,2023-03-08,1.50000,1.52500,1.46000,1.48000,68200
24,2023-03-07,1.41000,1.53000,1.41000,1.51000,67700
25,2023-03-06,1.40000,1.44000,1.37000,1.43000,68100
26,2023-03-03,1.45000,1.50000,1.41000,1.43000,54500
27,2023-03-02,1.56000,1.56000,1.39000,1.45000,206100
28,2023-03-01,1.52000,1.76000,1.46300,1.58000,259400
29,2023-02-28,1.56000,1.58000,1.51000,1.52000,39500
30,2023-02-27,1.38000,1.57000,1.36500,1.56000,85600
31,2023-02-24,1.57000,1.60400,1.38000,1.39000,201400
32,2023-02-23,1.35000,1.73000,1.35000,1.60000,348800
33,2023-02-22,1.41000,1.44000,1.31000,1.34000,99500
