,datetime,open,high,low,close,volume
0,2023-04-11,0.23000,0.24400,0.22400,0.23000,825700
1,2023-04-10,0.24000,0.24700,0.23000,0.23000,457200
2,2023-04-06,0.25000,0.25700,0.23000,0.23800,442500
3,2023-04-05,0.25500,0.26400,0.23000,0.24000,681900
4,2023-04-04,0.26500,0.28400,0.24500,0.25500,872700
5,2023-04-03,0.30200,0.30200,0.24200,0.26300,2175000
6,2023-03-31,0.26000,0.29900,0.24000,0.29400,5525200
7,2023-03-30,0.21600,0.25000,0.21600,0.25000,1705600
8,2023-03-29,0.23000,0.23000,0.21000,0.22000,1116300
9,2023-03-28,0.23100,0.23800,0.22100,0.22100,623200
10,2023-03-27,0.23300,0.23800,0.22800,0.23200,810900
11,2023-03-24,0.24900,0.25000,0.22000,0.23000,2591800
12,2023-03-23,0.27000,0.28800,0.25900,0.28000,4211600
13,2023-03-22,0.30000,0.31000,0.25200,0.27000,1711000
14,2023-03-21,0.33000,0.33500,0.30100,0.30300,1008900
15,2023-03-20,0.34200,0.34900,0.32600,0.33500,137300
16,2023-03-17,0.33100,0.34500,0.32000,0.34500,623800
17,2023-03-16,0.32700,0.35500,0.32300,0.34000,323500
18,2023-03-15,0.33000,0.35000,0.31800,0.33300,488900
19,2023-03-14,0.33300,0.36000,0.33000,0.34000,233100
20,2023-03-13,0.32000,0.35000,0.31000,0.33300,507300
21,2023-03-10,0.38000,0.38100,0.34500,0.35000,580100
22,2023-03-09,0.38200,0.39000,0.36000,0.38000,463700
23,2023-03-08,0.40000,0.41000,0.38000,0.38000,144900
24,2023-03-07,0.42000,0.42000,0.37500,0.39000,260900
25,2023-03-06,0.41000,0.42000,0.39000,0.41000,225800
26,2023-03-03,0.41300,0.42000,0.38400,0.41000,262300
27,2023-03-02,0.40200,0.42800,0.40000,0.41300,140400
28,2023-03-01,0.45000,0.45000,0.39000,0.41400,358100
29,2023-02-28,0.37000,0.44000,0.36500,0.44000,861700
30,2023-02-27,0.35200,0.37000,0.35100,0.37000,312400
31,2023-02-24,0.38000,0.40000,0.35000,0.36500,588400
32,2023-02-23,0.40000,0.41000,0.37500,0.38200,380900
33,2023-02-22,0.40000,0.41300,0.39000,0.40300,367700
34,2023-02-21,0.44000,0.45000,0.40000,0.41800,567100
35,2023-02-17,0.46700,0.47000,0.41400,0.43000,591400
36,2023-02-16,0.45800,0.48000,0.45000,0.46000,1369600
37,2023-02-15,0.39900,0.46000,0.38300,0.46000,2894500
38,2023-02-14,0.35800,0.41500,0.35400,0.41000,1487300
39,2023-02-13,0.35600,0.38000,0.35000,0.36900,837300
40,2023-02-10,0.34000,0.37000,0.32500,0.36000,1609300
41,2023-02-09,0.35000,0.36600,0.33100,0.34900,938000
42,2023-02-08,0.35800,0.36800,0.33500,0.35800,804100
43,2023-02-07,0.34000,0.36000,0.32800,0.33900,1437200
44,2023-02-06,0.42000,0.42000,0.33500,0.35400,2726300
45,2023-02-03,0.40100,0.40800,0.36200,0.40700,1813500
46,2023-02-02,0.39000,0.40800,0.36000,0.39800,3670000
47,2023-02-01,0.29800,0.59500,0.27800,0.40900,41789700
48,2023-01-31,0.29100,0.30000,0.27000,0.29200,2266400
49,2023-01-30,0.30000,0.32500,0.29100,0.30000,11003900
50,2023-01-27,0.26500,0.27000,0.26000,0.26500,548500
51,2023-01-26,0.26800,0.27500,0.25300,0.26500,915500
52,2023-01-25,0.26500,0.27000,0.25900,0.26700,842300
53,2023-01-24,0.28800,0.28800,0.25300,0.26500,751400
54,2023-01-23,0.26300,0.28000,0.25300,0.27600,2498700
55,2023-01-20,0.26000,0.26000,0.23400,0.26000,1279000
56,2023-01-19,0.23000,0.24200,0.23000,0.24000,789900
57,2023-01-18,0.23000,0.23900,0.22900,0.23900,1451900
58,2023-01-17,0.21800,0.23000,0.21600,0.23000,1600400
59,2023-01-13,0.21500,0.21900,0.20000,0.21400,1645100
60,2023-01-12,0.20000,0.22000,0.20000,0.20000,3133500
61,2023-01-11,0.25000,0.25200,0.19100,0.19500,3093000
62,2023-01-10,0.24000,0.25000,0.22800,0.24000,478700
63,2023-01-09,0.27000,0.27000,0.23100,0.24400,675700
64,2023-01-06,0.25000,0.25800,0.23300,0.25500,598900
65,2023-01-05,0.25000,0.26000,0.23600,0.24800,547200
66,2023-01-04,0.25500,0.25500,0.23500,0.25000,385300
67,2023-01-03,0.25000,0.26500,0.22500,0.24000,777300
68,2022-12-30,0.23500,0.24900,0.22000,0.22800,890000
69,2022-12-29,0.23100,0.24800,0.21100,0.23500,605900
70,2022-12-28,0.23000,0.23700,0.21000,0.21900,843300
71,2022-12-27,0.26000,0.27000,0.21200,0.23700,1792800
72,2022-12-23,0.24500,0.26000,0.24000,0.24300,299500
73,2022-12-22,0.27000,0.27000,0.23300,0.25400,454000
74,2022-12-21,0.25000,0.26000,0.23900,0.26000,376200
75,2022-12-20,0.25000,0.26200,0.23000,0.24400,605800
76,2022-12-19,0.26300,0.27000,0.25000,0.25800,641100
77,2022-12-16,0.28000,0.28200,0.24900,0.26800,927600
78,2022-12-15,0.28000,0.29000,0.25000,0.27800,1245000
79,2022-12-14,0.30000,0.30500,0.26900,0.27500,966300
80,2022-12-13,0.30000,0.31000,0.27500,0.29000,1311500
81,2022-12-12,0.36000,0.36100,0.28500,0.29800,1947400
82,2022-12-09,0.40000,0.40000,0.34500,0.34800,2193300
83,2022-12-08,0.44100,0.47000,0.44100,0.44500,251700
84,2022-12-07,0.45300,0.47000,0.44200,0.44800,312400
85,2022-12-06,0.45500,0.49000,0.45500,0.47800,255800
86,2022-12-05,0.45000,0.48000,0.44000,0.46700,628200
87,2022-12-02,0.48300,0.51000,0.43500,0.44000,988100
88,2022-12-01,0.50000,0.51000,0.46000,0.48300,288400
89,2022-11-30,0.52500,0.52900,0.46000,0.46000,627100
90,2022-11-29,0.53000,0.53000,0.45700,0.52000,488800
91,2022-11-28,0.50000,0.54000,0.48200,0.48200,639400
92,2022-11-25,0.48000,0.52500,0.47000,0.50000,367800
93,2022-11-23,0.44000,0.47000,0.42100,0.47000,514500
94,2022-11-22,0.42000,0.45000,0.41000,0.42000,423500
95,2022-11-21,0.42000,0.43000,0.36700,0.41700,673200
96,2022-11-18,0.45000,0.45300,0.40000,0.40000,1032300
97,2022-11-17,0.45000,0.50000,0.44000,0.45100,740800
98,2022-11-16,0.55400,0.55900,0.46000,0.46000,1844400
99,2022-11-15,0.54600,0.55000,0.51300,0.52500,377900
100,2022-11-14,0.58000,0.59000,0.51500,0.52000,572700
101,2022-11-11,0.54800,0.57500,0.53300,0.57500,391700
102,2022-11-10,0.51000,0.54800,0.50100,0.54800,370400
103,2022-11-09,0.50000,0.55500,0.50000,0.50000,322800
104,2022-11-08,0.51000,0.55000,0.50000,0.50000,247100
105,2022-11-07,0.52000,0.52800,0.50000,0.50900,649600
106,2022-11-04,0.57000,0.57000,0.52000,0.52000,536400
107,2022-11-03,0.55000,0.55500,0.52300,0.54700,401900
108,2022-11-02,0.61000,0.61000,0.53000,0.53000,384400
109,2022-11-01,0.64000,0.64200,0.58400,0.58400,236000
110,2022-10-31,0.58000,0.64000,0.57000,0.62000,301100
111,2022-10-28,0.58000,0.58000,0.55000,0.57800,316500
112,2022-10-27,0.64500,0.65000,0.58300,0.58900,283500
113,2022-10-26,0.60000,0.65000,0.59000,0.64500,270600
114,2022-10-25,0.55000,0.60800,0.52200,0.60100,652100
115,2022-10-24,0.55400,0.57500,0.52200,0.52200,475000
116,2022-10-21,0.52000,0.54900,0.52000,0.53900,341600
117,2022-10-20,0.56000,0.57900,0.50100,0.52000,890900
118,2022-10-19,0.57100,0.60000,0.56000,0.56000,195800
119,2022-10-18,0.60000,0.61000,0.57100,0.57500,283600
120,2022-10-17,0.60000,0.60000,0.57000,0.59100,299900
121,2022-10-14,0.58900,0.60000,0.56300,0.56300,182400
122,2022-10-13,0.57000,0.58000,0.54000,0.57900,676300
123,2022-10-12,0.61700,0.62300,0.55600,0.59000,507200
124,2022-10-11,0.60000,0.62100,0.55000,0.60400,920000
125,2022-10-10,0.68000,0.68000,0.62000,0.63000,408000
126,2022-10-07,0.82000,0.82000,0.66700,0.68300,879400
127,2022-10-06,0.69000,0.80000,0.65000,0.78000,1953600
128,2022-10-05,0.71500,0.72000,0.66000,0.67000,284200
129,2022-10-04,0.69000,0.75000,0.68000,0.73000,340200
130,2022-10-03,0.71200,0.71200,0.65000,0.67900,647500
131,2022-09-30,0.68500,0.73500,0.66000,0.70600,462300
132,2022-09-29,0.73600,0.74000,0.64100,0.68500,610900
133,2022-09-28,0.78100,0.80000,0.69000,0.75000,588600
134,2022-09-27,0.83000,0.83000,0.70100,0.73100,506100
135,2022-09-26,0.88000,0.88700,0.79000,0.79500,537300
136,2022-09-23,0.90800,0.94000,0.88000,0.88000,319500
137,2022-09-22,1.00000,1.00000,0.88000,0.91200,209400
138,2022-09-21,0.95000,1.02000,0.95000,0.99000,227400
139,2022-09-20,1.00000,1.03000,0.90000,0.91800,343400
140,2022-09-19,1.00000,1.02000,0.96000,1.00000,268400
141,2022-09-16,1.12000,1.14000,1.01000,1.02000,339900
142,2022-09-15,1.01000,1.16000,1.00000,1.16000,511000
143,2022-09-14,1.10000,1.14000,0.95200,0.99400,521700
144,2022-09-13,1.26000,1.26000,1.02000,1.10000,722900
145,2022-09-12,1.10000,1.27000,1.08000,1.25000,918700
146,2022-09-09,0.99000,1.10000,0.98000,1.10000,663300
147,2022-09-08,0.83700,1.01000,0.83000,1.00000,482400
148,2022-09-07,0.81000,0.88800,0.77000,0.88800,226900
149,2022-09-06,0.80000,0.85000,0.75000,0.79300,314400
150,2022-09-02,0.81000,0.84000,0.78000,0.79300,240800
151,2022-09-01,0.88000,0.88000,0.75000,0.84200,392800
152,2022-08-31,0.82400,0.89000,0.78000,0.89000,289500
153,2022-08-30,0.85000,0.90000,0.80000,0.80000,261900
154,2022-08-29,0.84300,0.86000,0.81000,0.84100,247700
155,2022-08-26,0.90000,0.90000,0.85200,0.85500,288100
156,2022-08-25,0.87600,0.90000,0.82000,0.90000,465900
157,2022-08-24,0.99000,0.99000,0.86000,0.87800,664000
158,2022-08-23,1.02000,1.04700,0.95000,0.98000,597600
159,2022-08-22,0.97500,1.03000,0.92000,1.00000,642200
160,2022-08-19,0.94000,0.98700,0.82100,0.98300,754800
161,2022-08-18,0.94500,0.96000,0.90000,0.94900,529700
162,2022-08-17,0.88000,0.93700,0.86000,0.93500,881900
163,2022-08-16,0.89600,0.92000,0.82000,0.87800,866800
164,2022-08-15,0.79200,0.89000,0.78000,0.86000,1052900
165,2022-08-12,0.74300,0.79300,0.74000,0.77900,407600
166,2022-08-11,0.78000,0.84000,0.74100,0.74300,833800
167,2022-08-10,0.72000,0.78000,0.70500,0.78000,423400
168,2022-08-09,0.75000,0.75000,0.68100,0.69600,332900
169,2022-08-08,0.73000,0.77000,0.72000,0.76000,999700
170,2022-08-05,0.74000,0.74000,0.70000,0.72400,252100
171,2022-08-04,0.76500,0.76500,0.70000,0.71900,511800
172,2022-08-03,0.68900,0.91000,0.67500,0.74000,2078400
173,2022-08-02,0.64000,0.68000,0.64000,0.68000,414200
174,2022-08-01,0.63700,0.65900,0.62000,0.62900,228700
175,2022-07-29,0.65000,0.66000,0.62000,0.63700,219300
176,2022-07-28,0.60700,0.64000,0.59000,0.64000,393400
177,2022-07-27,0.60000,0.62800,0.58600,0.60300,767100
178,2022-07-26,0.64000,0.65000,0.61000,0.61000,410400
179,2022-07-25,0.65000,0.68000,0.64100,0.65000,270600
