,datetime,open,high,low,close,volume
0,2023-04-11,27.10000,27.27000,26.57000,26.73000,51500
1,2023-04-10,26.45000,27.03000,26.35000,26.96000,60400
2,2023-04-06,26.82000,26.89000,26.42000,26.52000,39800
3,2023-04-05,26.75000,27.20000,26.68000,26.73000,58700
4,2023-04-04,27.46000,27.46000,26.32000,27.10000,65700
5,2023-04-03,27.10000,27.59000,26.76000,27.33000,79400
6,2023-03-31,26.58000,27.26000,26.18000,27.22000,135100
7,2023-03-30,27.07000,27.09000,26.21000,26.43000,48800
8,2023-03-29,27.33000,27.33000,26.43000,26.89000,55300
9,2023-03-28,27.15000,27.46000,27.01000,27.17000,64600
10,2023-03-27,27.27000,27.49000,26.96000,27.26000,81600
11,2023-03-24,26.26000,27.02000,26.11000,26.85000,96800
12,2023-03-23,26.98000,26.98000,26.03000,26.46000,63300
13,2023-03-22,27.49000,28.24000,26.76000,26.80000,151700
14,2023-03-21,27.63000,28.10000,26.39000,27.64000,119400
15,2023-03-20,26.89000,27.89000,26.89000,27.13000,73200
16,2023-03-17,27.64000,27.64000,25.95000,26.68000,197000
17,2023-03-16,26.56000,28.37000,26.53000,27.79000,51100
18,2023-03-15,26.78000,27.06000,26.42000,26.95000,53800
19,2023-03-14,27.27000,28.24000,27.11000,27.46000,104700
20,2023-03-13,26.32000,26.38000,24.91000,26.04000,60200
21,2023-03-10,28.00000,28.00000,26.30000,26.81000,61300
22,2023-03-09,29.34000,29.34000,27.89000,28.09000,39400
23,2023-03-08,30.21000,30.21000,28.89000,29.47000,58700
24,2023-03-07,30.71000,31.07000,30.38000,30.44000,23100
25,2023-03-06,31.35000,31.36000,30.57000,30.88000,38800
26,2023-03-03,31.39350,31.39500,30.72000,31.22000,29233
27,2023-03-02,31.04000,31.25000,30.66000,30.99000,55047
28,2023-03-01,30.97000,31.27000,30.78000,31.07000,39216
29,2023-02-28,31.13000,31.31000,30.96000,30.99000,37966
30,2023-02-27,31.09000,31.18000,30.83000,31.04000,14164
31,2023-02-24,30.86000,30.88000,30.56000,30.83000,22348
32,2023-02-23,31.50000,31.50000,30.93000,31.10000,19657
33,2023-02-22,31.37000,31.50000,31.17000,31.25000,20867
34,2023-02-21,31.93000,32.03000,31.35000,31.45000,25030
35,2023-02-17,31.57000,32.46000,31.54000,32.28000,46766
36,2023-02-16,31.35000,31.61500,31.08000,31.45000,25381
37,2023-02-15,31.36000,31.74000,31.29000,31.74000,20369
38,2023-02-14,31.55000,31.74000,31.29180,31.36000,14423
39,2023-02-13,31.45000,32.01000,31.45000,31.97000,14270
40,2023-02-10,31.64000,31.69000,31.24000,31.63000,22563
41,2023-02-09,32.14000,32.14000,31.34000,31.64000,13883
42,2023-02-08,32.52000,32.52000,31.55000,32.13000,35749
