,datetime,open,high,low,close,volume
0,2023-04-11,52.05000,52.06000,51.75000,51.87000,7500200
1,2023-04-10,51.81000,52.08000,51.81000,52.06000,1718100
2,2023-04-06,51.85000,51.92000,51.81000,51.89000,658000
3,2023-04-05,51.82000,51.91000,51.74000,51.88000,948100
4,2023-04-04,51.85000,51.86000,51.77000,51.85000,724600
5,2023-04-03,51.85000,51.92000,51.78000,51.84000,717400
6,2023-03-31,51.85000,51.87000,51.71000,51.87000,653300
7,2023-03-30,51.81000,51.96000,51.72000,51.85000,566900
8,2023-03-29,51.84000,51.99000,51.70000,51.93000,786000
9,2023-03-28,51.70000,51.86000,51.67000,51.85000,752600
10,2023-03-27,51.69000,51.85000,51.63000,51.78000,600800
11,2023-03-24,51.45000,51.74000,51.45000,51.63000,704500
12,2023-03-23,51.30000,51.64000,51.26000,51.56000,772600
13,2023-03-22,51.36000,51.51000,51.19000,51.20000,733800
14,2023-03-21,51.40000,51.61000,51.23000,51.29000,1033000
15,2023-03-20,51.26000,51.46000,51.17000,51.23000,949000
16,2023-03-17,51.39000,51.45000,51.04000,51.19000,2159500
17,2023-03-16,51.30000,51.50000,51.23000,51.38000,2063800
18,2023-03-15,51.10000,51.48000,51.04000,51.41000,1521100
19,2023-03-14,51.46000,51.53000,51.06000,51.50000,1714000
20,2023-03-13,51.00000,51.25000,50.09000,50.92000,2509200
21,2023-03-10,51.56000,51.58000,50.73000,51.33000,3787900
22,2023-03-09,51.82000,51.82000,51.45000,51.59000,2769800
23,2023-03-08,51.83000,51.87000,51.77000,51.77000,1078400
24,2023-03-07,51.82000,51.87000,51.79000,51.85000,2278700
25,2023-03-06,51.82000,51.85000,51.81000,51.83000,2136900
26,2023-03-03,51.85000,51.95000,51.77000,51.82000,4007000
27,2023-03-02,51.80000,51.84000,51.80000,51.83000,1938500
28,2023-03-01,51.85000,51.88000,51.78000,51.80000,2946200
29,2023-02-28,51.73000,51.89000,51.73000,51.86000,3497000
30,2023-02-27,51.73000,51.80000,51.62000,51.75000,11933500
31,2023-02-24,49.40000,50.25000,49.25000,50.20000,678000
32,2023-02-23,49.66000,49.90000,49.20000,49.69000,694800
33,2023-02-22,49.76000,50.03000,49.46000,49.54000,535000
34,2023-02-21,50.05000,50.14000,49.45000,49.75000,662800
35,2023-02-17,50.21000,50.35000,49.95000,50.12000,892600
36,2023-02-16,50.20000,50.36000,50.04000,50.21000,913500
