,datetime,open,high,low,close,volume
0,2023-04-11,1.97000,2.09000,1.97000,2.04000,49600
1,2023-04-10,2.06000,2.11000,2.00000,2.02000,54400
2,2023-04-06,2.01000,2.10000,2.01000,2.08000,32700
3,2023-04-05,1.96000,2.01000,1.95000,2.01000,19900
4,2023-04-04,1.91000,2.02000,1.91000,1.96000,53700
5,2023-04-03,2.07000,2.09000,1.92000,1.94000,87200
6,2023-03-31,2.26000,2.26000,2.06000,2.10000,45200
7,2023-03-30,2.06000,2.20000,2.05000,2.17000,103000
8,2023-03-29,2.03000,2.10000,1.95000,2.06000,73000
9,2023-03-28,1.93000,1.99000,1.91000,1.99000,25400
10,2023-03-27,1.95000,1.99000,1.92000,1.95000,44000
11,2023-03-24,1.94000,1.98000,1.90000,1.96000,32600
12,2023-03-23,1.99000,2.00000,1.90000,1.98000,21400
13,2023-03-22,2.00000,2.03000,1.94000,1.97000,18600
14,2023-03-21,2.00000,2.10000,1.99000,1.99000,42200
15,2023-03-20,1.93000,2.04000,1.91000,1.99000,54200
16,2023-03-17,1.93000,1.99000,1.89000,1.96000,102200
17,2023-03-16,1.93000,1.95000,1.85000,1.93000,88300
18,2023-03-15,1.88000,1.95000,1.82000,1.90000,117800
19,2023-03-14,1.82000,1.98000,1.81000,1.92000,51900
20,2023-03-13,1.80000,1.87000,1.79000,1.82000,64900
21,2023-03-10,2.08000,2.13000,1.85000,1.87000,156500
22,2023-03-09,2.06000,2.16000,2.02000,2.10000,94800
23,2023-03-08,2.15000,2.15000,2.04000,2.06000,110100
24,2023-03-07,2.19000,2.21000,2.10000,2.14000,72200
25,2023-03-06,2.40000,2.40000,2.13000,2.17000,226100
26,2023-03-03,2.25000,2.47000,2.25000,2.40000,246900
27,2023-03-02,2.05000,2.26000,2.01000,2.22000,188200
28,2023-03-01,2.17000,2.27000,2.05000,2.05000,297500
29,2023-02-28,1.99000,2.12000,1.93000,2.07000,223900
30,2023-02-27,1.72000,2.04000,1.69000,2.00000,238300
31,2023-02-24,1.70000,1.73000,1.70000,1.71000,36900
32,2023-02-23,1.76000,1.86000,1.76000,1.76000,110300
33,2023-02-22,1.62000,1.78000,1.61000,1.76000,116300
34,2023-02-21,1.56000,1.64000,1.56000,1.60000,52400
35,2023-02-17,1.50000,1.58000,1.50000,1.55000,31800
36,2023-02-16,1.45000,1.56000,1.40000,1.50000,85300
37,2023-02-15,1.50000,1.52000,1.44000,1.44000,123400
38,2023-02-14,1.55000,1.61000,1.53000,1.54000,33100
39,2023-02-13,1.66000,1.69000,1.54000,1.55000,103300
40,2023-02-10,1.63000,1.71000,1.63000,1.69000,46300
41,2023-02-09,1.75000,1.77000,1.57000,1.65000,103700
42,2023-02-08,1.89000,1.89000,1.68000,1.74000,240600
43,2023-02-07,1.51000,1.88000,1.46000,1.88000,728400
44,2023-02-06,1.37000,1.46000,1.31000,1.46000,205300
45,2023-02-03,1.24000,1.33000,1.22000,1.33000,211600
46,2023-02-02,1.21000,1.21000,1.18000,1.20000,68200
47,2023-02-01,1.18000,1.18000,1.15000,1.15000,56800
48,2023-01-31,1.13000,1.18000,1.12000,1.16000,65400
49,2023-01-30,1.11000,1.16000,1.11000,1.13000,101500
50,2023-01-27,1.11000,1.13000,1.08000,1.11000,94500
51,2023-01-26,1.14000,1.14000,1.09000,1.11000,38700
52,2023-01-25,1.10000,1.12000,1.10000,1.10000,38800
53,2023-01-24,1.12000,1.12000,1.09000,1.11000,45800
54,2023-01-23,1.13000,1.14000,1.10000,1.10000,43400
55,2023-01-20,1.15000,1.16000,1.11000,1.13000,80900
56,2023-01-19,1.15000,1.17000,1.14000,1.14000,13700
57,2023-01-18,1.15000,1.18000,1.15000,1.15000,49100
58,2023-01-17,1.15000,1.18000,1.14000,1.17000,88100
59,2023-01-13,1.16000,1.17000,1.14000,1.14000,45400
60,2023-01-12,1.14000,1.17000,1.11000,1.14000,57300
61,2023-01-11,1.14000,1.18000,1.14000,1.15000,58100
62,2023-01-10,1.15000,1.18000,1.13000,1.18000,68500
63,2023-01-09,1.20000,1.20000,1.12000,1.17000,77300
64,2023-01-06,1.16000,1.18000,1.11000,1.14000,32500
65,2023-01-05,1.21000,1.21000,1.07000,1.13000,139400
66,2023-01-04,1.21000,1.22000,1.15000,1.19000,87500
67,2023-01-03,1.16000,1.22000,1.12000,1.18000,60800
68,2022-12-30,1.08000,1.17000,1.07000,1.13000,137600
69,2022-12-29,1.04000,1.20000,1.04000,1.15000,195900
70,2022-12-28,1.11000,1.14000,1.02000,1.03000,214600
71,2022-12-27,1.18000,1.20000,1.10000,1.13000,118300
72,2022-12-23,1.23000,1.31000,1.14000,1.22000,127300
73,2022-12-22,1.23000,1.31000,1.18000,1.18000,137700
74,2022-12-21,1.22000,1.33000,1.10000,1.23000,306700
75,2022-12-20,1.14000,1.24000,1.14000,1.19000,99400
76,2022-12-19,1.15000,1.28000,1.15000,1.17000,202600
77,2022-12-16,1.14000,1.18000,1.12000,1.17000,65600
78,2022-12-15,1.10000,1.16000,1.10000,1.16000,68300
79,2022-12-14,1.14000,1.18000,1.10000,1.12000,67200
80,2022-12-13,1.14000,1.18000,1.11000,1.12000,66600
81,2022-12-12,1.16000,1.18000,1.07000,1.15000,206900
82,2022-12-09,1.15000,1.20000,1.15000,1.16000,42600
83,2022-12-08,1.20000,1.21000,1.15000,1.17000,58500
84,2022-12-07,1.23000,1.23000,1.18000,1.19000,63400
