,datetime,open,high,low,close,volume
0,2023-04-11,10.31000,10.31000,10.31000,10.31000,51000
1,2023-04-10,10.29000,10.55900,10.29000,10.31000,58300
2,2023-04-06,10.81000,10.81000,10.29000,10.30000,72300
3,2023-04-05,10.29000,10.29000,10.29000,10.29000,13900
4,2023-04-04,10.26000,10.27000,10.26000,10.27000,5600
5,2023-04-03,10.25000,11.19000,10.25000,10.26000,12100
6,2023-03-31,10.27000,10.29000,10.27000,10.28000,2600
7,2023-03-30,10.26000,10.76500,10.26000,10.27000,31600
8,2023-03-29,10.26000,10.26000,10.26000,10.26000,100
9,2023-03-28,10.26000,10.26000,10.26000,10.26000,0
10,2023-03-27,10.26000,10.26000,10.26000,10.26000,0
11,2023-03-24,10.26000,10.26000,10.26000,10.26000,0
12,2023-03-23,10.26000,10.26000,10.26000,10.26000,1100
13,2023-03-22,10.26000,10.26500,10.26000,10.26500,1000
14,2023-03-21,10.26000,10.26000,10.26000,10.26000,100
15,2023-03-20,10.26000,10.26000,10.26000,10.26000,0
16,2023-03-17,10.25500,10.26000,10.25500,10.26000,1900
17,2023-03-16,10.25500,10.25500,10.25500,10.25500,400
18,2023-03-15,10.25000,10.25000,10.25000,10.25000,0
19,2023-03-14,10.25000,10.25000,10.25000,10.25000,0
20,2023-03-13,10.28000,10.29000,10.25000,10.25000,1400
21,2023-03-10,10.25000,10.28500,10.25000,10.25000,40100
22,2023-03-09,10.25000,10.25000,10.25000,10.25000,25100
23,2023-03-08,10.24000,10.27000,10.24000,10.25000,105000
24,2023-03-07,10.21000,10.25000,10.21000,10.24000,98500
25,2023-03-06,10.21000,10.21000,10.21000,10.21000,0
26,2023-03-03,10.21000,10.21000,10.21000,10.21000,300
27,2023-03-02,10.51000,10.62000,10.21000,10.23000,29100
28,2023-03-01,10.22500,10.26500,10.22500,10.23000,16800
29,2023-02-28,10.22000,10.22000,10.22000,10.22000,59600
30,2023-02-27,10.21500,10.21500,10.21500,10.21500,0
31,2023-02-24,10.19000,10.21500,10.19000,10.21500,2100
32,2023-02-23,10.22000,10.22000,10.22000,10.22000,0
33,2023-02-22,10.22000,10.22000,10.22000,10.22000,0
34,2023-02-21,10.22000,10.22000,10.22000,10.22000,100
35,2023-02-17,10.21000,10.21000,10.20000,10.21000,2900
36,2023-02-16,10.22000,10.22000,10.21000,10.21000,4900
37,2023-02-15,10.17000,10.20000,10.17000,10.20000,87500
38,2023-02-14,10.17500,10.18000,10.17500,10.18000,19100
39,2023-02-13,10.17000,10.17000,10.17000,10.17000,900
40,2023-02-10,10.17000,10.17000,10.17000,10.17000,17700
41,2023-02-09,10.17000,10.17000,10.17000,10.17000,1100
42,2023-02-07,10.17000,10.19000,10.17000,10.19000,22400
43,2023-02-06,10.17000,10.17000,10.16000,10.17000,108500
44,2023-02-03,10.17000,10.17000,10.17000,10.17000,600
45,2023-02-02,10.19000,10.24000,10.17000,10.17000,29300
46,2023-01-31,10.15000,10.18000,10.15000,10.16000,78900
47,2023-01-30,10.14000,10.14000,10.14000,10.14000,1700
48,2023-01-27,10.18000,10.18000,10.14000,10.16000,3200
49,2023-01-26,10.17000,10.18000,10.17000,10.18000,4700
50,2023-01-25,10.14000,10.60000,10.14000,10.16000,65500
51,2023-01-24,10.13000,10.14000,10.13000,10.14000,109100
52,2023-01-23,10.17000,10.17000,10.13000,10.13000,5200
53,2023-01-20,10.13500,10.14000,10.13000,10.14000,1650900
54,2023-01-19,10.11000,10.13000,10.11000,10.13000,5900
55,2023-01-18,10.11000,10.13000,10.11000,10.13000,111400
56,2023-01-17,10.11000,10.12500,10.10900,10.12500,80600
57,2023-01-12,10.14000,10.14000,10.13000,10.13000,199300
58,2023-01-11,10.09000,10.13000,10.09000,10.13000,693000
59,2023-01-10,10.08000,10.09000,10.08000,10.09000,1100
60,2023-01-09,10.09500,10.09500,10.09000,10.09000,1200
61,2023-01-05,10.10500,10.10500,10.10500,10.10500,100
62,2023-01-03,10.15000,10.15000,10.15000,10.15000,2000
63,2022-12-30,10.14000,10.14000,10.09000,10.09000,6700
64,2022-12-28,10.14000,10.14000,10.12000,10.12000,1500
65,2022-12-27,9.96000,10.05000,9.96000,10.05000,62100
66,2022-12-23,10.00000,10.00000,10.00000,10.00000,30000
67,2022-12-22,10.13000,10.13000,10.13000,10.13000,700
68,2022-12-19,10.00000,10.00000,9.99000,10.00000,9700
69,2022-12-16,9.96000,9.98000,9.96000,9.98000,2200
70,2022-12-15,9.96000,9.96000,9.96000,9.96000,3000
71,2022-12-14,9.96000,9.98000,9.96000,9.98000,5
72,2022-12-13,9.98000,9.98000,9.98000,9.98000,1
73,2022-12-12,9.98000,9.98000,9.98000,9.98000,4
74,2022-12-08,9.96000,9.98000,9.96000,9.98000,500
75,2022-12-06,9.99000,10.00000,9.93000,10.00000,7500
76,2022-12-02,9.99000,9.99000,9.96000,9.96000,200
77,2022-12-01,9.99000,9.99000,9.99000,9.99000,1600
78,2022-11-30,9.97000,9.97000,9.97000,9.97000,600
79,2022-11-29,9.95000,9.97000,9.95000,9.97000,2400
80,2022-11-23,9.94000,9.94000,9.94000,9.94000,200
81,2022-11-16,9.93500,9.94000,9.93500,9.94000,9300
82,2022-11-15,9.92500,9.93000,9.92500,9.93000,4700
83,2022-11-14,9.93000,9.93000,9.93000,9.93000,100
84,2022-11-10,9.93000,9.94000,9.93000,9.93000,10500
85,2022-11-08,9.91000,9.93000,9.90000,9.93000,21600
86,2022-11-07,9.91000,9.94000,9.91000,9.93500,40700
87,2022-11-04,9.99000,9.99000,9.99000,9.99000,1
88,2022-11-03,9.91000,9.94500,9.90500,9.94500,10800
89,2022-11-02,9.90000,9.90000,9.90000,9.90000,1300
90,2022-11-01,9.93000,9.93000,9.93000,9.93000,2
91,2022-10-28,9.90000,9.90000,9.90000,9.90000,1900
92,2022-10-27,9.92000,9.92000,9.89500,9.90000,8900
93,2022-10-26,9.94500,9.94500,9.94000,9.94000,18800
94,2022-10-25,9.95000,9.95500,9.94500,9.95000,19000
95,2022-10-24,9.96000,9.96000,9.96000,9.96000,700
96,2022-10-21,9.96000,9.96000,9.90000,9.96000,75200
97,2022-10-19,9.95000,9.95000,9.95000,9.95000,500
98,2022-10-18,9.90000,9.90000,9.89000,9.89500,6200
99,2022-10-17,9.89000,9.94000,9.89000,9.94000,25100
100,2022-10-14,9.94000,9.94000,9.94000,9.94000,100
101,2022-10-13,9.91000,9.91000,9.91000,9.91000,2900
102,2022-10-12,9.90000,9.90000,9.90000,9.90000,100
103,2022-10-11,9.90000,9.90000,9.90000,9.90000,100
104,2022-10-06,9.87000,9.88000,9.87000,9.87000,17
105,2022-10-05,9.88000,9.88000,9.88000,9.88000,0
106,2022-10-04,9.86000,9.86000,9.86000,9.86000,1
107,2022-10-03,9.87000,9.87000,9.87000,9.87000,25000
108,2022-09-30,9.87000,9.87000,9.87000,9.87000,25000
109,2022-09-28,9.88000,9.88000,9.88000,9.88000,1000
110,2022-09-27,9.84000,9.86500,9.84000,9.86500,499200
111,2022-09-22,9.85000,9.85000,9.85000,9.85000,100
112,2022-09-20,9.87000,9.87000,9.87000,9.87000,12000
113,2022-09-16,9.86000,9.86000,9.86000,9.86000,3
114,2022-09-15,9.85000,9.85000,9.85000,9.85000,52000
115,2022-09-14,9.86000,9.86000,9.86000,9.86000,25000
116,2022-09-13,9.86000,9.87000,9.86000,9.86000,13000
117,2022-09-09,9.85000,9.86000,9.85000,9.86000,4300
118,2022-09-08,9.83000,9.83000,9.83000,9.83000,3100
119,2022-09-07,9.83800,9.83800,9.83800,9.83800,1300
120,2022-09-06,9.86000,9.86000,9.86000,9.86000,10
121,2022-09-02,9.86000,9.86000,9.86000,9.86000,15000
122,2022-09-01,9.86000,9.86000,9.86000,9.86000,19100
123,2022-08-30,9.87000,9.87000,9.85000,9.86000,20
124,2022-08-29,9.87000,9.87000,9.86000,9.86000,9400
125,2022-08-26,9.85000,9.86000,9.82000,9.86000,20100
126,2022-08-24,9.87000,9.87000,9.84000,9.85000,12500
127,2022-08-23,9.86000,9.87000,9.86000,9.87000,5700
128,2022-08-22,9.84800,9.87000,9.84800,9.87000,1000
129,2022-08-18,9.87000,9.87000,9.85000,9.85000,1
130,2022-08-17,9.85500,9.85500,9.84000,9.84000,16600
131,2022-08-16,9.86000,9.86000,9.86000,9.86000,1800
132,2022-08-15,9.85000,9.87000,9.85000,9.86500,520000
133,2022-08-12,9.85000,9.85000,9.85000,9.85000,1300
134,2022-08-11,9.85000,9.86000,9.85000,9.85000,488300
135,2022-08-10,9.85000,9.85000,9.85000,9.85000,21800
136,2022-08-09,9.84000,9.85000,9.83000,9.83000,33400
137,2022-08-08,9.87000,9.87000,9.84000,9.84000,20900
138,2022-08-05,9.84000,9.85000,9.84000,9.85000,15300
139,2022-08-04,9.87000,9.87000,9.85000,9.85000,210100
140,2022-08-02,9.85000,9.87000,9.85000,9.87000,31000
141,2022-08-01,9.85000,9.85000,9.84300,9.85000,23600
142,2022-07-29,9.84000,9.84500,9.84000,9.84500,18500
143,2022-07-28,9.82500,9.83600,9.82000,9.83600,84300
144,2022-07-27,9.83000,9.83000,9.83000,9.83000,31700
145,2022-07-26,9.83000,9.83000,9.82500,9.82500,2900
146,2022-07-25,9.81000,9.83000,9.80000,9.83000,723700
147,2022-07-22,9.80000,9.81000,9.80000,9.81000,39000
148,2022-07-21,9.80500,9.81000,9.80000,9.81000,95900
149,2022-07-20,9.80000,9.80000,9.80000,9.80000,300
150,2022-07-19,9.80000,9.81500,9.80000,9.80000,45900
151,2022-07-18,9.80000,9.81000,9.80000,9.81000,171900
152,2022-07-15,9.80000,9.81000,9.80000,9.80000,34200
153,2022-07-14,9.80000,9.81000,9.80000,9.80000,45300
154,2022-07-13,9.80000,9.81000,9.79000,9.80000,149200
155,2022-07-12,9.80000,9.81000,9.80000,9.81000,328000
156,2022-07-11,9.80000,9.80500,9.80000,9.80000,526200
157,2022-07-08,9.79000,9.80000,9.79000,9.80000,31300
158,2022-07-07,9.78600,9.80000,9.78000,9.79000,15700
159,2022-07-06,9.80000,9.81000,9.78000,9.80000,62300
160,2022-07-05,9.82000,9.82000,9.80000,9.80000,17400
161,2022-07-01,9.86000,9.86000,9.85000,9.85000,300
162,2022-06-30,9.83000,9.85000,9.82500,9.84000,1200
163,2022-06-22,9.82000,9.82000,9.75000,9.75000,700
164,2022-06-21,9.82000,9.82000,9.82000,9.82000,10700
165,2022-06-17,9.81000,9.83000,9.77000,9.79900,6100
