,datetime,open,high,low,close,volume
0,2023-04-11,86.72000,87.55000,86.57000,87.06000,2812700
1,2023-04-10,86.64000,86.75000,85.62000,86.35000,2390500
2,2023-04-06,86.74000,87.16000,86.44000,86.90000,3556200
3,2023-04-05,86.49000,87.32000,86.27000,87.06000,4624700
4,2023-04-04,86.14000,86.50000,85.46000,86.07000,4849100
5,2023-04-03,85.49000,86.61000,85.12000,85.92000,3380400
6,2023-03-31,85.25000,85.54000,84.85000,85.46000,3069500
7,2023-03-30,84.96000,85.02000,84.28000,84.96000,3209900
8,2023-03-29,84.82000,85.43630,84.65000,85.03000,2567459
9,2023-03-28,85.05000,86.15000,84.52000,84.77000,2797967
10,2023-03-27,85.00000,86.31000,84.70000,84.88000,4574473
11,2023-03-24,82.85000,84.84000,82.11000,84.80000,5328884
12,2023-03-23,81.00000,83.32000,81.00000,82.15000,6051584
13,2023-03-22,80.89000,81.47000,79.77000,79.87000,3224256
14,2023-03-21,80.96000,80.99000,80.09000,80.75000,2599806
15,2023-03-20,80.00000,81.16000,79.86000,80.65000,2849859
16,2023-03-17,80.69000,81.07000,79.20000,79.79000,8367895
17,2023-03-16,81.13000,81.24000,79.76000,80.47000,2392100
18,2023-03-15,80.01000,81.07000,79.49000,80.95000,3224097
19,2023-03-14,79.85000,80.23000,79.34500,80.16000,2983003
20,2023-03-13,78.52000,81.10500,78.38000,79.79000,3946805
21,2023-03-10,78.74000,79.43000,78.22500,78.52000,2663983
22,2023-03-09,79.62000,79.80000,78.32500,78.64000,2202983
23,2023-03-08,79.36000,79.52000,78.74000,79.17000,2017026
24,2023-03-07,79.21000,79.34500,78.28000,79.04000,2287822
25,2023-03-06,79.41000,79.41000,78.69500,79.11000,2676911
26,2023-03-03,78.51000,79.64000,77.66000,79.60000,2509020
27,2023-03-02,78.99000,79.43000,78.52000,78.95000,2334711
28,2023-03-01,79.04000,79.44000,78.03000,78.85000,3568454
29,2023-02-28,80.75000,80.95000,79.48000,79.51000,3862955
30,2023-02-27,80.87000,81.38000,80.75000,80.98000,2672745
31,2023-02-24,80.30000,80.73000,80.06000,80.64000,2786688
