,datetime,open,high,low,close,volume
0,2023-04-11,12.51000,12.77000,12.51000,12.66000,10200
1,2023-04-10,12.25000,12.54000,12.24000,12.40000,16100
2,2023-04-06,12.30000,12.37600,12.14000,12.30000,12400
3,2023-04-05,12.39000,12.49000,12.20000,12.23000,13300
4,2023-04-04,12.25000,12.40000,12.25000,12.38000,10100
5,2023-04-03,12.37000,12.51500,12.26500,12.38000,18000
6,2023-03-31,12.51000,12.54000,12.36000,12.43000,18900
7,2023-03-30,12.64000,12.64000,12.33000,12.42000,8700
8,2023-03-29,12.50000,12.56000,12.34000,12.50000,9200
9,2023-03-28,12.50000,12.61000,12.41000,12.45000,9400
10,2023-03-27,12.39000,12.55000,12.23000,12.54000,24000
11,2023-03-24,12.13000,12.40000,12.06000,12.32000,20200
12,2023-03-23,12.36000,12.41000,12.01000,12.13000,20600
13,2023-03-22,12.74000,12.74000,12.35000,12.36000,16795
14,2023-03-21,12.98000,12.98000,12.64000,12.74000,27228
15,2023-03-20,12.78000,12.91000,12.69000,12.85000,27433
16,2023-03-17,12.58000,12.81000,12.45000,12.72000,45337
17,2023-03-16,12.34000,12.69000,12.34000,12.59000,17237
18,2023-03-15,12.49000,12.63990,12.16000,12.53000,36064
19,2023-03-14,12.45000,12.64000,12.10000,12.54000,28047
20,2023-03-13,12.13000,12.42000,12.11000,12.24000,18810
21,2023-03-10,12.44000,12.48000,12.15000,12.20000,32408
22,2023-03-09,12.77000,12.88000,12.43000,12.47000,20907
23,2023-03-08,12.72000,12.72000,12.43000,12.68000,17505
24,2023-03-07,12.68070,12.68070,12.54000,12.63000,7522
25,2023-03-06,12.53000,12.70000,12.44000,12.63000,34229
26,2023-03-03,12.59000,12.67000,12.47000,12.60000,31873
27,2023-03-02,12.86000,12.86000,12.02000,12.26000,55806
28,2023-03-01,13.02000,13.22500,12.86000,12.94000,24572
29,2023-02-28,13.36000,13.42000,13.13640,13.20000,22893
30,2023-02-27,13.21000,13.44000,13.09000,13.37000,14890
31,2023-02-24,13.37000,13.41700,13.00000,13.06000,18617
32,2023-02-23,13.45000,13.79370,13.41000,13.45000,13383
33,2023-02-22,13.39000,13.60000,13.33020,13.45000,21422
34,2023-02-21,13.99000,14.16000,13.32000,13.43000,50268
35,2023-02-17,14.56000,14.56000,14.16000,14.16000,29584
36,2023-02-16,14.58000,14.61000,14.34000,14.45000,10919
37,2023-02-15,14.59000,14.80000,14.22340,14.67000,23271
38,2023-02-14,14.50000,14.80000,14.25000,14.66500,51011
39,2023-02-13,14.57000,14.57000,14.10000,14.40000,46359
40,2023-02-10,14.01000,14.15000,13.96000,13.99000,13907
41,2023-02-09,14.53000,14.87990,14.06000,14.06000,26037
42,2023-02-08,14.75000,14.75000,14.33000,14.33000,8573
43,2023-02-07,14.54000,14.80000,14.54000,14.75000,17042
44,2023-02-06,14.81000,14.89600,14.55000,14.65000,12741
45,2023-02-03,14.77000,14.94990,14.59000,14.80000,19973
46,2023-02-02,14.90000,14.90000,14.55000,14.86000,31632
47,2023-02-01,14.36000,14.77000,14.23000,14.77000,43250
48,2023-01-31,14.23000,14.38410,14.08000,14.23000,22654
49,2023-01-30,14.32000,14.32000,14.05000,14.11000,20163
50,2023-01-27,13.92000,14.38000,13.80000,14.26000,38812
51,2023-01-26,13.47000,13.77000,13.28000,13.71000,10431
52,2023-01-25,13.94000,14.03740,13.08000,13.33000,26248
53,2023-01-24,14.09000,14.10000,13.95000,13.95000,12893
54,2023-01-23,14.24000,14.24000,14.10000,14.23000,13421
55,2023-01-20,14.25000,14.25000,13.95010,14.25000,15837
56,2023-01-19,14.16000,14.18500,14.01170,14.12000,10547
57,2023-01-18,14.43000,14.43000,14.06000,14.13000,13072
58,2023-01-17,14.41000,14.50000,14.19650,14.40000,17063
59,2023-01-13,14.01000,14.39000,14.00000,14.39000,10094
60,2023-01-12,14.00000,14.39000,13.77000,14.10000,50368
61,2023-01-11,14.00000,14.04000,13.90000,13.98000,17576
62,2023-01-10,14.13000,14.13000,13.82760,13.99000,29581
63,2023-01-09,14.50000,14.50000,14.12000,14.13000,29368
64,2023-01-06,14.00000,14.51000,13.99000,14.47000,14851
65,2023-01-05,13.99000,14.02000,13.63000,13.98000,20099
66,2023-01-04,13.84000,13.99900,13.67500,13.93000,26730
67,2023-01-03,13.49000,13.73000,13.30010,13.70000,37534
68,2022-12-30,13.04000,13.35000,13.00000,13.28000,17918
