,datetime,open,high,low,close,volume
0,2023-04-11,10.15000,10.26000,10.12000,10.12000,22800
1,2023-04-10,10.40000,10.40000,10.12000,10.12000,800
2,2023-04-06,10.18300,10.18300,10.11000,10.12000,103800
3,2023-04-05,10.14900,10.14900,10.11000,10.11000,10000
4,2023-04-04,10.12000,10.12000,10.11000,10.11000,1600
5,2023-04-03,10.11000,10.11000,10.10000,10.10000,11900
6,2023-03-31,10.14000,10.14000,10.10000,10.10000,1300
7,2023-03-30,10.10500,10.10500,10.10500,10.10500,0
8,2023-03-29,10.10000,10.11000,10.10000,10.10500,68600
9,2023-03-28,10.10000,10.10000,10.10000,10.10000,3800
10,2023-03-27,10.10000,10.10000,10.10000,10.10000,200
11,2023-03-24,10.09000,10.11000,10.09000,10.10000,4000
12,2023-03-23,10.11000,10.11000,10.10000,10.10000,900
13,2023-03-22,10.15000,10.15000,10.09000,10.09000,1100
14,2023-03-21,10.10000,10.10000,10.10000,10.10000,200
15,2023-03-20,10.10000,10.10000,10.10000,10.10000,0
16,2023-03-17,10.11000,10.11000,10.09000,10.10000,27100
17,2023-03-16,10.10000,10.10000,10.08000,10.09000,102200
18,2023-03-15,10.13000,10.13000,10.09000,10.09500,5200
19,2023-03-14,10.12000,10.12000,10.12000,10.12000,200
20,2023-03-13,10.41000,10.42000,10.09000,10.15000,19200
21,2023-03-10,10.09000,10.14000,10.00000,10.14000,31300
22,2023-03-09,10.09000,10.12000,10.09000,10.10000,65100
23,2023-03-08,10.12000,10.12000,10.09000,10.09000,1500
24,2023-03-07,10.09000,10.12000,10.09000,10.09300,8900
25,2023-03-06,10.11000,10.12000,10.09000,10.09000,2300
26,2023-03-03,10.06000,10.57000,10.06000,10.06000,60800
27,2023-03-02,10.07000,10.07000,10.06000,10.06000,1200
28,2023-03-01,10.06000,10.30000,10.05000,10.05000,9900
29,2023-02-28,10.06000,10.06000,10.03000,10.03000,2000
30,2023-02-27,10.06000,10.06000,10.06000,10.06000,1200
31,2023-02-24,10.03000,10.05000,10.03000,10.05000,1800
32,2023-02-23,10.05000,10.05000,10.04000,10.04000,500
33,2023-02-22,10.07000,10.07000,10.03000,10.03000,900
34,2023-02-17,10.03000,10.03000,10.03000,10.03000,100
35,2023-02-16,10.07000,10.07000,10.02000,10.03000,16600
36,2023-02-15,10.04900,10.06500,10.03000,10.03000,3500
37,2023-02-14,10.10000,10.10000,10.03000,10.03000,101700
38,2023-02-13,10.45000,10.45000,10.03000,10.03000,208000
39,2023-02-10,10.50000,10.50000,10.03000,10.03000,1400
40,2023-02-09,10.03000,10.35000,10.01000,10.03000,24300
41,2023-02-08,10.00000,10.03500,10.00000,10.03500,1900
42,2023-02-07,10.15000,10.15000,10.02500,10.03000,2300
43,2023-02-06,10.00000,10.01500,10.00000,10.01000,31900
44,2023-02-03,10.00500,10.00500,10.00000,10.00000,33400
45,2023-02-02,10.01000,10.01000,10.00000,10.01000,32200
46,2023-02-01,10.00000,10.01000,10.00000,10.00000,4100
47,2023-01-31,9.99200,10.01000,9.99000,10.00500,18600
48,2023-01-30,9.98000,9.99000,9.98000,9.99000,40500
49,2023-01-27,10.00000,10.00000,9.97000,9.98000,14900
50,2023-01-26,10.01000,10.01000,9.98000,9.98000,2300
51,2023-01-25,9.97000,10.00000,9.97000,9.98000,12800
52,2023-01-24,9.97000,9.98500,9.97000,9.98000,7200
53,2023-01-23,9.98000,9.98000,9.97000,9.98000,2100
54,2023-01-20,9.99000,9.99000,9.96000,9.98000,4600
55,2023-01-19,9.98000,9.99000,9.98000,9.98000,12100
56,2023-01-18,9.97000,9.98000,9.97000,9.97000,229600
57,2023-01-17,9.95000,9.97000,9.95000,9.97000,2400
58,2023-01-13,9.94000,9.94000,9.93000,9.94000,12500
59,2023-01-12,10.45000,10.45000,9.95500,9.95500,8900
60,2023-01-11,10.00000,10.00000,9.97000,9.97000,11600
61,2023-01-10,9.95000,9.98000,9.95000,9.97000,1252200
62,2023-01-09,9.94000,9.98000,9.94000,9.96000,37300
63,2023-01-06,9.92000,9.98000,9.92000,9.94000,449700
64,2023-01-05,9.93000,9.94500,9.93000,9.93000,1500600
65,2023-01-04,9.91000,9.95000,9.90000,9.93400,15300
66,2023-01-03,9.87000,9.92000,9.87000,9.92000,58000
67,2022-12-30,9.87000,9.91000,9.87000,9.87000,6900
68,2022-12-29,9.86000,9.89000,9.85000,9.88000,61200
69,2022-12-28,9.89000,9.89000,9.88000,9.88000,5600
70,2022-12-27,9.90500,9.90500,9.90500,9.90500,100
71,2022-12-23,9.85000,9.90000,9.85000,9.88000,8800
72,2022-12-22,9.85000,9.85000,9.85000,9.85000,100
73,2022-12-21,9.84000,9.86000,9.83000,9.86000,800
74,2022-12-20,9.81000,9.84000,9.81000,9.84000,2500
75,2022-12-19,9.91000,9.91000,9.84000,9.84000,11200
76,2022-12-16,9.92000,9.92000,9.92000,9.92000,400
77,2022-12-15,9.88000,9.88000,9.88000,9.88000,400
78,2022-12-14,9.84000,9.89000,9.84000,9.88000,10700
79,2022-12-13,9.89000,9.92000,9.84000,9.84000,1500
80,2022-12-12,9.89000,9.89000,9.89000,9.89000,100
81,2022-12-09,9.86600,9.86600,9.85000,9.85000,3300
82,2022-12-08,9.84000,9.87000,9.84000,9.87000,1800
83,2022-12-07,9.85000,9.86500,9.84000,9.85000,31500
84,2022-12-06,9.83000,9.85500,9.83000,9.83000,11300
85,2022-12-05,9.86000,9.86000,9.83000,9.84000,24900
86,2022-12-02,9.90000,9.92000,9.90000,9.92000,500
87,2022-12-01,9.86000,9.86000,9.86000,9.86000,100
88,2022-11-30,9.88000,9.88000,9.88000,9.88000,300
89,2022-11-29,9.83000,9.84000,9.83000,9.84000,7100
90,2022-11-28,9.83000,9.83000,9.83000,9.83000,300
91,2022-11-25,9.83000,9.83000,9.83000,9.83000,5900
92,2022-11-23,9.82000,9.82000,9.81000,9.81000,1300
93,2022-11-22,9.80000,9.81000,9.80000,9.81000,1900
94,2022-11-21,9.81000,9.81000,9.81000,9.81000,100
95,2022-11-18,9.83000,9.83000,9.81500,9.83000,600
96,2022-11-17,9.79000,9.81000,9.79000,9.80000,57900
97,2022-11-16,9.80000,9.82000,9.79000,9.79500,902500
98,2022-11-15,9.78000,9.81000,9.78000,9.79000,296300
99,2022-11-14,9.76100,9.80000,9.75000,9.77000,23300
100,2022-11-09,9.79000,9.83000,9.79000,9.81000,511700
101,2022-11-07,9.82000,9.82000,9.81000,9.82000,123000
102,2022-11-03,9.81000,9.82000,9.78000,9.81000,54100
103,2022-11-02,9.78000,9.82500,9.78000,9.79000,19400
104,2022-11-01,9.73000,9.77500,9.73000,9.77000,124500
105,2022-10-31,9.71000,9.73000,9.71000,9.73000,83900
106,2022-10-28,9.77000,9.77000,9.75000,9.75000,23800
107,2022-10-26,9.80000,9.80000,9.79000,9.79000,1200
108,2022-10-25,9.77000,9.78000,9.75000,9.75000,400
109,2022-10-24,9.75000,9.80000,9.72000,9.80000,5400
110,2022-10-19,9.72300,9.75000,9.70000,9.70000,15900
111,2022-10-18,9.80000,9.80000,9.80000,9.80000,0
112,2022-10-17,9.74000,9.75000,9.74000,9.75000,900
113,2022-10-14,9.71000,9.72300,9.71000,9.72300,2100
114,2022-10-13,9.73000,9.75000,9.73000,9.74000,150700
115,2022-10-11,9.73000,9.73000,9.72500,9.72500,86900
116,2022-10-07,9.72000,9.72000,9.72000,9.72000,100
117,2022-10-05,9.68000,9.77000,9.68000,9.73990,53124
118,2022-10-04,9.68000,9.74000,9.68000,9.74000,53100
119,2022-10-03,9.69000,9.71500,9.69000,9.69000,23100
120,2022-09-30,9.70000,9.70500,9.68000,9.70000,127200
121,2022-09-28,9.69000,9.69000,9.69000,9.69000,0
122,2022-09-27,9.67000,9.69000,9.66000,9.66000,75
123,2022-09-26,9.67000,9.67000,9.66000,9.66000,72800
124,2022-09-23,9.72000,9.72000,9.66000,9.66000,39800
125,2022-09-22,9.72000,9.72000,9.71000,9.71000,6100
126,2022-09-21,9.73000,9.73000,9.71000,9.72000,13300
127,2022-09-20,9.67300,9.72000,9.67300,9.72000,15700
128,2022-09-19,9.70000,9.72000,9.70000,9.72000,4500
129,2022-09-16,9.72000,9.72000,9.69500,9.69500,3200
130,2022-09-14,9.70000,9.70000,9.69500,9.70000,5900
131,2022-09-13,9.70000,9.70000,9.70000,9.70000,6300
132,2022-09-12,9.67900,9.67900,9.67900,9.67900,2000
133,2022-09-09,9.71000,9.71000,9.70000,9.70000,18200
134,2022-09-08,9.70000,9.71000,9.70000,9.71000,16300
135,2022-09-07,9.70000,9.70000,9.68000,9.70000,130200
136,2022-09-06,9.68000,9.68000,9.66000,9.66000,700
137,2022-09-02,9.68000,9.68000,9.66000,9.66000,10800
138,2022-09-01,9.69000,9.69000,9.69000,9.69000,200
139,2022-08-30,9.69000,9.69000,9.69000,9.69000,200
140,2022-08-29,9.69000,9.69000,9.69000,9.69000,300
141,2022-08-26,9.66000,9.69000,9.66000,9.69000,2200
142,2022-08-25,9.69000,9.69000,9.66000,9.66000,500
143,2022-08-24,9.68000,9.69000,9.68000,9.69000,11200
144,2022-08-23,9.69000,9.69000,9.68000,9.68000,500300
145,2022-08-19,9.69000,9.69000,9.69000,9.69000,1000
146,2022-08-17,9.68000,9.68000,9.68000,9.68000,600000
147,2022-08-12,9.67000,9.67000,9.67000,9.67000,1400
148,2022-08-11,9.67000,9.67000,9.67000,9.67000,1000
149,2022-08-10,9.67000,9.67000,9.67000,9.67000,5300
150,2022-08-08,9.67000,9.67000,9.66000,9.67000,1400
151,2022-08-05,9.68000,9.68000,9.68000,9.68000,200
152,2022-08-04,9.69000,9.69000,9.69000,9.69000,200
153,2022-08-03,9.66000,9.67000,9.66000,9.67000,7800
154,2022-08-02,9.67000,9.67000,9.67000,9.67000,1800
155,2022-08-01,9.66000,9.66500,9.66000,9.66500,2900
156,2022-07-29,9.66000,9.67000,9.65000,9.66000,3000
157,2022-07-28,9.67000,9.67000,9.67000,9.67000,200
158,2022-07-27,9.66000,9.66000,9.66000,9.66000,200
159,2022-07-26,9.67000,9.67000,9.65000,9.65500,6800
160,2022-07-25,9.67000,9.67000,9.65400,9.65400,6700
161,2022-07-22,9.65000,9.65000,9.65000,9.65000,8300
162,2022-07-20,9.65000,9.65000,9.64000,9.65000,10400
163,2022-07-19,9.66000,9.66000,9.63200,9.66000,10200
164,2022-07-18,9.66000,9.67000,9.62000,9.64000,23100
165,2022-07-15,9.64000,9.64900,9.63500,9.63500,4400
166,2022-07-14,9.67000,9.67000,9.62000,9.64000,7900
167,2022-07-13,9.61000,9.67000,9.61000,9.64000,2700
168,2022-07-12,9.64000,9.65000,9.62000,9.65000,2700
169,2022-07-11,9.63000,9.65000,9.63000,9.65000,200
170,2022-07-08,9.63000,9.64000,9.62200,9.64000,1800
171,2022-07-07,9.61000,9.67000,9.60000,9.65000,51000
172,2022-07-06,9.63000,9.65000,9.63000,9.65000,400
173,2022-07-05,9.63000,9.65000,9.63000,9.65000,289500
174,2022-07-01,9.64000,9.65000,9.64000,9.65000,200
175,2022-06-30,9.65000,9.69000,9.60000,9.61000,3459200
176,2022-06-29,9.64000,9.65000,9.63000,9.63000,750000
177,2022-06-27,9.64000,9.65000,9.64000,9.65000,301800
178,2022-06-24,9.66000,9.69000,9.65000,9.65000,500
179,2022-06-22,9.68000,9.69000,9.68000,9.69000,21600
180,2022-06-21,9.68000,9.68000,9.68000,9.68000,700
181,2022-06-17,9.69000,9.69000,9.69000,9.69000,19500
182,2022-06-15,9.69000,9.69000,9.69000,9.69000,50600
183,2022-06-14,9.69000,9.69000,9.62000,9.62000,3400
184,2022-06-06,9.65000,9.65000,9.64000,9.65000,8300
185,2022-06-03,9.64000,9.64000,9.64000,9.64000,100
186,2022-06-02,9.66000,9.66000,9.66000,9.66000,300
187,2022-05-31,9.64000,9.64000,9.62000,9.62000,3700
188,2022-05-27,9.66500,9.66500,9.66000,9.66000,188700
189,2022-05-19,9.64000,9.67000,9.64000,9.64000,0
190,2022-05-16,9.67000,9.67000,9.67000,9.67000,200000
191,2022-05-11,9.65000,9.65000,9.64000,9.64000,8200
192,2022-05-10,9.69000,9.69000,9.63000,9.63000,11000
193,2022-05-09,9.70000,9.70000,9.70000,9.70000,0
194,2022-05-06,9.72000,9.72000,9.72000,9.72000,400
195,2022-05-05,9.71000,9.72000,9.70000,9.72000,1600
196,2022-05-04,9.70000,9.71000,9.70000,9.71000,200
197,2022-05-03,9.69000,9.70000,9.69000,9.70000,200
198,2022-05-02,9.71000,9.71000,9.71000,9.71000,8000
199,2022-04-28,9.70000,9.71000,9.70000,9.70000,304700
200,2022-04-27,9.70000,9.71000,9.69000,9.70000,23100
201,2022-04-26,9.72000,9.72000,9.71000,9.71000,2500
202,2022-04-25,9.72000,9.72000,9.72000,9.72000,400
203,2022-04-21,9.71000,9.71000,9.71000,9.71000,400
204,2022-04-20,9.68000,9.69000,9.68000,9.69000,2300
205,2022-04-19,9.68000,9.68000,9.67000,9.67000,900
206,2022-04-18,9.66000,9.66000,9.66000,9.66000,100
207,2022-04-14,9.61000,9.69000,9.61000,9.69000,6400
208,2022-04-13,9.67000,9.68000,9.66000,9.68000,16200
209,2022-04-12,9.67000,9.68000,9.66000,9.66000,800
210,2022-04-11,9.65000,9.65000,9.65000,9.65000,200
211,2022-04-06,9.67000,9.67500,9.67000,9.67500,1900
212,2022-04-05,9.68000,9.68000,9.68000,9.68000,1800
213,2022-04-01,9.69000,9.69000,9.65000,9.65000,27
214,2022-03-31,9.65500,9.70000,9.65500,9.70000,1500
215,2022-03-30,9.66000,9.66000,9.66000,9.66000,2700
216,2022-03-29,9.66000,9.66000,9.66000,9.66000,100
217,2022-03-28,9.66000,9.66000,9.66000,9.66000,1000
218,2022-03-25,9.67000,9.67000,9.66000,9.67000,900
219,2022-03-24,9.65000,9.65000,9.65000,9.65000,57900
220,2022-03-22,9.66000,9.66000,9.63000,9.65000,3200
221,2022-03-21,9.62900,9.67000,9.62900,9.67000,1800
222,2022-03-18,9.64000,9.67000,9.63000,9.67000,116100
223,2022-03-17,9.62000,9.64000,9.62000,9.64000,208200
224,2022-03-16,9.62000,9.62000,9.62000,9.62000,400
225,2022-03-15,9.62000,9.64000,9.61500,9.62000,23800
226,2022-03-14,9.64000,9.64000,9.64000,9.64000,0
227,2022-03-10,9.64000,9.64000,9.64000,9.64000,697900
228,2022-03-09,9.64000,9.64000,9.63000,9.64000,150800
229,2022-03-08,9.62000,9.62000,9.62000,9.62000,50100
230,2022-03-07,9.63000,9.63000,9.63000,9.63000,0
231,2022-03-04,9.60000,9.63000,9.60000,9.63000,3100
232,2022-03-03,9.62000,9.63000,9.61000,9.63000,13900
233,2022-03-02,9.61000,9.63000,9.60000,9.63000,53900
234,2022-03-01,9.59000,9.63000,9.58000,9.59000,700
235,2022-02-28,9.58000,9.63000,9.58000,9.63000,2900
236,2022-02-25,9.63000,9.64000,9.58100,9.64000,4300
237,2022-02-24,9.65000,9.65000,9.56300,9.63000,6600
238,2022-02-23,9.79000,9.79000,9.61000,9.65000,500
239,2022-02-22,9.61900,9.64000,9.61000,9.63800,29700
240,2022-02-18,9.98000,9.98000,9.60000,9.67000,24300
241,2022-02-17,9.60600,9.63000,9.60000,9.61500,8700
242,2022-02-16,9.60100,9.62500,9.60100,9.62500,1100
243,2022-02-15,9.62000,9.64000,9.60000,9.60000,12800
244,2022-02-14,9.63000,9.65000,9.63000,9.64000,900
245,2022-02-11,9.61000,9.61000,9.60000,9.60500,3200
246,2022-02-09,9.64000,9.66000,9.63500,9.65000,29900
247,2022-02-08,9.61000,9.65000,9.61000,9.61000,409600
248,2022-02-07,9.65000,9.65000,9.61000,9.63000,2600
249,2022-02-03,9.62000,9.65000,9.62000,9.65000,1100
250,2022-02-02,9.62000,9.62000,9.62000,9.62000,200
251,2022-01-31,9.65000,9.65000,9.65000,9.65000,600
252,2022-01-28,9.63000,9.63000,9.63000,9.63000,200
253,2022-01-27,9.60000,9.64000,9.60000,9.64000,5200
254,2022-01-25,9.60000,9.60000,9.60000,9.60000,2000
255,2022-01-24,9.60000,9.64000,9.60000,9.61700,15800
256,2022-01-21,9.67000,9.67000,9.62000,9.62000,5200
257,2022-01-20,9.66000,9.66000,9.66000,9.66000,300
258,2022-01-19,9.65000,9.65000,9.62000,9.63000,17700
259,2022-01-18,9.64000,9.64000,9.62000,9.62000,4200
260,2022-01-14,9.64000,9.65000,9.63000,9.65000,6700
261,2022-01-13,9.69000,9.69000,9.66000,9.66000,566500
262,2022-01-12,9.68000,9.68000,9.66000,9.66000,58400
263,2022-01-11,9.68000,9.70000,9.66000,9.66000,369300
264,2022-01-10,9.68000,9.68000,9.68000,9.68000,18400
265,2022-01-07,9.66000,9.70000,9.66000,9.70000,35400
266,2022-01-04,9.68000,9.68000,9.66500,9.68000,18900
267,2022-01-03,9.67500,9.69000,9.67500,9.68000,57600
268,2021-12-30,9.69000,9.69000,9.69000,9.69000,30000
269,2021-12-29,9.68000,9.68000,9.66000,9.66000,6400
270,2021-12-28,9.68000,9.68000,9.65000,9.66000,3500
271,2021-12-27,9.68000,9.68000,9.68000,9.68000,9200
272,2021-12-23,9.64000,9.68000,9.64000,9.67000,11400
273,2021-12-22,9.65000,9.65000,9.65000,9.65000,32300
274,2021-12-21,9.63000,9.67000,9.63000,9.64000,36100
275,2021-12-20,9.65000,9.66000,9.62500,9.65000,29900
276,2021-12-17,9.63000,9.68000,9.62500,9.65000,144500
277,2021-12-16,9.68000,9.68000,9.65000,9.66000,29400
278,2021-12-15,9.68000,9.69000,9.67500,9.68000,686600
279,2021-12-13,9.69000,9.70000,9.69000,9.69000,25600
280,2021-12-10,9.72000,9.73000,9.68000,9.70000,1126300
281,2021-12-09,9.68000,9.68000,9.68000,9.68000,800
282,2021-12-08,9.70500,9.72000,9.69000,9.69000,21600
283,2021-12-07,9.69000,9.69000,9.69000,9.69000,200
284,2021-12-06,10.17000,10.17000,9.68000,9.70300,1700
285,2021-12-03,9.72000,9.74000,9.70800,9.70800,600
286,2021-12-01,9.69000,9.70000,9.69000,9.69000,2800
287,2021-11-30,9.68000,9.68000,9.68000,9.68000,10500
288,2021-11-29,9.69400,9.71500,9.69000,9.69000,4200
289,2021-11-26,9.76000,9.76000,9.72000,9.74000,1400
290,2021-11-24,9.59000,11.03000,9.59000,9.72000,18500
