,datetime,open,high,low,close,volume
0,2023-04-11,210.91000,211.20000,208.52000,209.17000,224700
1,2023-04-10,206.23000,211.10001,206.23000,209.67999,373500
2,2023-04-06,208.75000,209.71001,206.00999,206.13000,381100
3,2023-04-05,207.45000,209.94000,207.25999,207.66000,321100
4,2023-04-04,208.73000,209.69000,207.20000,208.33000,554600
5,2023-04-03,207.41000,212.19000,207.41000,209.00000,562000
6,2023-03-31,208.14999,208.73000,206.17999,207.02000,573400
7,2023-03-30,208.89999,210.00000,206.45000,206.97000,504900
8,2023-03-29,207.75000,208.82001,206.61000,208.78000,395500
9,2023-03-28,204.57001,208.48000,204.57001,206.82001,450000
10,2023-03-27,202.11000,204.92999,200.92999,204.88000,548100
11,2023-03-24,196.42000,200.88000,196.00000,200.03000,275500
12,2023-03-23,198.67999,199.48000,195.75000,196.73000,412600
13,2023-03-22,205.39999,206.10001,199.17999,199.41000,524800
14,2023-03-21,205.32001,206.58000,203.92000,205.53000,374300
15,2023-03-20,201.06000,205.00000,201.06000,203.33000,376100
16,2023-03-17,204.75000,204.75000,198.75999,199.37000,753700
17,2023-03-16,204.39000,208.03999,203.12000,205.25999,333000
18,2023-03-15,206.25000,207.00000,202.75000,205.42999,339600
19,2023-03-14,210.75999,211.60001,206.77000,208.35001,359900
20,2023-03-13,205.75000,209.92000,203.34000,209.16000,814300
21,2023-03-10,209.48000,210.72000,206.92999,207.96001,266800
22,2023-03-09,214.00000,215.80000,209.95000,210.00999,333500
23,2023-03-08,214.89000,215.50000,210.46001,212.35001,322200
24,2023-03-07,217.39999,218.08000,214.00000,214.00000,259100
25,2023-03-06,218.37000,219.66000,215.78999,216.83000,311000
26,2023-03-03,218.38000,218.79500,216.57500,218.50000,256997
27,2023-03-02,214.86000,217.64999,213.91000,217.52000,202187
28,2023-03-01,214.22000,215.89000,213.50000,215.73000,240748
29,2023-02-28,217.78999,218.85001,215.13000,215.20000,375113
30,2023-02-27,221.05000,222.31000,217.32001,217.38000,425773
31,2023-02-24,216.80000,221.05499,216.14340,220.75000,578890
32,2023-02-23,219.28000,220.75000,215.50000,217.31000,343212
33,2023-02-22,222.41000,223.75000,219.64999,220.75000,338841
34,2023-02-21,226.10001,226.78999,221.00999,222.02000,406427
35,2023-02-17,219.20000,225.87500,219.20000,224.53999,1362004
36,2023-02-16,217.07001,222.20000,217.07001,218.92000,302913
37,2023-02-15,215.09000,219.33000,214.36000,218.41000,540886
38,2023-02-14,219.00999,219.58000,216.05000,216.19000,450381
39,2023-02-13,221.92999,223.70000,217.21001,218.94000,507153
40,2023-02-10,221.24001,223.14999,219.86000,221.33000,492717
41,2023-02-09,221.00000,223.08000,211.94000,220.45000,1108759
42,2023-02-08,223.50000,226.48500,223.07500,225.70000,377547
43,2023-02-07,221.63000,226.25000,218.89000,225.31000,446255
44,2023-02-06,217.53999,222.22000,217.53999,222.00999,520024
45,2023-02-03,218.35001,219.05000,215.24001,216.97000,362368
46,2023-02-02,217.08000,219.58000,214.48000,217.71001,521333
47,2023-02-01,219.44000,220.34000,217.25500,218.36000,343790
48,2023-01-31,217.31000,220.78999,216.60001,220.53999,260584
49,2023-01-30,219.37000,220.45610,215.77499,216.67000,292787
50,2023-01-27,218.49001,220.44000,216.54500,218.22000,244067
51,2023-01-26,217.70000,220.74001,216.39999,217.53999,358891
52,2023-01-25,219.30000,219.30000,211.74001,216.86000,468879
53,2023-01-24,217.50999,220.34000,213.82001,220.14999,373646
54,2023-01-23,219.17000,220.99500,217.78999,217.94000,384267
55,2023-01-20,218.64000,220.20000,216.42999,218.10001,356615
56,2023-01-19,219.05000,220.35001,216.64999,217.71001,265396
57,2023-01-18,221.61000,221.72501,218.09250,219.33000,352444
58,2023-01-17,223.94000,226.17999,219.29100,221.55000,282274
59,2023-01-13,223.89000,225.70000,220.29500,223.07001,368501
60,2023-01-12,227.03999,230.26500,226.58000,228.47000,286921
61,2023-01-11,224.52000,227.30499,222.67000,227.03000,410749
62,2023-01-10,222.61000,225.91000,220.17000,223.97000,452481
63,2023-01-09,229.50000,229.50000,220.67000,221.56000,524242
64,2023-01-06,229.87000,232.67999,226.50000,230.11000,348173
65,2023-01-05,228.17000,228.81500,224.77499,226.95000,350534
66,2023-01-04,227.07001,229.92000,225.67999,228.16000,580012
67,2023-01-03,229.67999,230.81000,227.25000,228.35001,201847
68,2022-12-30,231.27000,231.42000,227.77000,230.67999,145326
69,2022-12-29,229.71001,231.28000,228.32001,230.97000,134135
70,2022-12-28,231.47000,232.52000,229.10500,229.31000,162120
71,2022-12-27,230.03000,233.17999,230.03000,232.09000,308772
72,2022-12-23,229.06000,231.19000,228.77000,230.07001,146773
73,2022-12-22,229.42999,229.92999,225.17000,229.03000,185708
74,2022-12-21,229.53999,230.97501,228.44670,230.41000,163456
75,2022-12-20,229.81000,233.03500,228.78999,228.80000,220263
76,2022-12-19,230.94000,233.70000,228.64000,229.57001,251060
77,2022-12-16,226.77000,233.22000,225.75000,231.27000,1081457
78,2022-12-15,232.87000,234.10950,226.92999,228.50999,488915
79,2022-12-14,232.39000,236.07001,230.44000,233.38000,283148
80,2022-12-13,237.92999,237.92999,231.05000,231.95000,397124
81,2022-12-12,233.13000,235.50000,231.80000,235.42999,237414
82,2022-12-09,235.45000,238.33000,233.14999,233.36000,189469
83,2022-12-08,238.39999,238.80000,233.97000,235.24001,287966
84,2022-12-07,235.67999,239.03000,234.24001,234.32001,438600
85,2022-12-06,236.33000,236.38170,233.44000,235.71001,432328
86,2022-12-05,237.78999,238.36000,232.67999,235.84000,380762
87,2022-12-02,229.13000,241.72000,229.13000,240.67999,808089
88,2022-12-01,232.99001,233.25500,228.71001,230.89999,343507
89,2022-11-30,227.78999,232.06000,225.06000,231.96001,526770
90,2022-11-29,229.22000,231.64500,227.55000,228.02000,386423
91,2022-11-28,228.35001,230.32500,227.19000,228.91000,504120
92,2022-11-25,229.36000,230.46001,228.48950,230.36000,115087
93,2022-11-23,228.33000,231.00000,224.71001,227.58000,338390
94,2022-11-22,233.91000,234.89999,229.36000,230.41000,430870
95,2022-11-21,226.89999,234.77499,226.48000,232.69000,529187
96,2022-11-18,224.72000,230.11000,224.72000,227.31000,949919
97,2022-11-17,222.85001,225.03000,221.85001,224.02000,630821
98,2022-11-16,223.38000,225.42000,221.72000,223.94000,519050
99,2022-11-15,222.37000,225.33000,219.58000,223.21001,837552
100,2022-11-14,227.30000,230.68890,221.10001,221.12000,738709
101,2022-11-11,236.91000,238.00000,224.94000,227.58000,790336
102,2022-11-10,243.77000,246.06000,239.89000,244.17000,295605
103,2022-11-09,243.91000,244.08900,237.53000,238.78999,287892
104,2022-11-08,243.89000,246.67160,242.53500,244.53000,288944
105,2022-11-07,243.50000,245.40970,240.25999,244.34000,323117
106,2022-11-04,244.66000,247.94501,239.35001,243.95000,361444
107,2022-11-03,245.50000,247.10001,231.58000,244.25000,820417
108,2022-11-02,255.36000,257.16000,252.45500,253.78000,477121
109,2022-11-01,257.57999,260.01999,256.32001,256.84000,292524
110,2022-10-31,255.08000,257.98001,254.49001,257.07001,294742
111,2022-10-28,255.03000,259.82001,250.42999,257.35999,408645
112,2022-10-27,253.28000,256.76501,253.11501,253.64999,337062
113,2022-10-26,254.12000,256.95001,250.78000,251.27000,323369
114,2022-10-25,250.58000,253.88000,250.32001,252.71001,325955
115,2022-10-24,251.98000,259.47000,251.77010,252.08000,777613
116,2022-10-21,243.59000,251.17999,242.05000,249.89000,437001
117,2022-10-20,242.44000,245.41000,241.56000,243.00999,460683
118,2022-10-19,236.94000,243.37000,236.94000,243.14000,416191
119,2022-10-18,230.32001,239.02000,229.83000,238.57001,437561
120,2022-10-17,225.67000,231.53999,225.03999,228.00999,234348
121,2022-10-14,230.78000,230.78000,220.48000,223.17000,321374
122,2022-10-13,224.22000,231.99001,223.26500,230.66000,222268
123,2022-10-12,232.92999,233.42999,226.55000,226.70000,344798
124,2022-10-11,235.14000,237.63000,233.50999,234.70000,339289
125,2022-10-10,234.96001,239.14000,233.82001,235.06000,238166
126,2022-10-07,231.63000,233.05600,230.14999,232.88000,410698
127,2022-10-06,233.12000,234.45000,231.56000,231.82001,221262
128,2022-10-05,230.75999,234.64000,229.75000,233.00999,235093
129,2022-10-04,228.42999,232.25999,228.42999,232.19000,304382
130,2022-10-03,224.25000,228.91000,223.49001,227.08000,294238
131,2022-09-30,222.14999,225.17000,220.59000,221.50000,264972
132,2022-09-29,224.69000,224.69000,219.50999,223.33000,263102
133,2022-09-28,225.67000,226.91000,221.75380,225.35001,366310
134,2022-09-27,228.17000,229.66000,224.00999,224.89999,325528
135,2022-09-26,229.39999,231.78999,226.74001,226.86000,285552
136,2022-09-23,233.31000,233.70000,225.59500,230.27000,295974
137,2022-09-22,233.82001,240.35001,229.99001,235.50000,530812
138,2022-09-21,238.21001,242.48000,232.49001,232.58000,310138
139,2022-09-20,233.49001,233.49001,230.78999,232.81000,194455
140,2022-09-19,230.84000,234.66000,230.46500,234.61000,258212
141,2022-09-16,231.59000,232.58000,227.50999,232.11000,512058
142,2022-09-15,231.88000,234.80000,230.67870,232.30000,389852
143,2022-09-14,229.00000,234.19000,228.16499,232.87000,395636
144,2022-09-13,232.25000,234.31000,228.52000,229.28999,577379
145,2022-09-12,235.63000,236.42999,234.20000,235.00000,498646
146,2022-09-09,232.27000,236.28000,232.27000,235.30000,380385
147,2022-09-08,232.53999,233.78999,230.41000,232.19000,537688
148,2022-09-07,227.85001,233.46001,227.55000,232.64999,436924
149,2022-09-06,228.53000,229.92000,227.45000,229.08000,587431
150,2022-09-02,229.75000,232.91000,225.94000,226.80000,876118
151,2022-09-01,229.25000,229.98000,225.82001,227.48000,430721
152,2022-08-31,231.75000,233.22000,229.34000,230.25999,689035
153,2022-08-30,236.25999,236.25999,231.41000,231.57001,352220
154,2022-08-29,234.22000,237.94000,232.57010,235.73000,370191
155,2022-08-26,241.99001,243.46001,236.07500,236.20000,334984
156,2022-08-25,239.30000,241.61000,238.50000,241.58000,382149
157,2022-08-24,237.19000,239.87000,236.94000,239.33000,249288
158,2022-08-23,236.00999,236.58501,234.42999,236.14000,192383
159,2022-08-22,233.20000,235.38480,233.03999,234.99001,327885
160,2022-08-19,236.39000,237.71001,234.24001,235.49001,216811
161,2022-08-18,237.06000,239.52000,236.34000,236.78000,182959
162,2022-08-17,231.64000,236.78999,231.49330,236.17000,343913
163,2022-08-16,231.82001,234.59500,231.25999,233.53999,243222
164,2022-08-15,228.55000,233.48000,228.55000,232.56000,199902
165,2022-08-12,227.62000,230.67000,226.53000,230.46001,158819
166,2022-08-11,228.02000,229.48000,226.38010,227.34000,183800
167,2022-08-10,227.89000,228.49001,224.50500,227.02000,290768
168,2022-08-09,224.95000,226.47000,223.23891,225.49001,409951
169,2022-08-08,227.89000,232.00000,221.64000,223.09000,388676
170,2022-08-05,227.58000,230.00000,224.03000,227.58000,389450
171,2022-08-04,219.99001,237.42999,219.92000,228.81000,723158
172,2022-08-03,217.34000,219.67999,212.36000,218.69000,212077
173,2022-08-02,219.24001,219.24001,215.62000,217.47000,298358
174,2022-08-01,217.08000,218.17000,213.56000,217.64000,215081
175,2022-07-29,213.52000,217.30000,212.78000,216.84000,220940
176,2022-07-28,210.73000,212.59000,207.85001,212.48000,237918
177,2022-07-27,211.00000,211.75999,208.25000,210.37000,253759
178,2022-07-26,210.58000,211.95000,209.64999,210.53999,174721
179,2022-07-25,209.21001,213.39999,209.19000,210.58000,206527
180,2022-07-22,210.37000,211.53500,208.03600,208.73000,195101
181,2022-07-21,207.89000,209.21001,206.40500,208.75000,186689
182,2022-07-20,207.50000,209.98000,205.34000,208.89999,189143
183,2022-07-19,201.78999,207.34000,201.74001,207.12000,425013
184,2022-07-18,205.27000,207.37000,201.17000,201.83000,284865
185,2022-07-15,206.42000,207.28000,203.39000,204.63000,229095
186,2022-07-14,204.36000,206.07001,202.94000,204.14999,305522
187,2022-07-13,209.50999,212.99001,207.95000,208.24001,259808
188,2022-07-12,215.00000,217.24001,211.52000,212.19000,380022
189,2022-07-11,214.59000,217.60001,213.02499,215.83000,191616
190,2022-07-08,218.34000,219.38000,215.31000,215.67999,263280
191,2022-07-07,215.05000,218.17000,214.97501,217.31000,268803
192,2022-07-06,209.99001,217.21001,208.67000,214.25000,326936
193,2022-07-05,217.48000,218.00000,206.05000,209.86000,501796
194,2022-07-01,218.28000,222.09000,215.27000,220.96001,268447
195,2022-06-30,213.88000,218.61000,213.88000,217.82001,366870
196,2022-06-29,218.00000,218.08000,213.20000,215.89000,286141
197,2022-06-28,219.46001,222.77000,215.77000,217.17999,385978
198,2022-06-27,216.44000,218.77000,214.60750,218.37000,289026
199,2022-06-24,211.86000,215.55000,209.86501,215.34000,640356
200,2022-06-23,208.73000,210.89000,206.84000,210.00000,307939
201,2022-06-22,205.74001,210.63000,205.74001,209.45000,448261
202,2022-06-21,203.77000,209.75000,203.36000,209.36000,350614
203,2022-06-17,200.16000,203.77530,197.12480,200.64000,808519
204,2022-06-16,203.25000,203.55000,198.96001,201.06000,456695
205,2022-06-15,205.87000,207.16319,200.00000,205.67000,543939
206,2022-06-14,207.35001,207.89500,202.24001,204.81000,477586
207,2022-06-13,207.74001,209.44000,204.89000,207.33000,423726
208,2022-06-10,210.38000,213.67000,209.61501,211.99001,378373
209,2022-06-09,213.73000,215.02000,213.00000,214.00000,348030
210,2022-06-08,214.50000,215.61000,213.12000,214.25000,244249
211,2022-06-07,211.62000,216.42500,210.81000,216.14000,260239
212,2022-06-06,212.97000,213.32001,210.59000,212.50999,309157
213,2022-06-03,211.25000,213.30499,210.35001,212.84000,251251
214,2022-06-02,212.02000,212.30220,207.49001,211.80000,252384
215,2022-06-01,212.47000,212.47000,206.73151,210.46001,292312
216,2022-05-31,213.12000,213.13000,208.42999,210.46001,688226
217,2022-05-27,211.87000,214.41000,210.72000,214.39999,431685
218,2022-05-26,206.50999,213.08000,206.50999,211.50000,525258
219,2022-05-25,204.50999,208.09500,204.37000,206.12000,339765
220,2022-05-24,201.30000,204.54500,198.58501,204.08000,236625
221,2022-05-23,199.52000,201.96001,198.52000,200.60001,317603
222,2022-05-20,200.64999,201.48900,194.36000,197.75999,287828
223,2022-05-19,201.23000,203.53999,197.62000,200.73000,296330
224,2022-05-18,207.56000,208.97540,201.14000,202.84000,278108
225,2022-05-17,206.00000,210.34500,204.56000,208.97000,298843
226,2022-05-16,203.70000,206.73000,203.00999,204.78000,294630
227,2022-05-13,204.21001,207.53000,201.31000,203.78000,354741
228,2022-05-12,206.37000,208.28500,199.69009,203.77000,293656
229,2022-05-11,210.00000,212.37000,204.53000,206.03000,283472
230,2022-05-10,210.67000,212.46001,207.10001,209.64999,320413
231,2022-05-09,214.96001,215.71001,209.27000,209.98000,416092
232,2022-05-06,218.53000,220.98000,213.84750,216.25000,303515
233,2022-05-05,218.41000,224.98000,215.14000,219.74001,468011
234,2022-05-04,215.12000,223.32001,213.12000,222.14000,518408
235,2022-05-03,213.39999,215.22501,211.53000,214.75999,356433
236,2022-05-02,211.37000,216.97000,209.16000,212.33000,344260
237,2022-04-29,218.60001,219.87000,211.73000,212.74001,351701
238,2022-04-28,220.19000,220.50000,216.86000,218.08000,310513
239,2022-04-27,218.73000,222.32001,215.80000,219.85001,286303
240,2022-04-26,218.00000,222.57001,217.84000,218.66000,346657
241,2022-04-25,220.94000,220.94000,210.89999,218.53000,536780
242,2022-04-22,221.89999,225.50990,220.97000,222.17000,347069
243,2022-04-21,228.00000,228.00000,220.53999,221.98000,303338
244,2022-04-20,225.17000,227.99001,223.95000,227.28999,311180
245,2022-04-19,223.28999,226.13000,221.73331,224.11000,318839
246,2022-04-18,221.96001,224.48000,220.41000,222.88000,321134
247,2022-04-14,218.13000,223.98000,217.85989,222.67000,616289
248,2022-04-13,210.53000,213.06000,209.70000,212.94000,492341
249,2022-04-12,204.67000,212.37900,204.67000,209.97000,382388
250,2022-04-11,207.07001,211.16000,203.30000,205.24001,455284
251,2022-04-08,208.69000,211.00000,205.11000,205.89999,408116
252,2022-04-07,202.22000,208.74001,200.50999,207.92000,659579
