,datetime,open,high,low,close,volume
0,2023-04-11,33.63000,33.63000,33.13000,33.18000,146700
1,2023-04-10,33.22000,33.54000,33.12000,33.53000,208200
2,2023-04-06,32.94000,33.65000,32.94000,33.32000,471000
3,2023-04-05,32.60000,32.99000,32.60000,32.80000,318100
4,2023-04-04,34.15000,34.17000,32.74000,32.99000,281200
5,2023-04-03,33.48000,34.17000,33.48000,33.89000,295700
6,2023-03-31,33.30000,33.54000,33.15000,33.48000,189300
7,2023-03-30,33.50000,33.61000,33.10000,33.24000,157100
8,2023-03-29,33.24000,33.30000,32.86000,33.27000,167400
9,2023-03-28,33.02000,33.40000,32.85000,33.02000,124400
10,2023-03-27,33.38000,33.38000,32.97000,33.13000,162300
11,2023-03-24,32.12000,32.90000,32.02000,32.85000,160400
12,2023-03-23,33.09000,33.21000,32.31000,32.35000,190700
13,2023-03-22,33.98000,34.27000,33.10000,33.12000,180400
14,2023-03-21,34.30000,34.82000,33.98000,34.04000,206708
15,2023-03-20,33.03000,34.01000,33.03000,33.76000,271273
16,2023-03-17,33.82000,33.89000,32.31000,32.63000,922382
17,2023-03-16,33.44000,34.69000,32.99500,34.13000,312536
18,2023-03-15,33.21000,33.76000,32.68000,33.73000,385323
19,2023-03-14,34.78000,35.04000,34.19000,34.40000,247399
20,2023-03-13,34.24000,34.41000,33.56000,33.92000,372409
21,2023-03-10,35.29000,35.42000,34.72000,35.04000,237161
22,2023-03-09,35.93000,35.96000,35.52500,35.65000,176175
23,2023-03-08,36.66000,36.66000,35.56000,35.98000,208271
24,2023-03-07,36.56000,36.60000,36.19000,36.55000,200042
25,2023-03-06,36.95000,37.02000,36.42000,36.68000,297913
26,2023-03-03,36.32000,36.77000,36.00000,36.72000,158915
27,2023-03-02,36.45000,36.45000,36.17000,36.37000,121438
28,2023-03-01,36.71000,36.85000,36.21000,36.54000,139389
29,2023-02-28,36.67000,37.16450,36.45000,36.96000,184485
30,2023-02-27,37.30000,37.38000,36.52000,36.67000,126860
31,2023-02-24,36.22000,37.04000,36.16500,37.03000,179568
32,2023-02-23,36.81000,37.07000,36.32000,36.53000,196600
33,2023-02-22,36.72000,37.25000,36.66000,36.67000,244872
34,2023-02-21,37.80000,37.95000,36.75000,36.77000,367299
35,2023-02-17,38.24000,38.26500,37.81000,38.11000,279452
36,2023-02-16,37.18000,38.28000,37.18000,37.99000,215991
37,2023-02-15,36.76000,37.82000,36.59530,37.63000,258742
38,2023-02-14,36.42000,37.14000,36.37000,37.00000,346392
39,2023-02-13,35.98000,36.68000,35.98000,36.45000,212955
40,2023-02-10,36.13000,36.52500,35.79000,36.16000,400450
41,2023-02-09,35.49000,36.25000,35.46000,36.13000,338582
42,2023-02-08,34.07000,36.19000,33.34000,35.53000,334777
43,2023-02-07,35.62000,36.50000,35.58000,36.23000,219725
44,2023-02-06,36.35000,36.54000,35.89000,35.99000,173419
45,2023-02-03,35.82000,36.46000,35.55000,36.30000,251594
46,2023-02-02,35.26000,35.82000,34.65500,35.81000,312136
47,2023-02-01,35.25000,35.77000,35.04000,35.36000,227273
48,2023-01-31,35.35000,35.75000,35.07000,35.61000,324329
49,2023-01-30,33.89000,35.23000,33.89000,35.23000,377574
50,2023-01-27,34.13000,34.31000,33.71000,33.88000,295309
51,2023-01-26,33.84000,34.54000,33.72000,34.06000,344114
