,datetime,open,high,low,close,volume
0,2023-04-11,10.08000,10.17000,10.08000,10.14000,47100
1,2023-04-10,10.02000,10.10000,10.02000,10.08000,15100
2,2023-04-06,10.09000,10.12000,10.07000,10.07000,37400
3,2023-04-05,10.11000,10.13000,10.10000,10.12000,37800
4,2023-04-04,10.15000,10.19000,10.07000,10.07000,53200
5,2023-04-03,10.14000,10.20000,10.11000,10.12000,49100
6,2023-03-31,10.08000,10.16000,10.00000,10.12000,65200
7,2023-03-30,9.97000,10.06000,9.97000,10.04000,28100
8,2023-03-29,9.93000,10.00000,9.93000,9.97000,36600
9,2023-03-28,9.91000,9.91000,9.87000,9.88000,44000
10,2023-03-27,9.93000,10.00000,9.90000,9.91000,30900
11,2023-03-24,9.99000,10.00000,9.93000,9.93000,33900
12,2023-03-23,9.97000,10.04000,9.97000,9.99000,21300
13,2023-03-22,10.01000,10.06000,10.00000,10.02000,20400
14,2023-03-21,9.98000,10.04000,9.98000,10.04000,19200
15,2023-03-20,9.97000,10.02000,9.96000,9.96000,17100
16,2023-03-17,10.03000,10.07000,9.97000,9.97000,26800
17,2023-03-16,10.01000,10.09000,10.00000,10.06000,16400
18,2023-03-15,10.18000,10.24000,10.07000,10.09000,22700
19,2023-03-14,10.18000,10.31000,10.18000,10.25000,17500
20,2023-03-13,10.28000,10.34000,10.17000,10.17000,48800
21,2023-03-10,10.41000,10.49000,10.35000,10.35000,57300
22,2023-03-09,10.52000,10.57000,10.42000,10.42000,21300
23,2023-03-08,10.52000,10.60000,10.51000,10.53000,21600
24,2023-03-07,10.56000,10.59000,10.52000,10.52000,19500
25,2023-03-06,10.56000,10.60000,10.53000,10.59000,30100
26,2023-03-03,10.47000,10.58000,10.47000,10.56000,14400
27,2023-03-02,10.42000,10.50000,10.42000,10.48000,22700
28,2023-03-01,10.52000,10.65000,10.48000,10.48000,20700
29,2023-02-28,10.54000,10.58000,10.50000,10.52000,35700
30,2023-02-27,10.41000,10.52000,10.41000,10.52000,24400
31,2023-02-24,10.43000,10.47000,10.40000,10.42000,16400
32,2023-02-23,10.37000,10.48000,10.37000,10.45000,9400
33,2023-02-22,10.43000,10.43000,10.37000,10.37000,16400
34,2023-02-21,10.43000,10.49000,10.35000,10.37000,31500
35,2023-02-17,10.52000,10.57000,10.50000,10.52000,32700
36,2023-02-16,10.72000,10.72000,10.53000,10.53000,35600
37,2023-02-15,10.70000,10.72000,10.70000,10.70000,13800
38,2023-02-14,10.76000,10.82000,10.73000,10.74000,24300
39,2023-02-13,10.74000,10.81000,10.74000,10.76000,24100
40,2023-02-10,10.73000,10.81000,10.70000,10.75000,13400
41,2023-02-09,10.88000,10.93000,10.78000,10.78000,6400
42,2023-02-08,10.87000,10.92000,10.85000,10.87000,4300
43,2023-02-07,10.86000,10.97000,10.86000,10.92000,15100
44,2023-02-06,10.96000,10.99000,10.82000,10.82000,10300
45,2023-02-03,11.01000,11.08000,10.96000,11.01000,12000
46,2023-02-02,11.02000,11.12000,11.02000,11.07000,26800
47,2023-02-01,10.92000,11.04000,10.90000,11.03000,20600
48,2023-01-31,10.91000,10.94000,10.88000,10.91000,12700
49,2023-01-30,10.79000,10.90000,10.78000,10.87000,44500
50,2023-01-27,10.70000,10.90000,10.69000,10.82000,61800
51,2023-01-26,10.66000,10.71000,10.65000,10.71000,17600
52,2023-01-25,10.61000,10.68000,10.61000,10.66000,14700
53,2023-01-24,10.64000,10.68000,10.61000,10.68000,25700
54,2023-01-23,10.57000,10.68000,10.57000,10.63000,41500
55,2023-01-20,10.57000,10.67000,10.56000,10.61000,19100
56,2023-01-19,10.55000,10.62000,10.55000,10.55000,13500
57,2023-01-18,10.67000,10.79000,10.62000,10.62000,29600
58,2023-01-17,10.79000,10.79000,10.68000,10.73000,31800
59,2023-01-13,10.68000,10.75000,10.66000,10.72000,18500
60,2023-01-12,10.64000,10.74000,10.64000,10.68000,15300
61,2023-01-11,10.51000,10.66000,10.51000,10.64000,27300
62,2023-01-10,10.50000,10.54000,10.42000,10.53000,35600
63,2023-01-09,10.36000,10.46000,10.36000,10.42000,42000
64,2023-01-06,10.25000,10.41000,10.25000,10.37000,21500
65,2023-01-05,10.25000,10.29000,10.22000,10.26000,8200
66,2023-01-04,10.21000,10.32000,10.21000,10.32000,14100
67,2023-01-03,10.12000,10.22000,10.12000,10.21000,25100
68,2022-12-30,10.02000,10.15000,10.02000,10.08000,21200
69,2022-12-29,10.03000,10.13000,10.03000,10.10000,20100
70,2022-12-28,10.02000,10.09000,10.01000,10.01000,36900
71,2022-12-27,10.14000,10.15000,10.02000,10.02000,33000
72,2022-12-23,10.10000,10.19000,10.10000,10.14000,18000
73,2022-12-22,10.10000,10.17000,10.08000,10.08000,44400
74,2022-12-21,10.09000,10.17000,10.09000,10.14000,24100
75,2022-12-20,10.10000,10.11000,10.06000,10.07000,20900
76,2022-12-19,10.12000,10.16000,10.04000,10.10000,34000
77,2022-12-16,10.17000,10.17000,10.12000,10.15000,14000
78,2022-12-15,10.21000,10.23000,10.14000,10.20000,43200
79,2022-12-14,10.26000,10.30000,10.21000,10.26000,30800
80,2022-12-13,10.44000,10.46000,10.25000,10.25000,45700
81,2022-12-12,10.32000,10.39000,10.26000,10.30000,61000
82,2022-12-09,10.46000,10.53000,10.39000,10.39000,117800
83,2022-12-08,10.59000,10.59000,10.50000,10.51000,35000
84,2022-12-07,10.44000,10.67000,10.44000,10.57000,23700
85,2022-12-06,10.41000,10.47000,10.41000,10.43000,31300
86,2022-12-05,10.43000,10.49000,10.41000,10.45000,22900
87,2022-12-02,10.40000,10.56000,10.40000,10.42000,28400
88,2022-12-01,10.47000,10.59000,10.47000,10.47000,34600
89,2022-11-30,10.32000,10.52000,10.32000,10.48000,37000
90,2022-11-29,10.31000,10.38000,10.31000,10.37000,21300
91,2022-11-28,10.32000,10.38000,10.31000,10.32000,34000
92,2022-11-25,10.24000,10.33000,10.24000,10.32000,38400
93,2022-11-23,10.25000,10.37000,10.25000,10.27000,44000
94,2022-11-22,10.11000,10.32000,10.11000,10.25000,43200
95,2022-11-21,10.16000,10.20000,10.15000,10.15000,29300
96,2022-11-18,10.14000,10.25000,10.14000,10.18000,53900
97,2022-11-17,10.16000,10.20000,10.12000,10.16000,32300
98,2022-11-16,10.18000,10.25000,10.15000,10.19000,70800
99,2022-11-15,10.27000,10.29000,10.17000,10.22000,54400
100,2022-11-14,10.32000,10.36000,10.19000,10.19000,62300
101,2022-11-11,10.50000,10.50000,10.37000,10.40000,44500
102,2022-11-10,10.35000,10.48000,10.33000,10.38000,33800
103,2022-11-09,10.27000,10.28000,10.19000,10.23000,8100
104,2022-11-08,10.30000,10.32000,10.26000,10.32000,37700
105,2022-11-07,10.30000,10.31000,10.22000,10.25000,40000
106,2022-11-04,10.23000,10.31000,10.23000,10.31000,20600
107,2022-11-03,10.22000,10.24000,10.17000,10.23000,22500
108,2022-11-02,10.24000,10.33000,10.24000,10.24000,26100
109,2022-11-01,10.34000,10.34000,10.22000,10.32000,16200
110,2022-10-31,10.24000,10.24000,10.05000,10.20000,36200
111,2022-10-28,9.99000,10.19000,9.99000,10.14000,27000
112,2022-10-27,10.05000,10.07000,10.01000,10.03000,20200
113,2022-10-26,10.00000,10.10000,9.98000,9.99000,33500
114,2022-10-25,9.90000,10.06000,9.90000,10.00000,40100
115,2022-10-24,9.92000,9.94000,9.88000,9.90000,15500
116,2022-10-21,9.83000,9.94000,9.83000,9.94000,5400
117,2022-10-20,9.84000,9.94000,9.83000,9.87000,19800
